lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,SolventBlank1
Lyso_PI(22:2),-1.8920056324867618,5.052801428169852,81.70013267952247,1.5838286048393657e-19,1.7474908940061e-17,670.3588 -> 393.3588,PI,2331.6201667777,2155.5601768487,2524.6801643367,12538.6406478856,15001.7608108602,19651.8815498326,22149.9017448485,24041.6213531468,25162.6415252525,26231.5416755668,14496.680953987
PE (40:0),1.879044773827371,10.738106393117828,80.77586520248224,2.5282702825351403e-19,2.5749460415973274e-17,804.6478 -> 663.6478,PE,1503786.66394022,1309343.1363524,1275683.14886468,3055004.0569457,897089.831237921,400312.75341799,447523.413574251,456398.7286373,321737.861938469,357277.608520574,109892.748626674
PG (42:8),1.8176261342596742,7.652890387716211,75.86623545981094,3.035463469529965e-18,2.8706811668983383e-16,864.5485 -> 675.5485,PG,87799.22598268,64551.424224857,52551.6036606299,694730.018920901,52844.264312707,43068.722915598,54402.16316227,58652.384185885,42948.962799067,39067.982986461,19360.361404411
PG (32:5),-1.6256092280792809,9.18304553032121,61.40744005536544,4.640536431709543e-15,4.09604682372229e-13,730.4389 -> 541.4389,PG,52362.263961737,44738.642806992,44413.86238096,53451.123107908,625375.074860277,994419.869666998,869536.347351577,62084.784698433,66167.7435913364,419871.570953829,29379.841583254
Lyso_PE(22:4),1.5842282452941354,4.056715247881507,58.28816011368875,2.26402552518877e-14,1.873481122093707e-12,530.3168 -> 388.3168,PE,12981.9008254918,14769.7211379977,13658.8009491015,12913.1209335286,6530.8803901676,4928.3403587303,8143.4006729149,2229.2001571655,1770.0601196287,1869.0801239017,7329.9605026272
PGo (42:1),1.5371617614221447,7.451163073458785,55.175329880388006,1.1024377628806967e-13,8.586044694435542e-12,864.6788 -> 675.6788,PG,90066.207031234,60797.504669225,51885.423278705,520167.304229706,57074.323394767,38827.962539663,60920.203910844,51015.143402185,45352.203124993,42159.043228144,20106.421447758
PE (36:6),1.4340361827901735,8.24998566062429,48.29442839912463,3.667929067053385e-12,2.555967413041412e-10,736.4913 -> 595.4913,PE,227151.354019188,381152.044860734,301039.285919232,220942.81399538,103447.768142718,79942.326126137,73040.02548217,94242.2854919369,85463.545593275,88923.086669916,53717.50396728
PEo (42:6),1.4343290624859075,7.92936150085622,48.311997477443015,3.635212850636631e-12,2.555967413041412e-10,806.6059 -> 665.6059,PE,207885.814361579,180853.276336637,167400.873443689,360605.296599839,118716.049316442,67334.483734086,78099.025512604,79095.604888963,61029.405365032,62756.704986535,29262.321578975
C22:5,-1.4118905492805771,12.399184932551558,46.87490678115866,7.566534276256109e-12,5.009045690881544e-10,329.3 -> 329.3,FFA,1245186.00506591,2233977.34399403,1350921.40264851,1519593.92248434,1618700.26470897,2045035.71173093,1853808.69000285,1544529.1550904,12668883.9761352,1086135.55865576,1227060.36761492
PE (34:2),-1.3481114175620135,11.887589041233367,42.87470090421266,5.83605239405669e-11,3.6794920808243134e-9,716.5226 -> 575.5226,PE,1446241.02584838,1070265.58038401,1391941.82312013,1309569.30902109,1155778.72143602,3165238.18914801,2424299.86486755,3086801.52685561,2582981.86181617,3581242.9791261,163698.83081059
PI (30:1),-1.3237193548721615,10.421310231681035,41.38650050343131,1.2491706079729068e-10,7.517735840709676e-9,798.4863 -> 521.4863,PI,315096.10253894,537648.518005349,671630.79174753,414363.909118584,332371.524230871,1258857.01629637,1161229.49658142,1201309.38708539,835251.86828623,810710.53930716,116374.388794
TAG(60:12)_FA 20:0,1.2282826268881808,7.27243963422915,35.78819881827303,2.1997633188532028e-9,1.2662985365920176e-7,968.9 -> 639.9,TAG2,148065.429748485,111652.267440771,92733.286621093,127537.809997616,154096.911071774,43749.963073741,51515.963317884,56826.764312732,45317.903228765,51765.664001463,12170.0008392334
PE (22:2),-1.2200297492015608,3.9414897147644337,35.19976988093504,2.975587075567024e-9,1.6415322033544747e-7,534.3555 -> 393.3555,PE,10084.0605392584,2582.3402061456,1907.8001365652,2024.560131073,1628.740131378,1992.8201446524,4136.6202964785,7169.3804969777,10549.480766291,14315.6409530653,12374.0609474239
1-O-cerotoyl-Cer(d18:1/18:0),1.1910893945263485,10.576574539828838,33.71844030975387,6.3694033273207435e-9,3.373236002149066e-7,944.9 -> 264.3,CER,1417380.2565916,709903.061325566,624652.842048709,2791280.07315771,721530.566154976,441613.332771252,522448.315940802,475398.596820909,507752.038971339,511335.701072724,178365.015220541
