lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,SolventBlank1,,Name,5 GFP,40 GFP
TAG(58:7)_FA 18:0,-0.623781021,10.93348816,20.02972989,7.62E-06,2.65E-04,950.8 -> 649.8,TAG1,246353.1587,266161.5193,247772.4192,248131.1575,255015.1982,467406.9346,355213.8262,385916.1692,664908.9451,377613.4241,109017.1678,,,,
TAG(58:8)_FA 18:1,-0.577976292,10.89905444,17.21485844,3.34E-05,9.38E-04,948.8 -> 649.8,TAG2,248044.0583,277045.6406,272248.458,236506.8186,285132.821,511594.0552,348259.5642,364548.927,607640.667,441610.031,57686.32404,,,,
TAG(60:11)_FA 20:0,-0.577338822,8.150825784,17.16444573,3.43E-05,9.38E-04,970.9 -> 641.9,TAG2,36933.72269,40212.94296,42351.16284,32752.66235,40065.04263,83743.86694,51835.22354,43816.00302,70473.3241,81506.34525,12032.34092,,,,
TAG(60:8)_FA 18:2,-0.580366901,8.750855806,17.34903052,3.11E-05,9.38E-04,976.9 -> 679.9,TAG2,55118.40411,62391.54474,60231.2442,53107.14392,64683.92413,110874.5476,71018.88501,67759.94506,169226.2318,91718.14587,14474.20111,,,,
TAG(56:8)_FA 16:1,-0.566916117,11.13179222,16.56667793,4.70E-05,0.001199277,920.8 -> 649.796,TAG1,279578.0012,317565.741,287816.2192,301165.8408,297413.8984,551484.998,464766.5313,479713.7759,501336.7588,538612.8613,125655.7084,,,,
TAG(58:1)_FA 20:4,-0.526926124,8.194758411,14.3139806,1.55E-04,0.003703409,962.9 -> 641.9,TAG2,38896.62292,45111.96307,42337.34308,37766.90268,39522.44318,83293.94666,55137.14343,48597.80371,74737.92554,77247.70581,11179.76084,,,,
TAG(60:7)_FA 18:1,-0.52403186,8.772789614,14.16197944,1.68E-04,0.003778762,978.9 -> 679.896,TAG2,60003.88403,67188.92487,59736.20416,55818.76337,64303.96423,115573.7075,74482.72571,68727.62461,171788.2536,79952.68555,14521.08098,,,,
TAG(60:6)_FA 18:0,-0.489622312,8.858691162,12.37184348,4.36E-04,0.009274069,980.9 -> 679.9,TAG1,59064.74438,68247.9646,60214.84399,64015.36444,63454.96484,116666.5479,76382.60498,80768.12628,161508.9139,77004.90576,27466.32203,,,,
TAG(48:2)_FA 16:1,0.479236356,12.65859366,11.86090749,5.73E-04,0.011555433,820.8 -> 549.8,TAG1,1299249.47,1261186.604,1319583.132,1126793.561,1231111.983,873757.9033,936510.3438,1406220.106,1016398.596,923575.2432,328307.0631,,,,
TAG(48:1)_FA 16:0,0.462450646,12.63218023,11.04803431,8.88E-04,0.017001615,822.8 -> 549.8,TAG1,1233867.531,1240873.241,1299174.01,1119649.397,1209000.561,872623.3008,902253.4229,1403285.343,989923.5166,937695.9795,318746.3014,,,,
TAG(58:10)_FA 16:0,-0.450966423,8.45891333,10.50082114,0.001193215,0.02176197,944.8 -> 671.8,TAG1,43217.32333,50020.70306,45097.48352,45370.46292,47358.96326,96874.20691,68450.30438,59433.12396,71489.40503,68492.2854,30070.56218,,,,
TAG(50:4)_FA 16:0,0.44374598,9.82321579,10.17345598,0.00142477,0.023725511,846.8 -> 573.8,TAG1,166223.3319,156149.0903,175970.4138,166811.9508,193401.6321,145009.9319,135166.8693,173957.6337,138917.6102,134999.7297,49556.24322,,,,
TAG(52:6)_FA 18:1,0.443983728,9.028264638,10.18230525,0.001417948,0.023725511,868.7 -> 569.7,TAG1,100378.3866,97109.38684,107275.1285,100516.4481,88810.48663,116380.0499,75500.32471,84248.04614,78196.08557,67146.88452,28466.94202,,,,
TAG(52:6)_FA 16:1,0.420838391,9.734041143,9.153714127,0.002482137,0.039610776,868.7 -> 597.7,TAG1,176479.4126,157766.2704,167145.2517,132248.2888,192321.6923,147646.8102,128506.8878,178978.7538,119363.4886,136377.1895,33402.70241,,,,
TAG(58:8)_FA 20:4,-0.417109417,8.24752324,8.988067686,0.002717482,0.041631825,948.8 -> 627.8,TAG2,42085.12323,43339.12305,45923.20361,41264.2829,46407.42352,74301.04504,62120.70435,62622.66431,68880.20526,69191.58527,12852.00076,,,,
TAG(50:4)_FA 16:1,0.409897643,12.13531743,8.687472204,0.003204047,0.045449997,846.8 -> 575.8,TAG1,807016.9004,830758.5229,867761.6982,809204.7109,924463.8438,657618.605,658824.9648,921760.0068,726110.3369,712187.7681,237597.7781,,,,
TAG(60:11)_FA 18:1,-0.411390896,8.171476569,8.743637924,0.003106841,0.045449997,970.9 -> 671.9,TAG2,38961.84283,41547.14276,39855.40277,37727.74255,46871.74347,82120.36664,56460.92432,43707.3428,73853.32416,58418.38422,14905.56109,,,,
TAG(60:12)_FA 18:2,-0.394513643,8.119634034,8.042961069,0.004568081,0.062484816,968.9 -> 671.9,TAG2,37255.20285,40410.52258,43384.80347,35369.54263,45344.16293,73076.60547,55261.12408,46237.68326,69732.98474,61008.80389,12468.14079,,,,
TAG(48:3)_FA 18:2,0.388263567,11.37885579,7.797057309,0.005233139,0.062943795,818.8 -> 521.8,TAG2,477609.3569,528645.7764,623331.4858,456264.4478,540861.6411,427600.2705,422711.334,529222.7939,470000.373,456142.0508,65438.10472,,,,
TAG(52:5)_FA 16:0,0.38974342,9.433903824,7.854372934,0.005069793,0.062943795,870.8 -> 597.8,TAG1,134827.1892,127154.5688,135648.449,108575.0475,147556.8902,124313.8686,100427.2272,136692.8301,102424.1871,111606.7477,33542.56191,,,,
TAG(54:5)_FA 16:1,-0.388115324,9.106490051,7.788146625,0.005259012,0.062943795,898.8 -> 627.8,TAG1,74494.28564,77054.40491,79044.74536,72767.32562,74637.28528,126586.9691,104387.5684,116441.2076,112442.7682,111181.2072,41538.88288,,,,
TAG(60:7)_FA 20:4,-0.38903248,8.081795477,7.821630578,0.00516246,0.062943795,978.9 -> 657.9,TAG2,41596.46304,40736.78271,40550.66275,35373.04245,41802.26288,74634.24561,52328.92361,42251.46274,78742.70636,54618.12354,9416.600674,,,,
TAG(60:0)_FA 20:4,-0.379782558,8.003716445,7.454764305,0.006326876,0.073430109,992.9 -> 671.9,TAG2,39725.30292,36860.98253,37134.04261,34180.56256,41177.90287,77515.96539,47331.44327,36733.82271,60895.62383,62384.24513,9694.960762,,,,
TAG(50:3)_FA 16:0,0.371851718,12.05320804,7.153812493,0.007480481,0.08185783,848.8 -> 575.8,TAG1,764442.2617,767029.9893,803921.5234,721878.6743,883864.5815,630460.8022,614472.0625,876954.0991,692785.5312,694386.6494,236530.4568,,,,
TAG(54:4)_FA 16:0,-0.372043344,9.082745755,7.158149711,0.007462414,0.08185783,900.8 -> 627.8,TAG1,72208.60455,76537.78571,80237.76575,70813.64496,72187.36548,123447.0895,100445.9466,110707.6871,107416.0281,113544.1879,42685.22295,,,,
TAG(60:10)_FA 20:0,-0.356504007,8.153513473,6.571744801,0.010361033,0.110229875,972.9 -> 643.9,TAG2,40617.00278,46906.92337,41218.38312,39126.40271,43512.54318,77102.56549,53026.16394,48804.56329,73198.10489,60397.16394,11220.20082,,,,
TAG(60:10)_FA 18:0,-0.354326026,8.319861999,6.492094535,0.010835524,0.112162313,972.9 -> 671.9,TAG1,42956.7431,44017.38312,44845.36304,44241.1037,43339.42307,78802.76633,55835.78339,51851.00385,81699.78598,56413.38342,25948.30177,,,,
TAG(60:6)_FA 20:0,-0.346701934,8.433988149,6.217170908,0.012651712,0.127515937,980.9 -> 651.9,TAG2,52420.44388,51191.54361,54301.74359,46583.68329,56134.86389,105038.5266,61933.76431,47966.04358,103533.3684,65173.94434,11314.96078,,,,
TAG(58:4)_FA 18:1,-0.344818266,8.351262907,6.149630108,0.013143959,0.129080417,956.9 -> 657.9,TAG2,47034.20319,48270.64331,50268.14362,44838.42291,51780.12402,83340.36584,55990.5036,53939.02356,96522.9668,65836.1449,13794.56096,,,,
TAG(52:5)_FA 18:0,0.343312232,8.660447515,6.096985761,0.013541267,0.129657628,870.8 -> 569.8,TAG1,70807.9848,72362.24545,81814.76624,78188.30576,66336.98462,96902.24664,59753.70493,65593.30447,62314.24408,53644.74396,23283.20147,,,,
TAG(60:2)_FA 20:4,-0.339840095,7.551244702,5.970510177,0.014547072,0.135890936,988.9 -> 667.9,TAG2,25409.02188,28986.92206,32725.9426,24964.5818,28009.8819,53403.96346,34364.36243,31681.36239,44796.10287,40447.04297,7551.100586,,,,
TAG(50:4)_FA 18:1,0.338140279,10.71294334,5.917798016,0.01498868,0.136682483,846.8 -> 547.8,TAG1,310244.5417,317010.2605,308273.1636,276414.519,319141.5447,270156.72,248282.5769,338526.0046,272974.939,266415.0193,98864.6275,,,,
TAG(52:4)_FA 18:1,0.332312316,10.06029198,5.715541925,0.016815373,0.149774139,872.8 -> 573.8,TAG1,185994.2139,184231.8928,206518.3158,187803.4541,216050.3153,169018.1122,173228.9325,206852.6945,169373.1115,177834.6516,57604.94394,,,,
TAG(52:3)_FA 16:0,0.324936733,11.58467293,5.466000395,0.019389951,0.162939744,874.8 -> 601.8,TAG1,584558.8191,564728.9399,580091.4219,512791.3376,643765.7988,468269.7925,466593.2712,677457.4636,481547.9709,560410.5229,123612.968,,,,
TAG(52:4)_FA 16:1,0.324455643,11.61400634,5.44986968,0.019569786,0.162939744,872.8 -> 601.8,TAG1,589543.8843,586367.4639,610059.3872,524862.8748,636680.7122,496079.9924,478781.2939,698218.1929,484339.1143,554795.3767,124780.2292,,,,
TAG(58:0)_FA 20:4,-0.326256842,8.12436589,5.506083395,0.018950437,0.162939744,964.9 -> 643.9,TAG2,39961.50287,41365.6828,44783.90311,39771.80252,43330.98297,77781.54474,47529.04343,49389.36346,71883.00531,57237.18414,11137.50088,,,,
TAG(60:10)_FA 20:4,-0.320060587,8.374218902,5.300085337,0.02132438,0.173771008,972.9 -> 651.9,TAG2,47714.9834,50158.96368,49926.70361,46960.48322,55366.36395,91206.34601,61825.94415,52660.28389,85342.72632,69702.68442,12763.06079,,,,
TAG(54:6)_FA 18:1,0.318187303,9.352340076,5.240183508,0.022070946,0.176107755,896.8 -> 597.8,TAG1,117056.8878,111727.7073,123068.228,100318.1656,143299.7303,116562.188,97131.9057,132533.9293,102666.9269,101406.4476,37363.80275,,,,
TAG(60:4)_FA 16:0,-0.31614451,7.625051392,5.168190042,0.023004172,0.17980812,984.9 -> 711.9,TAG1,27696.60181,26166.48191,24785.18175,27269.90198,27804.34207,59273.90387,33686.12233,30534.14236,40527.14287,29472.2222,18820.56133,,,,
TAG(56:0)_FA 16:0,0.312209594,13.48998613,5.047310476,0.024664194,0.188706544,936.9 -> 663.9,TAG1,908238.842,6856265.931,1126233.008,1714235.788,1034164.113,2835180.513,571544.4026,4598288.821,1158825.317,1647667.768,76772.12541,,,,
TAG(60:3)_FA 20:0,-0.31134001,8.107681722,5.015041612,0.025128025,0.188706544,986.9 -> 657.9,TAG2,43383.48273,41127.54312,42695.72313,38087.32257,44695.76312,68037.64523,55919.14404,45489.44313,71497.70508,59433.80417,9458.520729,,,,
TAG(58:0)_FA 18:0,0.310112721,13.49455795,4.979870216,0.025643907,0.188877237,964.9 -> 663.9,TAG1,874718.6555,6916722.247,1132714.042,1647591.623,1110761.761,2930379.499,576557.9791,4651277.989,1172731.18,1529949.287,76068.10501,,,,
TAG(58:0)_FA 16:1,0.306644233,10.4858286,4.868616615,0.027349417,0.197638236,964.9 -> 693.9,TAG1,238613.6206,227665.7354,305115.0833,322215.1433,287640.4984,213878.8382,235438.377,331878.503,239219.0991,269979.1174,29021.1219,,,,
TAG(58:3)_FA 18:0,-0.296301579,8.440203036,4.543639856,0.033041263,0.227174093,958.9 -> 657.9,TAG1,48497.36322,49967.62335,50041.58368,47302.86359,48867.42334,77627.42523,56066.76389,56552.6839,91839.96539,65445.98462,27749.96183,,,,
TAG(58:6)_FA 16:0,-0.295968674,9.014159801,4.534608418,0.033216055,0.227174093,952.8 -> 679.8,TAG1,74788.58539,78206.646,73357.7251,74042.96527,71007.04553,118551.1084,79626.14581,102122.967,137057.1088,91433.0863,35730.34229,,,,
TAG(60:5)_FA 16:1,-0.296502371,7.671075657,4.547310463,0.032970497,0.227174093,982.9 -> 711.9,TAG1,27102.2619,26699.08202,27374.76181,30534.90222,29324.00223,58905.18372,34387.54285,31758.74225,42323.00299,33913.50241,17949.84134,,,,
TAG(60:3)_FA 18:0,0.293512091,10.34557945,4.461176763,0.034673603,0.23298228,986.9 -> 685.9,TAG1,270605.8582,253017.1157,182024.0726,278746.2609,259497.1739,376396.4684,146615.5903,155256.293,331853.7405,179647.1917,27570.32199,,,,
TAG(56:1)_FA 16:1,0.286844754,12.97872225,4.261763053,0.038979446,0.257398758,934.9 -> 663.9,TAG1,815467.5779,3911806.281,1012060.091,1333234.186,941287.6367,1861173.348,524329.5767,2864156.761,1040076.473,1303276.001,78584.66555,,,,
TAG(60:9)_FA 20:0,-0.282605502,8.415991643,4.134123426,0.042026828,0.272818224,974.9 -> 645.9,TAG2,51096.86359,54105.004,54136.12372,46122.40314,54781.68353,78515.12598,62727.70435,63592.76426,83613.0661,76421.74536,13979.84103,,,,
TAG(52:3)_FA 18:0,0.276968049,9.767017631,3.972761811,0.046241869,0.295177267,874.8 -> 573.8,TAG1,151931.1901,149131.3098,160039.5504,152413.7312,165788.4722,143535.9498,142018.0903,169164.2928,141594.9097,144803.3701,51067.06368,,,,
TAG(60:5)_FA 20:4,-0.272074077,9.269268059,3.833415578,0.050240454,0.315444163,982.9 -> 661.9,TAG2,88650.18634,105546.2878,96275.82654,88451.40625,99116.26685,137899.9885,120118.2289,119599.9688,157565.6096,129127.4495,20928.68147,,,,
TAG(52:5)_FA 16:1,0.270169964,10.75250402,3.780971636,0.05183855,0.320228463,870.8 -> 599.8,TAG1,344051.7025,312430.4421,348168.9062,259232.6184,362975.7867,299563.3196,291644.5195,404338.2087,247515.7182,308745.5825,50146.36338,,,,
TAG(54:8)_FA 18:2,-0.265055194,9.538318596,3.638683662,0.056451551,0.337827248,892.7 -> 595.7,TAG2,106007.6079,110594.9681,129937.9681,101818.6877,125249.9287,155110.0321,158548.7317,177533.3129,153556.4302,146571.4114,28311.92229,,,,
TAG(56:4)_FA 20:0,-0.265690819,9.013527195,3.655630406,0.055880004,0.337827248,928.8 -> 599.8,TAG2,77590.66583,85925.82605,82050.38568,71587.48486,84395.32587,98261.10742,87572.74646,107707.9673,170076.1721,92660.82617,17372.4612,,,,
TAG(58:3)_FA 16:0,0.262524293,10.34724651,3.570141554,0.058827296,0.346628531,958.9 -> 685.9,TAG1,257671.64,253820.0996,181228.7908,262374.5792,272767.8402,387695.3682,147344.5104,166602.6117,311532.2194,185113.6731,32422.42221,,,,
TAG(48:2)_FA 18:1,0.259462662,10.84152306,3.487612283,0.061829704,0.358799645,820.8 -> 521.8,TAG1,320241.0623,332052.8835,331430.6816,307256.8833,328178.5239,286216.1978,270437.7585,388569.509,311538.7021,303871.0435,116155.8883,,,,
TAG(50:3)_FA 18:1,0.258374066,12.57149028,3.458774277,0.062916939,0.359659515,848.8 -> 549.8,TAG1,1044548.139,1130725.925,1122220.661,994029.2266,1121469.118,940939.7803,931678.2217,1311736.758,1013654.02,1013463.634,362208.9865,,,,
TAG(54:5)_FA 18:0,0.256995838,9.274781893,3.42082293,0.064378914,0.362604763,898.8 -> 597.8,TAG1,118999.7278,110586.1682,112390.7482,95988.52625,120031.8677,114193.3675,90176.80627,132671.3093,98875.82678,103650.307,32107.48223,,,,
TAG(54:0)_FA 18:0,0.254568596,12.68405391,3.35778111,0.066888137,0.371277631,908.9 -> 607.896,TAG1,1083169.792,1331019.202,1182963.064,1147087.93,1140558.288,1124333.84,1049588.417,1237657.363,1112658.252,1155996.14,366303.6252,,,,
TAG(58:4)_FA 16:1,0.252308428,10.3528201,3.298038917,0.069362647,0.379512769,956.9 -> 685.9,TAG1,255773.1221,252565.1975,184171.9518,264068.0394,270639.6597,404295.0088,150019.4527,162128.2512,312948.4812,177342.0325,33374.76245,,,,
TAG(52:4)_FA 16:0,0.244483456,10.7745881,3.097018844,0.078435805,0.423111457,872.8 -> 599.8,TAG1,350499.4469,295922.7795,343170.2844,270142.6809,381593.7866,305626.1212,304435.8617,416907.8096,256117.6582,311405.8622,48365.30326,,,,
TAG(54:5)_FA 20:0,0.240959467,8.129184254,3.006352633,0.082938723,0.44118793,898.8 -> 569.8,TAG2,46699.84322,48785.40364,60524.60474,47613.62299,54368.34387,61592.24451,45629.10358,44769.32299,54765.86414,45003.26331,10298.44061,,,,
TAG(58:5)_FA 20:0,-0.238678001,7.967246607,2.949359836,0.085911583,0.450741594,954.8 -> 625.8,TAG2,35797.92255,39680.32288,43092.26288,33480.98233,38392.30298,67202.96484,43032.00345,42515.12302,54307.94397,52484.12415,12846.54097,,,,
TAG(50:4)_FA 18:2,0.236937931,12.94360783,2.909312967,0.088069384,0.45581857,846.8 -> 549.8,TAG2,1330732.176,1510468.925,1683216.547,1252488.626,1646794.293,1272761.188,1298756.095,1678666.011,1505931.323,1473703.041,192816.4519,,,,
TAG(58:0)_FA 18:2,-0.235604181,7.735884758,2.873504489,0.090048593,0.45984815,964.9 -> 667.9,TAG2,32177.26227,35065.14236,31410.58212,30772.10196,34174.54242,57487.98401,37931.58286,39186.8631,44640.08316,43558.74304,9860.080685,,,,
TAG(54:6)_FA 18:0,-0.232317716,9.069555217,2.795837774,0.094509359,0.464065184,896.8 -> 595.8,TAG1,81766.66608,78852.24548,83752.72632,69676.60449,80829.88531,105744.1265,118379.5881,132137.5691,86877.40582,89274.02606,38006.96278,,,,
TAG(58:3)_FA 18:2,-0.232702475,10.11663238,2.805823449,0.09392261,0.464065184,958.9 -> 661.9,TAG2,155397.6516,205797.9746,181092.7129,155389.032,175158.4319,238899.7346,212001.0747,236256.7347,255393.0374,236076.3367,38756.92273,,,,
TAG(58:7)_FA 16:1,-0.233722028,9.020844968,2.829657473,0.092538094,0.464065184,950.8 -> 679.8,TAG1,74811.74487,80368.86566,77594.26599,72554.58508,75512.30505,114315.0685,96616.44666,90249.52661,123421.2908,91640.98615,37150.76255,,,,
TAG(56:8)_FA 20:4,-0.223778212,10.03306187,2.594920593,0.107206812,0.519749483,920.8 -> 599.8,TAG2,144451.8904,174556.7136,192773.2937,142306.7498,175003.8512,191489.2537,192344.3752,266814.8162,265497.0996,195726.9946,35006.00273,,,,
TAG(58:5)_FA 18:2,-0.222229716,8.473773765,2.558008151,0.109736765,0.525364763,954.8 -> 657.8,TAG2,51678.00372,59320.92401,58770.86414,49991.68347,55786.86469,87090.08588,67974.46497,61026.12421,89431.20581,64717.78494,15755.28092,,,,
TAG(54:1)_FA 18:1,0.218018645,13.39483254,2.463690125,0.11650479,0.550880674,906.8 -> 607.8,TAG1,1800437.441,2010810.188,1921162.24,1881088.76,1918563.352,1826153.398,1769925.939,1990170.514,1899933.191,1952702.783,586880.7474,,,,
TAG(56:1)_FA 16:0,-0.212192468,9.876160829,2.333319317,0.126631598,0.591462219,934.9 -> 661.9,TAG1,126816.3892,174184.7307,137247.4099,138892.95,124503.7695,200733.2555,164919.6313,214007.4948,175219.7107,182761.7329,62604.3842,,,,
TAG(56:2)_FA 16:1,-0.209999222,9.864473632,2.285373079,0.130598735,0.602642354,932.9 -> 661.9,TAG1,136609.3098,171188.0125,127935.049,133164.9496,129806.6293,200004.8929,162430.2292,199892.3325,210692.7755,159671.4114,60341.24402,,,,
TAG(52:3)_FA 18:1,0.207520714,12.69159591,2.232308204,0.135151811,0.6162279,874.8 -> 575.8,TAG1,1088257.935,1209220.401,1154397.129,1100653.056,1228300.229,1026127.832,1035118.308,1408662.824,1159081.031,1135852.101,397405.4472,,,,
TAG(56:3)_FA 16:0,-0.20496542,8.532867128,2.176269245,0.140153844,0.631516731,930.8 -> 657.8,TAG1,51955.34369,58805.18423,51739.38379,49691.46344,55214.04413,80302.58563,56605.56348,59888.94415,95882.92712,63472.40417,31788.14238,,,,
TAG(58:9)_FA 20:4,-0.202280007,7.96905107,2.119111614,0.145470904,0.647852978,946.8 -> 625.8,TAG2,34015.64224,36773.18265,46242.22345,34110.24249,44269.16284,68035.88556,43773.70319,43437.26294,54996.30377,49127.92352,11486.18071,,,,
TAG(50:3)_FA 16:1,0.200069459,13.71930778,2.075044415,0.149725581,0.652656881,848.8 -> 577.8,TAG1,2254778.037,2394664.74,2427395.805,2213679.48,2417780.389,2154401.856,2147105.469,2735286.246,2348398.824,2352313.578,838448.8766,,,,
TAG(56:4)_FA 16:1,-0.200023293,8.551514248,2.07268092,0.149957717,0.652656881,928.8 -> 657.8,TAG1,52259.98352,55699.88354,50446.22357,54515.52423,56922.38403,87388.00598,59787.12439,60143.42407,90123.04663,61434.3844,32944.32215,,,,
TAG(60:1)_FA 20:0,-0.196076058,9.590038607,1.992537468,0.158075817,0.680258855,990.9 -> 661.9,TAG2,87696.9468,221145.8777,105955.3279,101794.707,113267.5079,223155.1144,113243.4681,190414.7939,156002.0309,147867.2098,18868.26143,,,,
TAG(60:1)_FA 16:1,0.194365663,8.382370751,1.957039607,0.161830281,0.688677753,990.9 -> 719.9,TAG1,66859.96477,65220.40446,44727.60327,42898.20296,59375.92424,61986.86408,49909.4833,53534.94325,64651.64471,51164.76394,27183.90184,,,,
TAG(48:3)_FA 16:0,0.19330706,9.71683387,1.93673699,0.164023265,0.690339676,818.8 -> 545.8,TAG1,140195.5092,143453.2496,184356.3563,131889.9287,163388.4098,140415.0497,117382.1678,185131.5554,128542.5304,198247.2145,31719.74248,,,,
TAG(60:1)_FA 20:4,-0.190993657,7.457436546,1.888597249,0.169360223,0.705053972,990.9 -> 669.9,TAG2,26080.76196,28295.52214,28341.78186,24949.02161,28132.20218,49679.4039,30682.60223,29266.76198,34607.70247,35077.5824,9162.460682,,,,
TAG(50:3)_FA 18:0,0.184521377,10.29424076,1.764952715,0.184007956,0.757796205,848.8 -> 547.8,TAG1,214956.3147,221977.7957,214782.1344,199029.7346,226337.856,208439.7747,190946.0117,266236.8601,216068.217,211440.8761,82758.64605,,,,
TAG(60:3)_FA 20:4,-0.183356923,8.527951053,1.742007313,0.186884688,0.761455696,986.9 -> 665.9,TAG2,46425.58311,79470.60599,59874.68378,50586.66344,63602.4245,97940.20728,52041.9834,75003.20512,88294.52606,79720.86526,10501.60071,,,,
TAG(50:2)_FA 16:0,0.180340506,13.64438493,1.686230981,0.194098555,0.77684881,850.8 -> 577.8,TAG1,2106769.496,2248054.084,2245238.098,2126007.219,2289206.043,2040163.714,2109899.164,2578141.748,2207921.329,2253781.904,812698.0368,,,,
TAG(52:5)_FA 18:2,0.177907955,10.07062253,1.6407534,0.20022213,0.77684881,870.8 -> 573.8,TAG2,171910.7721,189109.8339,232418.2769,153418.9911,240427.1364,191956.7722,185177.2532,210991.7543,204163.1356,207426.2933,31843.4821,,,,
TAG(58:2)_FA 18:1,-0.17869565,10.12037781,1.655312144,0.198237459,0.77684881,960.9 -> 661.9,TAG2,155563.8319,210867.3943,180498.6924,166033.3722,182605.5326,235784.4163,205373.856,237589.2377,239658.8359,247441.7783,36648.50242,,,,
TAG(58:7)_FA 18:1,-0.177701366,8.977574037,1.636515245,0.200804262,0.77684881,950.8 -> 651.8,TAG2,76055.3855,79460.90619,85335.66687,72606.38489,81549.12531,114278.787,91734.42651,99519.22672,115185.2084,94554.86676,23666.28173,,,,
TAG(60:0)_FA 16:0,0.177727495,8.388974954,1.636545707,0.200800071,0.77684881,992.9 -> 719.9,TAG1,67636.40488,64941.08517,47178.30298,44457.58313,57187.34418,63390.66449,50705.82343,54790.6438,61552.06458,56656.06409,25576.68181,,,,
TAG(48:1)_FA18:0,0.174918455,10.74710152,1.586221733,0.207866774,0.796129746,822.8 -> 521.8,TAG1,285602.9207,306553.8218,297262.1809,264920.1584,311876.543,271072.6982,262825.7788,376282.2673,293135.8823,292601.2583,116301.3881,,,,
TAG(58:8)_FA 18:2,-0.172065666,8.961907799,1.534420005,0.215450291,0.817004569,948.8 -> 651.8,TAG2,73136.34619,85436.10602,81080.86639,70920.76471,85838.96655,121963.5486,95989.52722,92593.70636,111746.2485,91797.34637,20384.62144,,,,
TAG(54:0)_FA 18:1,0.170213516,9.365550785,1.501725156,0.220406109,0.827603332,908.9 -> 609.9,TAG1,105242.2476,113703.3284,110342.3278,109988.5676,111264.5284,123216.5292,104267.3872,111830.2474,114441.1696,110868.6078,51167.30368,,,,
