lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,SolventBlank1,,Name,5 GFP,40 GFP
TAG(60:11)_FA 20:4,-2.16749482,10.48726217,223.7229989,1.39E-50,5.34E-48,970.9 -> 649.9,TAG2,77275.30524,92287.78662,93562.94678,83632.28583,116514.2675,477913.5094,403559.8047,131491.5692,1076784.836,298275.2035,20366.30129,,TAG(60:11)_FA 20:4,92654.51838,477604.9845
TAG(60:7)_FA 20:0,-1.884489027,10.22196938,172.4300345,2.18E-39,4.17E-37,978.9 -> 649.9,TAG2,80989.20496,91331.66693,91597.00598,85485.40631,101364.4472,546686.7534,359981.9998,129071.4289,526453.6536,356377.1259,16037.30103,,TAG(60:7)_FA 20:0,90153.54628,383714.1923
TAG(60:12)_FA 20:0,-1.144250593,8.849586609,66.18417901,4.11E-16,5.24E-14,968.9 -> 639.9,TAG2,43749.96307,51515.96332,56826.76431,45317.90323,51765.664,148065.4297,111652.2674,92733.28662,127537.81,154096.9111,12170.00084,,TAG(60:12)_FA 20:0,49835.25159,126817.141
TAG(58:9)_FA 18:2,-0.77867504,11.01096449,31.07991569,2.48E-08,2.37E-06,946.8 -> 649.8,TAG2,238803.2769,275675.6208,284791.1201,233781.8157,278670.958,550740.8882,373642.7065,363746.2056,885079.6382,424214.8867,60003.02407,,TAG(58:9)_FA 18:2,262344.5583,519484.865
TAG(58:2)_FA 20:4,-0.769867827,9.125501953,30.37930917,3.55E-08,2.72E-06,960.9 -> 639.9,TAG2,63048.26447,64603.4046,94564.72559,62855.58472,75271.52515,164474.8713,125689.8491,105324.9673,143541.4504,168038.7912,12737.58069,,TAG(58:2)_FA 20:4,72068.7009,141413.9859
TAG(58:4)_FA 20:0,-0.736382882,8.295133998,27.81182519,1.34E-07,8.53E-06,956.9 -> 627.9,TAG2,38115.20245,42578.42303,42140.66302,37091.92255,42429.32297,91520.08655,76183.3653,68620.70477,73114.06543,78495.16559,9830.32069,,TAG(58:4)_FA 20:0,40471.10681,77586.67753
TAG(48:3)_FA 16:1,0.682225475,11.00776909,23.92324364,1.00E-06,5.49E-05,818.8 -> 547.8,TAG1,460778.3328,415738.0906,434885.7554,371245.6648,419713.6653,275297.5588,256230.7156,403323.8696,307544.3835,271089.4775,103614.3469,,,,
TAG(48:2)_FA 16:0,0.657759384,10.97521043,22.2523978,2.39E-06,1.14E-04,820.8 -> 547.8,TAG1,425302.9727,419572.6313,426653.6133,370107.8271,405297.0093,273721.5396,250454.2375,394487.3057,301300.821,278237.3401,99298.48672,,,,
TAG(56:7)_FA 16:0,-0.652137266,11.13786759,21.8769749,2.91E-06,1.24E-04,922.8 -> 649.8,TAG1,276321.759,310090.8826,292913.3015,274123.8389,291226.6003,507615.7891,450643.6155,439733.8511,782264.6436,435739.3496,121532.5293,,,,
TAG(52:1)_FA 20:4,-0.628252732,7.918019481,20.29758738,6.63E-06,2.54E-04,878.8 -> 557.8,TAG2,30365.10217,33097.04258,35845.10248,25638.4218,35841.94272,59490.1441,51695.96393,48660.6833,66201.00476,59267.20367,9947.90065,,,,
