lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DN1,40DN2,40DN3,40DN4,40DN5,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,SolventBlank1
TAG(60:0)_FA 20:0,-1.4946293143231304,13.857730410764766,119.78435057809111,7.05254511992507e-28,2.7011247809313016e-25,992.9 -> 663.9,TAG2,1920771.02504308,989272.694404508,1230197.14108702,1751931.610126,1244782.01979445,9449173.02427687,674220.509528967,8210769.6942028,1785794.04348759,2629767.92481939,22974.0015487575
TAG(56:0)_FA 16:0,-0.8360058411876502,13.021857520022365,38.573380936893955,5.273324551525924e-10,7.156270143875097e-8,936.9 -> 663.9,TAG1,1167925.72412054,914791.37011787,924246.26757814,1378737.9259035501,1054998.86328126,2835180.51342784,571544.40258798,4598288.82128861,1158825.31713804,1647667.76782165,76772.1254119711
TAG(58:1)_FA 18:1,-0.8331860861930915,12.759634415066742,38.31688917635984,6.01398890538667e-10,7.156270143875097e-8,962.9 -> 663.9,TAG2,921307.32128897,691922.86865233,946449.57446294,997627.13647508,1014813.85205061,2857533.29687615,596459.74389655,2839679.0854492,1219381.82421883,1553057.71704104,38868.0426330548
TAG(60:11)_FA 20:4,-0.8285425028643494,10.874937037015474,37.892837887106,7.473911377415245e-10,7.156270143875097e-8,970.9 -> 649.9,TAG2,209309.232666,161613.971984818,351480.861632797,185794.032958975,321598.72338871,477913.50939894,403559.80468746,131491.569152863,1076784.8359375,298275.203491165,20366.3012886041
TAG(58:2)_FA 18:2,-0.8123814736547798,12.699447212710254,36.45143450362776,1.5651789378588953e-9,1.1989270663999138e-7,960.9 -> 663.9,TAG2,887705.43017597,659374.14379893,950196.35766588,921104.25512683,1005374.76733351,2569821.62255847,601160.11572257,2744571.98046899,1233666.58239849,1486704.67724637,38653.643054964
TAG(58:0)_FA 18:0,-0.7313087170572118,13.065290376062649,29.611477481579627,5.279141918820155e-8,3.3698522581801994e-6,964.9 -> 663.9,TAG1,1223154.45556627,1044315.24707048,940073.35485893,1589388.55517568,1078848.6564943,2930379.49878004,576557.979126,4651277.98852546,1172731.17980921,1529949.28674226,76068.1050109935
TAG(56:1)_FA 16:1,-0.5129584162913062,12.64830178771089,14.646711328750825,1.296606845042334e-4,0.0070942917378744854,934.9 -> 663.9,TAG1,1020042.2507324,893572.56250016,853295.43066392,1074834.71875051,947407.32666032,1861173.34765569,524329.57666018,2864156.76123008,1040076.47314447,1303276.00097696,78584.6655540488
TAG(58:0)_FA 18:1,-0.5008307425559433,9.194831021499294,13.960171084889453,1.8672467008095392e-4,0.00893944358012567,964.9 -> 665.9,TAG2,81988.866088889,75165.846130398,91514.626647898,85496.006072996,95387.286926273,195663.553039471,76626.505126978,172206.453033618,115991.208557103,111675.387512252,15558.7410926822
TAG(58:1)_FA 18:2,-0.4560753168095706,9.184663553683635,11.586403580792194,6.643577119333668e-4,0.028272111518942166,962.9 -> 665.9,TAG2,81340.125610359,78481.025329613,92547.00564574,83020.406188958,96294.226806633,186544.512329065,73833.485076917,164906.7502747,108189.567321825,121210.889221299,17481.8011779728
TAG(58:1)_FA 20:4,-0.43825493672959126,8.270783686390613,10.697751226316173,0.001072658379188654,0.041082815922925446,962.9 -> 641.9,TAG2,45009.223114014,40252.563171377,47460.923156739,45326.022949205,50266.763366724,83293.946655216,55137.143432621,48597.803710925,74737.925537072,77247.705810469,11179.7608413657
