lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DN1,40DN2,40DN3,40DN4,40DN5,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,SolventBlank1
TAG(52:3)_FA 20:0,-0.42249545422311224,8.394218680121137,9.945706340306288,0.001612249964220006,0.0561356123905693,874.8 -> 545.8,TAG2,46760.6234054602,43506.0030593696,57641.224334712,48383.7635154852,58229.4443741259,86153.585723908,58908.144561766,50713.5636291458,73200.244995069,104285.126647959,8930.2405967675
TAG(60:7)_FA 20:0,-0.3931174650563664,10.727209441557015,8.620029967338269,0.003324863753547968,0.10611856813407265,978.9 -> 649.9,TAG2,256333.241699335,173211.01220701,486059.69421382,168962.932250987,231278.433532715,546686.753418,359981.999816819,129071.428886405,526453.653625534,356377.125855,16037.3010292076
TAG(60:11)_FA 20:0,-0.3632473556792685,8.275552328927056,7.358073690107544,0.006676227936373066,0.19669194612545263,970.9 -> 641.9,TAG2,46986.903167719,45852.923080459,44118.422790541,49331.583770757,48500.743347161,83743.866943341,51835.22354125,43816.003021237,70473.324096694,81506.345245292,12032.3409233141
TAG(60:12)_FA 20:0,-0.35389590785089825,9.177264732093631,6.987839034502487,0.008206537497180266,0.22450741867286012,968.9 -> 639.9,TAG2,89062.985839861,71164.505249042,112149.268493606,76577.024902327,104160.686492998,148065.429748485,111652.267440771,92733.286621093,127537.809997616,154096.911071774,12170.0008392334
TAG(60:1)_FA 20:0,-0.3333059485101604,9.573647069160446,6.2007711170920174,0.012769466805030244,0.32604705242177223,990.9 -> 661.9,TAG2,125117.568737018,111017.967998521,116434.948272696,115739.188339232,129699.009784715,223155.114440847,113243.46807862,190414.793888086,156002.03088376,147867.209838939,18868.2614250232
TAG(60:4)_FA 20:4,-0.3270081998761537,11.80150398549333,5.970727022729989,0.014545282775569147,0.3453078368095121,984.9 -> 663.9,TAG2,599479.98364235,413154.913902127,699897.396362331,581746.07397458,600356.31762689,1103328.21246385,403222.80615235,915188.662299681,819399.387695867,788363.73388607,18283.8613014209
TAG(60:6)_FA 20:0,-0.32457241153623173,8.48380309542964,5.87848782606185,0.01532697970172769,0.3453078368095121,980.9 -> 651.9,TAG2,52402.783996566,51766.883728,65830.364562981,52185.083953828,55756.20391849,105038.526611314,61933.764312755004,47966.0435790811,103533.368377762,65173.944335934,11314.9607810992
TAG(58:2)_FA 20:4,-0.3191455947395825,9.346532460480185,5.685833397239625,0.01710241479819946,0.36390138153946633,960.9 -> 639.9,TAG2,93274.226684564,82540.526336668,113157.787139961,94862.78710935,137051.290405191,164474.871276886,125689.849121078,105324.967346167,143541.450408976,168038.791168149,12737.5806922957
TAG(56:4)_FA 20:0,-0.31555614591937614,9.033388917119085,5.558322163784398,0.018393033959780213,0.3707648424524117,928.8 -> 599.8,TAG2,78902.865722661,77652.94531247,84158.34545898,79822.26586913,87779.32623287,98261.10742184,87572.74645997,107707.967285175,170076.172058042,92660.82617188,17372.4612045299
TAG(52:1)_FA 20:4,-0.30011151280977955,8.088516516900876,5.026188798106888,0.024966780892690686,0.45534652770954914,878.8 -> 557.8,TAG2,37399.4226684362,38491.1424140996,48918.463317891,40124.0828514015,47310.563190449,59490.144104002,51695.963928218,48660.6833000235,66201.004760742,59267.203674306,9947.9006500232
TAG(60:3)_FA 18:0,0.3007293440498747,10.390801586782612,5.050718903235975,0.024615723110512154,0.45534652770954914,986.9 -> 685.9,TAG1,489388.690795937,199190.851989692,284120.844665424,163897.751464863,157897.310974142,376396.468383847,146615.590271023,155256.292999177,331853.740539299,179647.191680905,27570.3219871557
TAG(48:3)_FA 16:0,-0.29052175160807714,9.537409714007897,4.713462913413878,0.02992730926551363,0.5055962504848523,818.8 -> 545.8,TAG1,97733.407348722,106482.82739251,108400.367980925,127550.788879412,138359.26940916,140415.049743695,117382.167785621,185131.55535893,128542.530395522,198247.214538582,31719.7424773977
TAG(60:11)_FA 18:1,-0.2898293047391754,8.259503364267918,4.688667906685339,0.030362176922066855,0.5055962504848523,970.9 -> 671.9,TAG2,39593.982513418,43605.90307618,55876.944458038,46014.223022458,49670.00335693,82120.366638166,56460.924316382,43707.342803946,73853.324157686,58418.384216295,14905.5610923746
TAG(60:8)_FA 18:2,-0.2849750122429561,8.91030641815779,4.534664800174141,0.03321496123270603,0.5300554230052671,976.9 -> 679.9,TAG2,73484.924560536,59612.48480224,108063.688537642,65258.604125959,72451.70471192,110874.547607481,71018.885009752,67759.9450607632,169226.231811535,91718.145874024,14474.2011070249
TAG(52:6)_FA 18:2,-0.28269240446741967,8.46953092500737,4.46156276147849,0.03466576891979511,0.5310795798512611,868.7 -> 571.7,TAG2,48859.3237418969,51503.1840019112,65382.144470221,52175.5239639269,61469.7443008363,84783.806335485,69925.065185567,69829.3248786953,74212.905029294,72614.564941416,11992.580867763
TAG(52:5)_FA 18:2,-0.277041317259143,9.90155245803702,4.2871989482297295,0.03840037993881342,0.5447165006135385,870.8 -> 573.8,TAG2,142101.270618464,137917.170143137,152491.91101075,147131.470985417,178590.132438646,191956.77221679,185177.25317384,210991.754261004,204163.13562012,207426.29333495,31843.4821014308
TAG(56:0)_FA 18:2,-0.2787433472246465,8.726747625374115,4.338500008490655,0.03725973562802395,0.5447165006135385,936.9 -> 639.896,TAG2,56826.623962401,63617.744384752,70314.284851072,60861.184326159,85256.685791019,91935.906249994,85637.205810569,84453.686462406,88547.146514907,93171.327270539,13627.6010284358
TAG(58:4)_FA 16:1,0.2704626174679696,10.403263121120412,4.086637573698681,0.04322354810139195,0.5912363901011828,956.9 -> 685.9,TAG1,473992.31127935,214221.5946655,265182.178100578,163939.531982452,169797.171386731,404295.008789116,150019.452697795,162128.251220711,312948.481201301,177342.032531735,33374.7624511665
TAG(60:0)_FA 20:4,-0.26754503027376675,8.091682991410986,3.9960417693853287,0.045607250535616886,0.5955811140109906,992.9 -> 671.9,TAG2,38490.342803953,35700.2621459996,55247.464599599,39449.162368753,46400.1835861052,77515.965385505,47331.443267807,36733.8227119354,60895.6238326836,62384.2451324639,9694.9607620259
TAG(60:2)_FA 18:0,0.266228796568076,8.659051692195689,3.9579218836497603,0.04665126219407236,0.5955811140109906,988.9 -> 687.9,TAG1,71408.205505353,59454.48406982,110305.086059593,54737.743408187,58858.144500733,86995.866271962,53159.663909902,60074.784057629,70003.625366198,57519.984375031,30229.8419532881
TAG(58:3)_FA 16:0,0.26265792565197654,10.388500622516897,3.854499001223303,0.0496127417761259,0.6129574225889104,958.9 -> 685.9,TAG1,465793.194763088,204302.234802186,265819.15771496,171884.812744166,164206.912658774,387695.368163934,147344.510375932,166602.611694329,311532.219360489,185113.67309565,32422.4222106891
TAG(50:4)_FA 18:0,-0.2545589826868282,9.349223582624163,3.6200014539585936,0.057088823309276455,0.6832818539829025,846.8 -> 545.8,TAG1,93156.10595702,92360.24603278,90797.445739743,115281.306274484,123031.708313041,120750.447998013,91303.887573233,168488.953552152,114401.006774998,174141.790527447,27933.2221717827
TAG(50:4)_FA 16:0,-0.24405974089633448,9.54166423007351,3.3280063332249483,0.0681093873852844,0.7546192558021415,846.8 -> 573.8,TAG1,108505.04772952,108390.78796386,103769.86694333,121281.84790038,122237.16857907,145009.93188478,135166.86926272,173957.63366697,138917.61022949,134999.72973633,49556.2432174833
TAG(56:0)_FA 16:1,-0.2456221147441721,9.3766218333653,3.3705918662084287,0.06636990744313717,0.7546192558021415,936.9 -> 665.9,TAG1,110412.44860847,94551.2461548,99742.167236302,107110.167907716,102674.3465576,182998.69189454,80631.406005872,178751.45190432,108600.16748045,123932.26940924,34314.8625183095
TAG(60:7)_FA 18:1,-0.24332898239121864,8.92837329381086,3.3076036265738367,0.06895998421168395,0.7546192558021415,978.9 -> 679.896,TAG2,67613.905334493,64489.304077159,117796.687194877,65132.704589805,74954.944946264,115573.707458421,74482.725708009,68727.6246108996,171788.253601174,79952.685546879,14521.0809783973
TAG(58:2)_FA 16:0,0.23898605159784722,8.63980651035515,3.190216301745746,0.07408020903615875,0.7881311128013556,960.9 -> 687.9,TAG1,71380.725158672,56195.243469237,112610.708251965,52946.88372804,56479.523559536,89114.566467279,52993.923767063,60170.224304177,66879.504516588,60450.08422849,27974.782051071
TAG(52:4)_FA 20:0,-0.2316832575010982,7.441868121615719,2.9960271370867027,0.08346896642895534,0.8640165984402673,872.8 -> 543.8,TAG2,23960.3016128566,24598.6218719448,31512.522369382,27916.1220207072,30528.1423339814,42375.563201902,27900.522155749,38092.8628158536,38083.082733163,31901.602264396,6863.2404022191
TAG(52:3)_FA 18:0,-0.22717228872769898,9.577657062633897,2.8838692851776386,0.08947079577515224,0.8753494030296376,874.8 -> 573.8,TAG1,112006.38854981,109478.94750977,104016.94726561,118306.68981933,139130.56921387,143535.94982911,142018.09033201,169164.29284668,141594.90966797,144803.37011719,51067.0636825626
TAG(58:4)_FA 18:1,-0.22902145993404152,8.4398642262238,2.9298147090870543,0.08695747218695814,0.8753494030296376,956.9 -> 657.9,TAG2,51431.883544911,48426.463378923,70017.624694889,51886.783630329,53675.943664575,83340.365844748,55990.503601059,53939.023559553,96522.966796892,65836.144897454,13794.5609588624
TAG(58:9)_FA 18:2,-0.22377639760264167,11.271671638722845,2.799088464903889,0.09431791445738992,0.8753494030296376,946.8 -> 649.8,TAG2,299599.33862319,383360.20849601,551755.67846675,367090.82360845,419554.42724633,550740.88818401,373642.70654316,363746.20556622,885079.63818373,424214.88671891,60003.024066935
TAG(60:12)_FA 18:2,-0.22530818011303308,8.230207877518698,2.8353412299134115,0.09221121200835643,0.8753494030296376,968.9 -> 671.9,TAG2,39525.442901561,44760.883163467,52625.123962402,48913.864196757,53400.38385012,73076.605468723,55261.124084434,46237.683258082,69732.984741188,61008.803894018,12468.1407852181
TAG(60:9)_FA 16:1,0.22264309886046105,11.761484591400523,2.770914288990753,0.0959913183478976,0.8753494030296376,974.9 -> 703.9,TAG1,580890.44567892,662651.44555673,587477.12060535,690645.57080071,730631.43200668,563994.41894539,578706.58374037,621393.26123059,610397.93640152,652524.21167001,133271.588966379
TAG(48:1)_FA 18:2,-0.2121536309136542,9.748400278647168,2.515652538307962,0.11272096493199742,0.947652068707794,822.8 -> 525.8,TAG2,144178.991455056,125297.027999881,133558.56958014,140484.930438995,167423.171684358,221637.67480462,134438.66894533,161530.430850933,172711.47204588,211785.53637694,19716.6014213554
TAG(52:6)_FA 20:0,-0.20839092011600682,8.622557358052877,2.4264387412665656,0.11930366102880798,0.947652068707794,868.7 -> 539.7,TAG2,68356.684692358,59570.6441879279,51056.383697512,64231.7845115698,83080.1057891828,82340.245544422,101371.307678216,77174.985691078,57128.904418964,87967.907104465,9644.2006530747
TAG(58:3)_FA 16:1,0.207308316433122,8.65205131989524,2.4012275261879417,0.12124008189734178,0.947652068707794,958.9 -> 687.9,TAG1,67391.745178222,55302.523986835,114565.568908745,53933.903839091,57640.183837901,92024.566833515,56120.543762217,62137.543823259,68022.524291984,57444.264160162,28534.6820907407
TAG(60:12)_FA 16:0,-0.20768679553102826,7.791534024992229,2.4086087481132807,0.12066956643256856,0.947652068707794,968.9 -> 695.9,TAG1,32513.682495109,32186.722381602,33624.922485348,33442.002319329,33317.682556154,66020.844329834,34067.842285163,33916.302093497,37275.022338859,38860.982421857,17930.0813331609
TAG(60:12)_FA 18:1,-0.21174591870410495,7.687654464802672,2.503508352735481,0.1135929939700973,0.947652068707794,968.9 -> 669.9,TAG2,29411.56222533,31062.082397448,36633.442565913,31533.141967764,32070.622253408,54372.203857393,35181.882507324,32401.802398682,42531.342468289,40052.262969966,11244.1408348022
TAG(60:3)_FA 20:4,-0.21028467836856027,8.55847397512167,2.4706254920308766,0.11599175729571254,0.947652068707794,986.9 -> 665.9,TAG2,63179.884704597,49035.2436561601,72345.964843721,59323.363891609,63829.204620345,97940.207275371,52041.983398425,75003.2051200626,88294.526061995,79720.865264867,10501.6007080117
TAG(60:9)_FA 20:4,-0.20809996273705172,7.825485465872976,2.418425104865719,0.11991543385032356,0.947652068707794,974.9 -> 653.9,TAG2,35299.662658677,34255.782684352,41459.062744113,32310.522216793,35719.662628171,53458.783874506,40078.6826172,37101.4425811678,46654.603546149,49818.883636472,10718.640739447
TAG(60:8)_FA 16:0,0.2032153247609309,11.778443884549825,2.308817935460411,0.12864184556063063,0.9853965369944306,976.9 -> 703.9,TAG1,588705.72045896,655148.30749533,602884.10302775,696539.40234382,725906.07153322,578701.92138689,598593.62548832,644175.20483411,604802.21899411,658269.89099105,134647.649311095
TAG(48:0)_FA 16:0,0.05155364114824254,13.769867290083797,0.1487148844244075,0.699766498114064,0.9987561971329125,824.8 -> 551.8,TAG1,2131503.00781249,2358718.25732401,2042827.595703,2554692.9453114,2730654.9335943,2242095.4628906,2299054.9941412,2830170.5273413,2551498.328124,2457255.9511719,906740.443092099
TAG(48:0)_FA 16:1,0.07850332372514504,10.146229713137531,0.34473537190751813,0.5571085456546031,0.9987561971329125,824.8 -> 553.8,TAG1,184773.17236328,199055.37377928,162748.27197267,201810.35424803,207100.27441406,199652.35522462,171406.8317871,219963.0551758,197052.75390623,199066.15356447,79988.5658798457
TAG(48:0)_FA 18:0,0.05712855999568614,11.568946601409722,0.1826027182769394,0.6691459812793041,0.9987561971329125,824.8 -> 523.8,TAG1,466384.81298815,531283.36035129,439155.16503911,548607.51611312,602949.7211912,497776.87451143,479542.21435526,665505.04931662,545810.33789078,515658.99804685,188790.513305683
TAG(48:0)_FA 18:1,0.09474537200726646,9.795937381183272,0.5020878083450953,0.47858419102208116,0.9987561971329125,824.8 -> 525.8,TAG1,178382.6920167,173161.611755368,114772.128601101,173130.07293705,151951.99121099,198563.37402342,114175.40795897,183670.052063107,137949.610351592,181266.833190956,36564.6426696918
TAG(48:0)_FA 18:2,-0.19302353520805887,8.373651047585646,2.081741474617843,0.14907001949497836,0.9987561971329125,824.8 -> 527.796,TAG2,49496.003540016,47709.1032371682,57678.583740207,49659.3837242325,64229.6045646685,84010.745788556,60729.064208997,56089.3638229362,69327.564880355,65463.585083026,12813.8809471068
TAG(48:1)_FA 16:0,-0.1279144854406713,12.388147669755591,0.9152566549423682,0.3387235098078111,0.9987561971329125,822.8 -> 549.8,TAG1,725739.07031256,829070.63574223,732209.0732419,926581.61621108,1100670.1132811,872623.30078135,902253.42285159,1403285.3427735,989923.5166012,937695.97949263,318746.301387571
TAG(48:1)_FA 16:1,0.053625257613770946,13.801263420021842,0.16090621634066338,0.6883235524170701,0.9987561971329125,822.8 -> 551.8,TAG1,2162946.32812481,2392597.60058695,2095806.8886719,2655176.5214848,2780699.9140631,2341530.3417967,2313575.2421874,2863594.9023445,2583077.771485,2546336.0898432,927480.061664605
TAG(48:1)_FA 18:1,0.014726050765578333,11.7130596649841,0.012133977068742752,0.91228697882005,0.9987561971329125,822.8 -> 523.8,TAG1,504815.75537112,563308.02050786,483681.39355483,589165.76025379,662909.60693353,566506.5576174,531526.19824224,724338.8925784,590327.14599622,603926.48632799,219186.134483368
TAG(48:1)_FA18:0,-0.034260440484011605,10.690237777335382,0.06567069474021991,0.7977478110723822,0.9987561971329125,822.8 -> 521.8,TAG1,243433.38061517,272662.67944329,227438.07592777,290688.41943366,309598.44213872,271072.69824221,262825.77880855,376282.26733419,293135.88232412,292601.25830084,116301.388069129
TAG(48:2)_F A18:0,0.0631217991115828,8.929691560743972,0.22281657132680266,0.6369021618350831,0.9987561971329125,820.8 -> 519.8,TAG1,78792.045715318,81336.045593256,74042.86511233,84030.185913094,86087.226135256,95688.226562514,70867.045166,93797.34631349,83744.28540038,79425.525817879,37257.4428329356
TAG(48:2)_FA 16:0,-0.12693525741127426,10.625933644921204,0.901193618824891,0.3424618596009012,0.9987561971329125,820.8 -> 547.8,TAG1,222255.39624023,242104.33715824,223848.4155274,270530.03833007,302985.68359392,273721.53955093,250454.23754885,394487.30566416,301300.821045,278237.34008808,99298.4867210266
TAG(48:2)_FA 16:1,-0.12347136534629242,12.407837705293096,0.8527974358801202,0.355762159477365,0.9987561971329125,820.8 -> 549.8,TAG1,747404.99169919,850539.27734385,753684.3134766,924221.7822264,1093157.04003901,873757.9033205,936510.34375,1406220.10644525,1016398.59570316,923575.24316432,328307.063114007
TAG(48:2)_FA 18:1,-0.02500647405820128,10.747915694810372,0.034986348639449716,0.8516242678507904,0.9987561971329125,820.8 -> 521.8,TAG1,246780.5964356,289535.25976573,240214.21752927,294919.45971686,340441.60205087,286216.19775399,270437.7585449,388569.50903344,311538.70214847,303871.04345712,116155.88825987
TAG(48:2)_FA 18:2,0.007063162997751973,12.349202610683115,0.002791542951285919,0.9578633312906181,0.9987561971329125,820.8 -> 523.8,TAG2,847450.17456065,882079.520618554,833324.2978515,954239.282405809,1134552.65641027,921505.25488274,908282.6894532,1108058.86408601,1046144.21289064,1041209.2431642,137061.889263191
TAG(48:3)_FA 16:1,-0.13314132801083078,10.64295022081904,0.9914387548672039,0.3193909843122825,0.9987561971329125,818.8 -> 547.8,TAG1,225761.2758789,246531.2004394,223931.39624028,270847.66064445,301836.36084005,275297.55883793,256230.7155762,403323.86962897,307544.38354488,271089.47753913,103614.34692002
TAG(48:3)_FA 18:0,-0.1478282091192291,8.069791420350967,1.221056594823338,0.26915339450024595,0.9987561971329125,818.8 -> 517.8,TAG1,42747.703063951,36751.122314446,40387.562988266,44200.662811262,37083.382812488,49526.363525423,40605.982696524,46572.163391092,66255.684753424,41737.822753914,24001.2416534555
TAG(48:3)_FA 18:1,0.004020232879586125,8.955225161522169,9.039192977979837e-4,0.9760150141441148,0.9987561971329125,818.8 -> 519.8,TAG1,77796.26538086,77734.065307604,76951.80529783,85507.14636233,85202.10546873,95504.22601316,74121.965576182,99008.686950704,84628.125488279,86500.56604003,37941.4027595653
TAG(48:3)_FA 18:2,-0.1284748717122152,11.164397049827146,0.9232351689345251,0.3366269539065856,0.9987561971329125,818.8 -> 521.8,TAG2,344299.065612714,386934.407577473,342552.60546876,385145.364887105,485173.25244118,427600.27050748,422711.33398432,529222.793868991,470000.37304701,456142.05078119,65438.1047172306
TAG(50:0)_FA 16:0,0.054252012510265436,13.10655341481343,0.16468733230885846,0.6848771619835927,0.9987561971329125,852.8 -> 579.8,TAG1,1321167.59765625,1559859.45654319,1315076.9218752,1633899.8183591,1684410.580078,1523997.5341797,1444600.3427734,1682116.2714845,1606754.1796876,1609894.4746093,539857.440094213
TAG(50:0)_FA 16:1,0.04933834563809925,9.862389068038135,0.13617205688387912,0.712116557697932,0.9987561971329125,852.8 -> 581.8,TAG1,147818.17041014,157573.63110353,136783.64904785,162682.41101074,167832.83276368,179119.31274408,147603.91027832,169256.93164065,161708.17211914,157014.81201175,68583.3246917907
TAG(50:1)_FA 18:0,0.07840466217043682,13.351508043437365,0.3439429801182996,0.5575620532904257,0.9987561971329125,852.8 -> 551.8,TAG1,1725981.4794923,1846840.953125,1455165.8730467,1905586.4121094,2029986.7460939,1784683.1074219,1681847.0976566,2057831.6855469,1827276.9277345,1881848.4628906,647376.766327092
TAG(50:1)_FA 18:1,0.054755778954965806,10.128543481298433,0.1677241596605512,0.6821423900965141,0.9987561971329125,852.8 -> 553.8,TAG1,176340.33251953,194503.15515136,167742.13134765,193478.17260742,201883.11474607,200872.17456053,174021.17309569,211919.89501954,195708.41430663,198396.85400391,80324.4463043388
TAG(50:1)_FA 18:2,-0.013395237845426773,8.094363188438884,0.010031350703428643,0.9202199763896416,0.9987561971329125,852.8 -> 555.8,TAG2,37305.282897949,44002.1432304322,56363.564453132,45308.262958519,53256.523986848,57059.684112528,44894.902954099,47923.0832633905,58588.083801252,52068.18334962,10418.7607460057
TAG(50:2)_FA 16:0,0.02408485924354749,13.610756366684837,0.03245944307127502,0.8570230002091612,0.9987561971329125,850.8 -> 577.8,TAG1,1904350.5859376,2131115.31005862,1796477.5527344,2222546.6445313,2428004.4726563,2040163.71386711,2109899.1640624,2578141.7480459,2207921.3291016,2253781.9042974,812698.03676604
TAG(50:2)_FA 16:1,0.038360525375915,13.188613032089807,0.08234003773031873,0.7741509583450777,0.9987561971329125,850.8 -> 579.8,TAG1,1423556.64941402,1600098.74853506,1373168.2539065,1713683.5888673,1778990.65625,1614381.6601561,1533331.1103514,1829167.2499999,1700126.175781,1675228.9677731,585730.282188337
TAG(50:2)_FA 18:0,0.00930956435306556,12.156938431133979,0.004849529272178188,0.9444813436500589,0.9987561971329125,850.8 -> 549.8,TAG1,689054.56835931,755035.86645484,633409.69970713,812902.47705062,913274.07031229,748995.894531,734885.93017562,991783.9521485,817370.79296877,809208.95117176,302219.761260914
TAG(50:2)_FA 18:1,0.06489467989247809,13.950591875004012,0.23563587827811738,0.6273760361183004,0.9987561971329125,850.8 -> 551.8,TAG1,2441141.5371074,2759253.9374999,2287028.9023444,2941659.382812,3017002.7207036,2636326.7050781,2620439.5800785,3081717.8554683,2792593.7050781,2833227.9335907,1029334.5303763
TAG(50:2)_FA 18:2,-0.025813137991782184,10.39066379982962,0.03727867539339513,0.846898771618182,0.9987561971329125,850.8 -> 553.8,TAG2,207741.694335915,232870.316448343,212043.45434569,240453.39751811,270523.037982855,238841.79638669,231241.41674801,269463.855560392,271528.97753911,276622.65991206,47583.7829627817
TAG(50:3)_FA 16:0,-0.10237918139738404,11.86858771466902,0.5863652838233975,0.4438280928218605,0.9987561971329125,848.8 -> 575.8,TAG1,568706.54199198,583736.70092778,521930.81689412,633151.10791042,697738.58789064,630460.8022461,614472.06249998,876954.09912108,692785.53124996,694386.64941399,236530.456802383
TAG(50:3)_FA 16:1,0.007045027064665698,13.668521555797179,0.002777303428047162,0.9579708375173673,0.9987561971329125,848.8 -> 577.8,TAG1,1944127.70849616,2218382.91943211,1874371.798828,2308602.0166021,2513411.4394536,2154401.85644515,2147105.4687502,2735286.2460917,2348398.8242188,2352313.578125,838448.87660994
TAG(50:3)_FA 18:0,-0.0023933095257036214,10.246710923614332,3.204559784535377e-4,0.9857176044810468,0.9987561971329125,848.8 -> 547.8,TAG1,196483.4350586,192093.39257812,175614.69360352,208368.73339843,229294.33593746,208439.77465818,190946.01171877,266236.86010751,216068.21704103,211440.87609867,82758.6460533064
TAG(50:3)_FA 18:1,-0.012119810164046478,12.483882014367373,0.008219346633268287,0.9277622684788622,0.9987561971329125,848.8 -> 549.8,TAG1,840437.80126973,964516.47241169,806625.45507811,1003513.62988286,1145851.824219,940939.78027322,931678.2216795,1311736.7578123,1013654.01953115,1013463.633789,362208.986549169
TAG(50:3)_FA 18:2,0.03331359866488335,14.274055638522631,0.0621005048196821,0.8032062892189463,0.9987561971329125,848.8 -> 551.8,TAG2,3285147.21093605,3554196.41038505,3089633.1425761,3733628.44052951,4132040.29219115,3477121.9736318,3514505.4257818,4050463.14672034,3858502.6464829,3982547.7558594,526914.918399933
TAG(50:4)_FA 16:1,-0.10641355848821292,11.92864786570624,0.6334800754084426,0.4260816655008008,0.9987561971329125,846.8 -> 575.8,TAG1,575230.3427733,619364.94702152,530144.31542996,669996.38378901,750720.99121089,657618.60498056,658824.96484367,921760.00683609,726110.33691385,712187.76806638,237597.778053299
TAG(50:4)_FA 18:1,-0.05753761311787666,10.565475215347249,0.18521028040731835,0.666933322236574,0.9987561971329125,846.8 -> 547.8,TAG1,228705.83715825,242171.03833014,210604.79394536,264773.13867189,287552.56152343,270156.71997082,248282.57690427,338526.00463888,272974.93896491,266415.01928722,98864.6274986616
TAG(50:4)_FA 18:2,-0.06777067325927039,12.837350629909867,0.2569780091580469,0.6122039460686132,0.9987561971329125,846.8 -> 549.8,TAG2,1133938.57788093,1255041.99233602,1128233.004883,1238393.28096009,1603084.03988627,1272761.1884768,1298756.0947267,1678666.01097884,1505931.3232425,1473703.041016,192816.451930992
TAG(52:0)_FA 16:0,0.09441082910900198,12.090836315048174,0.4986627571995542,0.4800882850664806,0.9987561971329125,880.8 -> 607.8,TAG1,675404.3676756,774291.95214837,678278.04785168,847084.8193353,806544.48144555,793112.39941388,711339.61230454,781131.01660162,808815.57910157,762704.47314453,254866.057971974
TAG(52:0)_FA 16:1,0.04924262306366447,9.430921955876663,0.1356298981323789,0.7126647273176073,0.9987561971329125,880.8 -> 609.8,TAG1,111713.20764159,115215.82922366,103240.52685547,120144.86767577,117013.70776368,139037.97009275,108356.68725583,120405.56762696,119906.02868654,111884.9083252,53978.3642921613
