lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,7E1,7E2,7E3,7E4,7E5,7C1,7C2,7C3,7C4,7C5,SolventBlank1
TAG(54:7)_FA 18:0,1.22319500186429,13.715770771239127,26.535084494782495,2.587951076839753e-7,7.986588936792719e-5,894.8 -> 593.8,TAG1,3730023.0371094,3187684.7460948,8233573.6230468,8186655.3964854,9644948.9160157,3327876.8134756,3308954.32519427,2676262.3300766,2906161.86376938,3925532.05761868,134701.929088588
TAG(54:8)_FA 18:1,1.201168766056916,13.896096848436056,25.613762470311485,4.170542525740323e-7,7.986588936792719e-5,892.7 -> 593.7,TAG1,4321425.2851562,3760610.9482421,9050857.3398437,9130179.5517579,10731671.2226563,3855747.5175786,3690018.55956932,3058654.2304698,3439532.3955067,4343572.0625,246256.217716243
TAG(56:7)_FA 18:0,1.1519107867035636,11.02473205914875,23.607210148431474,1.1814400191108123e-6,1.5083050910648038e-4,922.8 -> 621.8,TAG1,599192.26416034,557966.17822225,1078189.13623039,1308027.96826216,1248369.04785183,527463.09863275,476231.5732422,458934.97021463,488258.55590801,536879.69824219,101143.126575444
TAG(54:8)_FA 18:0,1.1255523442629498,13.044382192271446,22.565203562597162,2.0313058547159743e-6,1.9449753558905454e-4,892.7 -> 591.696,TAG1,2583943.3222662,2352050.7216798,4753219.9511714,4703311.8242188,5272403.7363276,2310894.8613287,1970244.9658204,1792870.0351565,1897992.2861314,2300983.5605469,394651.088470582
TAG(58:7)_FA 18:0,1.0980732624466196,11.061522026216169,21.501433970796825,3.5356417715740297e-6,2.708301597025707e-4,950.8 -> 649.8,TAG1,670109.4101561,664345.14404295,934936.20068324,1490538.1660157,1040370.2963871,553038.28027313,481779.91406272,551130.15820325,535466.21972625,495616.9960936,109017.167751314
TAG(54:7)_FA 16:0,1.079460554072523,11.034069138591574,20.794719841287584,5.112371870875301e-6,2.799278840354541e-4,894.8 -> 621.8,TAG1,614938.0283204,588786.74218744,1060292.49462863,1265153.15136699,1192902.54052698,568330.91992183,511154.22143527,499558.23681645,513245.20068359,480943.85498028,119203.748825101
TAG(54:8)_FA 16:1,1.0794213987375105,11.206272040707082,20.793295512798064,5.116175426235454e-6,2.799278840354541e-4,892.7 -> 621.7,TAG1,708442.27099617,711374.00927721,1153057.77978535,1432873.55859395,1315050.0351562,655374.44726574,577515.06005878,569214.70410136,579996.84130835,521198.2177734,134845.109466512
TAG(56:7)_FA 16:0,1.0631691174678974,11.050838430216956,20.18520741627617,7.029442614598341e-6,2.991418357101294e-4,922.8 -> 649.8,TAG1,692162.26806649,685210.40429673,891544.42138651,1401114.53662075,1049390.7348632,582047.78027366,497662.95703109,551128.37792968,541706.13720751,455154.89160142,121532.529281592
TAG(56:8)_FA 16:1,1.0647589815548322,11.07144224068471,20.244321842488716,6.81554481204601e-6,2.991418357101294e-4,920.8 -> 649.796,TAG1,697711.1660158,699442.27197266,916185.44580063,1446378.51757813,1019403.71386731,589828.80566393,497422.37695285,560807.41796851,554159.03857402,458658.23046899,125655.708358793
TAG(56:8)_FA 18:0,0.763663239450123,11.59124287237249,10.524930752759246,0.001177748253531339,0.045107758110250286,920.8 -> 619.8,TAG1,958546.3085936,970953.8339842,1247912.2011719,1459160.5498045,1443382.41552734,940350.1650394,774906.1386718,801213.6572263,768436.1318359,787434.1767577,368462.086517462
TAG(48:3)_FA 18:0,0.7191355662680791,8.372346870088876,9.344292072345525,0.0022368104125833903,0.07652693335774334,818.8 -> 517.8,TAG1,110481.006896926,85332.825744646,109383.086731014,108143.706603958,273079.737914869,109745.487701417,80061.585510245,88702.886291515,83841.105590818,110814.507629435,24001.2416534555
TAG(56:8)_FA 18:1,0.7141339535568467,10.714577999298275,9.217053887427028,0.0023977107057256398,0.07652693335774334,920.8 -> 621.8,TAG2,605457.22021476,512461.51904282,1019718.01757822,640889.53979492,972968.89501954,581248.59912137,411602.21167001,506708.43701184,562749.34277338,458166.33349589,51237.3835716132
TAG(60:4)_FA 20:4,-0.679348413357801,10.86929269406217,8.34895756795595,0.0038590867119811024,0.11369463159144325,984.9 -> 663.9,TAG2,821987.974791858,610937.887615043,669141.305606886,177740.71136858,573337.862121458,1633068.92651359,540249.222259517,1342358.92150888,874009.544189952,499224.63574205,18283.8613014209
TAG(52:6)_FA 18:2,-0.6475351078409821,9.30112403096177,7.5912888431223555,0.005865100408219263,0.1456783763119233,868.7 -> 571.7,TAG2,283443.919944812,200378.753604943,247852.357170206,86222.386352524,146067.809959431,439131.950927668,224258.336227356,317799.502258301,329105.082397451,262009.736824097,11992.580867763
TAG(58:8)_FA 18:1,0.6446538557002937,10.76888781056774,7.524726089983233,0.00608578073365737,0.1456783763119233,948.8 -> 649.8,TAG2,671280.72998027,585569.97802758,895941.28222664,791480.091213179,826154.63769569,614745.59960934,425457.41235349,592736.00439421,614255.14257814,444478.27148453,57686.3240394723
TAG(58:9)_FA 18:2,0.6541398711350394,10.779617749488237,7.745932005993382,0.00538336699487609,0.1456783763119233,946.8 -> 649.8,TAG2,687194.77050778,583986.72314474,898766.2612306,772638.102462781,867842.99096706,616178.7797854,431778.03027308,614100.28125001,606007.92333995,431196.43017593,60003.024066935
TAG(48:3)_FA 16:1,0.6013034365208224,12.80615159312462,6.553822544330615,0.01046590725784116,0.23579073410312731,818.8 -> 547.8,TAG1,4194569.08837783,6503247.99511672,3347313.49902301,1843020.71289118,1158888.50805659,5286925.65209909,2570890.41748043,1921877.55859354,1696320.97070332,682324.13403292,103614.34692002
TAG(52:5)_FA 18:2,-0.5773052635000756,11.112686739048115,6.044428132378016,0.013950250807193936,0.27472075933794116,870.8 -> 573.8,TAG2,999987.641174272,758096.148582547,834292.10174174,251338.07958987,657095.910400403,1786790.36071734,777786.693401269,1176661.81567372,1244167.57019088,532327.598377134,31843.4821014308
TAG(52:6)_FA 18:0,0.5749495288130863,8.964527017164354,5.995092169924648,0.014345731558117032,0.27472075933794116,868.7 -> 567.7,TAG1,164914.9108887,150203.03063967,229414.29675285,227233.27661134,215153.29687499,175375.93164062,130497.35009765,123506.088073739,129583.05004884,187199.09399415,42313.922836326
TAG(58:8)_FA 18:0,0.5814973542048335,11.76797058795381,6.131967305333092,0.013275906563606922,0.27472075933794116,948.8 -> 647.8,TAG1,1171323.86230492,1185692.482422,1241978.1445314,1545431.0781249,1382980.96191416,1096447.59423855,967317.60595679,1023876.29687502,907298.00390612,919078.5214847,445472.271652397
TAG(48:2)_FA 16:0,0.5507731376545051,12.701795936688969,5.504925699875457,0.018962985841293703,0.2840583174717986,820.8 -> 547.8,TAG1,3810367.74633757,6002630.20288081,3015742.10522513,1686410.66845692,1100217.93847648,5000377.71923974,2422303.03002889,1828332.67968748,1610490.47436486,679213.77221668,99298.4867210266
TAG(52:0)_FA 16:1,0.5439078141662947,9.042538632878788,5.3689115876477445,0.020498764770653793,0.2840583174717986,880.8 -> 609.8,TAG1,170645.0114746,172437.83325195,260387.31848163,246889.13696287,167031.93066406,187058.69201661,139872.34973146,136826.28955076,132233.85046387,186412.39270023,53978.3642921613
TAG(54:4)_FA 16:0,0.547582304275349,8.305743840162037,5.440944622121153,0.019670028857146058,0.2840583174717986,900.8 -> 627.8,TAG1,253004.73754884,101600.42749024,87878.44580076,102631.44616698,77679.805908202,101745.10681152,79532.90588378,86572.225830084,79828.565185523,101394.40686038,42685.2229461861
TAG(54:5)_FA 16:1,0.5524428926781492,8.316438221566111,5.537387807072266,0.018614347824860305,0.2840583174717986,898.8 -> 627.8,TAG1,257654.27819827,98838.68627928,88846.28576659,111527.92687989,72535.28533937,97635.52746579,84657.14599612,89903.5456543,80546.64556885,99684.62719726,41538.8828811646
TAG(54:6)_FA 18:2,-0.5555071324585386,13.808541177126422,5.599401708575897,0.01796661204968205,0.2840583174717986,896.8 -> 599.8,TAG2,6423861.07177574,5561885.65136768,5486325.2578115,2000234.11230393,3652851.16552751,10829366.0766597,5440303.73964265,7841742.77343749,6514552.71631,5166999.61750412,49018.9637031496
TAG(54:8)_FA 18:2,-0.5477582896456351,11.655820746229685,5.445145110279555,0.01962278484030725,0.2840583174717986,892.7 -> 595.7,TAG2,1154033.69580063,1111840.91650392,1168145.82080056,454344.66870112,1181483.80267726,2129586.06689451,1254590.08479603,1639204.03369245,1694462.00561557,1160458.30785351,28311.9222869785
TAG(56:4)_FA 18:0,0.5522106509955288,7.967327383531915,5.532541774302272,0.018665970059812086,0.2840583174717986,928.8 -> 627.8,TAG1,190341.9344482,76160.945739783,68614.36486816,93187.146972645,61695.764160157,78486.965759288,63160.20434569,69529.3250122,61871.224365265,83793.04650881,32154.7420997508
TAG(56:4)_FA 20:0,-0.5427363438067228,10.587136414393843,5.346268738132492,0.02076666550707666,0.2840583174717986,928.8 -> 599.8,TAG2,763190.45129392,517016.63732919,493403.63464362,200818.45356368,482897.09313949,1482002.98010279,430739.5678712,929378.65295417,632204.60705593,437374.27392579,17372.4612045299
TAG(60:4)_FA 18:1,-0.5273527897562312,8.286827571053633,5.048612457389934,0.024645666993116155,0.3254927744263272,984.9 -> 685.896,TAG2,142503.271213544,92124.5265312116,153997.311481403,34592.3025093314,72205.065490698,146027.190002466,88918.465637199,159485.072448709,105843.787292484,221174.014221201,13406.9610061679
TAG(54:7)_FA 18:2,-0.5238118300829337,12.394350076639482,4.982010795763927,0.025612197461309157,0.32698238758938025,894.8 -> 597.8,TAG2,2397393.55834965,2023072.55773925,2047753.18566685,713686.22424308,1582586.59057566,4049002.52246029,2139943.89965722,3141957.13281305,2229017.11486652,1773316.6703144,18437.1013107249
TAG(56:8)_FA 20:4,-0.5030067783141571,10.908015936143917,4.5959957866525665,0.03204672154107979,0.3884950135456133,920.8 -> 599.8,TAG2,937303.52734379,647877.44775379,622943.18505863,287542.6630859,584767.45751951,1685165.99560422,517567.51672367,982107.66601534,741477.15063462,820951.45898456,35006.0027313231
TAG(58:6)_FA 18:0,0.5018346595438535,8.235590635333871,4.574083041583435,0.03245911340328884,0.3884950135456133,952.8 -> 651.8,TAG1,103725.44714355,94056.04614258,118652.768127465,134888.509582492,97095.966857922,91437.70629882,70952.90478513,82854.405029262,73453.425292953,115221.508117696,41012.1831970717
