lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,42E1,42E2,42E3,42E4,42E5,42C1,42C2,42C3,42C4,42C5,SolventBlank1
PE (22:6),3.0961769535998362,1.5814814182010706,135.2228969050929,2.951084144314248e-31,3.9072354070720646e-28,526.2929 -> 385.2929,PE,10610.9807701125,13347.500885012,16233.7812347377,19109.0014915527,21690.0414924645,1882.440155029,1699.8201141354,1913.5001564025,1882.3401412964,2309.4601783743,16873.0810317968
C26:0,-2.729559076270277,7.500101144097564,108.68816204696847,1.8993571369463977e-25,1.2573744246585153e-22,395.3 -> 395.3,FFA,562009.817436325,114081.807910837,13528.0609626735,12840.900878903,13404.6409378055,996143.80401605,1030168.09349059,896779.310211129,1012777.99572741,1261017.13241625,911496.486236535
Lyso_PE(22:6),2.2680516037435625,0.7652569354722962,77.55670392478632,1.2896634235028771e-18,5.691714575726031e-16,526.2855 -> 384.2855,PE,5893.5603828428,7885.7405700674,8926.2606086718,10551.6808357238,11856.6408996542,2077.9601593011,1688.6401290892,1896.3201179507,1796.9001235963,2135.3801536553,8687.4006538368
PG (20:0),-2.1218074929480686,1.5064295499582607,68.60100907063844,1.205424127331997e-16,3.98995386146891e-14,572.3294 -> 383.3294,PG,2294.4201812748,1712.8201103206,2028.8801498418,1763.1601142881,2095.0201454155,22381.4010429441,14850.1213073683,2764.2001380916,3517.90025711,2617.8001937878,25583.5016174507
Lyso_PE(22:5),1.9918530925349118,0.91037447612562294,61.0437062594029,5.582168805831923e-15,1.4781582997842933e-12,528.3012 -> 386.3012,PE,9787.1006622279,10076.2207107536,9643.7606315608,12114.9007453888,9871.8006629941,1648.8001136779,1923.4201316826,2771.1402015684,3515.1002311718,3283.3202247599,8318.9605941758
PG (42:8),1.8940802876957359,5.036901509453833,55.69910741849708,8.445661888350518e-14,1.8636760566960142e-11,864.5485 -> 675.5485,PG,292458.601227815,147267.491973984,245183.039429214,475952.343994156,62549.024185123,172667.010299602,49084.843566907,36819.862335205,45123.922515869,46008.943359372,19360.361404411
PGo (42:1),1.8651791937065763,5.041600134703137,54.11413883921341,1.8917511848872303e-13,3.578112241129561e-11,864.6788 -> 675.6788,PG,346468.195678711,144907.58908078,229252.83282469,434373.261077874,58518.70451354,191705.475296047,45425.26339723,36310.662475567,41302.143402107,42846.762786876,20106.421447758
PG (22:6),1.83719827140708,0.9168899176085623,52.38321940569375,4.566089750358571e-13,7.556878536843434e-11,574.2875 -> 385.2875,PG,1796.9801292419,1501.6001091002,2086.7801513664,8766.8406181318,15763.4611511186,1746.8201370238,1703.7001380918,1719.32012558,1726.660129547,1798.7601242058,16014.8812255813
PE (22:4),1.6028033975763283,2.3931309342183367,40.57591093899714,1.8912390686543837e-10,2.7822228076648934e-8,530.3242 -> 389.3242,PE,25394.8818969724,30307.9216079669,29629.0619964668,22255.8615341216,22465.8817634585,8286.320655822,7375.0205078122,8488.1005287219,7363.9405059818,12284.0608215305,25524.8219452221
PE (16:0),-1.5026427924643808,9.142582112183499,35.89647739408247,2.0808458307882387e-9,2.755039879963628e-7,454.2929 -> 313.2929,PE,1155163.1896971,873316.24401886,1891821.58136042,1895044.88037254,1455591.69360406,3987268.05810533,4544410.05493261,4469987.36523418,3432261.76196366,4596953.04199228,25916.781738288
