lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,7E1,7E2,7E3,7E4,7E5,42C1,42C2,42C3,42C4,42C5,SolventBlank1
PE (21:0),-2.3524065567216623,1.2515531442618797,72.5256444051514,1.648755047157086e-17,2.1829516824359818e-14,524.3348 -> 383.3348,PE,1997.7801208495,2194.0201606752,1922.4801368703,1725.0001258849,1845.1401367195,18291.0812187305,14824.5613365279,10935.4008674643,2102.9401397695,2315.1601600651,13423.3210258457
PI (32:2),2.2009039062558053,9.171321057841888,64.37956759864755,1.026168200677928e-15,6.793233488487883e-13,824.5019 -> 547.5019,PI,4784101.44702095,8559753.96337908,4356729.08398453,2757143.96215768,2850229.25488292,548096.659057618,992791.65478508,786989.48925849,346933.702819882,2267152.60998494,45658.303405737
PI (30:2),2.1594147865795654,7.959442646466013,62.16072202984833,3.1653886905608854e-15,1.3969915421008706e-12,796.4706 -> 519.4706,PI,1940805.91809024,3483473.18273881,1680568.42407225,1161423.21740716,1360748.54138146,225559.457366943,459182.010803235,354910.324096868,132858.628997793,931015.401672169,123507.527252148
PI (30:1),2.0082218786153763,11.932101340373688,54.33427787472923,1.6912574540620118e-13,5.598062172945259e-11,798.4863 -> 521.4863,PI,33197249.7011718,55593732.0585937,28621899.0996093,18173608.0292952,19067071.1513681,3707440.20947256,7277180.45507807,4836764.65869201,1763390.11865215,20061042.8032231,116374.388794
TAG(48:3)_FA 16:1,1.9550334658390527,8.777807328242629,51.67956467046587,6.533929610972323e-13,1.7301845609854712e-10,818.8 -> 547.8,TAG1,4194569.08837783,6503247.99511672,3347313.49902301,1843020.71289118,1158888.50805659,810728.74194346,705409.63793933,571566.94287099,823069.58056658006,1322538.75219727,103614.34692002
PI (28:1),1.9346510010685152,10.955862081508478,50.6768079182544,1.0889879741829823e-12,2.4030334630304474e-10,770.455 -> 493.455,PI,16045781.4221192,28249946.5297857,13541546.9208982,9325581.11132913,10623849.9262691,2008902.07031261,4053804.51708939,2492658.58959969,1038563.48315447,10344602.9135738,49804.423522954
PI (32:1),1.9098754045733972,11.127609958101932,49.4682607840447,2.0160718036709106e-12,3.8132558115146935e-10,826.5176 -> 549.5176,PI,18306513.6552739,31202988.8710943,16928445.6494147,10512023.6679686,10220969.3535161,2432979.3886725,4397003.1821295,3498253.32324165,1396346.87377926,10916797.4003902,111841.8876953
TAG(48:2)_FA 16:0,1.8807320385288606,8.667734695245962,48.06149881130477,4.130581189669442e-12,6.836111868902927e-10,820.8 -> 547.8,TAG1,3810367.74633757,6002630.20288081,3015742.10522513,1686410.66845692,1100217.93847648,767156.63378936,669540.15405247,577576.57714834,806801.73486313,1258520.63549799,99298.4867210266
PI (28:0),1.857947317492988,11.490380298489292,46.9738135148915,7.194153196000393e-12,1.058339870167169e-9,772.4706 -> 495.4706,PI,23264007.6650391,40063899.8984371,20330968.5761714,13791103.5800782,13981100.9238272,3140654.04785149,5767937.66455029,3799178.41845716,1416679.42504879,15978527.9331056,86343.125915511
PI (30:0),1.8344915453636794,10.969059096694437,45.864275524957876,1.2673619419751485e-11,1.6779872111750968e-9,800.5019 -> 523.5019,PI,15932461.531738,26388724.8735346,14378189.0048833,9996200.1914062,10211792.8935553,2243809.05493159,3991725.76855533,2941483.59375004,1166262.64440923,10779626.350586,151462.99133294
PG (20:0),-1.8153306914385188,1.788811770603199,44.858088753490904,2.1184395262730078e-11,2.5498308479867838e-9,572.3294 -> 383.3294,PG,3286.8201866142,2023.4201469426,2322.7001686101,2934.5402030944,2633.3801727293,22381.4010429441,14850.1213073683,2764.2001380916,3517.90025711,2617.8001937878,25583.5016174507
TAG(48:2)_FA 16:1,1.791946734072647,10.76015296369682,43.87986660271242,3.491621656143653e-11,3.85242256061183e-9,820.8 -> 549.8,TAG1,16576652.2343745,24413979.3154297,13377309.63379,7362668.7412104,4253583.1601567,3465546.757813,2847617.373047,2467957.6767577,3214434.040039,6380021.9833981,328307.063114007
PE (22:6),1.7502500981147067,1.235851808255533,41.8309108103599,9.951762802043142e-11,1.0135487653773168e-8,526.2929 -> 385.2929,PE,3119.2602081302,5142.2604026779,6618.9804115296,9378.8808097854,8708.860607147,1882.440155029,1699.8201141354,1913.5001564025,1882.3401412964,2309.4601783743,16873.0810317968
TAG(48:1)_FA 16:0,1.731780358228583,10.627952185481934,41.13605779807284,1.4199251017720156e-10,1.304304282565368e-8,822.8 -> 549.8,TAG1,15339431.7519531,21552739.101562,11859766.9892578,6948274.7978511,3867669.6464839,3220130.96972714,2904919.2392569,2316847.133789,3036305.7832025,5820874.37304666,318746.301387571
TAG(48:3)_FA 18:2,1.7300484958839077,9.865274111389596,41.05812478874578,1.477686120731157e-10,1.304304282565368e-8,818.8 -> 521.8,TAG2,11681862.511292,10583775.4407654,9146622.01049131,1442213.79370123,2337791.94189526,1699189.26820713,1600280.36621148,1785278.60498038,2148555.958225,3041565.83256126,65438.1047172306
PI (26:0),1.7233436810406824,10.71058894349922,40.75725806554555,1.723620694553294e-10,1.4262961247428509e-8,744.4393 -> 467.4393,PI,13136665.089355,21982786.4282228,10829045.2285151,8245885.33837955,9173369.60546888,2112607.76391653,3820949.04882853,2380337.84741211,1040936.43688983,9465468.30981446,69812.024841298
PI (28:2),1.6621011568700002,5.337505262273429,38.04918225006986,6.898361753953186e-10,5.372606448372951e-8,768.4393 -> 491.4393,PI,299656.020751868,481277.012603647,251837.982086182,189758.233001712,216394.596496566,54818.9842643952,106456.788909921,80699.885772598,25880.381935126,176460.033935598,23780.661758422
PI (32:0),1.5783431964237031,9.311094202604078,34.48095530154205,4.3044238598909356e-9,3.166142883608666e-7,828.5332 -> 551.5332,PI,4263008.38085876,6646264.29980519,4425497.97167916,4221166.80664116,3141562.40332159,961352.87866175,1521404.65771495,1439517.76367192,447701.07348681,3054362.76269539,238392.91748056
TAG(50:4)_FA 18:1,1.5109752983323161,7.837575806180375,31.719419527725222,1.7813209372429146e-8,1.2412994320576943e-6,846.8 -> 547.8,TAG1,1987621.29882809,2802705.54247992,1594841.58105507,1012993.78710935,699505.14868167,534584.50268569,483777.33325205,429660.61059582,538823.716797,753405.53759749,98864.6274986616
C18:2,1.4593812183830188,11.518731569994298,29.67341522289668,5.1131253044069835e-8,3.384888951517423e-6,279.3 -> 279.3,FFA,13216096.81012,15486277.7881463,8195627.82427966,67060141.0630486,3154438.01293946,6342168.26477046,7904090.26123013,7318190.70141601,6757117.37884476,8600035.96328728,446813.713134713
PI (24:0),1.447444892031519,7.731376952363066,29.208213720197826,6.500306066069812e-8,3.8651584530976805e-6,716.408 -> 439.408,PI,1518624.26049822,2564916.81494101,1247745.45007326,1051692.10693372,1157022.25500486,282370.400085424,577791.986083969,371858.4680175,101866.266647361,1380146.5758055,45042.583435058
PI (26:1),1.4458234179941882,8.212392859439953,29.145428333198655,6.7143991254718e-8,3.8651584530976805e-6,742.4237 -> 465.4237,PI,2115440.4621574,3480867.61962843,1704180.64453094,1434989.30297847,1878853.70556708,453858.839386029,852140.014648265,571147.64318786,224881.654220658,1725855.53381299,22522.461471559
TAG(50:4)_FA 18:2,1.449340433976205,9.878770941948831,29.28211519739125,6.257054379079927e-8,3.8651584530976805e-6,846.8 -> 549.8,TAG2,10823322.9643785,9983714.33195433,8936187.62867368,1447366.68408243,2226823.99863383,2158224.69695601,1858989.98855602,2057536.91617597,2560126.46543193,3217146.30363403,192816.451930992
C20:0,1.4190126257743425,11.706292918408622,28.114381780904402,1.1435292426515405e-7,6.308469655294332e-6,311.3 -> 311.3,FFA,9355695.3831788,8099883.50268557,6967781.80004888,50481007.0273447,34962826.9877934,7570877.23681583,8564284.37182618,7149255.78320307,7208316.84167492,10145692.4155273,2580457.12304688
TAG(50:3)_FA 18:1,1.3802909532953775,9.724399278468137,26.654097443664796,2.433342089167958e-7,1.2886979704233507e-5,848.8 -> 549.8,TAG1,7432279.476562,9856599.8291015,5805706.8486327,3832134.8037123,2322969.6972664,2112331.8818363,1908330.0712888,1630332.6718754,1956372.7050775,3239787.4365236,362208.986549169
"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",1.3667908677581748,4.09096197019408,26.14854934933919,3.161345200060051e-7,1.6098542480305798e-5,684.6471 -> 369.1,CE,299552.961639585,64652.104614242,45065.5431366009,69548.584800729,62041.6844558688,35035.3223686075,37962.982978827,35553.4625091448,55837.7834434452,38007.8225250311,21200.5014762868
PGo (42:1),1.3497715064400089,4.817356363476314,25.52519972863547,4.3664253278632297e-7,2.141165605218858e-5,864.6788 -> 675.6788,PG,189736.753601064,268239.377047484,59073.424377412,48454.863372802,350415.870056168,191705.475296047,45425.26339723,36310.662475567,41302.143402107,42846.762786876,20106.421447758
TAG(48:2)_FA 18:1,1.3458941515421599,8.655609866533107,25.386138645160827,4.6927800059264495e-7,2.2190145456595068e-5,820.8 -> 521.8,TAG1,3334289.20654245,4992539.19165096,2760754.97949187,1828801.02807564,1124111.56127929,994560.58642582,939866.41455011,723368.54809569,1077485.02636665,1594343.70678715,116155.88825987
18:0 Campesteryl ester,1.3425346016480608,4.0682856360532265,25.259414715501407,5.011434956325394e-7,2.287979269715456e-5,684.6315 -> 369.1,CE,296364.040252831,64413.024551392,44385.8429641705,72084.125373834,59905.744438167,37836.0026245134,38083.4026450984,33685.1225051851,56562.7040557864,38273.6427726673,18627.7413063037
C22:0,1.2426576828957774,11.333564910986443,21.74922968221987,3.1071460094792574e-6,1.3712871055168455e-4,339.3 -> 339.3,FFA,4868381.00451661,6983643.90548718,6583491.59368893,37614789.408203,26259709.8496704,6822270.56445356,6395835.92266859,5466696.40948477,7282487.34381155,8446087.9582519,1849533.07275394
PE (20:0),-1.2389557596223286,5.604886808122105,21.62240356103212,3.319517188000298e-6,1.417755082874966e-4,510.3555 -> 369.3555,PE,191872.273162969,188598.094421417,86140.926742486,199236.974426264,42361.003173821,310556.258605918,345259.684722919,345176.281524655,275560.035659689,316824.603881781,13222.2608718819
17:0 Campesteryl ester_simulated,1.2172149421671528,4.033074097348891,20.88853544226094,4.867994332013651e-6,2.014132654870648e-4,670.6002 -> 369.1,CE,264749.500022801,65199.004707335,47612.5833511274,70491.1050643819,64392.864845258,37504.4026565595,41656.162918088,36467.0827674761,52937.7039833089,44855.3428954968,17371.0611877457
17:1 Campesteryl ester_simulated,1.1995338229737562,4.0446772245309965,20.302457924366077,6.61155951266696e-6,2.652637816597289e-4,668.5845 -> 369.1,CE,269874.479755438,65203.484436019004,46362.1031455932,69828.8250503447,65528.90461732,38321.0826492318,38668.4426994239,37213.9028511126,57379.0240097012,46111.3631286619,16805.6012306227
PG (42:8),1.1965166365232478,4.682334830581632,20.20453271153383,6.958785284049214e-6,2.709832857670929e-4,864.5485 -> 675.5485,PG,49048.043518054,288468.747406009,68761.344390886,51124.303741452,344904.964721673,172667.010299602,49084.843566907,36819.862335205,45123.922515869,46008.943359372,19360.361404411
