lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,42C1,42C2,42C3,42C4,42C5,7C1,7C2,7C3,7C4,7C5,SolventBlank1
TAG(48:3)_FA 16:1,-1.4374563398986515,8.326380840214425,45.28575511513919,1.7028317775589545e-11,9.393955306200232e-10,818.8 -> 547.8,TAG1,810728.74194346,705409.63793933,571566.94287099,823069.58056658006,1322538.75219727,5286925.65209909,2570890.41748043,1921877.55859354,1696320.97070332,682324.13403292,103614.34692002
TAG(48:2)_FA 16:0,-1.4147510353493609,8.257797682153116,43.918640247735304,3.423132236040609e-11,1.7431642617376024e-9,820.8 -> 547.8,TAG1,767156.63378936,669540.15405247,577576.57714834,806801.73486313,1258520.63549799,5000377.71923974,2422303.03002889,1828332.67968748,1610490.47436486,679213.77221668,99298.4867210266
TAG(48:2)_FA 18:2,-1.4159398849835247,8.93021240900733,43.98998760034009,3.3005991725941755e-11,1.7431642617376024e-9,820.8 -> 523.8,TAG2,1265197.80867418,1176397.6445311,1174060.63281266,1344270.91136924,1533125.42425917,8627739.4677744,2420036.56793214,3337277.3662106,2888486.2753911,1266635.152344,137061.889263191
TAG(48:2)_FA 16:1,-1.3960652325591905,10.401804325232375,42.808016409748234,6.03842026799392e-11,2.9610623832681298e-9,820.8 -> 549.8,TAG1,3465546.757813,2847617.373047,2467957.6767577,3214434.040039,6380021.9833981,23272053.3652344,10823442.9140624,8257725.766602,6501613.57421861,2503530.5927734,328307.063114007
TAG(48:1)_FA 16:0,-1.3534684719212962,10.285691309411549,40.322735252906575,2.1528900229802035e-10,1.0180094251520676e-8,822.8 -> 549.8,TAG1,3220130.96972714,2904919.2392569,2316847.133789,3036305.7832025,5820874.37304666,20988297.2822266,9905469.96679645,7413950.1816415,6190734.6054688,2391597.9199222,318746.301387571
PI (32:3),-1.3044180764971636,5.2777394063049785,37.539846625314574,8.956443752230873e-10,4.0890798372254053e-8,822.4863 -> 545.4863,PI,69751.2450409679,129495.688690168,113959.88940425,29436.6217727662,195418.212570159,326234.380569401,289905.279129092,177209.092468192,274682.040481614,283816.397430327,24548.602005016
PI (30:3),-1.2486286458376907,4.323118245757381,34.485261720484914,4.294910994422596e-9,1.8954873855385057e-7,794.455 -> 517.455,PI,37947.50263976,65603.324516307,54060.923614496,18807.9413757354,99450.547958374,157386.911285369,153733.82919319,93841.148010222,131311.169509924,130689.929840142,20848.7416687011
PE (28:2),1.2293086886380742,6.3344846062303715,33.461994127857906,7.267024065279167e-9,3.1037225362676183e-7,632.4287 -> 491.4287,PE,819135.017303519,485439.235412007,505303.788513099,527499.858520006,414995.128936587,221464.956420959,250415.601471002,251437.452148452,252142.615997253,226384.697021429,27368.4420929
PI (44:1),-1.2020754689198156,4.21376954586222,32.03006732560152,1.5180471904447973e-8,6.280920250465349e-7,994.7054 -> 717.7054,PI,29019.1623230046,63632.904510473,63306.74432373,21007.781772608,93867.60609432,161686.132171531,155472.092735295,132526.728782548,94520.028091516,97288.1475677361,10587.0007667536
PI (34:1),-1.1974776237845637,9.375164300420165,31.79911291848839,1.70970812445481e-8,6.859556232661117e-7,854.5489 -> 577.5489,PI,1187282.71014417,2104902.94091784,2334678.31347681,554513.03613293,3260596.29248093,7257259.10791071,4278847.57421849,3109200.34716829,3832850.4868154,3932173.50830102,620611.70166019
TAG(50:4)_FA 18:1,-1.1663878494162188,7.533071976099758,30.210725981887666,3.8756018036415196e-8,1.5092049376533446e-6,846.8 -> 547.8,TAG1,534584.50268569,483777.33325205,429660.61059582,538823.716797,753405.53759749,2626257.77661085,1310064.23803719,1052738.05102587,1005969.70263511,504571.31665031,98864.6274986616
Lyso_PC(18:4),-1.163203149587465,10.529629929570772,30.050782354315743,4.208786970484266e-8,1.592123985406048e-6,516.3012 -> 184.1,PCandSM,5033207.7441401,5622299.5664061,3778415.6230468,3704067.48974617,4640165.81103525,4778425.07719469,10344507.2817383,15945847.9560553,9652179.9589855,10908793.0507801,85302.14660642
Lyso_PE(21:0),-1.120105507101313,0.7867861729815372,27.815007125486716,1.3348665840938724e-7,4.909342659278575e-6,524.3638 -> 382.3638,PE,4586.9203224175,4402.8003234879,3461.580268859,1848.8001213076,2839.6002235415,10996.2207107542,9277.88056182419,7134.1804885792,5836.6604042004,5324.7403259272,8440.6205558803
PI (42:1),-1.0993310345458833,4.475584286666291,26.909864166573243,2.1316813795809942e-7,7.627962558284422e-6,966.6741 -> 689.6741,PI,39267.0227356035,78725.626098653,79074.1656951562,28367.3416175723,116116.947570832,207085.015945329,166948.292190475,159053.593002261,102371.526344377,121429.608398368,12192.5209198025
PI (40:2),-1.0610819825400846,3.2653213732671826,25.102652500323984,5.435803544987497e-7,1.893375581338217e-5,936.6271 -> 659.6271,PI,21092.7015571536,32633.602561956,31202.822441101,13084.9810180704,43853.603347765,87703.0058479813,72975.3451766363,51384.503280645,44324.842468255,49746.9229812702,11984.6408195431
TAG(50:3)_FA 18:1,-1.0597699956697602,9.440440446954392,25.05314769150573,5.577163721464537e-7,1.893375581338217e-5,848.8 -> 549.8,TAG1,2112331.8818363,1908330.0712888,1630332.6718754,1956372.7050775,3239787.4365236,10093303.7275395,4914344.2900384,3832209.5927723,3435310.4785148,1647967.0488281,362208.986549169
Lyso_PC(16:0),-1.0541782299201317,9.74142003622426,24.7950866602132,6.375978659208867e-7,2.0589745719006194e-5,496.3325 -> 184.1,PCandSM,2837156.3525388,3240629.29931691,2429402.78564454,2365264.62817455,2993959.87109451,3422507.53883354,5742486.8571767,8617688.18603466,5658749.16015658,5808299.56738175,53083.784027092
Lyso_PE(22:4),1.057380742899711,0.45337853605586426,24.820962797644817,6.290958368320847e-7,2.0589745719006194e-5,530.3168 -> 388.3168,PE,4369.9002914418,5650.4803581229,5214.6803779605,5542.3803672801,6554.3804740892,1581.1601028436,2654.4801902758,2767.1002044684,3130.6802024836,3187.3002357464,7329.9605026272
Lyso_PC(16:1),-1.0471453015682886,10.72492491503399,24.472310803743312,7.538546696223614e-7,2.376437101380968e-5,494.3168 -> 184.1,PCandSM,5598134.48095694,6396473.85058623,4913430.29882764,4697424.5451668,5918657.54956084,6726906.19913477,11290829.8544916,17078444.7460933,11158324.9111339,11534625.8466788,86874.12619018
Lyso_PC(18:3),-1.0385560892710783,10.920192726968294,24.08073642375348,9.237983568274794e-7,2.78878723880638e-5,518.3168 -> 184.1,PCandSM,6854745.6035156,7619909.69336,5425612.9394534,5155196.5917963,6589824.7402349,6552487.55648733,13023795.4101557,19993348.94336,12183460.5644532,14124124.9218751,124788.787841755
PG (22:6),-1.04237219788575,0.8098036447530803,24.074516223767617,9.267872999054435e-7,2.78878723880638e-5,574.2875 -> 385.2875,PG,1746.8201370238,1703.7001380918,1719.32012558,1726.660129547,1798.7601242058,2239.760162353,9771.8606796318,2294.8601341233,2164.9001655576,1794.3401184082,16014.8812255813
PI (42:3),-1.026850847725043,4.091751494172307,23.54557222385074,1.2198982983821007e-6,3.5892118823508915e-5,962.6428 -> 685.6428,PI,33805.4824829098,57425.143814056,56477.223876922,28319.9817504833,66864.4650649,84320.346404987,130887.50921628,105329.447570795,112447.389495921,69630.425750711,30608.7423400943
Lyso_PC(17:2),-1.0248021836113343,9.802303776160633,23.459815157468256,1.2755031073495187e-6,3.6712306828929624e-5,506.3168 -> 184.1,PCandSM,3004221.25146507,3412888.11279344,2597786.40673778,2494060.83691456,3163644.07080078,3589492.52184614,5930513.9177245,8962919.81152255,5809176.9951167,6047295.31738325,47575.043396002
TAG(52:5)_FA 20:4,-1.0156460673343322,7.490598519884421,23.050300284889094,1.578178579725464e-6,4.4457626373542855e-5,870.8 -> 549.796,TAG2,571686.96020503,470941.630668678,580239.418011059,605352.465568166,598246.061546167,2613127.00097609,810415.770450683,1092058.91845713,1061313.64599626,511741.836723448,108011.727191935
PE (28:0),1.0108178158162018,7.858426475195672,22.83607775388191,1.764226573611468e-6,4.866324965544965e-5,636.46 -> 495.46,PE,1712296.54992644,1580857.55786172,1412555.58477722,1426955.82299808,1563644.37280323,774748.217163061,787799.547485296,747779.206665153,784838.735778745,821075.709594212,21854.041458129
Lyso_PC(18:0),-1.0078077240471066,11.031530682531189,22.703261068469143,1.8904676595424696e-6,5.1081207780290404e-5,524.3638 -> 184.1,PCandSM,7533073.7695313,8294910.4970702,5923559.6074229,5614405.8583985,7285982.0625,7139625.78018186,14087799.4077143,20972605.8535161,13272618.3554688,15116601.9296884,157700.59301758
Lyso_PC(18:2),-0.9979196892683045,11.022717943286889,22.268408428586554,2.3707503328548956e-6,6.277746881399763e-5,520.3325 -> 184.1,PCandSM,7465686.1152339,8305170.7832026,5976663.4238281,5635093.6621098,7266943.265626,7438472.79090859,14017512.3066412,20969011.8398433,12997075.5605468,14757793.4062507,112327.708862302
Lyso_PC(17:1),-0.9962516392769587,9.42283691695451,22.195356134376198,2.4626873417509217e-6,6.393329491133766e-5,508.3325 -> 184.1,PCandSM,2285279.39648421,2659572.31884742,2110237.91601576,1901581.71484426,2471047.84716915,2834354.86723307,4544621.24438431,6762178.54296923,4446651.25537045,4591879.24462884,36378.022598272
TAG(48:2)_FA 18:1,-0.9946758670483604,8.354311060391403,22.126387340460496,2.5527657522940905e-6,6.499734338533415e-5,820.8 -> 521.8,TAG1,994560.58642582,939866.41455011,723368.54809569,1077485.02636665,1594343.70678715,4820851.44531201,2275076.91674745,1806688.17431545,1481197.08129918,887087.97949212,116155.88825987
C17:1,-0.9929377139815021,8.148800933226932,22.050502564432463,2.6557014096992403e-6,6.63424276687131e-5,267.3 -> 267.3,FFA,957990.897582885,967285.158080995,717214.511291491,763046.43554684,713241.093322793,610080.520751763,585698.784484771,547791.18408193,559116.357055605,6030421.77581795,489334.53723152
Lyso_PC(19:3),-0.9895703498911375,11.013742336213978,21.904311316625353,2.865893327045803e-6,7.026745861127116e-5,532.3325 -> 184.1,PCandSM,7404223.6718745,8343709.146485,6003900.9716811,5604244.7529291,7221633.2783207,7217448.04040527,13817816.1801752,21101137.3281234,12800531.7753911,14690919.5097656,102619.04760744
Lyso_PC(18:1),-0.9804521316697132,11.028742238982915,21.509921824923367,3.5200270896287243e-6,8.473665212124421e-5,522.3481 -> 184.1,PCandSM,7601796.5410151,8449565.6787111,6031802.5429678,5698806.5595703,7300405.546875,7299250.40721143,13919895.4492188,20849948.0556645,13157915.7285171,14937062.8789067,108803.48706054
PG (38:1),0.9787194305109689,7.572375943752997,21.43495576384157,3.66036699774916e-6,8.654153401821228e-5,822.5954 -> 633.5954,PG,1446744.352844,979174.19299381,822750.47631839,1179468.13806142,1813009.76660111,804720.595550409,761768.188293324,567876.246826312,585660.479370108,539055.59155288,37446.742645261
TAG(48:0)_FA 18:0,-0.9677379529231002,8.310446521161547,20.965419484113227,4.6764862612037e-6,1.0862575104971401e-4,824.8 -> 523.8,TAG1,1021170.6342773,967951.89599591,785856.99462893,943843.73339825,1419352.94287144,4353921.51025511,2061314.64599695,1697580.48046788,1506539.57031316,1004723.82812487,188790.513305683
PI (40:1),-0.9559483142719709,4.357274769301585,20.46272968172252,6.080379442518839e-6,1.3880038589474038e-4,938.6428 -> 661.6428,PI,38868.4625396804,73582.825149484,71719.624832165,30104.9018669068,113782.447570822,170629.710052437,145693.710166969,133676.030029384,95287.988479622,110952.227569545,17584.261047359
Lyso_PC(19:2),-0.9428835196268531,10.774509179850282,19.92074666375811,8.071960444369182e-6,1.8114026488719995e-4,534.3481 -> 184.1,PCandSM,6453152.1748043,7073997.7001948,5228000.8115236,4877534.33789136,6285042.47656299,6285120.66691552,11723905.0292963,17676541.655274,10728235.7617177,11949791.4003906,91840.587341302
C16:1,-0.9419241191472454,8.190688805407246,19.880660609396728,8.242999121208993e-6,1.818955139413451e-4,253.3 -> 253.3,FFA,729201.055846916,846616.882202053,864994.557739231,952824.026306109,1000721.14355472,1359716.99572699,1441931.94744871,1231295.39514208,2156454.82696541,2408595.15429682,448718.250610343
PE (18:2),-0.9366897692497118,10.81367274097692,19.664301902637817,9.230980808234944e-6,2.003576818049683e-4,478.2929 -> 337.2929,PE,7078750.50390626,7235743.45898492,4825021.59619198,5020714.08471631,6771566.74096727,7023398.99575783,13819947.5098882,18772614.9545894,10326914.0678715,10190742.0976563,49251.563049317
PI (44:2),-0.9350692551776953,3.024091220420741,19.587314838689966,9.61051740675115e-6,2.040936873659561e-4,992.6897 -> 715.6897,PI,20738.2014884939,29170.7418403521,30950.7420044012,10447.2008705194,37673.5625495883,71740.2653045391,55187.5439376903,45276.503318798,37555.5429992561,45235.263404852,8776.1606597889
TAG(52:6)_FA 20:4,-0.934366105491678,6.087820636478204,19.56736338803603,9.711406574059844e-6,2.040936873659561e-4,868.7 -> 547.7,TAG2,206393.392944303,204488.034641294,234613.637287204,248868.918937686,212805.755355773,863152.46581989,298121.60323699,388710.94897462,463753.61279283,224276.735870431,41215.7026977432
Lyso_PC(22:0),-0.927720232852342,4.472518206976241,19.29218206945683,1.1216467580941294e-5,2.284708165717888e-4,580.4264 -> 184.1,PCandSM,61813.264389031,91959.087570234,53201.423538194,81637.665435786,75198.485389621,86585.806594885,153577.77139277,199677.492034895,129408.448959366,137165.987365756,13530.2608947702
PE (38:3),0.9282612098481785,8.885223648445983,19.317742615199677,1.10673153736071e-5,2.284708165717888e-4,770.5696 -> 629.5696,PE,3981356.79833895,2714897.82043459,2923566.65197668,2894729.57995599,2897242.49169877,2077284.1428984,1790655.80719004,1177971.32897939,1626571.5105585,1684685.40380904,29285.721923807
TAG(48:1)_FA 18:1,-0.925385297785928,8.410667778619429,19.200131662888452,1.1770527238325897e-5,2.3612391005368923e-4,822.8 -> 523.8,TAG1,1077419.07617169,1096136.6357421,866063.12548808,979421.98583984,1578048.40820295,4453638.05761658,2218439.79443375,1866630.87841816,1579857.45703214,1094296.54638676,219186.134483368
Lyso_PC(22:2),-0.9088662215193438,4.535686202634073,18.528517473594434,1.6738109843462472e-5,3.307650363096166e-4,576.3951 -> 184.1,PCandSM,71157.585327138,98327.127471912,48435.6836548339,84298.706085223,79169.105102565,89013.686737079,167308.711822546,201647.072204695,132605.427673357,139009.188171421,16087.2611694297
PI (32:4),-0.8905977443403731,3.538275122592629,17.798987581263187,2.4551384721908515e-5,4.7802990252657164e-4,820.4706 -> 543.4706,PI,25806.0216979964,42985.8433379972,41011.0437622123,13345.1009216344,60167.443939223,78205.524520883,87127.807418786,60189.1840133129,60429.784881588,61141.4638290042,16256.8811035198
Lyso_PE(18:1),-0.8839333095116901,8.778516264284182,17.54400413602707,2.807346312441923e-5,5.386850025613198e-4,480.3012 -> 338.3012,PE,1748162.54956034,1792936.87121585,1206175.78002959,1254121.26171835,1717155.17089804,1810273.76049755,3321263.2861328,4422044.26940996,2501019.41174318,2424308.34533684,19770.501319887
PI (34:2),-0.8681455441949725,9.232984684522929,16.932009317213673,3.8742744072459106e-5,7.327913307419408e-4,852.5332 -> 575.5332,PI,1471851.59360513,2700848.17895536,2280450.13427722,685880.60742193,3530391.07958987,5967914.09643598,3971316.76867676,2828776.88061531,3741165.29345704,3519411.65039054,64110.504577627
TAG(60:2)_FA 16:1,-0.8630222842090289,4.919947972895716,16.733448992195918,4.30158730592554e-5,8.021551539500584e-4,988.9 -> 717.9,TAG1,97331.407287624,90906.566589371,91162.346466045,90717.386840814,130265.029174719,304092.740356486,193396.853057793,242447.537536526,126241.268981935,88801.486541744,27166.1219139079
TAG(48:1)_FA 18:2,-0.8588322612831595,5.451514282347078,16.57442621240625,4.677756917840423e-5,8.601875221139889e-4,822.8 -> 525.8,TAG2,130473.129638673,149585.470840532,156188.770183569,167236.672336574,142760.909015624,508581.35620118,199400.134628193,297265.14038099,238394.5599365,187944.111755377,19716.6014213554
Lyso_PC(14:1),-0.8547068032954427,5.4297557207738665,16.417818147356684,5.0805402231150973e-5,9.21456884301971e-4,466.2855 -> 184.1,PCandSM,150627.450622616,170561.333129854,115886.767913862,139773.99205021,174857.994171131,233713.737342883,277501.358062593,334395.729064855,266980.136535755,275903.94039918,12365.740852358
Lyso_Sphingosine-1-phosphocholine,-0.8488651266711056,5.405719305768344,16.197263081974143,5.707651952956621e-5,0.001021206916988455,465.3379 -> 184.1,PCandSM,143975.171814107,173132.47192388,117973.309417722,139464.929504393,165404.190277224,229762.536086993,274833.782104558,324264.876586858,265002.674316438,268075.68530266,12690.1008834835
Lyso_PC(14:0),-0.8371248233156502,5.430398510682778,15.758413804117936,7.196714796088188e-5,0.001253743472371153,468.3012 -> 184.1,PCandSM,154348.731842066,181576.59289552,115509.388427763,140237.630065893,168908.651458735,232191.959320082,283235.20071412,334183.044281176,265421.63671872,272501.905364942,10550.2207107522
Lyso_PC(17:0),-0.8371056681111025,7.081976303778301,15.758691196123438,7.195659632858731e-5,0.001253743472371153,510.3481 -> 184.1,PCandSM,474335.85546864,566156.58276332,437914.53271533,407319.291625996,529028.948730595,532899.699730361,863421.8336184,1282984.19726563,828768.89807136,879050.58313029,14173.8611144972
Lyso_PC(22:1),-0.8261381665063674,4.485706400687143,15.35158035453401,8.924624562936859e-5,0.0015148978104267182,578.4107 -> 184.1,PCandSM,66671.864624026,98355.106292738,55191.164321844,88006.726684603,79748.106475897,84409.16509241,156547.33068852001,193927.632873486,126442.629211479,140583.088165261,10973.1408844037
PGp (40:6),0.8265181678012951,5.414007869100668,15.366807016319399,8.852989569514817e-5,0.0015148978104267182,824.5536 -> 635.5536,PG,303318.019958403,193757.353271449,168576.651123233,239976.51760875,369311.030456501,172926.611297524,169388.932739294,131482.889465317,134760.268585243,129855.568801926,38004.782745347
Lyso_PC(22:4),-0.8215619826059558,4.768026975002071,15.18464059220878,9.749319542022965e-5,0.0016135123842048007,572.3638 -> 184.1,PCandSM,82259.765869177,120828.267974773,71770.863616927,94447.685577363,91858.006637559,157312.029602058,185764.8332977,208911.037292487,150420.152099562,135323.109741201,22179.041641241
Lyso_Sphinganine-1-phosphocholine,-0.8221564026936992,5.4395727173043085,15.20725664462725,9.633252934151632e-5,0.0016135123842048007,467.3536 -> 184.1,PCandSM,157548.630401641,178903.952209423,121787.268859841,139969.409896938,173054.511825483,223921.515289174,284178.382537821,344308.469421455,262850.016418362,276622.941375697,10062.4407882673
PG (38:0),0.8111435798024064,5.39037212710296,14.807643342852316,1.190520003902783e-4,0.001945985784157142,824.6111 -> 635.6111,PG,268821.161559983,200532.195495631,154974.311889696,248137.817932024,368190.066955596,160109.41232297,164323.032501175,134330.24969485,141233.509796142,124905.249420159,40575.282135024
PGo (36:1),0.8028034659549764,6.871740272375039,14.509454005697991,1.3945790937870315e-4,0.002251735024602475,780.5849 -> 591.5849,PG,821153.630310136,616090.322448702,517146.520263804,704281.833313015,981131.58911197,506740.562805414,504894.036071888,395226.828552093,381415.826538016,359582.28582752,37245.462341311
Lyso_PI(16:1),-0.8012838892175511,5.427968972691318,14.454344807258167,1.4359821814429412e-4,0.0022906510942535593,588.2805 -> 311.2805,PI,94954.38735965,178610.455200192,168277.073059091,36508.6024398877,249469.357727019,263986.698425318,279645.100463899,224224.214904787,220429.013305614,301797.140808113,46274.143463125
TAG(60:1)_FA 16:0,-0.7995156114296881,4.988426501347434,14.390943366028294,1.4851488011725017e-4,0.0023408773961338,990.9 -> 717.9,TAG1,98258.267059314,100324.227203359,93589.965866072,106061.846679647,141256.969879142,311825.702087379,197117.972656226,243677.997558647,133727.830261243,99168.147766122,28255.7818756015
PE (22:4),0.797612799528992,1.7341705577577773,14.285210877704856,1.5709429244777076e-4,0.002446974625892335,530.3242 -> 389.3242,PE,8286.320655822,7375.0205078122,8488.1005287219,7363.9405059818,12284.0608215305,3362.1002159101,5606.6203651441,5876.0004196161,5488.4403686547,5222.1404075612,25524.8219452221
PG (36:7),0.7915384379733289,5.65518167362589,14.109379049429664,1.7248161164078545e-4,0.002655414579213953,782.4702 -> 593.4702,PG,298644.38256834197,270898.002746622,224491.117248273,317956.60327169,388686.946166881,185193.393005444,211960.318389839,171372.231597969,159457.971954334,163450.071594318,39568.303283697
PE (30:0),0.7899581305828848,9.630975780493973,14.05485012839199,1.7755532898029199e-4,0.002671400631476211,664.4913 -> 523.4913,PE,5762754.01989689,5023147.18847651,4708220.20190384,4419757.94287087,5123519.44580021,3147882.91436702,2976405.57269285,2925454.50134368,2961428.51977525,2859072.37072761,35964.822570788
