lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,42C1,42C2,42C3,42C4,42C5,7C1,7C2,7C3,7C4,7C5,SolventBlank1
Lyso_PG(21:0),-2.6783708172031298,2.4920539753314728,144.15783534871662,3.281577284870723e-33,4.344808325168837e-30,572.3584 -> 383.3584,PG,15058.6614303609,2846.9802246098,2566.8601684563,1884.6401367189,2779.7202262871,39298.7027015821,39361.8830489848,39130.50270462,23641.7219009327,22579.7013816865,25733.9218902447
PG (20:0),-2.2254579273509743,2.828353233210362,103.14293738177638,3.118192459840139e-24,2.064243408414172e-21,572.3294 -> 383.3294,PG,22381.4010429441,14850.1213073683,2764.2001380916,3517.90025711,2617.8001937878,49669.9234886017,50722.5636367881,51920.5037841927,35635.3822441078,31083.0221900925,25583.5016174507
PI (30:2),-2.1951478211486912,7.912098607066498,100.66770978304743,1.0878465182216145e-23,4.801029300418059e-21,796.4706 -> 519.4706,PI,225559.457366943,459182.010803235,354910.324096868,132858.628997793,931015.401672169,3523331.16961659,2313182.61401359,1202561.93896534,1505442.91882332,1419385.59851031,123507.527252148
PI (32:2),-2.1146247637408333,9.030257066405625,93.95950970023841,3.2204475215935446e-22,1.0659681296474633e-19,824.5019 -> 547.5019,PI,548096.659057618,992791.65478508,786989.48925849,346933.702819882,2267152.60998494,7855003.20312527,5043687.87927298,2528623.52783207,3448388.86621097,3250532.4829099,45658.303405737
PI (28:1),-2.062263480081316,10.986736880120056,89.69357265333817,2.7805688998836568e-21,6.417419984253887e-19,770.455 -> 493.455,PI,2008902.07031261,4053804.51708939,2492658.58959969,1038563.48315447,10344602.9135738,31709453.7719415,20295933.0415045,10434691.0043945,12291864.851563,11236286.172852,49804.423522954
PI (30:1),-2.0611620994489983,11.902758519161091,89.60478699301719,2.9081963674866557e-21,6.417419984253887e-19,798.4863 -> 521.4863,PI,3707440.20947256,7277180.45507807,4836764.65869201,1763390.11865215,20061042.8032231,59460032.4782425,38328088.1015632,20146512.2587887,22702536.2900396,21486508.2919922,116374.388794
PI (22:1),2.0516674938916797,1.771058895267346,88.52981327428441,5.007446754334592e-21,9.471227861055714e-19,672.3818 -> 395.3818,PI,2471.1401596073,12991.0207519559,14012.8008461014,5076.0203361511,19788.4419136012,2330.260147094,2572.6001853939,3014.3201980584,2784.8601837156,2637.4401931753,27108.701705945
PE (20:5),1.991376275420096,6.967430971958976,84.03837976395516,4.852622613824662e-20,7.553891433641278e-18,500.2773 -> 359.2773,PE,1538126.11474627,726464.33691412,648520.19140635,782661.43920894,420848.12841841,171852.75305166,235053.07604983,333742.65905757,171689.33154285,149760.45190427,289730.49963378
PI (32:1),-1.9899101203189546,11.119456244916021,83.92662930231803,5.134820460934403e-20,7.553891433641278e-18,826.5176 -> 549.5176,PI,2432979.3886725,4397003.1821295,3498253.32324165,1396346.87377926,10916797.4003902,34912013.0249012,20353346.746582,11146215.0932611,13294672.7421873,13518052.7255852,111841.8876953
TAG(48:3)_FA 18:2,-1.9815972719973642,9.999030409066261,83.27358128177002,7.144811267021436e-20,9.459730117536381e-18,818.8 -> 521.8,TAG2,1699189.26820713,1600280.36621148,1785278.60498038,2148555.958225,3041565.83256126,22109768.7919917,5993913.42144788,8185492.89599552,5922385.19726576,1510865.71533168,65438.1047172306
Lyso_PG(22:4),1.9792032731349842,1.9910933830076112,82.86814549782821,8.771335667984925e-20,1.055749856764731e-17,578.3114 -> 389.3114,PG,12252.0208892772,13725.280910494,14011.261005403,13805.9408836436,16968.4812469609,1943.2601356504,1797.860126495,2090.0801506046,4239.0203094475,8066.9205398574,28766.3024139368
PI (28:0),-1.9265847854006604,11.472401302159213,79.00503964001656,6.195169653285596e-19,6.835337184125106e-17,772.4706 -> 495.4706,PI,3140654.04785149,5767937.66455029,3799178.41845716,1416679.42504879,15978527.9331056,42011692.3931273,26988881.9921881,14062433.7070314,17654146.7421874,17084508.6875005,86343.125915511
PI (30:0),-1.917156422234334,10.961551848327522,78.28245754825184,8.931148243189536e-19,9.096030979986881e-17,800.5019 -> 523.5019,PI,2243809.05493159,3991725.76855533,2941483.59375004,1166262.64440923,10779626.350586,29887127.7795405,18805740.6782229,10046897.5351563,11888189.7783207,11760669.4160166,151462.99133294
PI (28:2),-1.8693925798582949,5.413654952916443,74.65553322142932,5.604433510866215e-18,5.300192834562049e-16,768.4393 -> 491.4393,PI,54818.9842643952,106456.788909921,80699.885772598,25880.381935126,176460.033935598,576217.438934175,396104.141571039,208843.114166284,247743.714599623,249903.938568153,23780.661758422
PI (26:0),-1.8365164571665145,10.726752021193775,72.21340973050974,1.9313885115689388e-17,1.70477225954485e-15,744.4393 -> 467.4393,PI,2112607.76391653,3820949.04882853,2380337.84741211,1040936.43688983,9465468.30981446,23248992.9525153,16174248.1672363,8488407.87207072,10882338.1635748,10243172.6708991,69812.024841298
Lyso_PG(22:6),-1.7945168859436824,1.0035058437954005,68.74568800153904,1.120155240966447e-16,9.269284618997349e-15,574.2801 -> 385.2801,PG,1999.4201393116,1736.3601188659,1828.3201370238,1677.1201248171,1691.8201141358,6314.5006027236,19057.0815582204,2170.5601654048,2382.8401641842,2036.1001472466,15808.101089474
PG (22:4),1.7852277668175203,1.9127223750473217,68.27823053850739,1.4197978727969978e-16,1.1057719903430735e-14,578.3188 -> 389.3188,PG,13008.0609207185,10988.9408035248,11529.3206710798,10479.6407203643,19922.0013275073,2010.0001182551,1930.7401313783,2830.3801918031,4000.5603103647,8495.7406387326,27106.7415657025
PI (26:1),-1.7078339273924326,8.336156881615347,62.95045932846552,2.1197161567411615e-15,1.559168995291832e-13,742.4237 -> 465.4237,PI,453858.839386029,852140.014648265,571147.64318786,224881.654220658,1725855.53381299,4377575.37350464,2971958.51977546,1642797.95288092,2021448.15002408,1868506.47644046,22522.461471559
TAG(50:4)_FA 18:2,-1.6945037696449776,9.995852487496254,62.02210797055158,3.396229134310652e-15,2.3666354599091074e-13,846.8 -> 549.8,TAG2,2158224.69695601,1858989.98855602,2057536.91617597,2560126.46543193,3217146.30363403,20338124.7832036,5737341.37695671,7282017.5273427,6006855.3291019,1878414.8046877,192816.451930992
PI (24:0),-1.606443863969561,7.773332678884243,56.03285660276015,7.12699526698929e-14,4.71807086674691e-12,716.408 -> 439.408,PI,282370.400085424,577791.986083969,371858.4680175,101866.266647361,1380146.5758055,2777491.17861989,1961841.14245601,1045151.63232422,1382320.36206056,1298588.95422362,45042.583435058
Lyso_PE(20:4),1.5676775314034483,4.4228976407098255,53.467514349420526,2.629045008310311e-13,1.6575502814299295e-11,502.2855 -> 360.2855,PE,230579.012542673,116014.047546405,106905.187500035,121332.708496053,71661.285614014,39951.102691646,47253.063049308,63581.024871793,39262.423004152,33828.742370612,54428.204605132
PI (32:0),-1.5506315289988128,9.21514355039357,52.37390572559524,4.587796492965634e-13,2.7610193439484084e-11,828.5332 -> 551.5332,PI,961352.87866175,1521404.65771495,1439517.76367192,447701.07348681,3054362.76269539,8036304.07031233,4735943.03710932,2960924.46777286,3281276.60742121,3545394.96337884,238392.91748056
PE (30:4),1.5211821603920277,4.1312002403812915,50.473490216447544,1.2078538509484576e-12,6.953036950677209e-11,656.4287 -> 515.4287,PE,176975.831726115,115298.527862533,93057.046539409,141036.390670789,75431.465667723,43533.542846682,48952.603073132,46319.603485111,40015.822860718,37334.482666019,16131.521179187
