lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,5DN1,5DN2,5DN3,5DN4,5DN5,SolventBlank1
PI (22:0),-5.418888896584917,6.2323566738284155,652.8697659192701,5.308792277490322e-144,7.028840975397187e-141,674.3975 -> 397.3975,PI,1572.9801330566,1532.2801055907,1590.6801109316,1537.420120239,1735.5601348867,69195.784484839,68601.544647198,65738.0843963031,65338.304046585,63362.544692991,30096.682006838
Lyso_PI(22:0),-5.284509880125566,6.26455451899967,629.030856443206,8.120849103577969e-139,5.376002106568616e-136,674.3901 -> 397.3901,PI,1600.6601219178,1552.5801086428,1737.3601226804,1993.7801284786,1883.4801368712,69037.125030514,71921.18583683,64225.1842003328,67295.904998794,61422.844482481,33207.222427364
Lyso_PG(22:4),-5.231655800833755,6.563131359357541,620.1177520460311,7.049308495556811e-137,3.1110948160390725e-134,578.3114 -> 389.3114,PG,2513.6801948547,3011.8802032464,2530.3401527396,2209.8001594542,1697.200126648,68675.3049088265,173228.528511089,76090.9856720089,91463.444763168,33523.5422744594,28766.3024139368
PI (22:1),-5.10385119150639,6.426469222243356,597.3859889794937,6.19968010862014e-132,2.0520941159532664e-129,672.3818 -> 395.3818,PI,1950.5401496886,1991.7401466366,2231.0601615906,2645.4401588443,2919.9802513115,53377.40376283,162643.049636933,56246.4639319953,61313.443298348,64345.845062281,27108.701705945
Lyso_PI(22:1),-4.984231264984335,6.475063971533759,576.3866314473008,2.2912165327941374e-127,6.067141378838876e-125,672.3744 -> 395.3744,PI,2350.5401496884,2557.7202110293,2283.5601501468,2863.060230256,3044.7401809689,57495.664398233,172374.510467635,52693.3633842662,61261.66383362,64799.685195918,29041.261825561
PG (22:4),-4.968598628786567,6.594551043177053,573.7741367992983,8.4790110935501e-127,1.8710351146433885e-124,578.3188 -> 389.3188,PG,2760.1601829517,3945.3402976996,3419.5802268993,2702.3002090454,1959.4001235963,48932.783035281704,178149.372619679,79694.2065734401,98297.226684422,49733.4846343839,27106.7415657025
PG (22:6),-4.363920038614027,5.806472404754309,468.6959794358348,6.15933686906414e-104,1.1649945735201314e-101,574.2875 -> 385.2875,PG,2218.3001365667,2163.8201675418,2792.1001892093,2389.9601593018,3151.8402023308,47148.584121728,51667.903091463,47356.203887976,60247.704254103,48982.5631408492,16014.8812255813
Lyso_PG(22:6),-2.986186037203842,5.868975534642454,249.38730775406637,3.5319354402110978e-56,5.845353153549366e-54,574.2801 -> 385.2801,PG,2432.6601448065,19579.8407669073,2312.1201553347,3071.8601989743,5762.0205001777,48032.303207429,48673.823577876,48764.183288569,57913.563827511,46725.363250722,15808.101089474
PE (22:4),-2.350726274510037,6.287737812425659,162.8141918571807,2.7467158123981943e-37,4.040724150683566e-35,530.3242 -> 389.3242,PE,33569.0026283599,23024.0014190163,1797.9001121524,1585.060115814,1955.4801292404,60479.504257226,54686.9034042841,76681.844360325,59917.784988429,54247.163330126,25524.8219452221
Lyso_PE(22:4),-1.9746625559928956,4.293175634785994,117.71904730379981,1.997728049196751e-27,2.6449919371364985e-25,530.3168 -> 388.3168,PE,4928.3403587303,8143.4006729149,2229.2001571655,1770.0601196287,1869.0801239017,12393.8808593787,15261.50091934,16753.881111142,15351.1009445164,11975.8409118731,7329.9605026272
