lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,5DN1,5DN2,5DN3,5DN4,5DN5,SolventBlank1
Lyso_PE(22:2),-1.8986145634903742,4.4250194690645515,109.41622739977288,1.3154821211578353e-25,1.583362116739067e-23,534.3481 -> 392.3481,PE,1745.7801132205,1900.1001358039,3688.4402389544,7110.4404754637,6918.5205192551,17894.2812500031,15944.4010772643,14990.0610198945,14970.0610313372,14484.0811004621,7662.9005966183
PG (22:0),1.8513268903490367,6.464440284336033,104.61837121109647,1.48077479351686e-24,1.6337881888469355e-22,586.3814 -> 397.3814,PG,93468.426254253,88705.1460838139,48836.7225913908,49360.2635039941,63036.625000007,40865.602996817,37004.9223175338,11946.260795582,2194.4601440439,1747.9801216126,23464.28164673
PG (32:5),1.8490349735114873,9.132937575619177,104.44251416523912,1.6182086805729209e-24,1.6480833023681131e-22,730.4389 -> 541.4389,PG,994419.869666998,869536.347351577,62084.784698433,66167.7435913364,419871.570953829,43380.783691426,45215.663589514,171213.910613993,335739.326171832,56945.204467773,29379.841583254
PI (30:1),1.8005780177751822,10.30169924074619,99.35238261337508,2.1134344885738498e-23,1.9987051877655553e-21,798.4863 -> 521.4863,PI,1258857.01629637,1161229.49658142,1201309.38708539,835251.86828623,810710.53930716,378724.70642093,422013.7947999,275408.462097185,236919.75958239,166732.493591411,116374.388794
PE (22:2),-1.7942258095209895,5.166355985956248,98.50883890057891,3.2357715655280224e-23,2.856107701839401e-21,534.3555 -> 393.3555,PE,1992.8201446524,4136.6202964785,7169.3804969777,10549.480766291,14315.6409530653,27638.501731868,26431.5016517523,27299.8818855418,24892.3215332023,23344.621383675,12374.0609474239
PE (34:1),1.6978598693388145,12.149419026274943,88.90524579551493,4.141836211276733e-21,3.4273694648314965e-19,718.5383 -> 577.5383,PE,3929729.20928999,2903902.99206542,4196364.79003936,3552963.73596189,4377001.94677797,1253174.88891634,1186453.13732858,906592.99060056,1173305.82849109,1183056.32763717,204218.67285154
PIp (30:1),-1.5898502907290009,9.759875995223048,78.44351357697724,8.231876710233726e-19,6.411179273146736e-17,782.4914 -> 505.4914,PI,183353.795532225,132139.089477486,165250.629150374,147005.35025018,141129.709838823,479671.58190918,353551.68249517,956519.231384311,272748.81738287,195346.45190425,748550.81628408
PI (32:1),1.584653067245361,10.548602258661052,77.95954714162781,1.051725347347521e-18,7.736024221600656e-17,826.5176 -> 549.5176,PI,1190142.51403797,1282222.45190419,1461925.42700205,984816.07519544,1163115.02539064,439908.25097657,500543.09863284,356353.08422859,429075.13464364,256137.078552092,111841.8876953
PE (34:2),1.5525970506800024,11.830677989700114,74.97518032808512,4.766688422422067e-18,3.321629195414114e-16,716.5226 -> 575.5226,PE,3165238.18914801,2424299.86486755,3086801.52685561,2582981.86181617,3581242.9791261,1041428.23095703,1037794.63842783,716570.99035636,1065979.0794061,1071398.98498604,163698.83081059
PE (22:1),-1.5451320760209222,5.5657842579612495,74.18779514548898,7.102808278648812e-18,4.487111478523867e-16,536.3712 -> 395.3712,PE,2398.2201919552,5171.3603477481,9205.8605766279,13671.4409675567,28124.461803431,34686.5219116156,36943.12284852,34582.842376724,31154.7018966682,30083.5816497792,14358.0611305199
PI (32:2),1.5440657425669957,9.414192168999598,74.183849346442,7.117019716691933e-18,4.487111478523867e-16,824.5019 -> 547.5019,PI,566192.046234132,556470.279418341,640990.254333519,432946.545471715,561795.278015054,196007.551147559,220547.617187534,169864.271667557,198440.59564215,138615.887176461,45658.303405737
PI (28:1),1.4571573628090069,8.561901530777439,66.37789645846078,3.722531057081749e-16,2.2402868725346526e-14,770.455 -> 493.455,PI,368651.968902649,342681.90301515,311380.703613307,235409.115203904,204270.015106247,133528.10977181,139606.810638406,105480.926635726,78436.144927952,63346.583984374,49804.423522954
PE (22:0),-1.4500191879137936,5.4383268097765365,65.66838053676791,5.335504375586293e-16,3.071394692728805e-14,538.3868 -> 397.3868,PE,2675.8801765436,4784.5203361508,9639.9206352208,14878.8210983279,24065.0815048257,28924.24212646,29645.722244257,30633.141983034,32185.642433175,28655.802032466,13443.8009567246
C22:5,1.417771494186934,12.385560832777244,62.97786619057297,2.0904253083711856e-15,1.1532179617847708e-13,329.3 -> 329.3,FFA,2045035.71173093,1853808.69000285,1544529.1550904,12668883.9761352,1086135.55865576,1179933.26727287,2031534.4732665,1272070.66027926,1319996.52978514,1374533.75195364,1227060.36761492
TAG(60:0)_FA 20:0,1.3420310655920853,12.30399471591101,56.64711281232303,5.2147362661977437e-14,2.761724326578325e-12,992.9 -> 663.9,TAG2,777702.913562754,13978507.3896751,1471269.11467755,2838864.13433019,1670688.90475079,2055088.90727236,2798379.58075733,929307.51885596,1020029.32014538,1018930.39852147,22974.0015487575
PI (40:0),1.3052438844096772,13.003735480781993,53.68140330107417,2.357845757919513e-13,1.2006876090328597e-11,940.6584 -> 663.6584,PI,2319052.4600219,22255537.8282471,2596703.52526864,3745454.4697876,2231675.59344478,1856624.14038081,5597196.09228555,2222870.00280704,1520157.78967286,1660340.10302741,210821.173645012
Lyso_PE(18:4),-1.3011703883873542,6.0374287564454985,53.31100784687078,2.8470667598827727e-13,1.3961171815128856e-11,474.2542 -> 332.2542,PE,11082.5808563268,19379.3813705392,21960.281402588,24072.961631797,22010.001663216,138663.049133274,26879.3619613664,25854.02192687,22147.961532587,22696.221649164,10713.6408805854
PIp (42:6),1.2746008145852206,13.076772617411665,51.266008076258004,8.066029188468339e-13,3.8140795162614574e-11,940.6009 -> 663.6009,PI,2524835.81237783,22827957.1516117,2820380.11022941,3950211.78979483,2486238.09490948,1997291.02774034,6326817.37564102,2314711.67999261,1549733.95916754,1557601.54693613,235349.529418903
PI (28:0),1.255855543263406,9.453591742786994,49.80964204974225,1.6940938962757351e-12,7.734414891962322e-11,772.4706 -> 495.4706,PI,583091.417602617,607882.33996582,600708.57281559,432830.135925186,396093.47161855,272018.43737781,283073.72497566,216265.79614249,168313.333312904,131764.170532272,86343.125915511
PIo (42:6),1.2508764004267108,9.780067151787767,49.42796932686906,2.0579062538156153e-12,9.082226266839581e-11,942.6166 -> 665.6166,PI,256699.91458128,2256158.59259027,318123.887267548,408899.742584211,246177.393356325,207486.070343009,610537.805267303,242759.994140669,166294.869964546,178810.890914871,33954.102401777
PI (34:2),1.2234460431085419,9.450246551868238,47.34330282459268,5.958133646035585e-12,2.5446996604358435e-10,852.5332 -> 575.5332,PI,483651.67858886,491251.092163,596100.97937072,442047.51403804,615661.93994232,229051.39575206,254883.217041,197027.29663095,239350.49694831,178761.414062445,64110.504577627
Lyso_PC(18:3),-1.205750142359991,7.057979696575048,45.99450606217578,1.1858507510434906e-11,4.906457482442443e-10,518.3168 -> 184.1,PCandSM,32124.142303475,31080.241989128,25665.221694942,25044.461761478,22933.3214950693,108428.7069092,71004.385620127,46208.963073746,39680.823150635,42679.783050514,124788.787841755
PGp (34:4),1.187918673005806,7.502466225212929,44.695460227299904,2.3019042259182952e-11,9.235518773078252e-10,744.491 -> 555.491,PG,239773.111755421,223632.954467753,44166.882873548,44739.143005345,121579.467712366,38077.562728886,38131.48236083,66653.845062199,101870.464904737,42590.463531461,19998.4416961626
PI (26:0),1.1566982847130263,8.744779446950703,42.44302291574422,7.277154451283709e-11,2.8338095569116557e-9,744.4393 -> 467.4393,PI,348402.279052524,355393.16223138,325113.711242622,270813.319580091,241898.715087912,171342.171264636,180621.354309078,139209.52941888,98671.467193621,85625.426116948,69812.024841298
PE (32:1),1.1535676558414905,9.92930305990646,42.222542060701926,8.145567363473646e-11,3.0813517683540307e-9,690.507 -> 549.507,PE,745180.022491506,584433.882537933,782234.397216528,673717.170257599,790013.909911146,400914.12622066,336222.56481947,252402.255981581,284401.661865428,294764.223266559,105243.44702147
PE (30:1),1.1457806319746586,8.18259767851009,41.66279009385357,1.0845356813590871e-10,3.9886812281095315e-9,662.4757 -> 521.4757,PE,206811.873779144,162185.092025658,229930.235992615,214438.896957404,228180.815078602,123972.048583996,94901.887176486,78950.605285628,85449.705413818,76867.965179446,44646.983459481
Lyso_PC(18:1),-1.1396936530256259,7.049571145095045,41.21533118587501,1.3634888158833805e-10,4.8790788979178265e-9,522.3481 -> 184.1,PCandSM,42154.12252809,28715.2024345228,28963.402160646,25532.841835022,25846.561645501,117101.908081085,74938.02612307,51978.483856186,37377.92274474,44314.202850352,108803.48706054
Lyso_PG(22:0),1.13866682793274,6.524415680235934,41.1417844926914,1.415770928811011e-10,4.932843973015207e-9,586.374 -> 397.374,PG,93766.207473667,77920.785282208,42521.9829406687,46106.4233627196,59077.524261482,42224.643203733,43228.303207397,33033.8423080189,22451.5820770193,1987.12015152,21081.241439814
Lyso_PC(18:0),-1.1205155225658334,7.273083183532293,39.873188340592606,2.7099773700046413e-10,9.200025738169602e-9,524.3638 -> 184.1,PCandSM,43624.58297726,29936.561950682,30339.722427368,26667.96188354,25132.121940613,128362.54827889,63599.384399411,56949.284240735,45119.882934558,36930.002471921,157700.59301758
Lyso_PC(18:4),-1.1187219633476704,6.681623966679833,39.74105817440113,2.899651350847419e-10,9.597845971304957e-9,516.3012 -> 184.1,PCandSM,28958.842132558,24125.701614369,22326.381866452,22993.081665037,19272.2214584266,88461.645751933,50213.103607176,41745.52304076,31316.541931154,37525.122741704,85302.14660642
PG (34:6),1.1051564009537242,7.667556830217092,38.82484722380559,4.63589108695569e-10,1.49705360954374e-8,756.4546 -> 567.4546,PG,266369.338424758,227510.533203191,55775.844207723,49550.323135372,123030.808578459,48234.883239774,46838.443267824,76229.245391788,107345.928192208,47759.143829334,34480.202194209
Lyso_PE(22:1),-1.0843565311368284,4.358079889218173,37.310501435070584,1.0074067589831806e-9,3.1757298783184074e-8,536.3638 -> 394.3638,PE,2214.2201576238,3867.140258788,6169.9403762835,7156.4805374163,12307.5408668521,12112.3609008749,13504.4809188868,14248.6609115655,12476.2608795202,13280.6809387168,6477.7204208365
Lyso_PC(18:2),-1.0728715362029517,7.0299729310781345,36.626021079164275,1.4310859672419028e-9,4.406413536344836e-8,520.3325 -> 184.1,PCandSM,42039.343307485,29536.842025769,26623.982009871,25187.6622772332,26848.982032783,113216.247802741,62848.064514168,51396.523406967,41406.64297487,39956.302642822,112327.708862302
PE (34:3),1.055590359274135,10.519011216182006,35.501242236688995,2.5488796449822458e-9,7.669810568082939e-8,714.507 -> 573.507,PE,1117991.91894537,783804.913970879,1143221.70431424,956850.942443824,1321857.03894039,582903.92187496,501834.80004875,419139.010559138,497492.33505236,498012.597351154,119707.48840334
Lyso_PI(21:0),1.0446062905318583,7.039157018008651,34.768807799758974,3.7127453610157716e-9,1.092372190663307e-7,660.3744 -> 383.3744,PI,87150.825561557,119965.668182305,99090.726104797,94993.867004324,89797.165161163,2539.3402023311,9990.10086059269,41641.4234885851,89850.944610636,84612.965026843,2645.9401855464
Lyso_PC(19:3),-1.0367307191400847,6.972401815534897,34.2496526235887,4.847619650248119e-9,1.3952713949844586e-7,532.3325 -> 184.1,PCandSM,36664.162765516,31637.961868286,28729.202270514,26881.921722409,27152.761947629,108353.46704102,66140.124938967,48987.863830587,39847.862579343,39312.002960218,102619.04760744
PI (40:6),-1.0240721055107058,8.067096509501905,33.44600708637233,7.3270047522298e-9,2.064032828074948e-7,928.5645 -> 651.5645,PI,68392.985290566,65772.424224864,63412.844863906,61551.784118682,59471.424469015,142723.131072932,109960.508514439,282026.720626786,54208.723617511,42427.0430373941,226861.541564909
Lyso_PE(22:0),-1.0235546794183987,4.6570537414873785,33.34105012841161,7.733289477044092e-9,2.133099014084662e-7,538.3794 -> 396.3794,PE,1881.5601272577,4639.8802833563,6487.9804649353,11141.8807563789,14516.3009109515,15043.3211402807,16836.7413177564,15398.6411666949,16347.5209732064,13469.5608215354,9780.3806190484
Lyso_PC(19:2),-1.00653980089033,6.861853370886924,32.32090523106615,1.3069959427568839e-8,3.531556384102274e-7,534.3481 -> 184.1,PCandSM,36555.282394408,30930.501754759,28552.202316283,24180.3414916995,24245.621849065,97319.82666016,67706.484558094,42032.843078597,38400.722686749,38045.482849143,91840.587341302
PE (34:0),1.0043078357517303,9.319584680766965,32.199051858029634,1.391586478936343e-8,3.684920996223436e-7,720.5539 -> 579.5539,PE,492765.058196974,368234.443847548,500859.861755357,417045.188293529,501803.012268059,256768.238159224,239808.495361337,185595.593139698,212266.576354988,215226.877197163,59787.904113785
PI (34:3),0.990340951249931,7.920761247473453,31.322015708930735,2.1858678348456722e-8,5.674684339873863e-7,850.5176 -> 573.5176,PI,163760.552215678,158546.892272877,185682.392883334,151300.711120663,192623.672332813,92607.94692995,104599.048065284,82785.084472607,77546.065460193,61661.624069224,30305.882278452
C30:0,0.9891633531320885,9.157904394340884,31.25314698814691,2.2648005448432077e-8,5.76653061802386e-7,451.4 -> 451.4,FFA,529408.341606082,482308.689926038,362410.065643217,420075.229442692,298513.780795989,57799.1241226179,238749.878372138,218160.096900841,268983.059150753,243732.89685442,15777.7611923215
PI (30:0),0.9550672228819767,10.04670967567974,29.174028493274818,6.616012472211743e-8,1.6527548138128958e-6,800.5019 -> 523.5019,PI,694800.91992148,796576.55371157,974047.9602051,612114.66113298,591757.59082025,428232.47314462,463205.09448228,378785.12768575,338716.30578618,237588.09643553,151462.99133294
PI (30:2),0.9330339057162402,8.193438556531483,27.861285380512527,1.3033164902776145e-7,3.1955389502362254e-6,796.4706 -> 519.4706,PI,197578.252899166,179589.829162588,207500.392517021,140989.389831559,157867.311584514,93217.586975006,114163.848571786,91616.305389427,81701.885772703,70882.704391441,123507.527252148
PE (36:1),0.9137744789341294,11.478926074870158,26.7465016561182,2.319713118707553e-7,5.584182125761455e-6,746.5696 -> 605.5696,PE,2263935.38085941,1645449.34692325,2144683.75982635,1732337.48803758,2154295.27209462,1425883.01123031,1153003.2333993,814721.73828142,893460.29834004,868382.0407717,289939.6582031
Lyso_PI(22:4),0.8978744174742516,4.985178624431706,25.792830549628206,3.800977467149193e-7,8.986596725902735e-6,666.3275 -> 389.3275,PI,20374.2616043169,26234.8421096862,17488.7411651624,21236.1014785776,20369.5815467863,10499.180805203,5296.8604164123,2284.8601608279,18336.4811057953,18340.3015136659,6174.8203697236
Lyso_PE(24:1),0.8947558332065739,4.874281156606864,25.6134011480014,4.171323525799223e-7,9.68917955817223e-6,564.3951 -> 422.3951,PE,14208.1209640571,20758.0213584939,21419.4814987149,20215.9613952717,21320.3614349351,13971.8809852637,13636.1610488839,3486.1002387982,7260.3805046088,12824.1209106415,5637.2604064936
PI (22:6),0.8745258237398978,7.865622826487811,24.526479145542453,7.329561113002914e-7,1.6731618816579067e-5,662.3036 -> 385.3036,PI,136343.908386248,200688.854461765,171259.97091664,149879.11283867,183665.913238499,1856.8201293947,2160.6401672369,2236.120143891,221179.575714055,211907.490386953,1526.8401069643
TAG(52:6)_FA 20:0,0.8679696525112305,6.818967212598309,24.15948749891299,8.867821715159539e-7,1.989999313706988e-5,868.7 -> 539.7,TAG2,98606.207031226,110646.767841319,49785.063751201,40707.002990702,94289.945861826,39259.8424911482,36376.4824523761,40786.2225608685,55130.5444145222,37897.2827873129,9644.2006530747
PE (32:5),0.8493881823984374,6.920742553570286,23.150917856487013,1.4977169770176712e-6,3.304962129285661e-5,682.4444 -> 541.4444,PE,123501.327545291,122286.268218956,40800.722900394,38986.702682502,82296.646087604,34742.8825454769,33657.782455454,47322.622802746,69348.385345508,34919.662689202,18926.8813285761
PE (36:2),0.8438440521479494,13.022770458158616,22.86399582499871,1.7387856172143887e-6,3.774019929822706e-5,744.5539 -> 603.5539,PE,6642388.36645507,4873779.50366104,6057137.37353521,5014769.76635742,5799404.42456039,4506506.6464844,3358144.43847648,2552764.21435607,2512178.20068371,2518250.92211917,917451.571289
PE (42:9),-0.8415249898568367,9.235494373681785,22.738431241044964,1.8561822468890205e-6,3.9638472498081665e-5,814.5383 -> 673.5383,PE,151947.333129895,266256.859924418,248298.377563517,232986.797424346,291955.195892362,515327.857040429,250441.015075706,511023.628356854,406713.831848094,382889.130248949,18503.8812408486
C15:1,-0.8228348351524885,11.478027069373098,21.754175355858028,3.0991464361102646e-6,6.513126795888873e-5,239.3 -> 239.3,FFA,1550026.53942821,981949.86779767,851563.279663188,878972.4749757,844293.56176749,1745474.32898006,2135047.82067866,2474212.15136673,1504500.38391068,998526.26855476,742367.4570314
PEo (42:2),-0.8150330170517036,8.856440170188636,21.34696543424161,3.832268756566879e-6,7.92800599014773e-5,814.6685 -> 673.6685,PE,126995.907287742,206592.898040796,193658.313476467,173604.053222607,224892.033599832,396101.231285088,185314.374267573,392546.508392347,304738.716247508,296857.159118577,15781.721206666
PI (26:1),0.8130957091572397,6.982149312777717,21.24003732357187,4.052110554904737e-6,8.253837499529033e-5,742.4237 -> 465.4237,PI,92199.887664759,98483.867553748,81574.606460517,73019.82502742,71265.584915129,54785.263671906,61806.344253512,45874.402969312,36586.642715451,32429.0423812806,22522.461471559
PI (22:4),0.804883447863037,5.056499391184906,20.79238869424654,5.1185984922373315e-6,1.0268218793518527e-4,666.3349 -> 389.3349,PI,19980.661460879,25395.8617744437,21463.2612686148,19497.341480256,21207.621505733,11383.9608230543,6173.8604545608,2280.460170746,18378.1413078183,21072.9017486674,7221.2204933148
Lyso_PE(24:0),0.801724433492042,5.112331876283636,20.63301693760485,5.56284453183452e-6,1.0992845015147618e-4,566.4107 -> 424.4107,PE,20236.641582486,24315.1415023769,22503.4418334968,23429.6614990257,20979.261474614,14210.7008895893,10586.7608642587,4079.8002624525,18300.8812866201,15022.9609756502,7528.6005172793
PE (42:3),-0.7994955748398358,8.721470243899981,20.550592986321135,5.807579817667105e-6,1.130769952734007e-4,826.6322 -> 685.6322,PE,96283.346282974,208041.269088755,80425.305542032,208277.390197727,242017.315490724,337611.070160368,173258.514099136,346927.171874995,223337.353088387,324541.047606938,28017.66203308
Lyso_PI(22:6),0.7984619033076051,7.860242092991109,20.496133429537394,5.975183295953481e-6,1.1465424179481753e-4,662.2962 -> 385.2962,PI,134011.109451418,196497.652709906,167693.971588188,145708.370376586,178983.512756353,1935.7201347354,1973.1801261903,2669.2202148447,224260.476242007,221572.517730635,1602.2801017765
Lyso_PE(22:5),-0.7948810191730611,4.5974955426925765,20.27034412217455,6.7234693949678535e-6,1.271696211276777e-4,528.3012 -> 386.3012,PE,9727.9606170591,13089.7410163843,11942.4208297675,5593.1004409812,2274.6001434324,14699.4010620064,15300.681259158,15203.041244499,13925.6808929351,12372.4608306871,8318.9605941758
Lyso_PE(24:6),0.7860826227368837,4.8104425906483055,19.8381303047272,8.428446921586129e-6,1.5717272850957793e-4,554.3168 -> 412.3168,PE,13521.9009933559,16059.521194454,20311.70129395,19942.5013046234,19905.421585081,12765.2408065763,13484.4010009721,12005.900821687,10592.9607124323,2388.0801582323,6240.3804283143
PE (30:3),0.7600707708514413,6.208725180703175,18.584325484984106,1.625516280840322e-5,2.989143827545259e-4,658.4444 -> 517.4444,PE,27924.781829835,48915.94379433,92144.607711803,36377.842521675,31255.922180174,26162.761779791,29516.842422485,24710.961715692,26764.462020882,27971.402160636,16572.8812332169
Lyso_PC(19:1),-0.7539767783629407,6.4379382672940775,18.289963293005712,1.8970402159139865e-5,3.44065924091797e-4,536.3638 -> 184.1,PCandSM,32425.582244871,25685.121398912,23668.321571346,23724.581893911,24775.08184815,69858.945190391,47127.343688986,35422.802627553,30665.302230842,31565.982406622,57084.143859848
PE (18:0),-0.7412888091946574,7.418904408060041,17.694171381903743,2.5942029306105347e-5,4.6415198380112807e-4,482.3242 -> 341.3242,PE,54010.244171215,57241.704376269,56707.804077209,67692.90574651,67140.483657805,137952.80889886,102376.607727047,95436.687133763,82743.865753149,75928.585144108,61744.884277322
PE (16:1),-0.7255459605945495,7.411961883145815,16.958770363267377,3.8200435618852744e-5,6.743650234581471e-4,452.2773 -> 311.2773,PE,63562.005691575,76208.865966774,71717.22451785,65361.744720429,57631.322906502,84389.086151195,65532.004638692,273221.958237211,54168.104034485,58209.083541895,27241.681838981
PG (38:9),-0.7230838106000513,9.075535612933955,16.8487577013766,4.047981759506498e-5,7.052010328403426e-4,806.4702 -> 617.4702,PG,175584.613067552,258658.458770808,233495.359497188,197714.893310638,242069.977111828,421319.815551767,234563.837768566,414510.670349123,353859.362304563,344526.984008565,35064.102661134
C28:0,-0.7161076211519101,14.416186524113817,16.53000787633937,4.788619784476239e-5,8.233938434605897e-4,423.4 -> 423.4,FFA,157612.770446744,8102901.33940899,13633561.1171265,12365048.6641993,11184598.3163987,18024451.3966182,10686919.8854103,11275279.734772,15480892.9864845,16832283.5890114,866714.910873862
TAG(58:1)_FA 18:1,0.7013671410830777,11.164796323729313,15.862679056430352,6.810867305925157e-5,0.0011561010657749882,962.9 -> 663.9,TAG2,635385.90624987,4109018.88671873,1075495.46289019,1117743.35669046,1083849.90283306,850821.401214642,1419839.32482915,777932.62060561,1001234.53002934,697366.77758832,38868.0426330548
12:0 Cholesteryl ester,-0.6913487699376786,8.012345407625515,15.414109001058819,8.634122849573479e-5,0.0014470352725107958,586.5219 -> 369.1,CE,98972.5272369342,110443.088024141,103785.167011264,100097.526100165,102677.367954243,181349.752754245,156658.691658017,160725.051765438,160500.93165588,151442.310142521,39250.5627861052
TAG(58:2)_FA 18:2,0.6816161410412074,11.093084347789034,14.989859216831974,1.0809047507419902e-4,0.0017888973624779938,960.9 -> 663.9,TAG2,680329.49682618,3813538.15771491,1080674.88525387,972747.23767091,1041783.81506274,774879.36017977,1367377.43090814,765327.79528799,979245.62914964,667652.58837882,38653.643054964
Lyso_PG(22:2),-0.6801180057996987,5.62239018689813,14.907912604241517,1.1288849644599757e-4,0.0018452391270926025,582.3427 -> 393.3427,PG,17986.461128229,22051.5815963732,19105.9613761879,17102.6010856527,17543.9614105264,30064.962341304,28930.941848744,29065.9223327622,29182.2219848575,28709.281967155,13363.2809982231
PGo (38:2),-0.6740536564616348,8.6661943519166,14.660491398717568,1.2871618619630248e-4,0.002078295494193957,806.6005 -> 617.6005,PG,139422.330139193,187099.915191626,181221.893310585,153345.869232196,180541.252319334,323034.163940525,171213.63360599,313924.29891963,256054.414856027,236629.27728273,36808.422454835
Lyso_PC(10:0),-0.6644365339801251,5.698022535425338,14.23580354368767,1.6127275928144773e-4,0.002572591967332973,412.2386 -> 184.1,PCandSM,25297.801773063,19983.861328127,20622.1611862174,16296.221298216,21345.441589343,21602.941635133,59264.944023045,29896.162048341,33556.8621025032,17417.1812057473,9327.5806007393
PE (30:2),0.6275503909124379,6.201825762050427,12.714626826014268,3.628066811438445e-4,0.0057185243551720255,660.46 -> 519.46,PE,43506.002807644,38226.962615969,51052.823608402,45805.422607417,47775.283874505,29296.282211324,29715.682189929,25615.941757199,28727.482078546,29487.461746235,15875.7610855073
PE (32:2),0.6263508156851096,8.060183195116437,12.673436862048732,3.7088715300194995e-4,0.005777112830289197,688.4913 -> 547.4913,PE,168074.09146115,151698.489761391,201564.373535086,168746.950256347,171793.610870513,116163.867340055,110378.56939697701,102578.607147168,102926.947723475,111605.68775945,28738.222015356
Lyso_PC(17:2),-0.6209274562885518,6.235620507403756,12.447855400802043,4.184720395999797e-4,0.006442523028260152,506.3168 -> 184.1,PCandSM,26566.622039778,28207.421829207,21842.421585082,23943.2416381762,21392.641662594,55308.483947753,37781.322540304,32186.302246094,29656.361686715,27877.582046503,47575.043396002
C20:0,-0.6184749816177434,12.99418026231384,12.3614565715543,4.382886153153127e-4,0.006670047433074414,311.3 -> 311.3,FFA,5035702.58520554,2790611.81298832,2996772.45068366,2812576.35595697,1884561.94580127,2994311.44555656,10014216.5729985,4222596.52661216,3648702.23461859,2699152.64257859,2580457.12304688
PG (22:2),-0.6146629891563666,5.546355342873176,12.196005313289902,4.7891959707028315e-4,0.007205563028648351,582.3501 -> 393.3501,PG,19541.3413696215,20539.6015319735,17705.2811584421,15388.2611045849,17596.221298214,23046.3016586226,30453.862319947,27594.001968377,25855.3816871671,28162.1417732337,13377.9208526601
PC (42:2),-0.6017321181196114,8.944089596092459,11.704785319771874,6.233957326950553e-4,0.009273887079643295,870.7 -> 184.1,PCandSM,166532.732666052,250208.197326687,232061.682311951,161214.367767336,231001.356201093,369927.349464444,260925.221190842,269612.180221536,308630.119445297,319364.117584259,58918.5031929596
