lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,40DN1,40DN2,40DN3,40DN4,40DN5,SolventBlank1
Lyso_PE(22:0),-2.874440004610891,3.980932150399545,114.24691619905656,1.1505185118138884e-26,1.3848059178559892e-24,538.3794 -> 396.3794,PE,1681.7801132205,1665.2401123046,1721.820129395,1603.9401168821,1537.5801048285,14390.6610374365,15936.740959166,14116.1808509823,10762.4606361405,2096.880138397,9780.3806190484
PE (22:2),-2.7635378973928932,4.855480198677212,106.7586224821244,5.028302407539389e-25,5.547893656318459e-23,534.3555 -> 393.3555,PE,10084.0605392584,2582.3402061456,1907.8001365652,2024.560131073,1628.740131378,23402.7618331908,26324.7420425449,27512.2819518896,24530.4218444701,13183.9008560255,12374.0609474239
22:0 Campesteryl ester,-2.128209359116487,7.645380278931386,66.58930573427733,3.3439536602342403e-16,3.1624247472500956e-14,740.6941 -> 369.1,CE,50204.1434745811,42295.2636375489,43446.0234642103,45257.8833808815,26798.8417434696,49300.6035881196,690740.778488205,35217.7426567213,54061.1634559594,35702.6226959283,25456.9617805572
22:0 Sitosteryl ester,-2.128241489350363,7.739544174997486,66.59158032947516,3.340097302826251e-16,3.1624247472500956e-14,754.7097 -> 369.1,CE,46092.3831100493,43726.982883472,57289.3252754067,44060.2830810583,25584.3018226641,46687.4232444772,719392.955802988,41919.0630073687,54775.5636291574,40496.9826126331,37595.1024322411
PE (34:1),2.096617728336915,11.105078810977005,64.78060085636389,8.371931773658835e-16,7.389625112216198e-14,718.5383 -> 577.5383,PE,2050209.3793938,2040401.24633784,2106846.40930171,2122280.08319161,1753829.02331486,493979.5958253,434842.92968758,516569.755859171,422172.589782717,358166.225830048,204218.67285154
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",-2.0646132253723404,7.713702209494595,62.95045931303896,2.119716173343187e-15,1.754065133441487e-13,752.6941 -> 369.1,CE,46259.9629058954,42885.8628005902,58805.7046089172,44378.4027099434,27812.3417930597,47208.5630569588,696076.617947183,41837.3028717169,54514.8238448997,38395.8624572687,37874.0628280683
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",-2.0393100923557443,7.6907014398687386,61.52490856357669,4.371774491265182e-15,3.4048408390794705e-13,748.6628 -> 369.1,CE,47943.5633049077,42166.0830078231,58628.8833580009,46504.5032920934,30176.4420127834,45962.2035904079,707492.686694922,37050.6624526923,53930.1237945394,38594.9427185173,25816.2016220041
22:1 Campesteryl ester,-2.0311396994362436,7.612104266747839,61.06679759017699,5.517077871354997e-15,4.058117278707787e-13,738.6784 -> 369.1,CE,48425.8036804249,43734.3633690089,46284.7033233693,47584.0432586755,28081.601879126,46681.6432380657,659459.514259358,36652.8624458345,51625.1638221872,38457.5626182446,25638.1017837424
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",-2.0064997504368276,7.717181474487291,59.69547308681376,1.1073095369431165e-14,7.716199089014139e-13,750.6784 -> 369.1,CE,52182.8840560874,44571.7028617974,59146.704547882,45743.4634475735,27728.2419586156,44526.6029777485,701200.359821221,40319.0425376974,52207.3631477435,39594.7826461885,35547.7627029354
22:3 Stigmasteryl ester,-1.966696396475898,7.6505306467070335,57.505408486888626,3.370511994365589e-14,2.2312789402700202e-12,746.6471 -> 369.1,CE,48547.2635993813,43419.0031585769,59437.48468398,48402.1834640492,28966.8820838939,44977.0829429578,674963.688315781,38213.8828163103,53608.1640968385,39825.6430663882,24271.961585994
Lyso_PE(22:2),-1.8187662110142455,4.487355122968358,49.59508260144597,1.88986798865697e-12,1.191516769991347e-10,534.3481 -> 392.3481,PE,9486.1205406101,10045.5608406062,1812.4801292418,1811.0601348869,1641.4801216124,16626.3012313877,16295.9211578384,19752.6815261879,17330.6212043762,12970.0609588607,7662.9005966183
PE (34:2),1.7753414300749668,10.520107509747906,47.45121588191432,5.6389957892501705e-12,3.393650193166921e-10,716.5226 -> 575.5226,PE,1446241.02584838,1070265.58038401,1391941.82312013,1309569.30902109,1155778.72143602,418517.649047992,276578.358154184,422925.707031096,350902.582031218,285779.93972769,163698.83081059
22:2 Campesteryl ester,-1.7731523459469736,7.506297116960008,47.334278273403015,5.985627759861824e-12,3.44563963219872e-10,736.6628 -> 369.1,CE,46541.9632492069,46557.5834198115,48288.6436538688,55327.963726029,32827.0221481217,50924.1837043947,560468.762323036,40007.9428558349,53503.5439147915,41482.0229454017,22878.821632385
PG (42:8),1.735425116385832,7.720284957931264,45.448368938740714,1.567159874070009e-11,8.645498638619549e-10,864.5485 -> 675.5485,PG,87799.22598268,64551.424224857,52551.6036606299,694730.018920901,52844.264312707,55475.903305097,55723.344161968,55196.844024612,48305.203994741,44988.603225703,19360.361404411
PG (32:5),1.7231027296526498,7.647242413247038,44.83849457595079,2.1397446064425315e-11,1.1332087435719646e-9,730.4389 -> 541.4389,PG,52362.263961737,44738.642806992,44413.86238096,53451.123107908,625375.074860277,38824.943130491,74120.184982239,50038.203338647,46772.423614489,33211.14187623,29379.841583254
Lyso_PI(22:2),1.7098217002253835,3.7859854716785515,44.03423079918091,3.2268305482599483e-11,1.6432014022677581e-9,670.3588 -> 393.3588,PI,2331.6201667777,2155.5601768487,2524.6801643367,12538.6406478856,15001.7608108602,2126.8601341241,1944.320148468,1814.500125885,2031.4601325989,2049.2201423643,14496.680953987
PE (32:1),1.6522984837298753,9.305037344052039,41.40915603770827,1.2347768617004974e-10,6.0549798699683655e-9,690.507 -> 549.507,PE,539352.899414065,533055.394653554,589743.2817079,537502.858032173,421130.628417942,170496.391784681,158764.331909127,191086.893279965,142984.870605456,124766.96798699,105243.44702147
TAG(60:0)_FA 20:0,1.5679592504133226,12.3232195051195,37.47368209948763,9.265481104676389e-10,4.381248922354121e-8,992.9 -> 663.9,TAG2,9449173.02427687,674220.509528967,8210769.6942028,1785794.04348759,2629767.92481939,1920771.02504308,989272.694404508,1230197.14108702,1751931.610126,1244782.01979445,22974.0015487575
PCo(40:0),-1.5201812195726423,7.757517974251028,35.314863753444115,2.8048326227252915e-9,1.2805511698235468e-7,832.7 -> 184.1,PCandSM,49277.403831486,57199.404129013,59954.843627905,84742.106681857,67574.444335949,662445.607078721,54655.264251694,55150.144027708,52307.08383177,43859.882705683,15469.481140136
PC (40:6),-1.5140200225450242,7.740370470690038,35.041037411255516,3.2282945473329493e-9,1.424753993556275e-7,834.6 -> 184.1,PCandSM,46832.923797587,56216.464019771,63080.924377489,81472.3059807322,67667.36528016,654328.258026326,53012.023712176,56018.38383482,47711.723083507,45017.843414313,15958.441146847
PCo(40:1),-1.5020692918784997,7.765117341191952,34.51275775882277,4.234666727725985e-9,1.8086124991965175e-7,830.7 -> 184.1,PCandSM,46576.3433341877,59425.6640778125,62737.164321879,85009.725418036,69474.144683842,667549.263229489,56539.403503415,55241.003921518,50261.343612675,41157.4632377492,15320.641021721
PC (40:8),-1.4793134520739497,7.744003941006302,33.51635288063153,7.066733769460081e-9,2.9238610971141086e-7,830.6 -> 184.1,PCandSM,49985.723236087,57647.544494642,59607.164428707,85141.8661613052,69042.545166018,644691.689910905,52771.423706024,56195.823730449,53372.103363029,44223.282684317,16843.101181034
PC (40:7),-1.4177064268706796,7.752024638232602,30.88378773894783,2.739507714767933e-8,1.0991237013190132e-6,832.6 -> 184.1,PCandSM,52168.984207142,59302.383804316,62991.844360361,88241.2060165309,71861.624847388,646603.105266517,54848.16348266,54790.483612055,50853.243225115,42042.322936993,15342.3010330206
PE (36:1),1.4071297228422475,11.112523027241423,30.444742430292536,3.435130601581769e-8,1.337680269557136e-6,746.5696 -> 605.5696,PE,1793900.57244828,1556802.10498092,1941366.64721685,1872551.8819581,1757082.89965856,725740.29614279,595143.50207518,715376.713684128,594645.738159206,546062.515930285,289939.6582031
PCo(40:2),-1.40370607931455,7.7676851907844,30.298887850657138,3.703381871391873e-8,1.362021554923011e-6,828.7 -> 184.1,PCandSM,52155.443878157,60004.724311817,66037.703903224,88588.245651213,73228.965866133,638017.545227133,57189.764007555,56135.643478404,56046.023788458,47227.643173187,16215.141250609
PCp(40:6),-1.4040605990482244,7.941183809659579,30.314065186119933,3.674516893394436e-8,1.362021554923011e-6,818.6 -> 184.1,PCandSM,62559.444396992,70761.70573423,75429.5645179503,93694.00756839,82653.985656656,714432.647689211,64880.044189449,67814.805664067,63074.72454833,58726.144180339,15249.1410408076
PGo (42:1),1.3993994759646085,7.533517400210805,30.11918326561249,4.0629227748535955e-8,1.453867501055719e-6,864.6788 -> 675.6788,PG,90066.207031234,60797.504669225,51885.423278705,520167.304229706,57074.323394767,59547.604461691,58558.464874261,55468.603820897,50825.683227517,45184.183593738,20106.421447758
PE (30:1),1.3920747247198195,7.674651842551218,29.81611701645606,4.7502654277290834e-8,1.655092480608765e-6,662.4757 -> 521.4757,PE,160983.892303494,143448.428527894,161102.210540747,165636.41235363,157460.312438875,62932.844650289,57640.323562588,63364.084289564,52431.943817125,47567.842971791,44646.983459481
PC (40:10),-1.390586600824425,7.892532499143259,29.755550922838438,4.9010097092754404e-8,1.6638299628412008e-6,826.5 -> 184.1,PCandSM,58641.444610595,64548.845245329,74335.1854553276,92356.427001939,80512.52607718,673541.548004261,64962.86468503,68428.044342036,59928.384399387,56014.484031688,21543.861633305
PC (38:0),-1.3863077373834478,7.931222078456534,29.57931304914655,5.367474408552401e-8,1.7333014919325312e-6,818.7 -> 184.1,PCandSM,61199.064895638,67879.745300367,78805.305679336,92524.826049817,83607.445404088,701714.58776897,61512.504699702,72633.544586136,61684.763687146,57054.944152822,17780.101272577
PC (40:9),-1.386653073588801,7.750861492999636,29.593102658277417,5.3294243888759546e-8,1.7333014919325312e-6,828.6 -> 184.1,PCandSM,48745.403678893,59602.583618144,66620.6456336564,88586.446495017,74862.2647399419,623340.677104906,57473.364593464,59123.223785412,54658.663772574,46603.463455206,16506.061264038
PCo(40:6),-1.3836280551873115,7.940746644205426,29.46912651574621,5.681456831857171e-8,1.7910116298521177e-6,820.6 -> 184.1,PCandSM,63500.064025867,67522.024871787,74416.104217616,94197.667167649,86815.126220645,696174.217178148,66025.264465302,71221.5248413,64554.424171455,60430.863052369,18979.721450801
PE (34:3),1.3779666137971707,10.197843284575645,29.239334747147954,6.396734966947029e-8,1.969599324706481e-6,714.507 -> 573.507,PE,948602.110290399,1058821.8636474,1071058.49130215,975141.977111269,710097.491943252,380328.063964741,309981.14123546,421581.866333022,354276.423278868,266612.817718365,119707.48840334
PC (38:1),-1.3746164368979896,7.929991557051736,29.099845384545006,6.874247037949669e-8,2.068523426873946e-6,816.6 -> 184.1,PCandSM,62330.6442031786,70633.424484195,72817.444816566,95390.9059104685,83530.006423966,696211.715614482,63278.124298103,71712.524017391,61031.903930641,56072.904129031,19756.061309819
SM (d18:0/24:0),-1.3703668465440018,7.888967869113936,28.926376679647092,7.518213173955528e-8,2.212025387181582e-6,817.7 -> 184.1,PCandSM,63369.784072858,73174.145103549,70980.045112621,91809.426223748,78428.364578262,683292.492821256,60834.504699708,67553.844543451,61459.684753399,55309.584381115,14730.84109497
PCo(40:3),-1.3226463052520092,7.886696546434654,27.011106747336044,2.0228975389193535e-7,5.704899548680654e-6,826.6 -> 184.1,PCandSM,55366.6244659105,69116.16508489,75322.045715274,101344.387405377,81460.286193838,660746.184234743,63941.584533682,66458.684387199,60722.943801885,57293.584259035,20129.541450494
PCo(40:5),-1.3225871155369626,7.975591381252932,27.008952613920428,2.0251531630512895e-7,5.704899548680654e-6,822.6 -> 184.1,PCandSM,64272.3844527978,73867.686004598,78974.4645080502,105726.087570106,85303.80561824,703671.79684448,64196.624206564,73131.385314909,64854.385192873,63403.524345402,19965.221557616
PCo(40:4),-1.3008249250774166,7.956335805347286,26.155176456433765,3.1505139625584655e-7,8.6901676800571e-6,824.6 -> 184.1,PCandSM,68737.424819941,73765.105941758,77397.944946321,101035.185890126,84399.926178043,679059.260925353,65582.144775395,74143.405273416,65935.224395747,63367.385284401,22154.041595457
PE (36:2),1.298755488551557,12.306004351918878,26.07721496859449,3.280323052927936e-7,8.863566779748138e-6,744.5539 -> 603.5539,PE,4137565.84643582,3335488.11120609,4161037.04809488,4051977.51025346,3855109.4916998,1755737.83032251,1273972.02880861,1706461.09594679,1411494.19433595,1346103.61755344,917451.571289
PI (40:0),1.297133661614587,12.677973222339334,26.01420818417682,3.3891394339465093e-7,8.974441221090357e-6,940.6584 -> 663.6584,PI,7000047.76000865,2281243.42785646,10540651.0783693,3323449.41754142,3927893.5817871,2322542.18310534,2059042.79479978,2280885.0678711,1286178.62847891,2415923.90124509,210821.173645012
PI (22:2),1.2924784082527958,3.6315647878783817,25.720105292137532,3.9469368865328113e-7,1.0246557721116553e-5,670.3662 -> 393.3662,PI,2450.7801742558,2164.7401504526,2553.7801856995,6254.2803154029,10589.8808860809,1832.9401321414,2020.9001655582,1685.1401367185,1862.8001251219,1909.9001197802,15664.6610870402
SM (d18:1/24:0),-1.2672231324355905,7.96258547132244,24.86144113720104,6.160234157660095e-7,1.568490389373455e-5,815.7 -> 184.1,PCandSM,68834.164077755,76433.125457813,82852.526565616,101144.946716316,86890.267242412,689812.775825929,62600.3441162,67840.605270381,65900.884094247,65396.784683233,18682.9611969
PIp (42:6),1.2424633630698114,12.791773056399665,23.92960936232703,9.992302983409332e-7,2.4961904056667842e-5,940.6009 -> 663.6009,PI,7675331.69329837,2503744.01013193,10984560.2919922,3573901.53125005,4229335.04009997,2474476.18926995,2219714.32312027,2437874.7130128,1809976.36718732,2564977.03771974,235349.529418903
PIo (42:6),1.222965430804863,9.554365357041666,23.20466173621526,1.456438446141446e-6,3.570971301280138e-5,942.6166 -> 665.6166,PI,818687.238373335,273662.097625737,1135169.09320084,376856.791718025,439526.74270617,263969.800231913,247486.478332512,274281.055511466,165140.891509992,275473.815917961,33954.102401777
PG (32:3),1.1858977545636167,9.63143327558051,21.856069989114985,2.9388545810576307e-6,7.074624482400551e-5,734.4702 -> 545.4702,PG,317582.04144338,584723.47297673,447296.569945754,1351052.48431391,532744.839706412,254064.080581709,342550.768646256,142301.95231643,263004.420410619,323204.430786037,18548.921371467
PG (36:2),1.1653091514020877,12.074835639252345,21.12359668555291,4.305931497167503e-6,1.0180452325446026e-4,792.5485 -> 603.5485,PG,3325714.9702151,2586580.0644532,2849000.52343783,4752846.44091809,3116472.61523414,1787631.09423821,1333333.38281225,1398357.20019535,1264793.34277377,1175753.5590822,581762.6640623
PG (36:1),1.0938756392684261,10.697519259108196,18.67005924044497,1.5540367168468647e-5,3.609727391412717e-4,794.5641 -> 605.5641,PG,1202576.61206054,920528.82495127,1038240.0986327,1971839.29492211,1183927.68237304,711574.37377956,541858.59692387,575385.19580046,494123.05578621,451495.59362789,221845.65625001
PEo (36:1),1.0423069964031808,10.102059754778416,16.98671708956772,3.764224247819418e-5,8.502383675332196e-4,732.5903 -> 591.5903,PE,958429.36584412,552550.159851145,845038.18688971,827930.156708359,873868.120727934,428404.090087808,305480.941406052,430774.31005892,360889.926513632,329435.705871484,178560.83056644
PG (20:2),-1.0420314073908188,6.791204652787224,16.97434860097656,3.788826562270389e-5,8.502383675332196e-4,554.3188 -> 365.3188,PG,37324.522766107,32501.762344374,33385.982101442,60392.923576356,34350.3827362059,193357.195838981,38579.96292876,64892.805603007,46456.182891863,40276.923339822,19833.421386731
PC (38:2),-1.038066821482535,8.199497464828882,16.85059204906679,4.044071229997314e-5,8.92391718086074e-4,814.6 -> 184.1,PCandSM,86970.785903919,103480.527648927,106154.608535697,129227.369323743,114330.929855354,716386.130417442,80346.865356438,93989.446594334,86007.926254241,77644.204895038,30069.622329711
PE (36:8),1.0280626250594067,10.18837518350801,16.534946572804984,4.7761639811039936e-5,0.0010366624772101126,732.46 -> 591.46,PE,1041095.31613185,589083.321441866,889090.363524792,878116.104919581,910917.205200479,453818.451660399,331802.46093765,455539.672119147,382884.149353019,363833.667114249,182100.91430665
Lyso_PG(20:2),-1.0123236934056352,6.8021714274611575,16.039069433093484,6.204878744515559e-5,0.001325041848022355,554.3114 -> 365.3114,PG,34878.2021408103,39217.922668456,31806.6219711288,58873.5847244934,38616.983077996,197372.598876927,44675.182464597,59586.363632220004,47885.603240949,38114.302810645,17629.3612670889
PI (20:0),1.0042430842710552,7.304918758158347,15.790015457640948,7.077501701970155e-5,0.0014873987703822992,646.3662 -> 369.3662,PI,51400.583038282,59159.424530075,317153.507385262,101391.966232343,56376.223846442,53748.443725584,63620.603851328,59816.504272433,44897.183197009,54047.244155871,20093.101348883
C15:1,-0.9993384391518039,11.458094864942398,15.641516722949746,7.655522489191073e-5,0.0015837362149514033,239.3 -> 239.3,FFA,1049619.11950696,923514.70104966,928164.06445311,977106.95007327,1013517.7209471,1335169.37524422,4702514.70202641,1574428.31591806,867775.199829169,835140.06066876,742367.4570314
PE (22:4),-0.9817186086149805,6.247922836952688,15.099543616524329,1.019879423234548e-4,0.0020774159328654485,530.3242 -> 389.3242,PE,34867.3232116353,26622.0616378912,26258.4223556152,26637.6613540222,15082.7009010336,48061.6220703313,74917.3860778672,49399.803924575,40540.5833434766,28095.86260222,25524.8219452221
Lyso_PI(20:0),0.9738780049773559,7.3015961424770595,14.866712014321593,1.153812272029157e-4,0.0023146173457069758,646.3588 -> 369.3588,PI,52326.423248303,58977.424011189,312062.709152252,104641.087738075,54196.484436022,56227.424255349,62527.56427002,54888.603576678,50471.12342835,55876.90364069,18955.281440734
PG (38:8),0.9669862033547837,7.636598707254634,14.66130650502964,1.2866053554286977e-4,0.002542485806847158,808.4859 -> 619.4859,PG,111260.689300504,75954.905944861,83390.544860804,390883.352172379,83211.125610368,74307.704864497,77125.20565796,70659.384582459,66153.923736574,62586.284332279,28562.221954338
PE (34:0),0.9132593831885736,8.55949543453601,13.103643905586978,2.947219431204681e-4,0.0057384095984044075,720.5539 -> 579.5539,PE,281420.720459097,271982.4382629,292048.681915269,273916.141387872,230864.097198405,139461.310974144,131135.348724328,151399.471496607,136499.00915526,118424.867645287,59787.904113785
TAG(56:0)_FA 16:0,0.8981689495858396,11.477218441864434,12.681640365046405,3.6926347554083755e-4,0.007085577414725637,936.9 -> 663.9,TAG1,2835180.51342784,571544.40258798,4598288.82128861,1158825.31713804,1647667.76782165,1167925.72412054,914791.37011787,924246.26757814,1378737.9259035501,1054998.86328126,76772.1254119711
TAG(58:1)_FA 18:1,0.8901910753721445,11.214436218540927,12.460771705254956,4.155882105924193e-4,0.00786055415463376,962.9 -> 663.9,TAG2,2857533.29687615,596459.74389655,2839679.0854492,1219381.82421883,1553057.71704104,921307.32128897,691922.86865233,946449.57446294,997627.13647508,1014813.85205061,38868.0426330548
C34:0,-0.879575305490657,9.619726592680284,12.169493599513999,4.857749299201641e-4,0.009058676157947847,507.5 -> 507.5,FFA,278878.200500473,296754.28102874,260005.476181012,315017.943138141,329097.64340978,246486.077941919,1487076.04535672,361302.98811356,270333.957153263,232105.918190063,164486.371841527
TAG(58:2)_FA 18:2,0.8687435000958986,11.153137808575027,11.876230146524904,5.685490505274929e-4,0.010454985318033341,960.9 -> 663.9,TAG2,2569821.62255847,601160.11572257,2744571.98046899,1233666.58239849,1486704.67724637,887705.43017597,659374.14379893,950196.35766588,921104.25512683,1005374.76733351,38653.643054964
PE (20:5),-0.861720536712342,9.261757030700718,11.6873037941873,6.292802078367012e-4,0.01141324650925743,500.2773 -> 359.2773,PE,179199.051513658,223133.53710938,198178.491638141,224270.796875,197653.9570312,349053.84643551,691417.97668452,279001.08166506,242342.11682131,205210.69592288,289730.49963378
PEo (36:4),-0.8489473495580262,7.883809260588727,11.34755374728411,7.554741376594841e-4,0.013516861598123741,726.5433 -> 585.5433,PE,177117.97453302,73432.285255431,76192.144897451,76680.285613995,69906.644622807,178440.192413363,241307.278228746,84916.065307695,230305.315612711,63174.10470583,29639.401718135
TAG(60:11)_FA 20:4,0.8437763062420642,9.29851160252309,11.21238817881408,8.125308609710266e-4,0.014343878132341855,970.9 -> 649.9,TAG2,477913.50939894,403559.80468746,131491.569152863,1076784.8359375,298275.203491165,209309.232666,161613.971984818,351480.861632797,185794.032958975,321598.72338871,20366.3012886041
PE (38:1),0.8359607785087856,7.646158743548862,11.007453930616066,9.074621137548295e-4,0.01580894524488677,774.6009 -> 633.6009,PE,157863.451415968,131860.169616685,126744.068664598,134338.448822055,152308.112365747,82898.046569831,76102.2649536,79641.405502334,72222.664245589,61625.124603284,31524.862030012
PEp (42:6),-0.8284418366102876,11.992290888902641,10.81429018912604,0.0010071963241040976,0.017318544585893835,804.5903 -> 663.5903,PE,1589498.7687374,1395686.43615724,1349922.99041755,3332502.54724062,976278.828918588,5602483.86157229,1662792.97314453,4817170.01293946,1208067.84997564,1097191.42944344,114452.72943117
PE (40:0),-0.8218584662648312,11.884662628544703,10.645340419840068,0.0011034856865285182,0.018730962166202028,804.6478 -> 663.6478,PE,1503786.66394022,1309343.1363524,1275683.14886468,3055004.0569457,897089.831237921,5192621.19689944,1562014.37585458,4387445.81799364,1126509.45336921,1055097.49475107,109892.748626674
PG (22:2),0.8060076607562903,4.391040459310293,10.227967587725288,0.0013832700204077914,0.023182905152150834,582.3501 -> 393.3501,PG,2833.3402175907,5995.1204147328,14285.8409690833,17045.9013443027,16980.6811866673,18644.3214187608,7241.7205543494,1678.9201240541,1827.8401184078,1789.7801094053,13377.9208526601
Lyso_PC(10:0),0.8018804525966098,5.748937923425545,10.1357052393586,0.0014542459377748327,0.024067770270173483,412.2386 -> 184.1,PCandSM,16495.981208804,22070.8018493593,25714.182189934,103242.628635456,22570.741638189,20421.02139282,19561.641220088,16224.9812355048,18188.721130367,25997.061920168,9327.5806007393
PE (36:3),0.7979520488973489,12.626025319768857,10.04262551474676,0.0015295903810328751,0.0250021933887349,742.5383 -> 601.5383,PE,4597989.18298219,4163682.80297888,5033462.32348629,4521155.33288564,3944948.54956013,2497531.97216844,2329315.40234407,2847495.23657241,2401921.41809033,2015079.34960879,832881.8798828
TAG(58:0)_FA 18:0,0.7922926535762749,11.519720085723256,9.902371755339118,0.0016506589856902297,0.026652103622608097,964.9 -> 663.9,TAG1,2930379.49878004,576557.979126,4651277.98852546,1172731.17980921,1529949.28674226,1223154.45556627,1044315.24707048,940073.35485893,1589388.55517568,1078848.6564943,76068.1050109935
PEp (40:7),0.7865353138240931,7.6982219801205,9.759585799107526,0.0017839009778903697,0.02845644451478132,774.5433 -> 633.5433,PE,167419.491989123,133081.069915788,131882.830230684,133515.389373782,154926.352371234,86500.966247577,79474.064758295,84025.2660522431,76467.884185788,68490.265747085,32226.342132546
C17:0,-0.7855441551579178,11.286199491360541,9.736398891473073,0.001806544744684446,0.028474586213835792,269.3 -> 269.3,FFA,1283038.122437,976497.51617428,833308.159423822,803508.692443673,990461.315063528,720529.826782208,4396464.03564457,1224382.14379918,881418.451354874,795268.825439315,542899.45812967
PG (44:1),0.7758848368640171,6.324712311426772,9.49823281249735,0.002056698880396102,0.031663596716795805,906.6893 -> 717.6893,PG,56456.024230969,34608.3623886108,27004.4018974278,128637.608703608,29944.142250052,28595.661811829,29992.4822769197,35571.8825264073,29434.961807256,25510.781768794,17157.0012207035
PGo (38:1),0.7758351777528826,7.425674430862844,9.498712889938076,0.0020561608246176043,0.031663596716795805,808.6162 -> 619.6162,PG,104244.527343807,67941.864715549,73558.28543092,279235.597717261,82304.066345235,67733.945037824,71587.724548324,66989.224822931,59488.523712159,62245.624298089,27119.542053227
Cer(d18:2/14:0),0.7683419822001305,6.822576204722731,9.317477387307463,0.0022697827352492856,0.034542440706552345,508.5 -> 262.4,CER,45858.1835250868,42585.8030777004,72060.9255294828,192371.434761019,41520.7427444373,32828.1021347057,38199.8222846962,37653.5830459518,64473.584663386,40144.1427688693,20787.0814590461
PI (28:1),0.7573232592179004,7.8328751785693,9.056136463185794,0.0026181461875897844,0.03939119945873721,770.455 -> 493.455,PI,151877.970214861,178323.632873628,200315.655120859,134410.70870963,97127.646331731,65976.944305418,74047.025390617,98492.927902285,71671.845321667,115136.888458268,49804.423522954
PI (30:1),0.7529920861431034,9.385866478009074,8.954679974827743,0.0027675966527594895,0.04117188728374791,798.4863 -> 521.4863,PI,315096.10253894,537648.518005349,671630.79174753,414363.909118584,332371.524230871,158382.410400371,215443.57250979,330554.562744185,193263.614868105,378172.863891724,116374.388794
