lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,40DN1,40DN2,40DN3,40DN4,40DN5,SolventBlank1
C28:0,-4.214341854776945,14.204160762020276,218.04950710869366,2.409041371640754e-49,3.1895707760523585e-46,423.4 -> 423.4,FFA,5782760.52458999,11628.0208816531,9692.18068313671,7939.02061843738,7803.00058364789,16925598.4202618,14611754.2741463,23421000.7220045,26070400.1748999,16167200.4475101,866714.910873862
PE (22:1),-4.160594590629008,5.059621247566026,213.1801945097332,2.7801082661501304e-48,1.8404316721913864e-45,536.3712 -> 395.3712,PE,1822.7401084903,1529.6601104735,1681.3601226803,1719.3401222229,1733.7001266482,27460.382026665,30639.3415984982,33719.0418472569,37532.3634452854,14173.2610282842,14358.0611305199
PG (22:0),4.060032229573091,5.497271232618559,205.02986854337044,1.6682773528207477e-46,7.362664050448899e-44,586.3814 -> 397.3814,PG,18143.0213279749,24771.9616737282,38601.2430000254,44354.4028472625,67953.3446006278,1733.3401184081,1682.5401115423,1503.8201065059,1745.8001136781,4305.4602661144,23464.28164673
Lyso_PG(22:0),3.9762793218743173,5.480432425666204,198.23246662952124,5.076397304260304e-45,1.6802875077101606e-42,586.374 -> 397.374,PG,18973.1813621337,24530.9617920057,37971.5025863396,43095.3828887801,71079.1846886058,1743.1601257316,1653.1001091003,1512.0400924685,1611.6001091005,5207.4203376743,21081.241439814
PG (22:4),-3.8254698810094965,5.538737847875453,186.11943025155904,2.235736216972737e-42,5.920229502543808e-40,578.3188 -> 389.3188,PG,2371.1001625061,1693.0801124571,1678.8801155094,2132.6401519778,5546.620414734,31641.541961675,50788.703102069,39589.9821053083,22969.301662443,36865.5630263804,27106.7415657025
PE (22:0),-3.3551023347717814,4.374160109025865,149.28781808126723,2.481007874959779e-34,5.474757377411246e-32,538.3868 -> 397.3868,PE,1738.100131988,1531.6001129151,1510.6801071163,1472.2801055908,1615.0601158138,25643.441802976,28328.4822311386,17249.6011581365,4095.1803169233,1681.4201240541,13443.8009567246
Lyso_PG(22:1),3.2825381110255556,4.694465238736829,143.8968849392809,3.742272821023223e-33,7.078241735763924e-31,584.3584 -> 395.3584,PG,7616.1604537953,8195.5605316166,22317.7412834101,32656.1026077251,27388.3820381143,2269.9801673884,1933.8201179508,1873.4201164253,1501.2601089475,1923.2801322941,17796.5814971869
PG (22:1),3.271869398717674,4.6914154232651955,143.0957282920115,5.601449504795863e-33,9.270398930437153e-31,584.3658 -> 395.3658,PG,7129.4005508429,9274.1006507851,20541.5015258702,29371.3620567249,30447.2221336462,1848.4401283266,1570.74010849,1600.4201049803,1578.4601173402,2832.300201416,18089.4012184073
Lyso_PG(22:4),-3.2234303230509656,5.664122308202804,139.67280428368963,3.138805911256208e-32,4.617532251670244e-30,578.3114 -> 389.3114,PG,12808.8607902565,1852.8601379396,1590.9401016237,1896.7801551819,4140.2003326424,32396.9228973346,51981.283966022,43589.8828201398,24286.6415901162,41187.4823379752,28766.3024139368
Lyso_PE(22:1),-2.8779544843756,3.86575976968341,114.49756882225056,1.0139047916867464e-26,1.3424099441932523e-24,536.3638 -> 394.3638,PE,1980.9001541131,1522.160114288,1712.6401176455,1493.6801109313,1619.8201103204,12341.180923469,12762.1608657813,15429.5210075423,9914.8807373028,7549.68049240339,6477.7204208365
