lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,42E1,42E2,42E3,42E4,42E5,7E1,7E2,7E3,7E4,7E5,SolventBlank1
TAG(48:0)_FA 18:0,-1.5475173503487338,8.428745528432,29.65395346462355,5.1647187125662204e-8,2.73523503017507e-6,824.8 -> 523.8,TAG1,207538.616203312,1113404.64355479,1104274.21191443,785266.51562509,883713.31591783,2859793.98193317,3744716.35986321,2430586.43066446,1689530.70068349,1039653.12646494,188790.513305683
TAG(48:1)_FA18:0,-1.5321648964796624,8.050949405833363,29.09336182370316,6.897290913329186e-8,3.512312757403016e-6,822.8 -> 521.8,TAG1,141685.649456009,953075.43408222,826203.37915033,588366.21997066,709478.02954096,2185914.16699215,3000232.50244093,1834318.15771543,1299114.64062518,810824.57128884,116301.388069129
TAG(48:2)_FA 18:2,-1.5036039747810577,8.667007858927246,28.063108925212877,1.1742301090410395e-7,5.75807653470495e-6,820.8 -> 523.8,TAG2,346521.942981544,1006828.6718788,1309431.2734372,1212795.8281252,1100625.39984819,4330357.41847886,3991271.47805026,3727060.90398701,751013.65820327,1147206.70351788,137061.889263191
Lyso_PE(22:6),1.4643914489647005,1.0529977294201645,26.622549778986894,2.4734001775385535e-7,1.1695649410932303e-5,526.2855 -> 384.2855,PE,5893.5603828428,7885.7405700674,8926.2606086718,10551.6808357238,11856.6408996542,1756.32012558,1781.4601249696,2381.720157622,4610.3203353899,5522.3803901673,8687.4006538368
C18:2,-1.4588390825698454,11.56038906809439,26.481190704036976,2.6611668131369604e-7,1.2149602967563225e-5,279.3 -> 279.3,FFA,11630212.4666137,3569007.51873821,6885623.5448612,7304284.37225289,6577283.00610342,13216096.81012,15486277.7881463,8195627.82427966,67060141.0630486,3154438.01293946,446813.713134713
PI (26:1),-1.4377466060270385,8.256066069527328,25.749604346547134,3.88706694423396e-7,1.7154922113885878e-5,742.4237 -> 465.4237,PI,705958.82800244,1180010.28735339,846158.365783099,455819.88879381,715451.380066406,2115440.4621574,3480867.61962843,1704180.64453094,1434989.30297847,1878853.70556708,22522.461471559
PI (32:0),-1.413654436267936,9.394329134458632,24.92542451573172,5.959132948999546e-7,2.5451264595081936e-5,828.5332 -> 551.5332,PI,1405231.55078092,2337389.09179731,1694553.81835903,1177942.13427739,1853640.06347645,4263008.38085876,6646264.29980519,4425497.97167916,4221166.80664116,3141562.40332159,238392.91748056
Lyso_PG(22:6),1.4002413807038925,1.0378696613535514,24.37567795477625,7.926312427644322e-7,3.279511766937838e-5,574.2801 -> 385.2801,PG,1774.7201271057,1648.2001228334,1707.2801170352,5293.6403389,11289.8607864381,1566.0001182555,1709.2601089474,1760.9201202393,1667.6601219177,1574.5401077267,15808.101089474
PI (28:2),-1.360661244714132,5.4534243153530095,23.153160169458715,1.49597151540045e-6,6.00201904966726e-5,768.4393 -> 491.4393,PI,98935.387603731,152500.570816062,108542.027313321,88193.746871891,106331.087738029,299656.020751868,481277.012603647,251837.982086182,189758.233001712,216394.596496566,23780.661758422
C22:0,-1.3574496584213838,11.344021800963201,23.049065943637423,1.579192112376473e-6,6.149559872901323e-5,339.3 -> 339.3,FFA,6598504.80981544,5966860.59362746,5536764.97051996,4773711.4099116,9031496.13305664,4868381.00451661,6983643.90548718,6583491.59368893,37614789.408203,26259709.8496704,1849533.07275394
PG (38:1),1.3115747505667803,8.135106003680432,21.566304373605817,3.4180447625267483e-6,1.2929975044529758e-4,822.5954 -> 633.5954,PG,1739102.09619097,2930765.57141107,1746396.91894471,1255334.67541519,1744799.69946283,553061.88354488,610729.039062524,724962.33020022,517579.80285644,1294521.57806369,37446.742645261
18:0 Campesteryl ester,-1.2882698471035405,4.123853529288884,20.827101809681153,5.026659969115383e-6,1.8067610211083197e-4,684.6315 -> 369.1,CE,49086.62342072,44973.7230224523,38762.2627296392,42088.8629379352,38383.6626510513,296364.040252831,64413.024551392,44385.8429641705,72084.125373834,59905.744438167,18627.7413063037
TAG(60:1)_FA 16:0,-1.2879486320264624,4.952961716171083,20.8185686081506,5.049105572583673e-6,1.8067610211083197e-4,990.9 -> 717.9,TAG1,27913.6218795783,99294.567199707,99200.787292504,91151.247192378,83914.765411349,221371.216613744,271672.617584123,240663.594756968,143127.470672637,89985.246704097,28255.7818756015
PE (22:6),1.282720978209686,1.9731564213750257,20.635638574004133,5.555232509480038e-6,1.935559958566203e-4,526.2929 -> 385.2929,PE,10610.9807701125,13347.500885012,16233.7812347377,19109.0014915527,21690.0414924645,3119.2602081302,5142.2604026779,6618.9804115296,9378.8808097854,8708.860607147,16873.0810317968
"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",-1.2763636325321035,4.155533733301148,20.455607448605406,6.1030483456911105e-6,2.0719066691525718e-4,684.6471 -> 369.1,CE,50396.3836975022,47846.683685305,40000.9027557227,41762.8427123895,36817.5024986188,299552.961639585,64652.104614242,45065.5431366009,69548.584800729,62041.6844558688,21200.5014762868
TAG(60:2)_FA 16:1,-1.2581516021159587,4.936071536602127,19.89460336293286,8.183099560337384e-6,2.708605954471674e-4,988.9 -> 717.9,TAG1,27763.4419441244,98085.306823734,104577.567199704,91131.946075444,82305.025573727,227239.755431986,275471.118713224,225893.235778795,139214.430511499,85844.226287835,27166.1219139079
TAG(48:1)_FA 16:1,-1.2015223985061207,9.618525616578003,18.192986083682626,1.9961260270565978e-5,6.446026487373013e-4,822.8 -> 551.8,TAG1,837124.858985826,2674834.890624,2529174.1757812,2106970.513672,2188464.335937,5189729.0332042,6584751.0644541,4734460.0585948,4422605.4589839,2590995.3007812,927480.061664605
TAG(48:0)_FA 16:0,-1.1908312894414266,9.58513502084539,17.87927433362347,2.35370489398404e-5,7.419774475321116e-4,824.8 -> 551.8,TAG1,830237.511371425,2609522.482422,2487356.2441406,2055544.0488283,2165996.0351567,5069083.2285171,6428357.3378915,4656712.2421876,4237937.8886715,2534169.0781249,906740.443092099
PG (38:0),1.1827648331608585,5.896563680135566,17.643528917617004,2.6642019117512478e-5,8.0168257526333e-4,824.6111 -> 635.6111,PG,326736.087219237,587462.839599327,315523.243835372,247528.817993104,371425.82733147,126909.309265146,137342.509704614,177549.932434224,131992.529052732,225103.215576279,40575.282135024
TAG(48:3)_FA 18:1,-1.1828951013650173,5.783490195275841,17.647277540956566,2.6589560659363163e-5,8.0168257526333e-4,818.8 -> 519.8,TAG1,43166.0028953452,204200.315612854,193735.11340325,170236.49157714,160434.79113766,367163.70800783,473707.39306628,334819.9248047,282715.80029284,256027.256896804,37941.4027595653
TAG(50:3)_FA 16:1,-1.1661101829431562,10.033778828793848,17.16352342034952,3.429590168920984e-5,0.0010090616408114184,848.8 -> 577.8,TAG1,876104.055942535,3839947.0664072,4001767.8945307,2921518.4570323,3021257.5351566,7790574.5136714,9730015.5507807,6111223.1289048,5399382.1210948,3368000.5273442,838448.87660994
TAG(50:4)_FA 16:1,-1.1494998779771328,9.359645721509175,16.69015479140217,4.400879719317436e-5,0.0012666879887774532,846.8 -> 575.8,TAG1,323569.560241764,2594921.21923851,2667742.14160212,1982776.2773436,2147489.31054768,5106595.26855369,6532851.22167866,3858823.73535161,3431048.48437483,2181010.47460802,237597.778053299
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",1.1460464834801658,5.9261539135520955,16.59189678581697,4.6348628379115856e-5,0.0012876228721046465,550.5 -> 206.3,CER,349899.682952867,444129.194625871,438410.449905405,348642.486160161,341176.881218031,182765.633865294,194177.694068861,112490.32863238,233823.914390508,154735.970085129,20369.921318044
PGp (40:6),1.1455668963688337,5.944160891740139,16.578337553643905,4.6681191737932805e-5,0.0012876228721046465,824.5536 -> 635.5536,PG,341059.863037015,607808.567626989,332699.844116219,249143.460693136,376342.24267582,133929.069519056,142271.610473625,189938.075073375,135708.748718226,242898.057922452,38004.782745347
TAG(50:2)_FA 18:0,-1.131652648634683,8.509829650685482,16.188334512422443,5.7346175362690314e-5,0.0015495170649020811,850.8 -> 549.8,TAG1,286809.042106629,1413735.53027355,1376503.36425792,1026468.55664052,1072618.58300775,2663937.63085999,3302780.50000061,2184928.33300721,1803280.72070254,1183867.1972653,302219.761260914
PE (38:3),1.129590973221363,9.018148652692062,16.130864694394404,5.911277884983692e-5,0.0015653063839436816,770.5696 -> 629.5696,PE,3129759.5286866,4138837.00927736,3757624.05273396,2892805.70959484,2842030.55908206,1203183.81018056,1545235.77807654,1295774.70617678,1204929.71874994,2326025.06982367,29285.721923807
17:1 Campesteryl ester_simulated,-1.1066003301153087,4.112477869055387,15.493721564428597,8.277975195505247e-5,0.002149027286048813,668.5845 -> 369.1,CE,51797.483734138,50472.52368165,40267.7430686934,49052.7431259189,41986.1832580581,269874.479755438,65203.484436019004,46362.1031455932,69828.8250503447,65528.90461732,16805.6012306227
18:1 Campesteryl ester,-1.1014314494073376,4.257257334647711,15.352863201511582,8.918566877601614e-5,0.0022708043357585646,682.6158 -> 369.1,CE,56772.124183666,58594.0442504845,47036.1634521391,49952.8233489952,45290.1230697608,303679.103630012,70817.984878547,47894.9230422999,75871.6652526892,68973.7650032018,19941.80141449
17:0 Campesteryl ester_simulated,-1.0806379146254101,4.113157705945497,14.79120930715635,1.2009402664324172e-4,0.0030000847410500387,670.6002 -> 369.1,CE,52451.4838333114,50239.5034255923,45612.083106997,45192.4829788173,42624.7631416371,264749.500022801,65199.004707335,47612.5833511274,70491.1050643819,64392.864845258,17371.0611877457
TAG(54:7)_FA 18:0,-1.0780133117880997,10.04740052125089,14.72326372289444,1.2450058569152739e-4,0.003052569915844116,894.8 -> 593.8,TAG1,612214.680763095,4573963.00927634,3435410.04492249,2622956.484376,5232451.13769481,3730023.0371094,3187684.7460948,8233573.6230468,8186655.3964854,9644948.9160157,134701.929088588
"18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-1.0759001982581076,4.102038143631767,14.664618872829127,1.284346357044982e-4,0.0030917719576864663,670.6158 -> 369.1,CE,52016.9438247631,48738.2636299103,42290.183147441,49055.9432792528,40780.4830474704,264723.660270531,65151.384445188,45747.3632163869,67778.1447067212,61527.644317621,18395.4213218708
Lyso_PC(17:1),-1.073691490895929,9.022641100473402,14.607999718311476,1.3235151476502708e-4,0.003129167956230283,508.3325 -> 184.1,PCandSM,1494454.16064443,1321481.02099619,1440640.34252922,1807619.37915068,1721046.43457034,4577522.5285655,2513386.50439415,3474948.1801757,5608894.66357434,723141.33691385,36378.022598272
PEo (36:5),1.0646974224009185,6.649459307900847,14.369273048077048,1.5023395937899923e-4,0.0034527488566127055,724.5277 -> 583.5277,PE,513192.993713255,833494.034667736,613585.055786275,633384.925262584,569582.556640669,305254.50350944,279210.259429981,255330.517333864,320628.264526462,342864.566162289,22894.621658316
TAG(58:1)_FA 16:0,-1.0642377258030344,5.3337182729863875,14.356540482665425,1.5125334870357774e-4,0.0034527488566127055,962.9 -> 689.9,TAG1,45896.8833961168,142872.40979004,131760.86987303,127046.76916508,110964.36791993,264167.6381835,331196.36706542,260206.01867663,183467.11218274,117340.82849121,52343.5637130404
C17:1,-1.0574729930468425,8.045260833137322,14.179263896465272,1.6619195131514536e-4,0.003620727430140737,267.3 -> 267.3,FFA,996478.067993134,515916.572204501,536242.118530159,564880.317321556,644365.62170422694,760904.195190394,783244.9580384,584320.063110447,3729045.49780266,1271649.45446725,489334.53723152
PG (38:3),1.057261658056574,8.75693719268581,14.173795620299645,1.6667565720062796e-4,0.003620727430140737,818.5641 -> 629.5641,PG,2562966.46643043,4253597.10510175,2445226.27490201,1887591.90954523,2606644.02478026,894208.65673771,976391.08886719,1177388.89672919,945594.04980428,2442595.40405198,43204.942779522
TAG(54:8)_FA 18:1,-1.0571993280485807,10.22876642265766,14.172212133147696,1.6681599187204303e-4,0.003620727430140737,892.7 -> 593.7,TAG1,792055.063598363,5255853.36132816,3929179.5097666,3018344.1992194,5724610.9228516,4321425.2851562,3760610.9482421,9050857.3398437,9130179.5517579,10731671.2226563,246256.217716243
PIp (30:1),1.0436382402751039,7.177558946146391,13.818062721602477,2.0139077888518673e-4,0.004300667600709472,782.4914 -> 505.4914,PI,1119266.77233876,303885.01831064,235637.936950418,260926.837036265,358608.386444177,224647.974914562,241227.33737191,218256.012756298,246752.118102973,265499.677856597,748550.81628408
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",-1.0389636876962827,4.177220042230997,13.695523913789206,2.1496623020781576e-4,0.004454353112733746,666.5845 -> 369.1,CE,55236.524353024,54628.8638839756,46967.7634201043,48400.3833007879,44912.0830993515,268754.361145061,66899.9446945243,50645.2035293484,74960.14507294,65895.6644744731,19372.4813537636
TAG(58:2)_FA 16:1,-1.0388019375362432,5.342581557260804,13.692469325662387,2.1531616254906325e-4,0.004454353112733746,960.9 -> 689.9,TAG1,44407.6831474497,140262.18994142,137097.51037599,128154.32910157,119193.02807618,268568.67846699,328564.90258778,256429.79614267,183546.69360352,120002.82751469,52520.5033683569
"18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-1.0357993252074664,4.099949169868211,13.613832087597075,2.2452511841921743e-4,0.004573403950569906,668.6002 -> 369.1,CE,56236.1241607595,49786.103622438,41840.1432037314,46724.2232208242,43249.0431213455,263091.04090112,64194.924331645,44980.1229247978,68952.7249145549,61770.244674672,17214.1211738598
PE (28:0),1.0270484759890524,7.824184888607605,13.39132237208105,2.5279110390130226e-4,0.005071142750989761,636.46 -> 495.46,PE,1344915.43206716,1553432.16973994,1525909.80078125,1371443.54724179,1308931.40112297,685641.97106969,729707.98437556,630345.283264324,760800.592224641,702274.813293373,21854.041458129
TAG(56:3)_FA 16:1,-1.0184715200012024,4.717758660285041,13.171802346708317,2.8419326342974744e-4,0.005615998220611726,930.8 -> 659.8,TAG1,38803.1028213579,89263.34655759,88050.28588867,71630.125061042,75505.90539552,157991.1711426,206144.37255865,156979.73107909,129683.03039553,81549.285522468,39052.6025199728
PE (30:0),1.0159235318725144,9.726034352328371,13.108588355393294,2.939450984251811e-4,0.005640337830651301,664.4913 -> 523.4913,PE,4891716.31774854,6031680.47558574,5770999.73413129,4997823.42822321,4977305.70507828,2628358.18115156,2790897.96630781,2259324.16125486,2850443.94958504,2717686.3745118,35964.822570788
PEp (40:7),1.0163887209088445,8.579723616508709,13.120312972474721,2.921112322883636e-4,0.005640337830651301,774.5433 -> 633.5433,PE,2137940.20361217,2797219.51550282,2786078.40283223,2190338.42272927,2128846.03772013,1096546.91442826,1283256.45226996,1094497.45410156,1049486.80212368,1405681.13696288,32226.342132546
18:3 Campesteryl ester,-1.0009810806975605,4.2264068959314915,12.731406798526226,3.595659741931708e-4,0.006598583917827561,678.5845 -> 369.1,CE,56637.7439727822,56604.7037620502,47270.1832961953,55186.8238601829,48384.2634048488,280345.760017487,71275.9449081379,53661.903907788,70355.9252967894,66409.60484314,19598.5012397745
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",-1.0000987946003188,4.228381520836812,12.709415092840231,3.638192039285589e-4,0.006598583917827561,664.5689 -> 369.1,CE,52926.3235778789,59107.964401241,52655.30336761,53674.2641372702,47877.6032142529,261319.036849936,75419.605194073,55437.104347227,84802.9058837855,66507.244827276,19454.4013977078
"lanosteryl palmitoleate, 18:2 Campesteryl ester",-1.0028518570514198,4.244390827229374,12.77814015602507,3.506934249911359e-4,0.006598583917827561,680.6002 -> 369.1,CE,60294.444427488,57890.6236877356,47633.083679196,53843.5438232313,46901.5431671028,289775.361114668,68551.324310312,51314.9836425707,72929.8851890682,66602.7247924843,19871.1413497947
PE (38:1),1.0015050295006929,8.545387143698708,12.746197692984424,3.5673363273896086e-4,0.006598583917827561,774.6009 -> 633.6009,PE,2089407.1757813,2754369.89697271,2693107.89953523,2081995.25817926,2098652.96899409,1043427.88244634,1288831.08923402,1097204.09790033,1020553.07568297,1379759.38574208,31524.862030012
TAG(48:3)_FA 18:0,-0.989666977507512,4.615157342795853,12.451047399470099,4.177574878425652e-4,0.007474471809507518,818.8 -> 517.8,TAG1,30460.4424209479,90388.366210965,81106.166381855,93090.566650358,66918.844848601,110481.006896926,85332.825744646,109383.086731014,108143.706603958,273079.737914869,24001.2416534555
TAG(56:7)_FA 18:0,-0.9755800289490463,7.35397533183836,12.106640936585336,5.024256239545988e-4,0.008869487014878517,922.8 -> 621.8,TAG1,165403.910785775,661726.50927747,533629.95459006,433274.27099614,738276.15356443,599192.26416034,557966.17822225,1078189.13623039,1308027.96826216,1248369.04785183,101143.126575444
C19:0,-0.9721375871013358,10.036843841144067,12.023052007425576,5.254658801208186e-4,0.009154168753683734,297.3 -> 297.3,FFA,4845410.75903328,2173594.14099174,2163394.58081049,2068570.11840878,3334740.99279734,2338452.56127986,2652663.36755474,2909301.20422311,12205322.3505861,9547684.79833992,1072569.0904541
TAG(50:2)_FA 16:0,-0.9565957836019704,9.720584957998746,11.648402535298372,6.425769207451629e-4,0.011048984974890853,850.8 -> 577.8,TAG1,762241.49605953,3297680.5390614,3412260.7011719,2669339.4765636,2656713.3964829,5638864.1601567,6762522.726562,4577559.3457031,4555146.7128906,2889987.437499,812698.03676604
Lyso_PC(16:0),-0.9525165423276933,9.360568491208998,11.550992887932807,6.77130865138225e-4,0.011493862377474486,496.3325 -> 184.1,PCandSM,1917813.877441,1746564.75756773,1910765.65869146,2437985.35668877,2398811.64599567,5441335.51611367,3063204.22070368,4253636.7392582595,6993924.14746151,988553.48339833,53083.784027092
16:3 Stigmasteryl ester,-0.9411290016826228,4.167241577101994,11.27954696420511,7.836567798634948e-4,0.013133690842269206,662.5532 -> 369.1,CE,56550.06414795,56501.064002994,50683.8838539117,49281.043243407,49703.7235107296,252844.838180423,69610.2850875783,49704.003410343,78258.1860351699,66328.384490953,17500.9611854555
Lyso_PC(16:1),-0.9368762466155856,10.335379672609083,11.181155864498578,8.263227885911423e-4,0.01350680706289719,494.3168 -> 184.1,PCandSM,3856122.76123027,3454451.69628907,3773192.53564507,4798930.79882865,4739515.25439249,10817491.5751954,6008170.37353439,8324990.22412058,13569487.9189444,1940625.00585942,86874.12619018
TAG(54:8)_FA 18:0,-0.937818075675342,9.402642686016367,11.203246552147903,8.165434701371534e-4,0.01350680706289719,892.7 -> 591.696,TAG1,586562.506038889,2898257.204101,2323935.2763687,1923782.5458986,3000350.3896475,2583943.3222662,2352050.7216798,4753219.9511714,4703311.8242188,5272403.7363276,394651.088470582
TAG(50:3)_FA 16:0,-0.933738420451125,9.126579267837009,11.107614566833941,8.597400028737474e-4,0.013881655656156603,848.8 -> 575.8,TAG1,289722.440982866,2381283.76806648,2517897.1127933,1880534.10839899,2020121.16650535,3922874.45507808,4772989.5898443,3162707.64648517,2994061.33203095,2088461.41455114,236530.456802383
PGo (36:3),0.9277553066736685,8.298685861887614,10.968040457688403,9.269672925127262e-4,0.014786803557672885,776.5536 -> 587.5536,PG,1794645.90722661,2729615.30639667,1843431.11865113,1391838.00219723,1925092.29394456,715777.73913582,848288.17700198,962463.26611325,1000875.64587353,1491594.38330092,36969.082763671
PE (34:4),0.9236661788277992,9.132281745255622,10.873193878520397,9.756612902246882e-4,0.015378280336398658,712.4913 -> 571.4913,PE,3302224.90722702,4150694.18066439,3600637.51782225,2969245.34948728,3230506.192016,1520765.88208026,2098656.73974621,1781007.04931589,1485580.46398929,2198427.15624913,34529.74234007
TAG(60:2)_FA 16:0,-0.9192873473155843,3.901522388497466,10.770141449492257,0.0010315062622921066,0.01606722695617352,988.9 -> 715.9,TAG1,22509.6016006416,52152.303497286,51461.123901368,48604.823913575,41162.423004159,91213.506622316,102213.307830787,90268.76660156,71980.885147074,49516.48382565,22110.8814620903
TAG(60:3)_FA 16:1,-0.9164349271009243,3.8775997077556985,10.704442750815133,0.0010687857354380152,0.016454329229301536,986.9 -> 715.9,TAG1,22039.8014564531,51738.103881817,51164.463500951,43644.323303213,42386.303192142,87981.825744617,99119.427001977,90152.966247538,67988.104431141,49248.403472917,22963.3015060489
