lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,42E1,42E2,42E3,42E4,42E5,7E1,7E2,7E3,7E4,7E5,SolventBlank1
C26:0,-2.5132831369024045,7.632736606431015,73.21655463307252,1.1617723107021843e-17,1.538186539369692e-14,395.3 -> 395.3,FFA,562009.817436325,114081.807910837,13528.0609626735,12840.900878903,13404.6409378055,841676.403778348,1175048.65379325,1131272.71509498,847688.500701828,720105.810840526,911496.486236535
TAG(48:2)_FA 16:1,-2.421674139146251,10.684593592817345,68.46566217460992,1.291062425417019e-16,8.546833256260666e-14,820.8 -> 549.8,TAG1,371572.424789482,3805551.0810554,3624024.78906249,1971406.4560564,2811633.78125,16576652.2343745,24413979.3154297,13377309.63379,7362668.7412104,4253583.1601567,328307.063114007
TAG(48:3)_FA 18:2,-2.38056081663302,9.780915864489137,66.3696394106887,3.738157364579183e-16,1.6497734502342794e-13,818.8 -> 521.8,TAG2,175562.153400414,1726222.87402667,2100523.02832068,1319863.04492128,1618887.85373307,11681862.511292,10583775.4407654,9146622.01049131,1442213.79370123,2337791.94189526,65438.1047172306
TAG(48:1)_FA 16:0,-2.3451443482896086,10.551158490010344,64.58320276888065,9.254090913565644e-16,3.063104092390228e-13,822.8 -> 549.8,TAG1,374570.565509884,3569631.0380854,3384394.45214794,1931164.4404296,2705646.4345701,15339431.7519531,21552739.101562,11859766.9892578,6948274.7978511,3867669.6464839,318746.301387571
TAG(48:3)_FA 16:1,-2.317019693033834,8.75355911689934,63.17690163037333,1.8895119671413383e-15,5.003427688990265e-13,818.8 -> 547.8,TAG1,120066.148601529,1019245.55395476,953079.71069328,618189.57641604,771294.27099632,4194569.08837783,6503247.99511672,3347313.49902301,1843020.71289118,1158888.50805659,103614.34692002
TAG(48:2)_FA 16:0,-2.2304385887247546,8.642839325059198,58.9209055514657,1.641390029312691e-14,3.6220006646833377e-12,820.8 -> 547.8,TAG1,119326.168254799,1009759.37524408,918724.70825185,608724.62670907,730526.66381862,3810367.74633757,6002630.20288081,3015742.10522513,1686410.66845692,1100217.93847648,99298.4867210266
PI (28:0),-2.0690140921694047,11.488917042480805,51.290214201839916,7.967180311337797e-13,1.506935247458749e-10,772.4706 -> 495.4706,PI,4896514.8916007,8773849.58105462,5550536.0673838,2228376.22460944,4900645.26440366,23264007.6650391,40063899.8984371,20330968.5761714,13791103.5800782,13981100.9238272,86343.125915511
PI (30:1),-1.9965835233624598,11.975934697790201,48.00092805041947,4.260174668911128e-12,7.050589077047917e-10,798.4863 -> 521.4863,PI,6546383.9560554,12456465.6513678,8622487.82031303,3780471.56249957,7172700.57226564,33197249.7011718,55593732.0585937,28621899.0996093,18173608.0292952,19067071.1513681,116374.388794
PI (28:1),-1.9877382867942375,10.986552677480619,47.605113376612564,5.213232640955499e-12,7.669244462916756e-10,770.455 -> 493.455,PI,3353600.19628953,6865695.0102532,4044524.23828104,1789554.47900391,3507127.27978406,16045781.4221192,28249946.5297857,13541546.9208982,9325581.11132913,10623849.9262691,49804.423522954
PI (26:0),-1.9648420750201228,10.69966087451032,46.586705968129785,8.765288745807353e-12,1.1605242299448935e-9,744.4393 -> 467.4393,PI,3101251.0839849,5066992.54687405,3492774.50805767,1452567.53051751,2978456.91357435,13136665.089355,21982786.4282228,10829045.2285151,8245885.33837955,9173369.60546888,69812.024841298
PI (30:0),-1.9522468871118628,10.985762565082112,46.03025965345217,1.1644052385175356e-11,1.401520487088379e-9,800.5019 -> 523.5019,PI,3430178.73535191,5891704.5507813,4275625.16503973,2140426.06347667,4004738.94873046,15932461.531738,26388724.8735346,14378189.0048833,9996200.1914062,10211792.8935553,151462.99133294
TAG(48:2)_FA 18:1,-1.8885199247027458,8.566949854598857,43.2559570727135,4.802732829652171e-11,5.299015222049562e-9,820.8 -> 521.8,TAG1,145823.550739284,1158222.64306713,1030413.39160161,656950.28955068,875623.8640135,3334289.20654245,4992539.19165096,2760754.97949187,1828801.02807564,1124111.56127929,116155.88825987
TAG(50:4)_FA 18:2,-1.881870097083456,9.818394385251777,42.97069979223306,5.55658541765133e-11,5.6591685330541236e-9,846.8 -> 549.8,TAG2,463137.354514857,2080151.56028041,2414961.336914,2162671.0449211,2092080.27898801,10823322.9643785,9983714.33195433,8936187.62867368,1447366.68408243,2226823.99863383,192816.451930992
TAG(50:3)_FA 18:1,-1.857242952066686,9.65312168541162,41.920307408068766,9.507013322678761e-11,8.990918313733342e-9,848.8 -> 549.8,TAG1,369924.807216683,2299590.0048828,2254348.6142584,1501380.0244143,1788613.1240228,7432279.476562,9856599.8291015,5805706.8486327,3832134.8037123,2322969.6972664,362208.986549169
PI (30:2),-1.828548914520185,8.06460193508996,40.70963762656538,1.7661396749076835e-10,1.4614805809861081e-8,796.4706 -> 519.4706,PI,446524.53112792,808517.235229092,538092.279296892,371135.348815962,527461.471557559,1940805.91809024,3483473.18273881,1680568.42407225,1161423.21740716,1360748.54138146,123507.527252148
PI (32:1),-1.8313924180565804,11.185905434271778,40.82932272670499,1.6612167165068189e-10,1.4614805809861081e-8,826.5176 -> 549.5176,PI,3921747.26269577,7379925.10498011,5230612.83154235,2981996.20410058,4841879.5156258,18306513.6552739,31202988.8710943,16928445.6494147,10512023.6679686,10220969.3535161,111841.8876953
Lyso_PE(21:0),1.8176085767165642,0.65495608440698,40.12036966386209,2.387860324305023e-10,1.859721805517559e-8,524.3638 -> 382.3638,PE,3385.020229339,5467.3403778074,5955.3604850779,6993.2404785131,8578.0605430613,1731.0601234432,1906.3801269531,1589.8601188662,1775.1201210021,1592.6201057433,8440.6205558803
PI (32:2),-1.792947849271834,9.294145544880232,39.22851806654944,3.769934153590606e-10,2.7729960107522016e-8,824.5019 -> 547.5019,PI,1044827.64819257,2053600.21191401,1319436.71118105,934280.04089311,1333644.13220235,4784101.44702095,8559753.96337908,4356729.08398453,2757143.96215768,2850229.25488292,45658.303405737
PG (22:6),1.7922096278074304,1.1728296170929151,39.06959426347004,4.0896389472961413e-10,2.849832613800048e-8,574.2875 -> 385.2875,PG,1796.9801292419,1501.6001091002,2086.7801513664,8766.8406181318,15763.4611511186,1669.2001190181,1539.8001213071,1852.8401260369,1932.3801460266,1678.0001182556,16014.8812255813
PE (21:0),1.7599008986788245,1.0697670197838574,37.76173982528808,7.993421893213678e-10,5.259389451718674e-8,524.3348 -> 383.3348,PE,2768.9001960746,5187.8203659048,6855.2404403682,7972.4605636588,10306.1607131942,1997.7801208495,2194.0201606752,1922.4801368703,1725.0001258849,1845.1401367195,13423.3210258457
TAG(50:4)_FA 18:1,-1.7551016964138846,7.8218377214004695,37.6784910935603,8.34193190982569e-10,5.259389451718674e-8,846.8 -> 547.8,TAG1,105128.107955944,704577.15283214,639635.45068366,484285.81665054,508613.31250001,1987621.29882809,2802705.54247992,1594841.58105507,1012993.78710935,699505.14868167,98864.6274986616
C20:0,-1.6581605118948313,11.690759059210825,33.82961227249077,6.0156205689645115e-9,3.6203098333222785e-7,311.3 -> 311.3,FFA,7164890.59594682,5891383.85693366,5650540.19165002,5794100.02490271,9953731.9816896,9355695.3831788,8099883.50268557,6967781.80004888,50481007.0273447,34962826.9877934,2580457.12304688
TAG(48:1)_FA 18:1,-1.5690003202393066,8.560778250696682,30.44611799224913,3.43269566304256e-8,1.976038720812326e-6,822.8 -> 523.8,TAG1,221166.195804525,1222541.89160187,1201843.39257816,840279.25292993,940789.76220722,3081002.16601597,4034173.25097702,2663096.4482417,1947327.71923824,1169632.92626963,219186.134483368
PI (24:0),-1.558242088183988,7.744530907456216,30.048138614369236,4.21452883653871e-8,2.3250150748238548e-6,716.408 -> 439.408,PI,477248.23657227,775307.13647475,564740.25866595,258072.697753915,465619.337341214,1518624.26049822,2564916.81494101,1247745.45007326,1051692.10693372,1157022.25500486,45042.583435058
