lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,7E1,7E2,7E3,7E4,7E5,7C1,7C2,7C3,7C4,7C5,SolventBlank1
PG (20:0),-3.9881969979988763,2.795417055273442,202.8285093073649,5.042071041928096e-46,6.675702059512799e-43,572.3294 -> 383.3294,PG,3286.8201866142,2023.4201469426,2322.7001686101,2934.5402030944,2633.3801727293,49669.9234886017,50722.5636367881,51920.5037841927,35635.3822441078,31083.0221900925,25583.5016174507
Lyso_PG(21:0),-3.566263877768841,2.53585094574875,168.6544551900989,1.4556386479521043e-38,9.63632784944293e-36,572.3584 -> 383.3584,PG,3696.5002059958,2728.220191955,2191.9401474005,2569.7001953124,2114.7801475515,39298.7027015821,39361.8830489848,39130.50270462,23641.7219009327,22579.7013816865,25733.9218902447
PE (21:0),-2.8281796571702387,1.4834413747734148,113.0828805638202,2.0694123521131714e-26,6.849754885494598e-24,524.3348 -> 383.3348,PE,1997.7801208495,2194.0201606752,1922.4801368703,1725.0001258849,1845.1401367195,18620.9412612934,17381.4012222291,14794.7410430966,11864.5009841943,9034.6604881273,13423.3210258457
PI (22:1),2.833442285517172,2.17140726311598,113.5339037817197,1.6483857808047276e-26,6.849754885494598e-24,672.3818 -> 395.3818,PI,14443.920932772,21233.7214164766,14468.4007873554,22575.6611557029,19369.6214141981,2330.260147094,2572.6001853939,3014.3201980584,2784.8601837156,2637.4401931753,27108.701705945
Lyso_PG(22:4),2.742592902368512,2.4154579015209015,107.22833665256846,3.967235566762648e-25,1.0505239780787493e-22,578.3114 -> 389.3114,PG,23471.1614074562,15218.8411750769,13623.9809646607,27811.1218185384,37687.4626808029,1943.2601356504,1797.860126495,2090.0801506046,4239.0203094475,8066.9205398574,28766.3024139368
PG (22:4),2.574617012879603,2.343216579645449,95.7955106316897,1.2738424937134834e-22,2.8109457694610864e-20,578.3188 -> 389.3188,PG,23392.6019248908,18391.7414550778,14891.7008552598,22215.1216163569,32838.8025054969,2010.0001182551,1930.7401313783,2830.3801918031,4000.5603103647,8495.7406387326,27106.7415657025
C20:0,2.1731334949240124,11.645629520907123,70.46873964050792,4.676179753927104e-17,8.844659991713551e-15,311.3 -> 311.3,FFA,9355695.3831788,8099883.50268557,6967781.80004888,50481007.0273447,34962826.9877934,6660940.35449238,5656462.54565431,4935812.59033157,4303737.70532186,4626166.85766558,2580457.12304688
Lyso_PE(21:0),-2.0981093065398837,0.7427695495259912,65.79283155754254,5.009008870937141e-16,8.289909681400968e-14,524.3638 -> 382.3638,PE,1731.0601234432,1906.3801269531,1589.8601188662,1775.1201210021,1592.6201057433,10996.2207107542,9277.88056182419,7134.1804885792,5836.6604042004,5324.7403259272,8440.6205558803
PE (22:4),1.9518070723533707,2.2411701680716787,57.65026886087833,3.131201639061124e-14,4.606345522352143e-12,530.3242 -> 389.3242,PE,14726.2410087535,18921.7212028517,16176.7410430833,27061.7023696865,19160.0015029879,3362.1002159101,5606.6203651441,5876.0004196161,5488.4403686547,5222.1404075612,25524.8219452221
Lyso_PG(22:6),-1.895532984717123,1.0990470157410699,54.423834850266964,1.6159098840980422e-13,2.139464686545808e-11,574.2801 -> 385.2801,PG,1566.0001182555,1709.2601089474,1760.9201202393,1667.6601219177,1574.5401077267,6314.5006027236,19057.0815582204,2170.5601654048,2382.8401641842,2036.1001472466,15808.101089474
Lyso_PE(22:5),1.8353155492060678,0.6013517569360574,51.22387427401699,8.241024326895505e-13,9.919196553463317e-11,528.3012 -> 386.3012,PE,4750.2603034992,5451.9004020688,5264.1403656001,7263.0004768365,7213.060447694,1885.2401275649,1899.9401321402,1677.6601181031,1681.0601043699,1611.5001182552,8318.9605941758
C22:0,1.790116064682693,11.29732087336808,49.07162328347153,2.4678466660451086e-12,2.722857488203103e-10,339.3 -> 339.3,FFA,4868381.00451661,6983643.90548718,6583491.59368893,37614789.408203,26259709.8496704,6980257.46044933,6143154.96557622,3989232.24951161,4078324.88293469,4431346.51440431,1849533.07275394
Lyso_PE(22:4),1.760771422126065,0.8815568164833842,47.43298356778342,5.6916884851298015e-12,5.79676581100912e-10,530.3168 -> 388.3168,PE,6956.1805763229,8549.3204841626,8946.7006530739,10010.7206954927,9609.6606559746,1581.1601028436,2654.4801902758,2767.1002044684,3130.6802024836,3187.3002357464,7329.9605026272
18:0 Campesteryl ester,1.6603225300563418,4.061055201539181,42.54048007190567,6.923442329010598e-11,6.547598316864309e-9,684.6315 -> 369.1,CE,296364.040252831,64413.024551392,44385.8429641705,72084.125373834,59905.744438167,32544.1822509792,33007.262458799,41363.822868349,26824.9418334918,40752.3426055931,18627.7413063037
PE (22:6),1.6372608930602968,1.2261453354387462,41.29086221411239,1.3118069527932649e-10,1.1578882703321884e-8,526.2929 -> 385.2929,PE,3119.2602081302,5142.2604026779,6618.9804115296,9378.8808097854,8708.860607147,3263.0002212528,2231.7201309204,1922.7801475519,2025.420139313,1806.1201019295,16873.0810317968
"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",1.6218814435738755,4.096391226292419,40.68539480381923,1.7881871435715785e-10,1.4797248613054813e-8,684.6471 -> 369.1,CE,299552.961639585,64652.104614242,45065.5431366009,69548.584800729,62041.6844558688,35044.0824661194,33223.8223342735,44252.3830642653,27118.8620147769,41071.3430519104,21200.5014762868
C19:0,1.4591533041669604,9.947147710164845,33.23832583345939,8.152773292017585e-9,6.349571669783107e-7,297.3 -> 297.3,FFA,2338452.56127986,2652663.36755474,2909301.20422311,12205322.3505861,9547684.79833992,2379134.79211378,2068100.91955447,2765761.83874503,1857585.01501557,2438546.09191994,1072569.0904541
17:1 Campesteryl ester_simulated,1.4410174196392775,4.049686307218975,32.4418260891141,1.2281444508724838e-8,9.033684738639826e-7,668.5845 -> 369.1,CE,269874.479755438,65203.484436019004,46362.1031455932,69828.8250503447,65528.90461732,37225.8827247513,35316.2425765853,46512.0634079042,32376.1223335334,44165.5429191722,16805.6012306227
17:0 Campesteryl ester_simulated,1.4364597316723424,4.043840989035968,32.244651721768605,1.359307323279621e-8,9.200256750883382e-7,670.6002 -> 369.1,CE,264749.500022801,65199.004707335,47612.5833511274,70491.1050643819,64392.864845258,38505.8826522688,33963.5024070725,44532.2030868425,31931.7822036659,45829.6632575945,17371.0611877457
18:1 Campesteryl ester,1.4344182706834054,4.194622837429139,32.15717492129261,1.421906157359836e-8,9.200256750883382e-7,682.6158 -> 369.1,CE,303679.103630012,70817.984878547,47894.9230422999,75871.6652526892,68973.7650032018,39340.9629059003,37464.6822051874,51245.4633255132,33676.4624099813,53767.103515632,19941.80141449
"lanosteryl palmitoleate, 18:2 Campesteryl ester",1.4332547001261415,4.152177928969918,32.10680179686734,1.4592552248379986e-8,9.200256750883382e-7,680.6002 -> 369.1,CE,289775.361114668,68551.324310312,51314.9836425707,72929.8851890682,66602.7247924843,39231.5229644881,37752.9825668318,50933.0635604989,31174.0622711191,50031.4833641258,19871.1413497947
"18:0 Cholesteryl ester, 16:0 Sitosteryl ester",1.42089098303134,4.034784990994275,31.575221256710446,1.9186219144599358e-8,1.1546615521567977e-6,670.6158 -> 369.1,CE,264723.660270531,65151.384445188,45747.3632163869,67778.1447067212,61527.644317621,39764.7028427169,37930.2827911238,43767.1631546023,30200.4422187743,42474.6029319805,18395.4213218708
"18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",1.4002400454919255,4.026692333285671,30.69698363540374,3.016335845081622e-8,1.736360286473073e-6,668.6002 -> 369.1,CE,263091.04090112,64194.924331645,44980.1229247978,68952.7249145549,61770.244674672,34524.0625076276,35666.9424476658,45923.3231430047,32149.9822196941,47147.0830040011,17214.1211738598
18:3 Campesteryl ester,1.3975878624490408,4.141729556918054,30.585473525181214,3.1947679834836754e-8,1.7624470042218274e-6,678.5845 -> 369.1,CE,280345.760017487,71275.9449081379,53661.903907788,70355.9252967894,66409.60484314,40321.0628280579,40277.9628677324,49931.5637893661,32123.7023391727,48845.4633102225,19598.5012397745
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",1.3908515148136413,4.10688718511758,30.301681596781915,3.698051586041235e-8,1.958488119967438e-6,666.5845 -> 369.1,CE,268754.361145061,66899.9446945243,50645.2035293484,74960.14507294,65895.6644744731,39348.4427871702,39417.9627838103,48455.0035781898,34638.4024238619,44743.1228332399,19372.4813537636
PG (32:5),-1.3792899508677794,4.353121248471221,29.818370451047485,4.7447473337863956e-8,2.4161713345896876e-6,730.4389 -> 541.4389,PG,31998.102470392,82556.0261306681,41821.222808874,40935.423110973,36526.202484118,46580.203414923,213857.352020235,40506.682785001,37395.742721562,276925.427124024,29379.841583254
