lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DP1,40DP2,40DP3,40DP4,40DP5,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,SolventBlank1
TAG(60:0)_FA 20:0,-2.0657660124060775,13.770068706461819,202.09528614014562,7.287946443485767e-46,2.791283487855049e-43,992.9 -> 663.9,TAG2,398417.468711869,1530916.06917516,988873.538269663,624617.887435602,1273109.19055606,9449173.02427687,674220.509528967,8210769.6942028,1785794.04348759,2629767.92481939,22974.0015487575
TAG(56:0)_FA 16:0,-1.2398005462356987,12.923669510691637,76.41271357861115,2.3016470922629577e-18,4.407654181683564e-16,936.9 -> 663.9,TAG1,409359.44738764,1062561.54467727,932060.688476501,499239.12036139,1166593.16613818,2835180.51342784,571544.40258798,4598288.82128861,1158825.31713804,1647667.76782165,76772.1254119711
TAG(58:0)_FA 18:0,-1.2140731929501014,12.937238725742677,73.36124474919416,1.0796530914043315e-17,1.37835711335953e-15,964.9 -> 663.9,TAG1,474266.95446794,1093303.13134788,941195.18981931,506681.73779307,1143417.54907206,2930379.49878004,576557.979126,4651277.98852546,1172731.17980921,1529949.28674226,76068.1050109935
TAG(58:1)_FA 18:1,-1.0266607581272436,12.729709233742739,52.87958031208835,3.5463732982507917e-13,3.395652433075133e-11,962.9 -> 663.9,TAG2,351288.20349137,1111763.87145987,1000352.13024899,521583.74121107,973888.78674315,2857533.29687615,596459.74389655,2839679.0854492,1219381.82421883,1553057.71704104,38868.0426330548
TAG(60:8)_FA 16:0,-0.9940242022521965,11.331512098207353,49.630288994410876,1.8562568495121866e-12,1.4218927467263348e-10,976.9 -> 703.9,TAG1,241939.45910648,275999.51892115,263798.2784426,300070.6208497,300079.503174,578701.92138689,598593.62548832,644175.20483411,604802.21899411,658269.89099105,134647.649311095
TAG(60:9)_FA 16:1,-0.9830663581783582,11.308610878965633,48.56221413825233,3.1997525555582452e-12,2.0425087146313466e-10,974.9 -> 703.9,TAG1,244741.67810057,262952.45935055,266622.23779299,287348.61962906,305400.94104004,563994.41894539,578706.58374037,621393.26123059,610397.93640152,652524.21167001,133271.588966379
TAG(58:2)_FA 18:2,-0.961914073702568,12.682565686462645,46.53491536773798,9.000042120484903e-12,4.924308760208169e-10,960.9 -> 663.9,TAG2,333934.04248067,1103391.75878868,1043018.55786205,514471.09655752,951398.30151361,2569821.62255847,601160.11572257,2744571.98046899,1233666.58239849,1486704.67724637,38653.643054964
TAG(56:1)_FA 16:1,-0.8684231040474374,12.547221667695466,38.05416821912513,6.880755920804523e-10,3.294161897085165e-8,934.9 -> 663.9,TAG1,408809.14941389,931909.41503931,889930.00537205,468120.30981463,1003560.77758795,1861173.34765569,524329.57666018,2864156.76123008,1040076.47314447,1303276.00097696,78584.6655540488
TAG(58:8)_FA 16:0,-0.6396555400855835,13.249973574771928,20.78559168013453,5.1367971731166495e-6,2.1859925747818633e-4,948.8 -> 675.8,TAG1,1106839.55908193,1178580.58227513,1159279.22412111,1259064.43872106,1305529.35595691,2040442.1054688,2010159.80957032,2184718.02978559,2088678.26464826,2166741.65283195,595916.520416331
TAG(58:9)_FA 16:1,-0.6341468843408079,13.220794283005516,20.43193683705249,6.178999278796482e-6,2.3665567237790523e-4,946.8 -> 675.8,TAG1,1105599.65673823,1171265.85620131,1142751.65624985,1220131.54980488,1288621.6118166,2001055.14209049,1987405.3828124,2140939.71777493,2034662.92285155,2140617.72998032,564366.362716751
TAG(60:8)_FA 18:0,-0.5373220549064223,12.720484002053956,14.701635028937744,1.2593717461714432e-4,0.0043849034434878436,976.9 -> 675.9,TAG1,836751.59472642,866401.87548819,827324.57421877,867106.02416995,948843.07568381,1348786.81323217,1352346.3588866,1484509.34863311,1434306.19775373,1440524.6525876,414921.847213514
TAG(58:0)_FA 18:1,-0.4884312631814987,9.236984778674762,12.155613012264439,4.894035514003375e-4,0.014418581552794558,964.9 -> 665.9,TAG2,61357.744415279,100012.547241234,96809.286682154,69384.404907217,98720.886047354,195663.553039471,76626.505126978,172206.453033618,115991.208557103,111675.387512252,15558.7410926822
TAG(58:1)_FA 18:2,-0.49094442753655015,9.207830063917376,12.280285576735881,4.577683170000206e-4,0.014418581552794558,962.9 -> 665.9,TAG2,57116.704284693,100669.586364715,92623.746276855,72949.505310059,90520.026367215,186544.512329065,73833.485076917,164906.7502747,108189.567321825,121210.889221299,17481.8011779728
TAG(52:4)_FA 16:0,-0.46822662557405603,10.523131693438296,11.17764019718743,8.278900204684439e-4,0.022648705559958144,872.8 -> 599.8,TAG1,189355.75366211,179825.65332032,288843.66101074,151695.87072754,222545.91406251,305626.12121603,304435.8616944,416907.80957023,256117.65820308,311405.8621826,48365.3032607804
TAG(54:6)_FA 18:2,-0.45954131615430394,10.901497950901074,10.768965895576002,0.0010321616147117828,0.02635452656230752,896.8 -> 599.8,TAG2,244426.636932362,287155.40063471,308882.96118153,211334.05493164,314805.960880203,376341.00610343,393261.30761721,527597.14007167,380008.08813491,417046.0302734,49018.9637031496
TAG(52:5)_FA 18:0,0.44959233006419513,8.793652461553876,10.305053780725757,0.0013266638666471376,0.03175701630786586,870.8 -> 569.8,TAG1,192492.774108917,64504.50457764,50830.22393797,48649.623626695,54361.403900135,96902.246643065,59753.704925518,65593.304473868,62314.244079544,53644.743957536,23283.2014732316
TAG(60:5)_FA 18:2,-0.44474463155418364,10.063255634211092,10.088357067962988,0.0014920907937909108,0.03361592788364229,982.9 -> 685.9,TAG2,126059.408813499,221156.834289655,149449.230468745,144141.088500971,142566.910278335,399453.488037004,144904.449279765,139069.891010274,335855.407165616,178235.611816465,15160.1010131839
TAG(48:2)_F A18:0,0.4358497567352305,9.14661170921469,9.688118097949427,0.0018546339129277758,0.039462488258407674,820.8 -> 519.8,TAG1,205681.3353273,79355.88610841,79344.28588867,66929.344787575,78411.565673829,95688.226562514,70867.045166,93797.34631349,83744.28540038,79425.525817879,37257.4428329356
TAG(52:5)_FA 16:1,-0.42885055055462257,10.504558915901326,9.383252026288574,0.002189767480000381,0.044141102360007685,870.8 -> 599.8,TAG1,183883.21240234,189902.33276364,299741.37963851,140419.94958496,219591.03662107,299563.31958023,291644.51953142,404338.20874031,247515.718200715,308745.58251963,50146.3633842386
TAG(60:4)_FA 18:1,-0.4189484694507645,10.03423222655174,8.955932954376067,0.002765699100523277,0.052963137775020756,984.9 -> 685.896,TAG2,128997.869956973,210278.334594661,154886.470947287,140012.589660619,143341.368835478,394540.988891739,139565.769988983,142922.129863745,326247.442016698,164743.752532916,13406.9610061679
TAG(48:3)_FA 18:1,0.4111448115271816,9.185406474838201,8.624650454488801,0.00331644073046644,0.060485561893745064,818.8 -> 519.8,TAG1,197092.835083059,84041.306457506,79508.90563968,73373.1057129,86473.146179187,95504.22601316,74121.965576182,99008.686950704,84628.125488279,86500.56604003,37941.4027595653
TAG(50:4)_FA 18:0,-0.40025060364781645,9.321111284593272,8.175504423301959,0.004245986004216725,0.07391875634613664,846.8 -> 545.8,TAG1,74729.46514892,106244.407897993,88051.205139166,73540.105041453,110649.168029734,120750.447998013,91303.887573233,168488.953552152,114401.006774998,174141.790527447,27933.2221717827
TAG(58:0)_FA 16:1,-0.39762626474277435,10.225223080243495,8.070497964696187,0.004499175073298577,0.0747857561622569,964.9 -> 693.9,TAG1,148656.210815432,204883.214416446,181364.172790482,148853.91101076,194288.35327171,213878.838195752,235438.376953097,331878.502990681,239219.099121021,269979.117370601,29021.1218986539
TAG(60:4)_FA 20:4,-0.395770829416814,11.806703709409659,7.9966823536015,0.004686313702073539,0.0747857561622569,984.9 -> 663.9,TAG2,212189.475883529,752411.29608091,769390.12756348,407609.768859908,590939.103637615,1103328.21246385,403222.80615235,915188.662299681,819399.387695867,788363.73388607,18283.8613014209
TAG(60:3)_FA 18:0,-0.38931479874363806,10.10587313711911,7.737509400887575,0.005408534773448638,0.08285875272923314,986.9 -> 685.9,TAG1,154167.629486096,210822.277893049,153957.891784724,127795.248657248,164038.951965368,376396.468383847,146615.590271023,155256.292999177,331853.740539299,179647.191680905,27570.3219871557
