lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,42E1,42E2,42E3,42E4,42E5,7C1,7C2,7C3,7C4,7C5,SolventBlank1
PG (20:0),-4.3857409099372155,2.7021339882551203,276.97078336677794,3.433424813410854e-62,4.545854452955971e-59,572.3294 -> 383.3294,PG,2294.4201812748,1712.8201103206,2028.8801498418,1763.1601142881,2095.0201454155,49669.9234886017,50722.5636367881,51920.5037841927,35635.3822441078,31083.0221900925,25583.5016174507
Lyso_PG(21:0),-3.7621449146067505,2.447874379586224,216.17012871201797,6.191685315826557e-49,4.09889567907718e-46,572.3584 -> 383.3584,PG,2308.0201568608,2321.2401657105,2179.0201454159,1802.0801391602,2842.8401908889,39298.7027015821,39361.8830489848,39130.50270462,23641.7219009327,22579.7013816865,25733.9218902447
PI (22:1),3.451001101305852,2.3995581351404134,187.19876053228066,1.2995842795947255e-42,5.735498620611388e-40,672.3818 -> 395.3818,PI,26832.9616622938,28386.1819877541,33436.9623374974,28171.2019462593,23884.4418640187,2330.260147094,2572.6001853939,3014.3201980584,2784.8601837156,2637.4401931753,27108.701705945
PE (22:6),2.910008309844205,1.6718268309887214,139.5047671942885,3.415946312669885e-32,1.130678229493732e-29,526.2929 -> 385.2929,PE,10610.9807701125,13347.500885012,16233.7812347377,19109.0014915527,21690.0414924645,3263.0002212528,2231.7201309204,1922.7801475519,2025.420139313,1806.1201019295,16873.0810317968
Lyso_PE(22:5),2.615273484973387,0.9109606190236187,115.33819001586767,6.635851872884192e-27,1.757173575939734e-24,528.3012 -> 386.3012,PE,9787.1006622279,10076.2207107536,9643.7606315608,12114.9007453888,9871.8006629941,1885.2401275649,1899.9401321402,1677.6601181031,1681.0601043699,1611.5001182552,8318.9605941758
TAG(48:3)_FA 18:2,-2.5774069169107685,9.921661989923006,112.7810068197432,2.4097316585387412e-26,5.317474526508822e-24,818.8 -> 521.8,TAG2,175562.153400414,1726222.87402667,2100523.02832068,1319863.04492128,1618887.85373307,22109768.7919917,5993913.42144788,8185492.89599552,5922385.19726576,1510865.71533168,65438.1047172306
C26:0,-2.5571603196578496,7.52902653508103,111.19096810290645,5.373678431542924e-26,1.0163928919089758e-23,395.3 -> 395.3,FFA,562009.817436325,114081.807910837,13528.0609626735,12840.900878903,13404.6409378055,1238350.72369382,896380.780578632,863663.424056947,782176.691070502,1169391.40676867,911496.486236535
PE (22:4),2.389921124785139,2.3727096934945586,98.26915683187303,3.652101974250458e-23,6.044228767384509e-21,530.3242 -> 389.3242,PE,25394.8818969724,30307.9216079669,29629.0619964668,22255.8615341216,22465.8817634585,3362.1002159101,5606.6203651441,5876.0004196161,5488.4403686547,5222.1404075612,25524.8219452221
Lyso_PG(22:4),2.3811049243338447,2.1723773062736718,97.5564225788569,5.2343300195330984e-23,7.70028105095758e-21,578.3114 -> 389.3114,PG,18764.7813568058,21622.1615295312,13444.2009582496,18179.5014495947,20317.4416694603,1943.2601356504,1797.860126495,2090.0801506046,4239.0203094475,8066.9205398574,28766.3024139368
PG (22:4),2.3185515900549576,2.1467318834562676,92.94429430788102,5.378714239496155e-22,7.12141765309291e-20,578.3188 -> 389.3188,PG,18124.1213226213,19778.6216507023,13976.7209892321,20431.041534425,21458.0214996412,2010.0001182551,1930.7401313783,2830.3801918031,4000.5603103647,8495.7406387326,27106.7415657025
TAG(50:4)_FA 18:2,-2.0821260380929476,9.938797563360286,76.39492339489516,2.3224754991996006e-18,2.7954159644911555e-16,846.8 -> 549.8,TAG2,463137.354514857,2080151.56028041,2414961.336914,2162671.0449211,2092080.27898801,20338124.7832036,5737341.37695671,7282017.5273427,6006855.3291019,1878414.8046877,192816.451930992
PI (28:0),-2.0780737505867877,11.466473829347997,76.11963445295052,2.6698935748064906e-18,2.9457825775364946e-16,772.4706 -> 495.4706,PI,4896514.8916007,8773849.58105462,5550536.0673838,2228376.22460944,4900645.26440366,42011692.3931273,26988881.9921881,14062433.7070314,17654146.7421874,17084508.6875005,86343.125915511
PI (28:1),-2.0560964495807266,11.012194743167566,74.63228309854772,5.670826456150115e-18,5.77551863687904e-16,770.455 -> 493.455,PI,3353600.19628953,6865695.0102532,4044524.23828104,1789554.47900391,3507127.27978406,31709453.7719415,20295933.0415045,10434691.0043945,12291864.851563,11236286.172852,49804.423522954
