lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DP1,40DP2,40DP3,40DP4,40DP5,40DN1,40DN2,40DN3,40DN4,40DN5,SolventBlank1
TAG(60:9)_FA 16:1,-1.2091739875915448,11.46119515158584,106.66793502051587,5.263748744476682e-25,2.0160157691345692e-22,974.9 -> 703.9,TAG1,244741.67810057,262952.45935055,266622.23779299,287348.61962906,305400.94104004,580890.44567892,662651.44555673,587477.12060535,690645.57080071,730631.43200668,133271.588966379
TAG(60:8)_FA 16:0,-1.2007953966278737,11.472159113466233,105.23491432039191,1.0848149612469797e-24,2.077420650787966e-22,976.9 -> 703.9,TAG1,241939.45910648,275999.51892115,263798.2784426,300070.6208497,300079.503174,588705.72045896,655148.30749533,602884.10302775,696539.40234382,725906.07153322,134647.649311095
TAG(58:8)_FA 16:0,-0.7358250186761541,13.312603304695914,40.20871689946216,2.2822761106093764e-10,2.185279375908478e-8,948.8 -> 675.8,TAG1,1106839.55908193,1178580.58227513,1159279.22412111,1259064.43872106,1305529.35595691,1861251.10302744,2151439.1557608,1801394.71044924,2180597.00878796,2304263.81445177,595916.520416331
TAG(58:9)_FA 16:1,-0.7363185951969409,13.28739613739935,40.262083332303064,2.2207752062055768e-10,2.185279375908478e-8,946.8 -> 675.8,TAG1,1105599.65673823,1171265.85620131,1142751.65624985,1220131.54980488,1288621.6118166,1830423.61084002,2112678.52832033,1803543.79980484,2177148.81542967,2232155.85498151,564366.362716751
TAG(60:3)_FA 18:0,-0.6822256713693043,10.289203634247471,34.60659030820261,4.035377816866504e-9,3.0910994077197417e-7,986.9 -> 685.9,TAG1,154167.629486096,210822.277893049,153957.891784724,127795.248657248,164038.951965368,489388.690795937,199190.851989692,284120.844665424,163897.751464863,157897.310974142,27570.3219871557
TAG(58:4)_FA 16:1,-0.6440807499552769,10.303333557932914,30.87561687884454,2.751066160889752e-8,1.7560972327012917e-6,956.9 -> 685.9,TAG1,169049.951904215,219709.575256375,145480.39135742,128011.529357874,163792.672668551,473992.31127935,214221.5946655,265182.178100578,163939.531982452,169797.171386731,33374.7624511665
TAG(58:3)_FA 16:0,-0.6307587568995717,10.290140969267409,29.621395945575387,5.252197982603781e-8,2.741438081678812e-6,958.9 -> 685.9,TAG1,162741.912109361,213293.232910232,148838.330810568,139457.9884033,157922.7923584,465793.194763088,204302.234802186,265819.15771496,171884.812744166,164206.912658774,32422.4222106891
TAG(60:8)_FA 18:0,-0.6288803857922688,12.779043941286393,29.453909400399425,5.726241423872192e-8,2.741438081678812e-6,976.9 -> 675.9,TAG1,836751.59472642,866401.87548819,827324.57421877,867106.02416995,948843.07568381,1253861.16381825,1456649.79541002,1189864.40771483,1466723.30126944,1542811.86572281,414921.847213514
TAG(60:0)_FA 20:0,-0.5645287148846772,12.728310454448037,23.770480986349867,1.0853428273279121e-6,4.618736698517671e-5,992.9 -> 663.9,TAG2,398417.468711869,1530916.06917516,988873.538269663,624617.887435602,1273109.19055606,1920771.02504308,989272.694404508,1230197.14108702,1751931.610126,1244782.01979445,22974.0015487575
TAG(60:7)_FA 20:0,0.5269450503319081,10.854620858773794,20.724569191630508,5.3031184856479465e-6,2.0310943800031634e-4,978.9 -> 649.9,TAG2,129274.449401845,503066.76403858,562134.57189939,402384.62292489,279798.939697285,256333.241699335,173211.01220701,486059.69421382,168962.932250987,231278.433532715,16037.3010292076
TAG(58:0)_FA 18:0,-0.4850686800932574,12.495012970036006,17.578605137125123,2.75672451309681e-5,9.598413531964349e-4,964.9 -> 663.9,TAG1,474266.95446794,1093303.13134788,941195.18981931,506681.73779307,1143417.54907206,1223154.45556627,1044315.24707048,940073.35485893,1589388.55517568,1078848.6564943,76068.1050109935
TAG(60:5)_FA 18:2,-0.4558743972912232,10.08826011138167,15.530472215514237,8.118593742425361e-5,0.002591184502790761,982.9 -> 685.9,TAG2,126059.408813499,221156.834289655,149449.230468745,144141.088500971,142566.910278335,361275.32189948,148136.470352192,268333.360351476,135913.270050044,162363.731628444,15160.1010131839
TAG(60:11)_FA 20:4,0.4488486790428153,10.699250310377689,15.05916544998945,1.0419306879976322e-4,0.003069688103869947,970.9 -> 649.9,TAG2,146823.930664038,390007.530822787,379153.5449219,434897.30200141,276293.07702638,209309.232666,161613.971984818,351480.861632797,185794.032958975,321598.72338871,20366.3012886041
TAG(52:5)_FA 16:1,-0.42651854146923884,10.516128300313753,13.602824063858861,2.258455222627152e-4,0.006178488216187137,870.8 -> 599.8,TAG1,183883.21240234,189902.33276364,299741.37963851,140419.94958496,219591.03662107,228146.73791501,286147.26135274,242077.23657232,340071.68261748,326605.52392596,50146.3633842386
TAG(48:3)_FA 18:1,0.40856802839435624,9.196987584516409,12.480387392523923,4.1124690470109294e-4,0.010367008513467512,818.8 -> 519.8,TAG1,197092.835083059,84041.306457506,79508.90563968,73373.1057129,86473.146179187,77796.26538086,77734.065307604,76951.80529783,85507.14636233,85202.10546873,37941.4027595653
TAG(56:0)_FA 16:0,-0.40685269379616856,12.419563654464401,12.383749800544138,4.3308651753389086e-4,0.010367008513467512,936.9 -> 663.9,TAG1,409359.44738764,1062561.54467727,932060.688476501,499239.12036139,1166593.16613818,1167925.72412054,914791.37011787,924246.26757814,1378737.9259035501,1054998.86328126,76772.1254119711
TAG(60:4)_FA 18:1,-0.40252538647498265,10.044007580689842,12.1191405549082,4.990689979845388e-4,0.011243730954592846,984.9 -> 685.896,TAG2,128997.869956973,210278.334594661,154886.470947287,140012.589660619,143341.368835478,332606.899780361,140962.35036846,276477.53900155,130036.449157755,148480.949157704,13406.9610061679
TAG(52:4)_FA 16:0,-0.39779189136951704,10.498315570379823,11.837725412058717,5.804268275039833e-4,0.011461504074964846,872.8 -> 599.8,TAG1,189355.75366211,179825.65332032,288843.66101074,151695.87072754,222545.91406251,222351.33642582,274870.77966302,246324.71643068,329934.24499519,321841.42468263,48365.3032607804
TAG(54:5)_FA 20:0,0.39689402163473964,8.21913991281874,11.772585050119233,6.010944421735345e-4,0.011461504074964846,898.8 -> 569.8,TAG2,101012.967033366,48851.623474113,44043.883361809,43239.78274536,39799.5227699113,41508.602844239,39618.123046858,50919.323486326,39202.442596421,44679.063171386,10298.4406127925
TAG(60:10)_FA 18:2,-0.39853977202393215,12.902023196970346,11.884650800999225,5.659843589049889e-4,0.011461504074964846,972.9 -> 675.9,TAG2,997100.70251454,1084427.39794918,1087075.81738296,1035365.22167946,1281372.86914085,1404997.19860828,1529799.44934052,1280197.33813457,1560952.68286121,1636301.01086412,222166.576950074
TAG(60:9)_FA 18:1,-0.39524901642750715,12.883813801998736,11.689796968688825,6.284375602461143e-4,0.011461504074964846,974.9 -> 675.896,TAG2,963126.46191435,1068379.95727543,1117769.98193356,1035941.41064459,1236136.74401842,1386041.76806632,1500253.56506353,1255195.26953139,1560664.12744127,1610707.63183558,219413.255611421
TAG(52:6)_FA 20:0,0.39328129648104,8.771675787525254,11.564826947472227,6.721114532039821e-4,0.011698650716474803,868.7 -> 539.7,TAG2,113658.927642816,82469.885620113,62546.344177249,81964.506530744,73825.685607924,68356.684692358,59570.6441879279,51056.383697512,64231.7845115698,83080.1057891828,9644.2006530747
TAG(60:7)_FA 16:0,-0.39181639973099647,9.524188626882202,11.482541545315371,7.025299385872598e-4,0.011698650716474803,978.9 -> 705.9,TAG1,94028.28649903,95139.7663574,100533.96630857,96398.28686525,106661.16748047,123776.808776848,129755.34887697,126570.24890135,138507.58935545,144940.11022951,50799.5236625605
