lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,7E1,7E2,7E3,7E4,7E5,40C1,40C2,40C3,40C4,40C5,SolventBlank1
TAG(48:3)_FA 16:1,1.822049246002881,12.402885860430139,70.42647434756873,4.777446219346641e-17,1.8297619020097634e-14,818.8 -> 547.8,TAG1,4194569.08837783,6503247.99511672,3347313.49902301,1843020.71289118,1158888.50805659,810728.74194346,705409.63793933,571566.94287099,823069.58056658006,1322538.75219727,103614.34692002
TAG(48:2)_FA 16:0,1.7509646151858154,12.295204404475937,65.3291123004019,6.337813187207328e-16,1.2136912253502035e-13,820.8 -> 547.8,TAG1,3810367.74633757,6002630.20288081,3015742.10522513,1686410.66845692,1100217.93847648,767156.63378936,669540.15405247,577576.57714834,806801.73486313,1258520.63549799,99298.4867210266
TAG(48:2)_FA 16:1,1.650577085711547,14.386148107858691,58.4065469216439,2.13180417306581e-14,2.7216033276140175e-12,820.8 -> 549.8,TAG1,16576652.2343745,24413979.3154297,13377309.63379,7362668.7412104,4253583.1601567,3465546.757813,2847617.373047,2467957.6767577,3214434.040039,6380021.9833981,328307.063114007
TAG(48:1)_FA 16:0,1.5917451604469055,14.255505204890557,54.503394976665724,1.551795082396519e-13,1.485843791394667e-11,822.8 -> 549.8,TAG1,15339431.7519531,21552739.101562,11859766.9892578,6948274.7978511,3867669.6464839,3220130.96972714,2904919.2392569,2316847.133789,3036305.7832025,5820874.37304666,318746.301387571
TAG(48:3)_FA 18:2,1.5446318320294365,13.448550603022989,51.461789317327195,7.300426230405425e-13,5.592126492490555e-11,818.8 -> 521.8,TAG2,11681862.511292,10583775.4407654,9146622.01049131,1442213.79370123,2337791.94189526,1699189.26820713,1600280.36621148,1785278.60498038,2148555.958225,3041565.83256126,65438.1047172306
TAG(50:4)_FA 18:1,1.3883910743394088,11.47237046863964,41.92674375057686,9.475771051333138e-11,6.048700521100987e-9,846.8 -> 547.8,TAG1,1987621.29882809,2802705.54247992,1594841.58105507,1012993.78710935,699505.14868167,534584.50268569,483777.33325205,429660.61059582,538823.716797,753405.53759749,98864.6274986616
TAG(50:4)_FA 18:2,1.2670441471119116,13.468546473845455,35.128316420130425,3.086794414299206e-9,1.68891751525228e-7,846.8 -> 549.8,TAG2,10823322.9643785,9983714.33195433,8936187.62867368,1447366.68408243,2226823.99863383,2158224.69695601,1858989.98855602,2057536.91617597,2560126.46543193,3217146.30363403,192816.451930992
TAG(50:3)_FA 18:1,1.250998634561796,13.360944610899235,34.27012274233857,4.796897297977178e-9,2.296514581406574e-7,848.8 -> 549.8,TAG1,7432279.476562,9856599.8291015,5805706.8486327,3832134.8037123,2322969.6972664,2112331.8818363,1908330.0712888,1630332.6718754,1956372.7050775,3239787.4365236,362208.986549169
TAG(48:2)_FA 18:1,1.221482239316822,12.295505531908448,32.71661406658677,1.0662197261499168e-8,4.5373572790602016e-7,820.8 -> 521.8,TAG1,3334289.20654245,4992539.19165096,2760754.97949187,1828801.02807564,1124111.56127929,994560.58642582,939866.41455011,723368.54809569,1077485.02636665,1594343.70678715,116155.88825987
TAG(48:1)_FA 18:1,1.0340914678364004,12.272780321512972,23.636912274865608,1.1633442250261953e-6,4.455608381850328e-5,822.8 -> 523.8,TAG1,3081002.16601597,4034173.25097702,2663096.4482417,1947327.71923824,1169632.92626963,1077419.07617169,1096136.6357421,866063.12548808,979421.98583984,1578048.40820295,219186.134483368
