lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40E1,40E2,40E3,40E4,40E5,40C1,40C2,40C3,40C4,40C5,SolventBlank1
TAG(50:4)_FA 16:0,-0.7671499809247293,11.997658769522516,13.574624247543397,2.2926387779968223e-4,0.06901005741220453,846.8 -> 573.8,TAG1,94730.1254577749,1228507.86145024,1389774.52380363,1161541.70104988,1070852.08032232,1908251.96020581,1575834.0698235,1533472.89196664,1642131.19702243,1661318.27123927,49556.2432174833
TAG(52:3)_FA 18:0,-0.7425533758127462,11.488846787277733,12.72725108405939,3.603658350506764e-4,0.06901005741220453,874.8 -> 573.8,TAG1,89308.0665893914,868569.48156737,938087.36083965,833816.37792953,736035.33984378,1370373.97351124,1099121.63964859,1078459.92541395,1079024.45068367,1148725.6781015,51067.0636825626
TAG(52:4)_FA 18:1,-0.677981052801864,11.618958055070538,10.629072330440977,0.0011132354540860495,0.142123059638319,872.8 -> 573.8,TAG1,100892.086933103,924235.98828122,1086143.2603759,928957.42675765,852582.24096707,1503441.82519589,1194838.0178216,1149737.29321297,1152034.29101569,1212895.42688046,57604.9439430045
TAG(52:6)_FA 20:0,0.6564905267722493,7.918366810060763,9.969045302349514,0.001591940171034843,0.1524282713765862,868.7 -> 539.7,TAG2,23156.7217407095,83493.1660461331,85093.466766365,171195.19036867,93543.1661872723,60174.6642608648,61184.0842285328,58425.8842125045,64802.464572912,50940.6639671112,9644.2006530747
TAG(50:3)_FA 16:0,-0.6353837337833289,12.85154608077649,9.345761049655266,0.002235018205616558,0.17120239455022834,848.8 -> 575.8,TAG1,289722.440982866,2381283.76806648,2517897.1127933,1880534.10839899,2020121.16650535,3130577.36230561,2647423.2246104,2451438.53418019,2636242.27734412,3326751.96777349,236530.456802383
TAG(52:5)_FA 18:2,-0.5988962821222317,11.244943977598652,8.31043099026829,0.0039418036508373335,0.2516184663784498,870.8 -> 573.8,TAG2,70027.0447654802,601522.680912045,775639.254455841,993365.48852545,713538.12963863,934035.97253383,823504.962375644,1093477.52205319,1019551.05889119,846556.054828785,31843.4821014308
TAG(50:4)_FA 16:1,-0.5881584626806423,12.91984699329267,8.017252864603506,0.004633379951377145,0.25351207448249236,846.8 -> 575.8,TAG1,323569.560241764,2594921.21923851,2667742.14160212,1982776.2773436,2147489.31054768,3262860.39013587,2685698.7128907,2486835.66064442,2764226.02343756,3505139.74365227,237597.778053299
TAG(48:3)_FA 18:2,-0.5738415727449595,12.387246687410993,7.634172379257507,0.005727265915583415,0.274192855708556,818.8 -> 521.8,TAG2,175562.153400414,1726222.87402667,2100523.02832068,1319863.04492128,1618887.85373307,1699189.26820713,1600280.36621148,1785278.60498038,2148555.958225,3041565.83256126,65438.1047172306
TAG(52:6)_FA 16:0,-0.5609891363425461,12.853422474609355,7.298160304322209,0.0069025250018226805,0.29374078618867633,868.7 -> 595.7,TAG1,134551.309417815,2677603.54394602,2929726.38867218,2137577.86718717,2014802.19116153,3064243.32189949,2558514.84692439,3128786.97741637,3388807.22924855,2224698.55163601,48965.4634513685
TAG(48:2)_FA 16:1,-0.5498514133840993,13.272056652000321,7.012970839241461,0.008092129234066247,0.30992854966473726,820.8 -> 549.8,TAG1,371572.424789482,3805551.0810554,3624024.78906249,1971406.4560564,2811633.78125,3465546.757813,2847617.373047,2467957.6767577,3214434.040039,6380021.9833981,328307.063114007
TAG(48:1)_FA 16:0,-0.5303365880398755,13.192152960458353,6.526724788102911,0.010626545012763557,0.36999697635349477,822.8 -> 549.8,TAG1,374570.565509884,3569631.0380854,3384394.45214794,1931164.4404296,2705646.4345701,3220130.96972714,2904919.2392569,2316847.133789,3036305.7832025,5820874.37304666,318746.301387571
TAG(52:2)_FA 18:0,-0.4947839345304358,12.42791752678411,5.6850496709485014,0.017110055169141145,0.5460959274817548,876.8 -> 575.8,TAG1,318342.562091724,1803918.4462902,1857562.02441455,1426696.29003928,1487441.16406277,2263075.21191492,1963119.3017578,1753846.43066522,1901478.3222652,2079287.55859422,296840.318733247
TAG(54:6)_FA 18:0,-0.46702066874433584,11.652138600321331,5.067597607256179,0.024377145478478062,0.6668890513040784,896.8 -> 595.8,TAG1,90096.9671668847,1132394.12554913,1223981.2287593,1003538.09277373,956394.897827,1289610.21221987,1110146.41687002,1307347.75305111,1348568.40844731,990444.7880855,38006.9627761636
TAG(54:7)_FA 18:1,-0.46729712530374606,11.701950489075287,5.073576392784162,0.024293212972818515,0.6668890513040784,894.8 -> 595.8,TAG1,88876.0456314073,1196414.9294434,1296811.28649903,1008797.74890129,973565.99511717,1310216.48883037,1157939.57519593,1364238.26904179,1399788.19665581,1025834.65234393,40071.1827087271
TAG(48:2)_FA 18:1,-0.4457794865807912,11.531729974754208,4.618871088507149,0.03162204366658983,0.8074161816202603,820.8 -> 521.8,TAG1,145823.550739284,1158222.64306713,1030413.39160161,656950.28955068,875623.8640135,994560.58642582,939866.41455011,723368.54809569,1077485.02636665,1594343.70678715,116155.88825987
TAG(54:7)_FA 18:0,-0.4356156870775821,13.58460909616581,4.411509494893835,0.03569724003644418,0.8545026833723826,894.8 -> 593.8,TAG1,612214.680763095,4573963.00927634,3435410.04492249,2622956.484376,5232451.13769481,2832453.55273387,5433817.32031355,4582983.95214839,6530798.7802739,3635247.19042829,134701.929088588
TAG(52:3)_FA 18:1,-0.42198461310044094,12.759313514837755,4.140685635866248,0.041864209571573864,0.9261445426759793,874.8 -> 575.8,TAG1,452112.950355557,2303122.251953,2363925.6533194,1829738.7353516,1894865.8955066,2722200.6689469,2361142.1171861,2139987.2900397,2255676.8896498,2729125.8720703,397405.447208653
TAG(52:5)_FA 16:1,-0.41387473316597545,15.02011038787707,3.9836278604489053,0.04594450733901725,0.9261445426759793,870.8 -> 599.8,TAG1,781014.775329561,11034862.9007559,14227389.3261719,11008973.1035166,10150018.2424311,14455248.4072271,11501028.8862311,12282071.0290527,11881655.7509766,11860265.5449214,50146.3633842386
TAG(54:8)_FA 18:2,-0.4185929302141541,11.993466709839074,4.074602814791433,0.04353249941841249,0.9261445426759793,892.7 -> 595.7,TAG2,62455.4643592667,1176100.79487994,1566201.61681567,1802696.4790055,1224295.05200198,1331662.57035058,1269383.34254064,1940949.38280497,1899203.03122374,1147003.05731593,28311.9222869785
TAG(54:8)_FA 18:1,-0.4087647710304686,13.771047118028566,3.8861802281753626,0.048685032822026894,0.932318378541815,892.7 -> 593.7,TAG1,792055.063598363,5255853.36132816,3929179.5097666,3018344.1992194,5724610.9228516,3200712.68847501,6033947.2285161,5146954.188477,7087930.3417974,4310393.2871088,246256.217716243
TAG(48:0)_FA 16:0,-0.16285820415457578,12.961023797367499,0.61860039903695,0.431567862348502,0.9963914057801955,824.8 -> 551.8,TAG1,830237.511371425,2609522.482422,2487356.2441406,2055544.0488283,2165996.0351567,2570331.1621095,2579918.5390635,1987768.9218749,2249986.7226563,2782873.6132813,906740.443092099
