lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,SolventBlank1
TAG(60:11)_FA 20:4,2.167494819691544,10.487262168980907,223.72299889034593,1.3942248280209194e-50,5.3398810913201214e-48,970.9 -> 649.9,TAG2,477913.50939894,403559.80468746,131491.569152863,1076784.8359375,298275.203491165,77275.305236797,92287.7866211,93562.94677733,83632.285827637,116514.26745602,20366.3012886041
TAG(60:7)_FA 20:0,1.8844890272574168,10.221969379815633,172.43003450407514,2.1799382769920673e-39,4.174581800439809e-37,978.9 -> 649.9,TAG2,546686.753418,359981.999816819,129071.428886405,526453.653625534,356377.125855,80989.204956042,91331.66693112,91597.00598146,85485.40631099,101364.447204601,16037.3010292076
TAG(60:12)_FA 20:0,1.144250592842866,8.849586608629842,66.18417900529462,4.1069587686532295e-16,5.243217361313957e-14,968.9 -> 639.9,TAG2,148065.429748485,111652.267440771,92733.286621093,127537.809997616,154096.911071774,43749.963073741,51515.963317884,56826.764312732,45317.903228765,51765.664001463,12170.0008392334
TAG(58:9)_FA 18:2,0.7786750395447342,11.010964486966543,31.079915691197243,2.4762033650503702e-8,2.3709647220357295e-6,946.8 -> 649.8,TAG2,550740.88818401,373642.70654316,363746.20556622,885079.63818373,424214.88671891,238803.27685552,275675.620788478,284791.12011724,233781.81567385,278670.95800783,60003.024066935
TAG(58:2)_FA 20:4,0.7698678266072699,9.125501953460004,30.37930916981304,3.552977773094532e-8,2.7215809741904115e-6,960.9 -> 639.9,TAG2,164474.871276886,125689.849121078,105324.967346167,143541.450408976,168038.791168149,63048.264465338,64603.404602072,94564.725585935,62855.584716802,75271.525146504,12737.5806922957
TAG(58:4)_FA 20:0,0.7363828815815426,8.295133998143964,27.811825188951204,1.337063775448033e-7,8.534923766609944e-6,956.9 -> 627.9,TAG2,91520.086547841,76183.365295418,68620.704772951,73114.065429666,78495.165588367,38115.202453619,42578.423034651,42140.663024903,37091.922546388,42429.322967507,9830.3206901563
TAG(48:3)_FA 16:1,-0.6822254746785581,11.00776908984495,23.923243641175418,1.0025397912530498e-6,5.4853248578559725e-5,818.8 -> 547.8,TAG1,275297.55883793,256230.7155762,403323.86962897,307544.38354488,271089.47753913,460778.33276368,415738.09057627,434885.75537115,371245.66479471,419713.66528307,103614.34692002
TAG(48:2)_FA 16:0,-0.6577593838407196,10.975210433594544,22.252397804450155,2.390600673652262e-6,1.1445000725110205e-4,820.8 -> 547.8,TAG1,273721.53955093,250454.23754885,394487.30566416,301300.821045,278237.34008808,425302.97265624,419572.63134769,426653.61328128,370107.82714846,405297.00927734,99298.4867210266
TAG(56:7)_FA 16:0,0.6521372662820762,11.137867590790675,21.876974901988888,2.907011453280951e-6,1.237094874007338e-4,922.8 -> 649.8,TAG1,507615.78906228,450643.61547855,439733.85107427,782264.64355472,435739.34960964,276321.75903332,310090.88256847,292913.30151372,274123.83886733,291226.6003418,121532.529281592
TAG(52:1)_FA 20:4,0.6282527321893108,7.91801948137655,20.297587377532352,6.628411290971372e-6,2.5386815244420356e-4,878.8 -> 557.8,TAG2,59490.144104002,51695.963928218,48660.6833000235,66201.004760742,59267.203674306,30365.1021690228,33097.042575836,35845.102478028,25638.4218025223,35841.942718494,9947.9006500232
