lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,SolventBlank1
TAG(58:7)_FA 18:0,0.623781020812186,10.933488156058205,20.02972988557113,7.624746476302758e-6,2.654798091294506e-4,950.8 -> 649.8,TAG1,467406.93456979,355213.82617182,385916.16918942,664908.94506845,377613.42407235,246353.15869146,266161.51928708,247772.41918945,248131.15747074,255015.19824216,109017.167751314
TAG(58:8)_FA 18:1,0.5779762923013415,10.899054438897773,17.214858437163656,3.33815271973034e-5,9.377824377541169e-4,948.8 -> 649.8,TAG2,511594.05517565,348259.56420897,364548.92700209,607640.66699289,441610.03100585,248044.05834961,277045.64056403,272248.45800785,236506.81860357,285132.82104488,57686.3240394723
TAG(60:11)_FA 20:0,0.5773388217608694,8.150825783511412,17.164445726898492,3.4279253599367195e-5,9.377824377541169e-4,970.9 -> 641.9,TAG2,83743.866943341,51835.22354125,43816.003021237,70473.324096694,81506.345245292,36933.722686756,40212.942962651,42351.162841814,32752.662353522,40065.042633075,12032.3409233141
TAG(60:8)_FA 18:2,0.5803669011956079,8.75085580640529,17.349030520506172,3.11056907747704e-5,9.377824377541169e-4,976.9 -> 679.9,TAG2,110874.547607481,71018.885009752,67759.9450607632,169226.231811535,91718.145874024,55118.404113794,62391.544738767,60231.244201639,53107.143920885,64683.924133284,14474.2011070249
TAG(56:8)_FA 16:1,0.5669161171867937,11.131792220182785,16.566677925634394,4.696908202320241e-5,0.0011992772276591015,920.8 -> 649.796,TAG1,551484.99804695,464766.53125006,479713.77587877,501336.75878918,538612.8613281,279578.00122052,317565.74096704,287816.21923842,301165.84082039,297413.89843753,125655.708358793
TAG(58:1)_FA 20:4,0.5269261235193343,8.194758411083638,14.313980597181711,1.5471158690466384e-4,0.0037034086115303906,962.9 -> 641.9,TAG2,83293.946655216,55137.143432621,48597.803710925,74737.925537072,77247.705810469,38896.622924776,45111.963073739,42337.343078607,37766.902679446,39522.443176273,11179.7608413657
TAG(60:7)_FA 18:1,0.5240318595476836,8.772789614091947,14.161979442324192,1.6772572558267266e-4,0.0037787619351860964,978.9 -> 679.896,TAG2,115573.707458421,74482.725708009,68727.6246108996,171788.253601174,79952.685546879,60003.884033179,67188.924865731,59736.204162604,55818.76336669,64303.96423341,14521.0809783973
TAG(60:6)_FA 18:0,0.4896223123140852,8.858691162069565,12.371843482318354,4.3585704364710394e-4,0.009274069317602267,980.9 -> 679.9,TAG1,116666.547851619,76382.604980482,80768.126281743,161508.913940375,77004.905761692,59064.744384762,68247.964599609,60214.843994151,64015.36444092,63454.964843743,27466.322029117
TAG(48:2)_FA 16:1,-0.4792363559624252,12.658593658733475,11.860907486317956,5.732460374578962e-4,0.011555433281388118,820.8 -> 549.8,TAG1,873757.9033205,936510.34375,1406220.10644525,1016398.59570316,923575.24316432,1299249.4697266,1261186.60351568,1319583.1318358,1126793.5605471,1231111.98339866,328307.063114007
TAG(48:1)_FA 16:0,-0.4624506457096884,12.632180234389093,11.048034307299533,8.878127915158796e-4,0.017001614957529092,822.8 -> 549.8,TAG1,872623.30078135,902253.42285159,1403285.3427735,989923.5166012,937695.97949263,1233867.53125,1240873.24121078,1299174.0097657,1119649.39746061,1209000.56054695,318746.301387571
TAG(58:10)_FA 16:0,0.45096642298183687,8.45891333031561,10.500821137958155,0.0011932150639745874,0.021761969976298427,944.8 -> 671.8,TAG1,96874.206909153,68450.304382295,59433.12396241,71489.405029251,68492.285400418,43217.323333755,50020.703063963,45097.48352049,45370.462921152,47358.963256838,30070.5621833703
TAG(50:4)_FA 16:0,-0.44374597956786643,9.823215789903015,10.173455975140996,0.0014247696197632637,0.023725511494318695,846.8 -> 573.8,TAG1,145009.93188478,135166.86926272,173957.63366697,138917.61022949,134999.72973633,166223.33190915,156149.09033206,175970.41381828,166811.9508057,193401.63208014,49556.2432174833
TAG(52:6)_FA 18:1,-0.443983727654135,9.028264637794909,10.182305247868726,0.0014179479497038049,0.023725511494318695,868.7 -> 569.7,TAG1,116380.049865721,75500.324707028,84248.046142611,78196.085571284,67146.884521501,100378.386596695,97109.3868408,107275.128509557,100516.448059067,88810.486633274,28466.94202043
TAG(52:6)_FA 16:1,-0.42083839099853926,9.734041143253801,9.153714126691199,0.0024821373986764956,0.03961077598721241,868.7 -> 597.7,TAG1,147646.810241707,128506.887756344,178978.753784204,119363.48864748,136377.189514194,176479.41259765,157766.270385719,167145.251708938,132248.28881837,192321.69226067,33402.7024116331
TAG(58:8)_FA 20:4,0.41710941731725204,8.247523240072066,8.988067686309591,0.002717482023582181,0.04163182460127902,948.8 -> 627.8,TAG2,74301.045043945,62120.704345708,62622.66430662,68880.205261225,69191.585266117,42085.123229971,43339.123046865,45923.203613279,41264.282897932,46407.423522942,12852.0007591254
TAG(50:4)_FA 16:1,-0.4098976428961116,12.13531742518951,8.687472204125015,0.003204046817931284,0.045449997454358584,846.8 -> 575.8,TAG1,657618.60498056,658824.96484367,921760.00683609,726110.33691385,712187.76806638,807016.9003908,830758.52294944,867761.69824221,809204.71093762,924463.84375037,237597.778053299
TAG(60:11)_FA 18:1,0.41139089586177674,8.171476568698662,8.743637924453578,0.003106840778806085,0.045449997454358584,970.9 -> 671.9,TAG2,82120.366638166,56460.924316382,43707.342803946,73853.324157686,58418.384216295,38961.842834464,41547.142761202,39855.402771021,37727.742553695,46871.74346923,14905.5610923746
TAG(60:12)_FA 18:2,0.39451364320967186,8.119634033770254,8.042961069257103,0.004568080512349729,0.06248481557964094,968.9 -> 671.9,TAG2,73076.605468723,55261.124084434,46237.683258082,69732.984741188,61008.803894018,37255.202850332,40410.522582983,43384.803466798,35369.542633043,45344.162933326,12468.1407852181
TAG(48:3)_FA 18:2,-0.38826356706249576,11.378855790870071,7.797057309478987,0.005233139121179551,0.06294379529393787,818.8 -> 521.8,TAG2,427600.27050748,422711.33398432,529222.793868991,470000.37304701,456142.05078119,477609.3569335,528645.77636718,623331.48583993,456264.44775394,540861.64111332,65438.1047172306
TAG(52:5)_FA 16:0,-0.3897434204630127,9.433903823906489,7.854372933882814,0.005069793304383034,0.06294379529393787,870.8 -> 597.8,TAG1,124313.8685913,100427.227233887,136692.830139147,102424.18713377,111606.747741679,134827.189208985,127154.568786615,135648.44897462,108575.04754643,147556.890197785,33542.5619087185
TAG(54:5)_FA 16:1,0.38811532360333967,9.106490050938474,7.788146625149351,0.005259011617248073,0.06294379529393787,898.8 -> 627.8,TAG1,126586.96911619,104387.56835939,116441.20764159,112442.76818848,111181.207214359,74494.28564453,77054.40490721,79044.745361334,72767.325622539,74637.2852783,41538.8828811646
TAG(60:7)_FA 20:4,0.38903248048361566,8.081795477193817,7.821630578491122,0.005162459892705577,0.06294379529393787,978.9 -> 657.9,TAG2,74634.245605517,52328.923614492,42251.4627380227,78742.70635984,54618.12353514,41596.463043231,40736.78271484,40550.662750244,35373.042449959,41802.262878434,9416.6006736745
TAG(60:0)_FA 20:4,0.3797825583460096,8.003716445099522,7.454764305049139,0.006326876264469565,0.0734301093724801,992.9 -> 671.9,TAG2,77515.965385505,47331.443267807,36733.8227119354,60895.6238326836,62384.2451324639,39725.302917503,36860.9825324943,37134.0426101483,34180.562561049,41177.9028663497,9694.9607620259
TAG(50:3)_FA 16:0,-0.3718517181821871,12.053208042476776,7.1538124931030325,0.007480480567781217,0.08185783021314876,848.8 -> 575.8,TAG1,630460.8022461,614472.06249998,876954.09912108,692785.53124996,694386.64941399,764442.26171871,767029.98925799,803921.52343745,721878.67431644,883864.5815429,236530.456802383
TAG(54:4)_FA 16:0,0.37204334370315884,9.08274575516999,7.1581497111437,0.007462413599166291,0.08185783021314876,900.8 -> 627.8,TAG1,123447.08947754,100445.946594209,110707.68713377,107416.028137204,113544.18786621,72208.604553208,76537.785705588,80237.76574708,70813.644958501,72187.36547851,42685.2229461861
TAG(60:10)_FA 20:0,0.35650400675005933,8.153513473054122,6.571744800960573,0.010361032651722148,0.11022987515582174,972.9 -> 643.9,TAG2,77102.565490718,53026.163940433,48804.563293441,73198.104888942,60397.163940423,40617.002777087,46906.923370339,41218.383117648,39126.402709936,43512.543182376,11220.2008247384
TAG(60:10)_FA 18:0,0.35432602551509235,8.319861998974796,6.492094534840816,0.010835523730237202,0.11216231320759049,972.9 -> 671.9,TAG1,78802.766326865,55835.783386291,51851.003845206,81699.785980158,56413.383422826,42956.74310301,44017.383117682,44845.363037099,44241.103698731,43339.42306518,25948.301765443
TAG(60:6)_FA 20:0,0.34670193420247136,8.433988149020935,6.2171709077305195,0.012651711811658327,0.12751593747013526,980.9 -> 651.9,TAG2,105038.526611314,61933.764312755004,47966.0435790811,103533.368377762,65173.944335934,52420.443878155,51191.543609609,54301.743591308,46583.683288587,56134.863891612,11314.9607810992
TAG(58:4)_FA 18:1,0.3448182663269373,8.351262907101754,6.1496301075183055,0.01314395889317356,0.12908041682270446,956.9 -> 657.9,TAG2,83340.365844748,55990.503601059,53939.023559553,96522.966796892,65836.144897454,47034.203186045,48270.64331054,50268.143615733,44838.422912575,51780.124023408,13794.5609588624
TAG(52:5)_FA 18:0,-0.3433122321503451,8.660447515214434,6.096985760521761,0.013541266583335375,0.1296576275354362,870.8 -> 569.8,TAG1,96902.246643065,59753.704925518,65593.304473868,62314.244079544,53644.743957536,70807.98480224,72362.245452889,81814.766235331,78188.305755599,66336.984619127,23283.2014732316
TAG(60:2)_FA 20:4,0.33984009505682977,7.551244701589761,5.970510176829719,0.014547071519862955,0.13589093639286615,988.9 -> 667.9,TAG2,53403.963455228,34364.362426743,31681.3623924206,44796.102874751,40447.042968738,25409.021881098,28986.922058095,32725.942596424,24964.581802365,28009.881896965,7551.1005859368
TAG(50:4)_FA 18:1,-0.33814027915300227,10.712943339452236,5.917798016089705,0.014988679649308608,0.13668248346869516,846.8 -> 547.8,TAG1,270156.71997082,248282.57690427,338526.00463888,272974.93896491,266415.01928722,310244.54174802,317010.26049818,308273.16357428,276414.5190429,319141.54467775,98864.6274986616
TAG(52:4)_FA 18:1,-0.33231231599077515,10.060291982216983,5.715541924952049,0.01681537326762188,0.14977413863951583,872.8 -> 573.8,TAG1,169018.11218258,173228.93249512,206852.69445802,169373.11145022,177834.65161132,185994.2138671,184231.89282226,206518.31579598,187803.45410163,216050.31530758,57604.9439430045
TAG(52:3)_FA 16:0,-0.32493673277014895,11.58467292544937,5.466000394859293,0.019389950879237727,0.16293974404817954,874.8 -> 601.8,TAG1,468269.79248045,466593.27124018,677457.4636232,481547.97094729,560410.5229491,584558.81909155,564728.93994138,580091.42187534,512791.33764654,643765.79882817,123612.967987039
TAG(52:4)_FA 16:1,-0.324455643429149,11.614006335639527,5.44986967976638,0.019569786491426266,0.16293974404817954,872.8 -> 601.8,TAG1,496079.99243156,478781.29394547,698218.19287086,484339.11425806,554795.37670888,589543.8842771,586367.46386697,610059.38720713,524862.87475602,636680.71215813,124780.229213698
TAG(58:0)_FA 20:4,0.3262568417435682,8.124365890092413,5.506083394628206,0.018950437091669853,0.16293974404817954,964.9 -> 643.9,TAG2,77781.544738801,47529.043426517,49389.363464341,71883.005310054,57237.18414307,39961.502868665,41365.682800305,44783.903106672,39771.802520757,43330.982971211,11137.5008811925
TAG(60:10)_FA 20:4,0.3200605872544857,8.374218902182985,5.300085336963264,0.0213243795926589,0.17377100816996505,972.9 -> 651.9,TAG2,91206.346008333,61825.944152827,52660.2838897908,85342.726318284,69702.684417755,47714.983398434,50158.963684061,49926.703613276,46960.483215314,55366.363952629,12763.060791017
TAG(54:6)_FA 18:1,-0.31818730267417983,9.35234007579209,5.240183508000825,0.022070945750482344,0.17610775463405703,896.8 -> 597.8,TAG1,116562.18798828,97131.905700675,132533.92932127,102666.92687987,101406.44763185,117056.887756362,111727.707336431,123068.22802735,100318.165649382,143299.73034668,37363.8027458189
TAG(60:4)_FA 16:0,0.31614451018468764,7.6250513915743765,5.16819004216859,0.02300417204286562,0.17980812025341902,984.9 -> 711.9,TAG1,59273.90386961,33686.122329718,30534.142364501,40527.142868042,29472.222198479,27696.601806643,26166.481910714,24785.181747437,27269.901977533,27804.342071537,18820.5613327002
TAG(56:0)_FA 16:0,-0.3122095943783518,13.489986125391471,5.0473104762495495,0.02466419402506005,0.18870654374007392,936.9 -> 663.9,TAG1,2835180.51342784,571544.40258798,4598288.82128861,1158825.31713804,1647667.76782165,908238.84204102,6856265.93115191,1126233.00756844,1714235.78759763,1034164.11328118,76772.1254119711
TAG(60:3)_FA 20:0,0.3113400101594655,8.107681721938778,5.0150416123851755,0.025128025406641698,0.18870654374007392,986.9 -> 657.9,TAG2,68037.645233164,55919.144042962,45489.4431342721,71497.705078135,59433.804168687,43383.48272705,41127.543121337,42695.723129287,38087.322570807,44695.763122561,9458.5207290657
TAG(58:0)_FA 18:0,-0.31011272093486353,13.494557947839649,4.979870214534458,0.025643906906617338,0.1888772374083546,964.9 -> 663.9,TAG1,2930379.49878004,576557.979126,4651277.98852546,1172731.17980921,1529949.28674226,874718.65551734,6916722.24707006,1132714.04150356,1647591.62329082,1110761.76123092,76068.1050109935
TAG(58:0)_FA 16:1,-0.30664423294495885,10.48582859807821,4.868616614873758,0.027349416521556348,0.19763823637275624,964.9 -> 693.9,TAG1,213878.838195752,235438.376953097,331878.502990681,239219.099121021,269979.117370601,238613.620605481,227665.735351379,305115.083252018,322215.143310458,287640.498352045,29021.1218986539
TAG(58:3)_FA 18:0,0.296301578921087,8.440203035861353,4.543639856302321,0.0330412627462912,0.22717409345646597,958.9 -> 657.9,TAG1,77627.425231917,56066.763885481,56552.683898922,91839.965393034,65445.984619151,48497.363220181,49967.623352067,50041.583679197,47302.863586403,48867.423339836,27749.9618339567
TAG(58:6)_FA 16:0,0.2959686735529479,9.014159800927024,4.534608417631574,0.03321605544010991,0.22717409345646597,952.8 -> 679.8,TAG1,118551.108398425,79626.145813001,102122.967041012,137057.108764642,91433.08630375,74788.585388198,78206.645996075,73357.725097656,74042.965270998,71007.04553221,35730.3422889583
TAG(60:5)_FA 16:1,0.2965023711884114,7.67107565717513,4.547310462746168,0.032970497348702596,0.22717409345646597,982.9 -> 711.9,TAG1,58905.183715811,34387.542846668,31758.742248541,42323.002990728,33913.502410881,27102.261901846,26699.082015987,27374.761810294,30534.902221667,29324.002227783,17949.8413391122
TAG(60:3)_FA 18:0,-0.29351209115842053,10.34557944946377,4.46117676283734,0.03467360299250952,0.23298227975668676,986.9 -> 685.9,TAG1,376396.468383847,146615.590271023,155256.292999177,331853.740539299,179647.191680905,270605.858215371,253017.11566173,182024.072570814,278746.260864339,259497.173889058,27570.3219871557
TAG(56:1)_FA 16:1,-0.2868447535298896,12.978722245894883,4.261763053425966,0.038979446399626465,0.25739875812167134,934.9 -> 663.9,TAG1,1861173.34765569,524329.57666018,2864156.76123008,1040076.47314447,1303276.00097696,815467.57788082,3911806.28064022,1012060.09130794,1333234.18579097,941287.63671868,78584.6655540488
TAG(60:9)_FA 20:0,0.2826055022699923,8.4159916433699955,4.134123426061024,0.04202682828804259,0.2728182243105138,974.9 -> 645.9,TAG2,78515.12597658,62727.704345718,63592.7642631342,83613.066101084,76421.745361328,51096.863586435,54105.003997801,54136.123718241,46122.403137201,54781.683532716,13979.84103012
TAG(52:3)_FA 18:0,-0.2769680491547731,9.767017630538968,3.972761810563725,0.046241869433546905,0.2951772665508078,874.8 -> 573.8,TAG1,143535.94982911,142018.09033201,169164.29284668,141594.90966797,144803.37011719,151931.19006347,149131.30981446,160039.55041502,152413.7312012,165788.47216797,51067.0636825626
TAG(60:5)_FA 20:4,0.27207407686852964,9.269268059060522,3.8334155780208046,0.05024045410844493,0.3154441626808919,982.9 -> 661.9,TAG2,137899.988464357,120118.22888184,119599.968791985,157565.60961904,129127.4495239,88650.186340345,105546.287780767,96275.82653809,88451.40625,99116.266845709,20928.681472777
TAG(52:5)_FA 16:1,-0.27016996362277995,10.752504022824622,3.7809716356591716,0.051838550174145355,0.3202284631725431,870.8 -> 599.8,TAG1,299563.31958023,291644.51953142,404338.20874031,247515.718200715,308745.58251963,344051.70251469,312430.44213856,348168.90624995,259232.61840816,362975.78674307,50146.3633842386
TAG(54:8)_FA 18:2,0.2650551943180454,9.538318596432498,3.6386836623075283,0.056451550509827676,0.33782724758225,892.7 -> 595.7,TAG2,155110.03210449,158548.73168943,177533.31293867,153556.4301758,146571.41137695,106007.607917777,110594.968078614,129937.96813962,101818.687747965,125249.92871091,28311.9222869785
TAG(56:4)_FA 20:0,0.26569081904176856,9.013527195083874,3.6556304059367903,0.05588000434979115,0.33782724758225,928.8 -> 599.8,TAG2,98261.10742184,87572.74645997,107707.967285175,170076.172058042,92660.82617188,77590.66583252,85925.82604981,82050.385681151,71587.48486327,84395.325866688,17372.4612045299
TAG(58:3)_FA 16:0,-0.26252429274358147,10.347246513428152,3.570141554499056,0.05882729632203786,0.34662853063600774,958.9 -> 685.9,TAG1,387695.368163934,147344.510375932,166602.611694329,311532.219360489,185113.67309565,257671.639953634,253820.09960931,181228.790832512,262374.579162682,272767.840209985,32422.4222106891
TAG(48:2)_FA 18:1,-0.2594626623817381,10.841523064275028,3.487612282933697,0.06182970380939195,0.35879964483328963,820.8 -> 521.8,TAG1,286216.19775399,270437.7585449,388569.50903344,311538.70214847,303871.04345712,320241.06225574,332052.88354483,331430.6816407,307256.88330088,328178.52392597,116155.88825987
TAG(50:3)_FA 18:1,-0.2583740659794527,12.571490284599157,3.458774277352859,0.06291693859127742,0.3596595146337202,848.8 -> 549.8,TAG1,940939.78027322,931678.2216795,1311736.7578123,1013654.01953115,1013463.633789,1044548.1386719,1130725.9248045,1122220.6611328,994029.2265627,1121469.1181644,362208.986549169
TAG(54:5)_FA 18:0,-0.25699583788648206,9.274781893293703,3.420822930168811,0.0643789135533611,0.36260476310201917,898.8 -> 597.8,TAG1,114193.367492671,90176.80627441,132671.309326193,98875.826782235,103650.307006862,118999.727844227,110586.168212853,112390.748168935,95988.526245111,120031.867736812,32107.4822349548
TAG(54:0)_FA 18:0,-0.2545685961733116,12.684053913973814,3.35778111045147,0.06688813720709007,0.3712776311639927,908.9 -> 607.896,TAG1,1124333.8398439,1049588.4169923,1237657.3632816,1112658.2519531,1155996.1396483,1083169.7919921,1331019.2021485,1182963.0644532,1147087.9296874,1140558.2880858,366303.625168011
TAG(58:4)_FA 16:1,-0.2523084279711547,10.352820096173494,3.2980389174572338,0.06936264704746171,0.3795127688453977,956.9 -> 685.9,TAG1,404295.008789116,150019.452697795,162128.251220711,312948.481201301,177342.032531735,255773.122070322,252565.19750963,184171.9517822,264068.039367698,270639.659667929,33374.7624511665
TAG(52:4)_FA 16:0,-0.24448345583919026,10.774588104868512,3.097018844089689,0.07843580529871023,0.42311145675219747,872.8 -> 599.8,TAG1,305626.12121603,304435.8616944,416907.80957023,256117.65820308,311405.8621826,350499.44689932,295922.77954112,343170.28442367,270142.68090821,381593.78662098,48365.3032607804
TAG(54:5)_FA 20:0,-0.2409594672051677,8.129184254456764,3.006352633058612,0.08293872322412266,0.4411879304838747,898.8 -> 569.8,TAG2,61592.244506841,45629.103576658,44769.3229942415,54765.864135751,45003.26330565,46699.8432235829,48785.4036407488,60524.60473632,47613.6229858428,54368.343872071,10298.4406127925
TAG(58:5)_FA 20:0,0.2386780010500839,7.967246607209722,2.949359835834059,0.08591158313737761,0.450741593720762,954.8 -> 625.8,TAG2,67202.964843757,43032.003448474,42515.123016348,54307.943969712,52484.124145509,35797.922546384,39680.322875985,43092.262878401,33480.982330314,38392.302978522,12846.5409698445
TAG(50:4)_FA 18:2,-0.23693793143543587,12.94360782724511,2.9093129671309725,0.0880693843527203,0.4558185703661064,846.8 -> 549.8,TAG2,1272761.1884768,1298756.0947267,1678666.01097884,1505931.3232425,1473703.041016,1330732.1757812,1510468.9248047,1683216.5468751,1252488.6259764,1646794.2929688,192816.451930992
TAG(58:0)_FA 18:2,0.2356041806833342,7.735884758114695,2.8735044887162076,0.09004859334864987,0.459848150033772,964.9 -> 667.9,TAG2,57487.984008788,37931.582855223,39186.863098152,44640.083160389,43558.743041982,32177.262268039,35065.142364495,31410.582122781,30772.101959254,34174.542419427,9860.0806846628
TAG(54:6)_FA 18:0,0.23231771602262558,9.069555216521769,2.795837773966099,0.09450935867956019,0.46406518428553273,896.8 -> 595.8,TAG1,105744.12646484,118379.58813477,132137.56909176,86877.405822782,89274.02606203,81766.666076664,78852.245483405,83752.72631837,69676.604492168,80829.885314942,38006.9627761636
TAG(58:3)_FA 18:2,0.23270247472406289,10.116632376640872,2.805823448951969,0.09392260965507825,0.46406518428553273,958.9 -> 661.9,TAG2,238899.7346191,212001.07470702,236256.73474122,255393.03735368,236076.33666996,155397.65161135,205797.97460937,181092.71289061,155389.03198241,175158.43188475,38756.9227256645
TAG(58:7)_FA 16:1,0.23372202773634168,9.02084496810046,2.829657472527344,0.09253809443455746,0.46406518428553273,950.8 -> 679.8,TAG1,114315.06854245,96616.44665527,90249.52661134,123421.290832513,91640.986145021,74811.74487304,80368.865661632,77594.26599122,72554.585083008,75512.30505374,37150.7625541762
TAG(56:8)_FA 20:4,0.22377821228184538,10.033061865577094,2.594920593277494,0.10720681246519516,0.5197494832173386,920.8 -> 599.8,TAG2,191489.25366213,192344.37524416,266814.81616207,265497.0996094,195726.99462889,144451.89038086,174556.71362306,192773.29370116,142306.74975585,175003.85119629,35006.0027313231
TAG(58:5)_FA 18:2,0.222229716052477,8.47377376451997,2.558008151324657,0.1097367650203371,0.5253647625348637,954.8 -> 657.8,TAG2,87090.085876465,67974.464965784,61026.124206529,89431.205810539,64717.784942637,51678.003723153,59320.924011212,58770.864135738,49991.683471652,55786.86468505,15755.2809181227
TAG(54:1)_FA 18:1,-0.21801864515774877,13.3948325410903,2.463690125044195,0.11650478998472918,0.5508806736314972,906.8 -> 607.8,TAG1,1826153.3984374,1769925.9394531,1990170.5136718,1899933.1914063,1952702.7832031,1800437.4414062,2010810.1875,1921162.2402347,1881088.7597655,1918563.3515627,586880.747405942
TAG(56:1)_FA 16:0,0.21219246773936035,9.876160829320911,2.3333193168371054,0.1266315978992261,0.5914622194561414,934.9 -> 661.9,TAG1,200733.25549312,164919.6313477,214007.49475099,175219.71069337,182761.73291014,126816.38916019,174184.73071285,137247.40991214,138892.94995118,124503.76953124,62604.3842048643
TAG(56:2)_FA 16:1,0.20999922193015316,9.864473632449963,2.2853730790629925,0.1305987347335218,0.6026423542522752,932.9 -> 661.9,TAG1,200004.89294434,162430.22924807,199892.33251955,210692.77551271,159671.41137688,136609.30981446,171188.0124512,127935.04895022,133164.94958497,129806.62927246,60341.2440223833
TAG(52:3)_FA 18:1,-0.20752071417162873,12.691595909533666,2.2323082038501525,0.13515181086189568,0.616227899525072,874.8 -> 575.8,TAG1,1026127.8315429,1035118.30761735,1408662.8242188,1159081.03125006,1135852.10058616,1088257.9345701,1209220.4013674,1154397.1289066,1100653.0556642,1228300.2285157,397405.447208653
TAG(56:3)_FA 16:0,0.20496542006672105,8.532867128404176,2.17626924500982,0.14015384369954823,0.6315167310226703,930.8 -> 657.8,TAG1,80302.585632319,56605.563476563,59888.944152836,95882.927123939,63472.404174811,51955.34368897,58805.184234633,51739.383789058,49691.463439916,55214.04412842,31788.1423759302
TAG(58:9)_FA 20:4,0.20228000660958492,7.969051069566505,2.1191116136450026,0.1454709036035592,0.6478529776763159,946.8 -> 625.8,TAG2,68035.885559084,43773.703185998,43437.26293943,54996.303771984,49127.923522936,34015.642242427,36773.182647698,46242.223449694,34110.242492685,44269.162841812,11486.1807098403
TAG(50:3)_FA 16:1,-0.2000694593667331,13.719307780293459,2.0750444152072305,0.14972558128613236,0.6526568806116487,848.8 -> 577.8,TAG1,2154401.85644515,2147105.4687502,2735286.2460917,2348398.8242188,2352313.578125,2254778.0371096,2394664.7402346,2427395.8046867,2213679.4804686,2417780.388672,838448.87660994
TAG(56:4)_FA 16:1,0.2000232933882632,8.551514248386955,2.072680919547338,0.14995771669406027,0.6526568806116487,928.8 -> 657.8,TAG1,87388.005981431,59787.124389643,60143.424072262,90123.046630836,61434.384399407,52259.983520518,55699.883544922,50446.223571771,54515.524230946,56922.384033194,32944.3221473473
