lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DP1,40DP2,40DP3,40DP4,40DP5,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,SolventBlank1
PIp (42:6),-6.315762803267216,12.728204774915424,182.9455329623208,1.1023490364303916e-41,1.4595101242338384e-38,940.6009 -> 663.6009,PI,15757.4611625663,359885.400047776,25038.0018501246,41024.6026496883,25071.1019859203,2524835.81237783,22827957.1516117,2820380.11022941,3950211.78979483,2486238.09490948,235349.529418903
PI (40:0),-5.484806683902229,12.677215894864354,149.1787995712343,2.6209442589235153e-34,1.735065099407367e-31,940.6584 -> 663.6584,PI,15378.420936573,720989.101379385,24162.3817520133,43071.7232779943,23691.8016471852,2319052.4600219,22255537.8282471,2596703.52526864,3745454.4697876,2231675.59344478,210821.173645012
PG (22:0),-5.209859238485437,6.314588674428497,138.07922950043675,7.002641938860768e-32,3.090499309017219e-29,586.3814 -> 397.3814,PG,2263.8401641842,1939.9801445012,1476.5801086422,1494.5201072692,1481.4601058958,93468.426254253,88705.1460838139,48836.7225913908,49360.2635039941,63036.625000007,23464.28164673
Lyso_PG(22:0),-4.864941725037848,6.213974813485822,124.45609286672625,6.694416375220402e-29,2.215851820197953e-26,586.374 -> 397.374,PG,3419.6002159116,2316.2601737975,1646.2601165775,1520.0001106262,1513.680103302,93766.207473667,77920.785282208,42521.9829406687,46106.4233627196,59077.524261482,21081.241439814
PEp (42:6),4.772525478779076,13.51273970506755,120.91507884777842,3.988446174637971e-28,1.0561405470441346e-25,804.5903 -> 663.5903,PE,2850531.32739309,6645673.85461523,6458779.56677247,19075569.4918207,14042407.5368652,439426.91162108,486583.14068558,472024.451660604,333580.761779888,373051.383605982,114452.72943117
PE (40:0),4.7300654349373925,13.386624704483697,119.25780782488077,9.196539345107959e-28,2.0293696821538228e-25,804.6478 -> 663.6478,PE,2701158.87280276,6085611.23571718,5844087.5976563,17612480.3132325,12712539.2611084,400312.75341799,447523.413574251,456398.7286373,321737.861938469,357277.608520574,109892.748626674
PIo (42:6),-4.619387426297745,9.466030775935213,114.95037099110141,8.069185634918229e-27,1.5262288258045336e-24,942.6166 -> 665.6166,PI,8776.7605133019,88171.2256659906,16746.1611442599,14565.7210693344,15132.4010314941,256699.91458128,2256158.59259027,318123.887267548,408899.742584211,246177.393356325,33954.102401777
Lyso_PE(22:4),4.259412357938188,6.269209632885024,101.11931305517555,8.660633026484769e-24,1.4333347658832293e-21,530.3168 -> 388.3168,PE,55886.923889139,52629.063552836,57976.603851316,82502.766052238,71303.385528549,4928.3403587303,8143.4006729149,2229.2001571655,1770.0601196287,1869.0801239017,7329.9605026272
PEo (42:6),4.204286938281945,10.38264763339537,99.07385350766094,2.4325877803903404e-23,3.578606912485345e-21,806.6059 -> 665.6059,PE,462019.531860895,775583.738464472,768168.817077055,2060813.83483887,1471547.01831042,67334.483734086,78099.025512604,79095.604888963,61029.405365032,62756.704986535,29262.321578975
PIo (16:0),-4.047065122886688,11.233938061974984,93.18196319313847,4.770084714935416e-22,6.315592162574492e-20,576.3243 -> 299.3243,PI,22469.3814926036,532383.230651795,40542.563034038,117592.129501383,36415.6023368739,2313786.38708491,2192092.44946289,2177293.30529803,2532860.14892577,2220459.78161682,66956.12475585
