lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DP1,40DP2,40DP3,40DP4,40DP5,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,SolventBlank1
Lyso_PI(15:0),-4.0168673672610025,11.240961176191995,92.05875067269335,8.414105693229544e-22,1.0127523579850834e-19,576.2805 -> 299.2805,PI,19431.7614975001,537910.213561953,40772.46315002,131242.349098216,36393.38237002,2297975.01318307,2244395.82263196,2213980.98327662,2550790.89721669,2177999.18139642,65583.445129386
PG (22:6),3.9975931410561927,5.631664835938854,91.28716995606923,1.242637326769452e-21,1.3710431838689619e-19,574.2875 -> 385.2875,PG,20645.1415405154,100724.186279247,52256.924041743,21909.681541438,12054.9208488413,2218.3001365667,2163.8201675418,2792.1001892093,2389.9601593018,3151.8402023308,16014.8812255813
Lyso_PG(22:4),3.9875495043403673,5.714183538174456,90.91151106900702,1.5024307387949812e-21,1.5301679216650422e-19,578.3114 -> 389.3114,PG,18499.9412117072,126321.850647058,32931.462463374,17596.0411682203,7314.1405830391,2513.6801948547,3011.8802032464,2530.3401527396,2209.8001594542,1697.200126648,28766.3024139368
PE (20:2),3.9304396975358618,9.03662600003853,88.85674837822148,4.2446311687234714e-21,4.0142083338499115e-19,506.3242 -> 365.3242,PE,407189.74987779,347091.39941404,364728.20410173,603987.59777831,484099.85485815,27062.3415107679,30200.842376698,33759.942230216,37070.6622467,33647.302093521,22355.321853644
TAG(58:9)_FA 16:1,-3.8298464043419003,11.139781796881412,85.16909499331177,2.739097664166132e-20,2.4177102049039723e-18,946.8 -> 675.8,TAG1,164387.092468193,91478.266143797,122676.767303468,120078.967834489,113968.211151107,1846208.1933594,2009541.60888677,1949851.05957049,1828014.91503898,1914844.77343759,564366.362716751
TAG(58:8)_FA 16:0,-3.8243038104207967,11.158412290374853,84.96674700407311,3.034253487373897e-20,2.5108447608019e-18,948.8 -> 675.8,TAG1,163660.070861883,88042.226928622,92489.52703858,113644.208129891,150056.809143089,1844834.24169903,2066493.54443349,1940881.88330067,1837357.55615265,1929936.28662117,595916.520416331
PG (32:5),-3.802498310529622,9.01148371515124,84.16885866408666,4.5427001730588156e-20,3.537961781841101e-18,730.4389 -> 541.4389,PG,31486.542121893,76134.266418461,38286.66259766,20840.3813667268,8548.7806320124,994419.869666998,869536.347351577,62084.784698433,66167.7435913364,419871.570953829,29379.841583254
PEo (40:0),3.7916768687567726,9.763427969545713,83.7767085292412,5.539360594079349e-20,4.074507459200587e-18,790.6685 -> 649.6685,PE,1044481.28155472,602085.28051749,727027.42358398,657198.71203607,702883.88452151,55046.883834794004,62452.485351521,57795.984252938,57223.503509504,61650.044921875,32368.08209229
Lyso_PE(21:0),3.7179724546799195,7.526260862813079,81.0971599566177,2.1488856718230009e-19,1.4974340155229754e-17,524.3638 -> 382.3638,PE,61582.884124744,52995.743499755,55653.243896492,378832.430999921,180185.05078123,10873.3807258657,11769.1208114595,14804.38116455,15037.781028752,12563.1607933046,8440.6205558803
TAG(60:8)_FA 18:0,-3.6076545138220824,10.583535603212514,77.14769869302302,1.5863937580152144e-18,1.050192667806072e-16,976.9 -> 675.9,TAG1,120829.387695396,77447.605957032,79954.5062561,100819.007781969,95153.366027868,1265512.36010706,1333629.75878919,1279795.32153314,1196252.92407232,1280527.30664054,414921.847213514
PE (22:4),3.5957612306447966,7.4059745814765705,76.71413857281732,1.9758375415088464e-18,1.1890949567989603e-16,530.3242 -> 389.3242,PE,161432.653076188,105482.24731441,117236.088989232,168566.69115449,125195.789455436,33569.0026283599,23024.0014190163,1797.9001121524,1585.060115814,1955.4801292404,25524.8219452221
PG (22:4),3.599313287429848,5.648732512502572,76.80577025944521,1.8862567144251604e-18,1.1890949567989603e-16,578.3188 -> 389.3188,PG,18824.9810981852,119836.747268615,29622.282196038,16343.7209167484,6832.2204933197,2760.1601829517,3945.3402976996,3419.5802268993,2702.3002090454,1959.4001235963,27106.7415657025
PI (30:1),-3.58273339085626,10.189733481118235,76.25994834970334,2.486767235192629e-18,1.4315129649543655e-16,798.4863 -> 521.4863,PI,15755.8209877037,138612.691101028,41655.1026535029,180758.555343125,39046.4229354807,1258857.01629637,1161229.49658142,1201309.38708539,835251.86828623,810710.53930716,116374.388794
TAG(56:8)_FA 16:0,-3.5377171456561496,10.726774461471061,74.6636491347167,5.581441300118394e-18,3.0790951172319806e-16,920.8 -> 647.8,TAG1,150045.930236894,93873.808105502,87943.645965646,99954.106994609,99606.38598636,1292527.86816408,1438122.35717764,1363789.37524406,1260570.72875982,1354166.88867194,591576.363185869
PE (40:6),3.497485605387197,8.86354196542926,73.2416528045419,1.1470926712912053e-17,6.075002787158224e-16,792.5539 -> 651.5539,PE,528200.090698339,317586.399413658,379897.6600341,356112.189941322,358073.98706056,33724.242248532,36190.082580569,37475.482910143,40148.142547588,39501.822875959,33680.002273556
PI (28:0),-3.429543529917178,9.22505774184055,70.86091252168467,3.833175802002027e-17,1.951971062250263e-15,772.4706 -> 495.4706,PI,14200.94086456,101774.386657677,38881.7228851111,42796.822593651,36874.4429435742,583091.417602617,607882.33996582,600708.57281559,432830.135925186,396093.47161855,86343.125915511
PG (36:5),-3.4056937807009313,10.60146722460171,70.03170948915431,5.835875256564822e-17,2.861740310996972e-15,786.5015 -> 597.5015,PG,76703.425811675,266321.19897463,95441.0270309386,151033.2697754,25522.6419639649,1363410.48095653,1337808.6206059,1388001.07446307,918301.74755862,1462460.1767581601,374373.88525356
TAG(54:1)_FA 18:0,-3.403105305368627,11.819402782076292,69.94221013328934,6.106759335160005e-17,2.887624771339945e-15,906.8 -> 605.8,TAG1,221600.214416585,178779.571594186,221937.856628358,303296.459350671,277158.218933086,2790239.28124905,2939322.72851508,2865904.33886836,2773330.61914054,2935221.62939556,1206751.99500285
TAG(54:2)_FA 18:1,-3.388552137917853,12.084475211257825,69.43666045009013,7.890826933566565e-17,3.602570641393839e-15,904.8 -> 605.8,TAG1,253787.118896518,216645.493347147,267186.41723627,371268.96679691,341290.225463901,3308470.21533254,3639465.39697413,3460635.3837866,3277918.8408214,3438374.20800732,1477419.08633039
TAG(58:8)_FA 18:0,-3.3820147280628836,10.347313684593464,69.2088153720888,8.857127729613648e-17,3.90894570466949e-15,948.8 -> 647.8,TAG1,122305.608062775,80853.064941401,78072.085571346,88851.386596716,82704.545715328,1009609.86816422,1095645.07641611,1023459.56494139,984879.35009763,1015765.72534177,445472.271652397
Lyso_PE(18:3),3.3785562372289855,7.3685142458744215,69.08114655220413,9.449437164395729e-17,4.035824130858047e-15,476.2699 -> 334.2699,PE,57742.144256603,54233.183868424,62896.664398177,279103.77929679,183504.4528809,11446.4807891847,13853.5410003585,14228.1009063707,17735.821136478,15001.84109497,8191.1606140144
PE (40:7),3.3678072027103085,9.36502196551187,68.71578410135089,1.1372702395074463e-16,4.705455615962059e-15,790.5383 -> 649.5383,PE,765389.60070795,480636.51757803,535268.923034148,469236.572998534,522457.53454594,51477.984115605,62649.32449341,63897.563964831,57863.803939828,56556.544509893,26555.421859749
TAG(56:5)_FA 20:4,-3.3627212025966946,11.29230229870392,68.54133925453061,1.2424554548577378e-16,4.984881885550439e-15,926.8 -> 605.8,TAG2,162273.131835889,137951.528930656,164350.890624966,245060.676269442,221501.756591806,1986813.96826162,2351170.92187527,2282408.7197263,1917658.70751949,2289501.56103515,410108.490219102
Lyso_PI(22:2),-3.3601475193240673,4.991635232850534,68.39124761450024,1.3407131092061481e-16,5.2208945782027645e-15,670.3588 -> 393.3588,PI,2123.6801490791,3281.3402137757,1616.2601165774,2293.8801574703,1567.4801177976,19651.8815498326,22149.9017448485,24041.6213531468,25162.6415252525,26231.5416755668,14496.680953987
Lyso_PE(18:4),3.335250146968987,7.773089521473291,67.58693535151633,2.0159900615672402e-16,7.626202404328646e-15,474.2542 -> 332.2542,PE,299156.679504437,111727.448730447,116567.848632806,217045.496582156,163898.15039062,11082.5808563268,19379.3813705392,21960.281402588,24072.961631797,22010.001663216,10713.6408805854
TAG(58:10)_FA 18:2,-3.332959228645004,10.335756030213384,67.5133410589724,2.092662660710957e-16,7.696348229948075e-15,944.8 -> 647.8,TAG2,124266.549560508,87629.145965574,85975.247070263,98188.566894525,104563.047576843,1022953.27868649,1197495.73339843,1146853.91699197,994744.25537124,1188247.91284175,219505.936378546
PG (36:3),-3.3263598991039287,11.390379213595333,67.28684460376098,2.347425524630694e-16,8.399976742191997e-15,790.5328 -> 601.5328,PG,90781.765747011,481263.0322264,139252.44965748,369868.40673836,45233.7836265313,2040419.20263675,2231928.54516599,2587707.78735272,1851857.570312,2619459.75805707,547322.1806641
TAG(58:9)_FA 18:1,-3.311387622982511,10.31662115017439,66.7713449962157,3.0489807731431337e-16,1.0623290904319762e-14,946.8 -> 647.8,TAG2,129241.569702122,86820.086059516,86018.845886185,98943.888244692,101101.16757207,1027822.57104485,1160604.46057148,1129549.3923342,983241.69103997,1166250.49096689,216974.493957551
PI (28:1),-3.308814451766625,8.397473102523891,66.67961462009634,3.194212926924955e-16,1.0843943372432411e-14,770.455 -> 493.455,PI,13436.0809478746,60666.443649351,22548.4417114244,24560.921409607,21733.2215309132,368651.968902649,342681.90301515,311380.703613307,235409.115203904,204270.015106247,49804.423522954
PI (34:2),-3.306074472606863,9.217323146738849,66.58765765462203,3.346750603399033e-16,1.10777444972508e-14,852.5332 -> 575.5332,PI,15624.6811408996,116684.788127944,40722.2629394598,46906.2832984517,38626.5426750312,483651.67858886,491251.092163,596100.97937072,442047.51403804,615661.93994232,64110.504577627
TAG(54:3)_FA 18:2,-3.2891781987908484,11.952871076003444,66.01064807866351,4.484934720132968e-16,1.4483057486478167e-14,902.8 -> 605.8,TAG2,265471.97766116,228918.33398432,279644.880615165,383723.34741213,381809.9664308,3153684.61230566,3693622.59863374,3582874.9345703,3031610.9389644,3592239.76171622,639112.544456557
TAG(60:10)_FA 18:2,-3.2746741440584524,10.524780046203714,65.51394071504546,5.770433410407097e-16,1.8190604369949992e-14,972.9 -> 675.9,TAG2,129839.709884632,143470.070709163,127059.269500754,109184.807861364,102511.70675656,1192380.54589844,1381373.86083985,1317808.96459971,1144944.0234375,1326667.45605454,222166.576950074
PI (36:0),-3.2515651770462157,8.992092561880368,64.72381456332641,8.616712993269532e-16,2.6531460472299677e-14,884.5958 -> 607.5958,PI,14550.36095047,101381.505920353,34304.4223937954,37137.9624404389,33781.6224174353,279650.38256852,573651.60253886,443608.91259779,445769.03955075,424923.00927737,92913.9867553
PI (26:0),-3.236513027451432,8.511789225697816,64.21061425253765,1.1180479058393075e-15,3.364307789389189e-14,744.4393 -> 467.4393,PI,12577.1408844014,61644.864852945,31315.7420883144,22261.2616157537,28000.102111821,348402.279052524,355393.16223138,325113.711242622,270813.319580091,241898.715087912,69812.024841298
PE (18:4),3.2311275356514026,8.070892686066653,64.02693705357535,1.2272962748167099e-15,3.610978373016275e-14,474.2616 -> 333.2616,PE,158513.27209476,126131.94824218,132428.749755879,373814.608703595,264643.81884777,21235.6214904823,24069.281829837,27177.202133176,30199.062103276,26143.281570427,14390.9210433984
PE (42:6),3.227362372172665,8.520229097936475,63.90051779996862,1.3086325135671305e-15,3.6976643261592305e-14,820.5852 -> 679.5852,PE,432595.778381328,233155.774475167,266729.96057128,298546.237548892,277845.339843796,31591.882003784,38281.463066105,33343.602508546,36724.902801511,35886.802558901,23205.541610717
PI (22:2),-3.2290360453374785,4.829627746392189,63.89453154685545,1.3126149798299383e-15,3.6976643261592305e-14,670.3662 -> 393.3662,PI,2078.0201759332,2526.4201774599,1577.0201187134,2003.3401412968,1637.7001228333,20092.1820564671,7806.440643312,20494.6607780587,26647.0019645608,22361.1618156473,15664.6610870402
PIp (38:6),-3.1937993388541996,9.032166409227688,62.76550818233954,2.328409647566312e-15,6.422529944537078e-14,884.5383 -> 607.5383,PI,13308.0608100863,109138.249679501,36882.7223205604,38699.7628250069,35662.3224830611,285557.41833508,585271.56420854,454533.19519049,451642.68676757,420934.16992172,106121.48791502
PG (36:4),-3.0991142324687746,10.746495385939427,59.59495963693189,1.1653324517384761e-14,3.148775849187229e-13,788.5172 -> 599.5172,PG,89079.285644493,421194.46496585,109335.028453838,200571.17443848,29645.8222198608,1349276.560059,1415634.88403306,1560780.49682628,1067011.47509705,1708504.79614213,370317.14209007
PI (34:1),-3.0927877279393123,10.19904368921794,59.384075681186005,1.2971450308671053e-14,3.434840041736095e-13,854.5489 -> 577.5489,PI,26864.8017959589,223740.000492127,68414.8445129425,80317.405780829,69805.7246551189,736038.22802742,769852.75244144,965836.53295875,724702.23388683,888348.02343691,620611.70166019
PE (40:1),3.091139536120084,8.657297834763952,59.32776004170569,1.3348022389693508e-14,3.4652513027361184e-13,802.6322 -> 661.6322,PE,423012.152099972,285457.53674311,325679.6035156,312569.621826225,308925.02062983,38036.682510382,45575.663421662,41638.283340438,45226.363433819,41463.762954711,19451.701370247
TAG(54:8)_FA 16:0,-3.088236208912211,10.572573310752482,59.23329002240098,1.4004450795410564e-14,3.5657486256006894e-13,892.7 -> 619.7,TAG1,202378.055663992,95879.246398968,101910.547546339,114994.929321331,107026.127136254,1119766.86645534,1222318.26049814,1157286.02099617,1077001.77148447,1150031.78173833,594875.320373492
PI (36:3),-3.0724986872149374,8.951102416109235,58.70996080621444,1.827141555207091e-14,4.564406451121111e-13,878.5489 -> 601.5489,PI,13888.6609382578,113339.967453026,34534.202495552,47251.0642623869,31576.7422714293,415048.72351077,390432.525939856,447401.106262236,365203.385192971,439590.00720204,97378.3071289
Lyso_PG(18:0),-3.0577552766742024,10.372067312355638,58.224140364605965,2.3389131478373293e-14,5.7346685328456e-13,530.3114 -> 341.3114,PG,76268.7258529223,341224.741333057,114681.72656249,106958.409347486,19620.0814361511,460689.835388679,1011851.11584473,967600.671875014,1241194.74990847,1588291.94073493,372378.881347172
PG (22:1),-3.0561837032126715,5.522134115529601,58.14343266101549,2.4368634685512734e-14,5.76144148636051e-13,584.3658 -> 395.3658,PG,9284.2606315624,6076.420494075,2377.0201835633,1669.8601036071,1482.0200920106,36053.3621291967,36490.4622573493,35400.1826744163,29460.0817565922,34743.72249606,18089.4012184073
TAG(60:9)_FA 18:1,-3.05608579271878,10.527780302889102,58.169051805893105,2.4053343335616256e-14,5.76144148636051e-13,974.9 -> 675.896,TAG2,130572.08868413,152480.108612028,135387.510650636,110822.207427958,157676.292938227,1150849.87756354,1358014.63537616,1321271.42993161,1128292.64587408,1329138.11718743,219413.255611421
PG (18:0),-3.0432015806497854,10.369925377705634,57.74410806441802,2.9853292752295524e-14,6.934343790182329e-13,530.3188 -> 341.3188,PG,68894.6842498318,340230.863434376,117704.966247583,117855.931899972,19012.221153258,472408.584899948,1013023.94604495,956839.932617129,1233726.77478029,1598256.92266837,363028.404327371
PE (42:4),3.031208040803724,7.974899402491709,57.345864491943075,3.6553109270435454e-14,8.344192530009749e-13,824.6165 -> 683.6165,PE,250419.177673495,178221.29327395,154186.89013677,261265.39770504,179552.212280284,22601.1216506892,29537.661758415,27487.981918342,27803.401947018,29285.402236934,13878.7810897801
PI (36:2),-2.9860035535858227,9.194142046783451,55.86793219286528,7.750654296100297e-14,1.7392993708536939e-12,880.5645 -> 603.5645,PI,18458.7213745084,120070.34933844,45363.6431045609,66010.6440429508,43130.5228614798,430049.39099118,472597.29064952,551461.05578598,435278.09057623,526038.81689453,118168.82824703
PI (32:3),-2.974897334341194,9.551414899211084,55.506719871016685,9.314007426379475e-14,2.0552909720877374e-12,822.4863 -> 545.4863,PI,7015.240524289,210003.433807324,16205.6812019327,178998.233173328,16003.0410652167,723096.580322221,618432.840698227,944358.581176747,217905.999923245,862943.248703,24548.602005016
Lyso_PE(22:5),2.948284717886997,6.246394540855824,54.62980869341527,1.4551168304694077e-13,3.1583191533467143e-12,528.3012 -> 386.3012,PE,44465.523284913,46581.903503436,52250.163391129,77994.606018031,68158.205108634,9727.9606170591,13089.7410163843,11942.4208297675,5593.1004409812,2274.6001434324,8318.9605941758
PI (32:1),-2.9315439872197575,10.445267096888637,54.10161299037372,1.903849134116893e-13,4.0656391186625266e-12,826.5176 -> 549.5176,PI,21872.1017456024,179413.992408753,62564.8643760882,409240.80740351,61385.3846282805,1190142.51403797,1282222.45190419,1461925.42700205,984816.07519544,1163115.02539064,111841.8876953
TAG(56:1)_FA 20:0,-2.928431103530066,10.031716002468084,54.00076207274469,2.0041186269405806e-13,4.211830257252903e-12,934.9 -> 605.896,TAG2,106908.627197314,85495.886077877,88174.845672673,127501.730102503,109572.507370025,812191.98644999,948449.36792013,914479.66943359,791079.25805656,914766.17504895,171530.712757154
PI (32:2),-2.881160687653099,9.305837842812155,52.481211374277336,4.3438428671415905e-13,8.986324931399165e-12,824.5019 -> 547.5019,PI,16890.7012634283,122005.387084952,38474.922714236,144795.690078708,33668.622314466404,566192.046234132,556470.279418341,640990.254333519,432946.545471715,561795.278015054,45658.303405737
PG (36:2),-2.8791308879123547,11.727671396481265,52.41764121191227,4.486753257373975e-13,9.059437606222926e-12,792.5485 -> 603.5485,PG,139158.929321298,777660.39062534,214693.976722661,692064.73388697,72690.2256850927,2515918.87011708,2816320.61401441,3412442.29443304,2499880.92627014,2839512.74511672,581762.6640623
PI (36:4),-2.8788114854262083,8.57877419017511,52.404866811099446,4.5160338520446606e-13,9.059437606222926e-12,876.5332 -> 599.5332,PI,11370.9208831816,107539.206512495,28212.8618011398,36439.9027633669,25495.6219482468,331555.464721523,282687.738891608,325161.324890105,261337.38061528,338016.902770997,88045.18664551
Lyso_PE(22:2),2.841613822536381,5.246362766883937,51.19557972523285,8.36066792011555e-13,1.6521678098855206e-11,534.3481 -> 392.3481,PE,43677.443145758,36704.5627937075,25808.1823310982,22668.421730032,19149.4813919108,1745.7801132205,1900.1001358039,3688.4402389544,7110.4404754637,6918.5205192551,7662.9005966183
PEo (38:6),2.825240773077113,8.583157426834987,50.70114615909358,1.0755673175598144e-12,2.0941928359546974e-11,750.5433 -> 609.5433,PE,333731.60717781,261148.816284109,265422.458496097,450781.64636236,219906.49658201,33866.122650151,48922.663185108,48779.983505238,51080.363815342,52218.004272495,26327.681854251
TAG(56:8)_FA 18:0,-2.8196255326407424,9.945077625604597,50.524796281930094,1.176686525293025e-12,2.2578738543303842e-11,920.8 -> 619.8,TAG1,134266.490051302,81140.925567571,75654.845123255,91009.266601519,93191.746704118,728111.13183596,773380.3978273,733210.21166985,693555.37158194,733267.13476572,368462.086517462
TAG(52:1)_FA 18:0,-2.808293485930729,12.066045901159567,50.16796293556945,1.411332646634228e-12,2.6694348916338827e-11,878.8 -> 577.8,TAG1,329695.94628885,303306.66198735,395700.14855939,494787.18798835,532088.08105503,3143547.6220714,3389272.9121088,3356210.8632813,3146651.3222635,3333954.7499966,1377658.1634404
PE (40:3),2.7932338188798047,8.223048266299871,49.69099549259053,1.7997000275250962e-12,3.3560603330186297e-11,798.6009 -> 657.6009,PE,435076.687805141,182931.05328374,189104.83337408,200888.07629389,197889.69531259,32702.202667243,39378.582550058,37900.022857652,36195.64263915,40793.663177481,19329.021392819
TAG(60:7)_FA 20:0,2.777751087824319,9.451531844394829,49.20678369889407,2.303527139894624e-12,4.235930462806225e-11,978.9 -> 649.9,TAG2,661849.058075522,472794.552734347,564485.770874031,500532.759033714,601289.503998299,80989.204956042,91331.66693112,91597.00598146,85485.40631099,101364.447204601,16037.3010292076
TAG(54:5)_FA 20:4,-2.770395774372636,11.746587733581656,48.9773995532305,2.589288461773332e-12,4.6961889361477963e-11,898.8 -> 577.8,TAG2,265562.83679203,271797.6611329,339597.126830944,463371.95642087,486864.81506364,2526828.09664857,3058425.70995999,2971293.5019551,2569306.12182724,3123626.021484,534656.800903483
TAG(60:8)_FA 16:0,-2.767547464951147,9.399696694731878,48.8870538462661,2.7113448616144983e-12,4.851108914564319e-11,976.9 -> 703.9,TAG1,84360.545959479,65941.36511231,60713.823791481,85772.147094726,69987.204345682,506804.17675767,586720.36462372,559453.39758293,523334.61499025,562058.29626473,134647.649311095
PI (34:0),-2.766694753275349,9.529535150510753,48.86038396798858,2.7484644835089266e-12,4.851955968221092e-11,856.5645 -> 579.5645,PI,24972.6616554357,141224.788349257,61642.664253222,77496.7434463929,64556.7644843828,428902.54907234,563256.94433571,618522.82568368,521173.83666965,527945.7150879,313518.83911139
Lyso_PE(20:1),2.761537460199535,6.782416657419447,48.6926157403492,2.9939154821502858e-12,5.215715918903919e-11,508.3325 -> 366.3325,PE,71106.144012453,68347.364746068,70136.704650896,115443.667755124,96038.766052206,11975.2608566299,14438.3610076832,13775.3010711585,13710.8208808929,15834.4611701892,8638.9405822726
PEp (20:0),2.7534103196173336,7.662465970224271,48.44273462417709,3.400759192921849e-12,5.847539183673413e-11,494.3606 -> 353.3606,PE,94698.84716797,82825.045715332,92565.766723628,285195.83959961,198232.31555178,20598.9415817289,23874.921669012,26815.121887208,31205.8817596451,26763.241836538,13977.6809234607
TAG(60:9)_FA 16:1,-2.7497876323571253,9.393795646136867,48.33268773455808,3.5970588037198734e-12,6.10577673862194e-11,974.9 -> 703.9,TAG1,83539.786209081,61525.64392089,65082.684265144,88192.266311637,69824.88613886,498146.38073733,566584.06384307,561859.71704108,535623.67846693,561157.95703121,133271.588966379
"(5Z,8Z)-tetradecadienoylcarnitine",2.7264096148783206,12.29373686745156,47.607454686862184,5.207010158412254e-12,8.726685379414967e-11,368.3 -> 85.1,AC,3067807.70117121,3327446.06909273,3306258.83886535,5171519.25732435,4383099.48535098,730654.48718257,700624.18811035,634282.6220703,666683.6055908,526417.9760742,351950.02343741
PI (36:1),-2.699950535921805,8.319952003203213,46.78662684464052,7.915169648419323e-12,1.309960576813398e-10,882.5802 -> 605.5802,PI,11736.180728906,69990.7857322922,32371.2224159276,43197.043304464,28539.5821075446,222802.79626463,253182.59960933,288284.51794447,256996.31957988,248322.97937,72293.60565185
TAG(52:2)_FA 18:1,-2.6951064015034616,12.567540471634386,46.64022893545189,8.529120105793329e-12,1.3941425950704158e-10,876.8 -> 577.8,TAG1,452112.09423825,420741.7729491,602920.01855464,780431.91040029,836338.4533691,4410229.5195313,4795011.7226562,4599860.8554693,4405398.6210932,4747805.7499995,1941547.84742338
PE (46:1),2.6686284304718506,7.3341490339588225,45.822365159654254,1.2947682954797318e-11,2.090577101481908e-10,886.7261 -> 745.7261,PE,143588.628463834,102053.765640198,107162.627349915,149380.649162286,122848.487762404,18902.701210021,21848.4615859902,21949.6413192807,22326.3615417468,23307.8016510054,11717.600807196
Lyso_PG(22:1),-2.6615746796133055,5.6599454689615705,45.593972100739094,1.4548862259154613e-11,2.320806461580808e-10,584.3584 -> 395.3584,PG,10306.8208885165,14846.900951379,2434.1402091973,2083.6401634211,1586.3801155093,39029.9822768784,39291.6828270088,37110.6828727965,35797.7227935748,36055.162460287,17796.5814971869
Lyso_PE(20:0),2.65126045846236,6.784103566407772,45.28938837355257,1.6996757146960854e-11,2.679012674116211e-10,510.3481 -> 368.3481,PE,46489.38351438,43646.483489991,49076.023101791,161451.070404046,102759.788085935,13534.4208374005,16020.301048277,14536.6410522416,15237.3010520926,15117.6410827651,9103.2606277479
TAG(60:11)_FA 20:4,2.6456501147382787,9.380949172085538,45.12463552301563,1.8488488389496472e-11,2.8798539561992153e-10,970.9 -> 649.9,TAG2,633277.312988254,412689.576202423,522742.640838653,479766.928070014,569153.46920722,77275.305236797,92287.7866211,93562.94677733,83632.285827637,116514.26745602,20366.3012886041
PE (42:5),2.6379616209236327,7.566640001741163,44.88767911770253,2.0866671579258972e-11,3.2124968803417303e-10,822.6009 -> 681.6009,PE,202557.236328068,122635.688354572,124000.089294427,161694.171569815,131038.548889217,23799.521888725,27735.862304667,25047.341857896,27100.602127072,26043.281814572,13547.061027531
PE (52:4),2.6317051785488923,6.761083558059669,44.694522188281326,2.3030073072135284e-11,3.5048065227019674e-10,964.773 -> 823.773,PE,92842.187194922,80473.30545045,79614.005645757,89224.286255008,81017.505645843,14175.3412017818,15358.4010391275,13165.2609405442,15962.281234744,15911.9011306724,7281.3205871577
Lyso_PG(22:6),2.6116265633169897,5.708559049865958,44.077640819967655,3.1560552251371e-11,4.748428543274455e-10,574.2801 -> 385.2801,PG,20547.081459045,93083.246276898,52717.163513183,22531.681625349,11966.0608978307,2432.6601448065,19579.8407669073,2312.1201553347,3071.8601989743,5762.0205001777,15808.101089474
