lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DN1,40DN2,40DN3,40DN4,40DN5,5DN1,5DN2,5DN3,5DN4,5DN5,SolventBlank1
TAG(52:6)_FA 16:1,-0.5082094538815889,9.659876520154455,27.693402381105898,1.4214668411515524e-7,4.9492890923731324e-6,868.7 -> 597.7,TAG1,95975.905883808,102545.487487797,111154.18859863,139629.471191379,139237.210266129,121154.96899414,172596.11303712,138774.51013183,175461.61254881,166866.11328122,33402.7024116331
TAG(58:9)_FA 18:2,0.4921360484754423,10.921997006261297,25.987651511421973,3.436081538836399e-7,1.0966826911452841e-5,946.8 -> 649.8,TAG2,299599.33862319,383360.20849601,551755.67846675,367090.82360845,419554.42724633,267993.4802245,258896.756103462,252004.25878919,307460.28295904,252749.998046768,60003.024066935
TAG(52:5)_FA 16:0,-0.4725003057472389,9.342996257696692,23.9507603027289,9.883125490543848e-7,2.9117208175986875e-5,870.8 -> 597.8,TAG1,83372.94549561,81520.185241688,91245.186157242,107340.708190921,106135.727050756,94072.485839828,143746.069885261,105830.78692626,132673.98931887,127691.74932863,33542.5619087185
TAG(56:7)_FA 16:0,0.4708392708179147,11.148402986414434,23.797518639346208,1.0702033711922777e-6,2.9277706511903026e-5,922.8 -> 649.8,TAG1,471667.13671858,515006.41113288,373724.96484384,438374.75390632,458700.96826175,287264.78125,309116.02124031,296580.52233886,314440.31958034,306745.18200684,121532.529281592
TAG(54:4)_FA 16:0,0.4695377248951696,9.124814439299932,23.647961248502554,1.1566838823405367e-6,2.953399512909504e-5,900.8 -> 627.8,TAG1,135516.390075687,94591.127319325,89223.84631345,110349.56860351,101776.08728026,68555.00427248,79845.70556641,68603.72497556,70554.46520997,69180.944946285,42685.2229461861
TAG(58:8)_FA 18:1,0.46764575753300514,10.903781762670091,23.47641254086957,1.2645465078885055e-6,3.0270082032581103e-5,948.8 -> 649.8,TAG2,318661.00317362,381872.52734397,553127.9018555,345403.08422852,381083.84985343,276581.2363281,255652.537048326,256343.118774347,305823.32226561,242876.997253316,57686.3240394723
TAG(60:6)_FA 18:0,0.45255590832973963,8.972504330306053,21.9736688799873,2.7641681886685804e-6,6.227508330941566e-5,980.9 -> 679.9,TAG1,96860.426208503,97356.047241211,122907.829223591,81701.725158677,95616.586852985,59741.624633764,72704.985107431,68587.425048846,71711.004760733,64584.604370118,27466.322029117
TAG(56:1)_FA 16:1,-0.41339764422132386,12.566054466704195,18.366642662753293,1.8222031436786824e-5,3.877243355716308e-4,934.9 -> 663.9,TAG1,1020042.2507324,893572.56250016,853295.43066392,1074834.71875051,947407.32666032,879568.46118175,2062990.21289124,1108804.08007876,916881.30810613,947563.56640573,78584.6655540488
TAG(52:1)_FA 20:4,0.4027424136408858,7.744617347549712,17.392437233468172,3.0403329534692252e-5,6.128671164098491e-4,878.8 -> 557.8,TAG2,37399.4226684362,38491.1424140996,48918.463317891,40124.0828514015,47310.563190449,31053.9222526429,33225.8423042373,24518.561874389,34991.0823936712,25550.2416191145,9947.9006500232
TAG(54:5)_FA 16:1,0.37822266730344956,9.177070935855768,15.368720377849511,8.844029027115191e-5,0.001693631558692559,898.8 -> 627.8,TAG1,140003.59020995,102148.06713867,93689.46716309,106016.82800292,98304.026489244,71142.86541748,81756.365295389,79046.305542,78868.90625001,76469.08483888,41538.8828811646
TAG(60:10)_FA 18:0,0.3768337235418695,8.298491301963686,15.243254868574894,9.451369447930797e-5,0.001723749761217855,972.9 -> 671.9,TAG1,46392.703247065,53356.303070075,59593.204040533,75716.204772944,53856.884338364,37286.482665996,49404.063720695,40015.102844243,40243.32312011,39492.522583022,25948.301765443
TAG(58:8)_FA 20:4,0.3736102362764466,8.19129504682101,14.984243187138473,1.0841264478761969e-4,0.001887365588802652,948.8 -> 627.8,TAG2,59678.683837864,55532.904052709,55880.003906239,56020.643646224,60555.104431124,42975.083038319,39703.962738029,38372.262786877,46144.703674283,39224.802825925,12852.0007591254
TAG(54:6)_FA 18:1,-0.36692416460216215,9.313382725727692,14.468428047362067,1.4252852661918085e-4,0.0023734098128324463,896.8 -> 597.8,TAG1,88025.666381818,87925.526000978,83441.385742197,107822.04785157,106219.767028765,92152.74633791,126227.22900394,105047.487426745,127942.769592311,115073.507995624,37363.8027458189
TAG(54:5)_FA 18:0,-0.3612619094904821,9.228287405774623,14.02586043156316,1.80313649187108e-4,0.0028775053182775985,898.8 -> 597.8,TAG1,82126.94592288,83999.145751945,84235.965637166,101118.306945831,99830.166442851,87636.326904327,117402.307678212,97362.766845747,119538.287353521,115806.66784672,32107.4822349548
TAG(60:10)_FA 20:0,0.3512897169962517,8.110654484090688,13.250372486423544,2.725257110218388e-4,0.004175093892854571,972.9 -> 643.9,TAG2,58313.044677706,49513.923126227,60930.604492169,46783.443511967,55781.824035638,38621.4826164265,39134.2828368932,38371.122711166,45779.403442386,36481.922485368,11220.2008247384
TAG(60:7)_FA 18:1,0.3501207641588063,8.627664551501677,13.170337874631997,2.84415450665912e-4,0.0041896583694247804,978.9 -> 679.896,TAG2,67613.905334493,64489.304077159,117796.687194877,65132.704589805,74954.944946264,58505.7640305002,54020.4636154122,53230.9839172067,63876.764709467,55922.183868405,14521.0809783973
TAG(52:3)_FA 16:0,-0.3440515661068633,11.447035587385008,12.733503270398614,3.591631406999755e-4,0.005094795662521875,874.8 -> 601.8,TAG1,440058.7490232,399130.66870127,359185.16528326,460422.25024421,493183.13623065,415155.68847624,582596.38159173,469916.27392586,550016.45629878,514734.79443338,123612.967987039
