lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40E1,40E2,40E3,40E4,40E5,7C1,7C2,7C3,7C4,7C5,SolventBlank1
TAG(48:3)_FA 18:2,-2.311163551761334,13.683816835932518,88.54048437502934,4.980506688200639e-21,1.9075340615808446e-18,818.8 -> 521.8,TAG2,175562.153400414,1726222.87402667,2100523.02832068,1319863.04492128,1618887.85373307,22109768.7919917,5993913.42144788,8185492.89599552,5922385.19726576,1510865.71533168,65438.1047172306
TAG(50:4)_FA 18:2,-1.7865039629337691,13.72434314099268,54.85803616524209,1.2955793341331724e-13,2.481034424865025e-11,846.8 -> 549.8,TAG2,463137.354514857,2080151.56028041,2414961.336914,2162671.0449211,2092080.27898801,20338124.7832036,5737341.37695671,7282017.5273427,6006855.3291019,1878414.8046877,192816.451930992
TAG(48:2)_FA 16:1,-1.714389019362277,14.094682724869024,50.74415715830401,1.0522534958787706e-12,1.3433769630718971e-10,820.8 -> 549.8,TAG1,371572.424789482,3805551.0810554,3624024.78906249,1971406.4560564,2811633.78125,23272053.3652344,10823442.9140624,8257725.766602,6501613.57421861,2503530.5927734,328307.063114007
TAG(48:1)_FA 16:0,-1.6564981489707378,13.982299718499705,47.539804776897654,5.389834200943751e-12,5.160766247403641e-10,822.8 -> 549.8,TAG1,374570.565509884,3569631.0380854,3384394.45214794,1931164.4404296,2705646.4345701,20988297.2822266,9905469.96679645,7413950.1816415,6190734.6054688,2391597.9199222,318746.301387571
TAG(48:2)_FA 18:2,-1.4994875686766358,12.662664376975961,39.3043974901957,3.6262371598875684e-10,2.6799522422480326e-8,820.8 -> 523.8,TAG2,346521.942981544,1006828.6718788,1309431.2734372,1212795.8281252,1100625.39984819,8627739.4677744,2420036.56793214,3337277.3662106,2888486.2753911,1266635.152344,137061.889263191
TAG(48:3)_FA 16:1,-1.4937922729192281,12.08938281187656,39.01837234789855,4.198358604043915e-10,2.6799522422480326e-8,818.8 -> 547.8,TAG1,120066.148601529,1019245.55395476,953079.71069328,618189.57641604,771294.27099632,5286925.65209909,2570890.41748043,1921877.55859354,1696320.97070332,682324.13403292,103614.34692002
TAG(48:2)_FA 16:0,-1.4582826364575447,12.023817884642368,37.25663509784499,1.0356203686260503e-9,5.666322874053961e-8,820.8 -> 547.8,TAG1,119326.168254799,1009759.37524408,918724.70825185,608724.62670907,730526.66381862,5000377.71923974,2422303.03002889,1828332.67968748,1610490.47436486,679213.77221668,99298.4867210266
TAG(48:2)_FA 18:1,-1.223455188219293,12.05879590264463,26.53188151138602,2.592245403181171e-7,1.2410374867729856e-5,820.8 -> 521.8,TAG1,145823.550739284,1158222.64306713,1030413.39160161,656950.28955068,875623.8640135,4820851.44531201,2275076.91674745,1806688.17431545,1481197.08129918,887087.97949212,116155.88825987
TAG(50:3)_FA 18:1,-1.2178572285513893,13.172177281329121,26.2965666334494,2.9280875195423646e-7,1.2460639110941396e-5,848.8 -> 549.8,TAG1,369924.807216683,2299590.0048828,2254348.6142584,1501380.0244143,1788613.1240228,10093303.7275395,4914344.2900384,3832209.5927723,3435310.4785148,1647967.0488281,362208.986549169
TAG(50:4)_FA 18:1,-1.1036282539885423,11.334970392881464,21.703096610697685,3.182770961148501e-6,1.2190012781198758e-4,846.8 -> 547.8,TAG1,105128.107955944,704577.15283214,639635.45068366,484285.81665054,508613.31250001,2626257.77661085,1310064.23803719,1052738.05102587,1005969.70263511,504571.31665031,98864.6274986616
TAG(48:0)_FA 18:0,-1.0427161618857173,12.064338257448233,19.421985406253956,1.0479372798549073e-5,3.648727074403905e-4,824.8 -> 523.8,TAG1,207538.616203312,1113404.64355479,1104274.21191443,785266.51562509,883713.31591783,4353921.51025511,2061314.64599695,1697580.48046788,1506539.57031316,1004723.82812487,188790.513305683
TAG(48:1)_FA 18:1,-1.0154099360907733,12.163031416876352,18.43789966023178,1.755318698056081e-5,5.602392177962325e-4,822.8 -> 523.8,TAG1,221166.195804525,1222541.89160187,1201843.39257816,840279.25292993,940789.76220722,4453638.05761658,2218439.79443375,1866630.87841816,1579857.45703214,1094296.54638676,219186.134483368
TAG(60:1)_FA 16:0,-0.9725459643590619,8.732708029324286,16.93970176120638,3.85860701064949e-5,0.001136804988522119,990.9 -> 717.9,TAG1,27913.6218795783,99294.567199707,99200.787292504,91151.247192378,83914.765411349,311825.702087379,197117.972656226,243677.997558647,133727.830261243,99168.147766122,28255.7818756015
TAG(60:2)_FA 16:1,-0.9194179293339141,8.702755725582147,15.16881377243999,9.831379543774019e-5,0.0026895845466181783,988.9 -> 717.9,TAG1,27763.4419441244,98085.306823734,104577.567199704,91131.946075444,82305.025573727,304092.740356486,193396.853057793,242447.537536526,126241.268981935,88801.486541744,27166.1219139079
TAG(48:1)_FA18:0,-0.8669609024655373,11.580294868122463,13.51335539126012,2.3687162856670426e-4,0.0060481222494031825,822.8 -> 521.8,TAG1,141685.649456009,953075.43408222,826203.37915033,588366.21997066,709478.02954096,2920974.75976605,1445236.57519428,1208137.10766701,1012309.5458976,728323.83349632,116301.388069129
TAG(52:5)_FA 20:4,-0.8496114548368113,11.310153679919354,12.985340795319646,3.1393919356611675e-4,0.0075149194459889195,870.8 -> 549.796,TAG2,255743.57812506,488058.914066125,535862.070785152,665358.72460927,560227.7601319,2613127.00097609,810415.770450683,1092058.91845713,1061313.64599626,511741.836723448,108011.727191935
TAG(50:4)_FA 16:1,-0.7475114444663576,13.061045777280796,10.084035131832934,0.00149559456028734,0.03369486568176772,846.8 -> 575.8,TAG1,323569.560241764,2594921.21923851,2667742.14160212,1982776.2773436,2147489.31054768,7161575.29296825,4001989.29345763,3619106.29247949,3141713.58984312,1800789.49169959,237597.778053299
TAG(58:1)_FA 16:0,-0.7304484886275767,9.119989188351449,9.632726369732154,0.0019114066839745266,0.04067048666456909,962.9 -> 689.9,TAG1,45896.8833961168,142872.40979004,131760.86987303,127046.76916508,110964.36791993,350995.40344259,230424.01794421,300917.15734861,163576.37170405,124546.16967775,52343.5637130404
TAG(48:1)_FA 18:2,-0.7226971678038757,9.279900171549393,9.431638473453631,0.002132736560640497,0.042991479090805806,822.8 -> 525.8,TAG2,46237.1434173251,141264.449195866,145348.91003418,217926.814514225,137789.609962516,508581.35620118,199400.134628193,297265.14038099,238394.5599365,187944.111755377,19716.6014213554
TAG(58:2)_FA 16:1,-0.7068487440496186,9.126643107501195,9.02634625044675,0.0026611586269914304,0.05096118770688589,960.9 -> 689.9,TAG1,44407.6831474497,140262.18994142,137097.51037599,128154.32910157,119193.02807618,359016.48303226,235327.71569827,286564.11840815,158048.01037603,132513.29028323,52520.5033683569
TAG(52:4)_FA 18:2,-0.6887936075559222,12.70120805540723,8.576162044046214,0.0034059251824836837,0.06211758785196433,872.8 -> 575.8,TAG2,453540.29488744,1529322.0322693,1788214.46777581,2038435.4384758,1730492.0507812,5886031.9238282,2245070.85605663,3018557.2519525,2827627.5664066,1337153.35964992,181849.431877112
TAG(50:3)_FA 16:1,-0.6549532134947532,13.70053248208397,7.761123007236165,0.005338275871132413,0.09293452993835065,848.8 -> 577.8,TAG1,876104.055942535,3839947.0664072,4001767.8945307,2921518.4570323,3021257.5351566,11037345.0039062,5785803.8125005,4907527.6621098,4522995.6191405,2769592.4531251,838448.87660994
TAG(48:3)_FA 18:1,-0.6023933762485635,9.400454521033465,6.573508548975951,0.010350770240989836,0.17215818165638283,818.8 -> 519.8,TAG1,43166.0028953452,204200.315612854,193735.11340325,170236.49157714,160434.79113766,511498.85803202,268706.959594821,249306.35778804,214921.577636862,214970.73583988,37941.4027595653
TAG(50:2)_FA 18:0,-0.598197848633193,12.16106659891289,6.483331846200599,0.010889068010463179,0.17215818165638283,850.8 -> 549.8,TAG1,286809.042106629,1413735.53027355,1376503.36425792,1026468.55664052,1072618.58300775,3564485.0283203,1927381.9189452,1622347.5283209,1589489.57421815,1046880.92675798,302219.761260914
TAG(50:3)_FA 16:0,-0.5931112265411616,12.873194064001588,6.374335169806727,0.011578240825025848,0.17215818165638283,848.8 -> 575.8,TAG1,289722.440982866,2381283.76806648,2517897.1127933,1880534.10839899,2020121.16650535,5593891.33300887,3312594.45410154,3047475.69824311,2803726.81884785,1661135.03808618,236530.456802383
TAG(54:6)_FA 20:0,0.592385286428796,8.07652348654907,6.357748052552779,0.011686978389206145,0.17215818165638283,896.8 -> 567.8,TAG2,23975.9617271425,88550.8468131919,106248.386848457,153610.210998541,108795.087646498,99500.046508789,48417.5836562919,81385.125488257,67048.924804685,88771.4259147369,10909.0007972725
