lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DP1,40DP2,40DP3,40DP4,40DP5,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,SolventBlank1
PIp (42:6),-6.007563876005671,12.446249792853246,157.29319129192473,4.4165597064352906e-36,5.847525051320325e-33,940.6009 -> 663.6009,PI,15757.4611625663,359885.400047776,25038.0018501246,41024.6026496883,25071.1019859203,7675331.69329837,2503744.01013193,10984560.2919922,3573901.53125005,4229335.04009997,235349.529418903
PI (40:0),-5.145125632345687,12.365547217740026,125.2092283066208,4.580169445283199e-29,3.032072172777478e-26,940.6584 -> 663.6584,PI,15378.420936573,720989.101379385,24162.3817520133,43071.7232779943,23691.8016471852,7000047.76000865,2281243.42785646,10540651.0783693,3323449.41754142,3927893.5817871,210821.173645012
PIo (42:6),-4.365372009881295,9.250968246762145,97.12170744395735,6.5194220727674506e-23,2.877238274781368e-20,942.6166 -> 665.6166,PI,8776.7605133019,88171.2256659906,16746.1611442599,14565.7210693344,15132.4010314941,818687.238373335,273662.097625737,1135169.09320084,376856.791718025,439526.74270617,33954.102401777
PG (22:0),-4.302444126539584,5.6202153560657235,94.83748071603401,2.0667516578837963e-22,6.840947987595366e-20,586.3814 -> 397.3814,PG,2263.8401641842,1939.9801445012,1476.5801086422,1494.5201072692,1481.4601058958,18143.0213279749,24771.9616737282,38601.2430000254,44354.4028472625,67953.3446006278,23464.28164673
Lyso_PG(22:0),-4.076298654842316,5.60862039166769,86.9868889700039,1.092429796373977e-20,2.8927541007982913e-18,586.374 -> 397.374,PG,3419.6002159116,2316.2601737975,1646.2601165775,1520.0001106262,1513.680103302,18973.1813621337,24530.9617920057,37971.5025863396,43095.3828887801,71079.1846886058,21081.241439814
PIo (16:0),-4.023101112025873,11.225774038557056,85.21831867822584,2.6717514375092838e-20,5.895664838770486e-18,576.3243 -> 299.3243,PI,22469.3814926036,532383.230651795,40542.563034038,117592.129501383,36415.6023368739,1317707.71093752,2904399.62817376,2394814.88952618,2754491.97216801,2474664.20214831,66956.12475585
Lyso_PI(15:0),-3.9659145013561568,11.207220752330159,83.26056611686363,7.192007632869641e-20,1.3603168722742007e-17,576.2805 -> 299.2805,PI,19431.7614975001,537910.213561953,40772.46315002,131242.349098216,36393.38237002,1264679.34191897,2891451.2608644,2367086.00109867,2669392.54541037,2468723.40234384,65583.445129386
C28:0,3.957334323167429,14.09930618314716,82.9821062451006,8.279952598318582e-20,1.3703321550217253e-17,423.4 -> 423.4,FFA,12550596.911202,18012963.3423838,12997536.1283346,14832067.8818289,15462648.1467894,5782760.52458999,11628.0208816531,9692.18068313671,7939.02061843738,7803.00058364789,866714.910873862
Lyso_PE(21:0),3.942109206097999,7.540952629539321,82.43888302223013,1.0898855208676652e-19,1.6033426995875432e-17,524.3638 -> 382.3638,PE,61582.884124744,52995.743499755,55653.243896492,378832.430999921,180185.05078123,13180.9010162404,12428.600811002,9949.0207519525,13148.540840157,10999.8808479324,8440.6205558803
TAG(58:8)_FA 16:0,-3.8481845719948033,11.213367435097041,79.26160828836873,5.440674585850692e-19,6.767902406428407e-17,948.8 -> 675.8,TAG1,163660.070861883,88042.226928622,92489.52703858,113644.208129891,150056.809143089,2040442.1054688,2010159.80957032,2184718.02978559,2088678.26464826,2166741.65283195,595916.520416331
TAG(58:9)_FA 16:1,-3.8462572904399126,11.181942091330841,79.19652843292374,5.622879642803058e-19,6.767902406428407e-17,946.8 -> 675.8,TAG1,164387.092468193,91478.266143797,122676.767303468,120078.967834489,113968.211151107,2001055.14209049,1987405.3828124,2140939.71777493,2034662.92285155,2140617.72998032,564366.362716751
PE (20:2),3.812254566956974,9.075311860421355,78.04792577537137,1.0057060749060622e-18,1.1096290359796887e-16,506.3242 -> 365.3242,PE,407189.74987779,347091.39941404,364728.20410173,603987.59777831,484099.85485815,34390.102760276,36762.882812513,26502.0816421459,71583.9059677293,21461.9013137843,22355.321853644
PG (22:4),3.798211399447143,5.652471839603041,77.53408834706624,1.3045150253554639e-18,1.3285983796697184e-16,578.3188 -> 389.3188,PG,18824.9810981852,119836.747268615,29622.282196038,16343.7209167484,6832.2204933197,2371.1001625061,1693.0801124571,1678.8801155094,2132.6401519778,5546.620414734,27106.7415657025
PE (18:4),3.711741937071546,8.064917246424603,74.67911429337244,5.537889717032743e-18,5.237261418108108e-16,474.2616 -> 333.2616,PE,158513.27209476,126131.94824218,132428.749755879,373814.608703595,264643.81884777,22899.3416519168,19470.541213994,19655.101318361,21454.5213623007,15954.900993349,14390.9210433984
Lyso_PE(18:3),3.6729374187632207,7.380200216892894,73.38571582571686,1.0663501535491968e-17,9.412317355327576e-16,476.2699 -> 334.2699,PE,57742.144256603,54233.183868424,62896.664398177,279103.77929679,183504.4528809,13411.0608482439,12423.1808052011,11347.4808883625,15774.260921481,10658.020763393,8191.1606140144
TAG(60:8)_FA 18:0,-3.66344526459402,10.658859672039087,73.079169082519,1.2455217077440502e-17,1.0306692131582015e-15,976.9 -> 675.9,TAG1,120829.387695396,77447.605957032,79954.5062561,100819.007781969,95153.366027868,1348786.81323217,1352346.3588866,1484509.34863311,1434306.19775373,1440524.6525876,414921.847213514
Lyso_PE(18:4),3.634706536447384,7.7786770097281215,72.12267070977819,2.0222707845081768e-17,1.5257803140247181e-15,474.2542 -> 332.2542,PE,299156.679504437,111727.448730447,116567.848632806,217045.496582156,163898.15039062,16614.961166382,17614.8610534658,16964.701217658,22181.161437983,12581.3808555647,10713.6408805854
PEo (40:0),3.6330298153314504,9.805038323776545,72.07251995157549,2.0743236897617014e-17,1.5257803140247181e-15,790.6685 -> 649.6685,PE,1044481.28155472,602085.28051749,727027.42358398,657198.71203607,702883.88452151,78968.527206398,54292.384201028,66856.044158962,93294.706085175,60430.484924288,32368.08209229
TAG(56:8)_FA 16:0,-3.5749100565170187,10.784663006030181,70.15987166286504,5.468768053573237e-17,3.810867843647877e-15,920.8 -> 647.8,TAG1,150045.930236894,93873.808105502,87943.645965646,99954.106994609,99606.38598636,1435822.25244135,1434232.03613288,1527979.87280283,1433850.65209963,1515948.48168958,591576.363185869
TAG(56:5)_FA 20:4,-3.4455217825210345,11.394870273706458,65.94842559431709,4.628780278406181e-16,3.064252544304892e-14,926.8 -> 605.8,TAG2,162273.131835889,137951.528930656,164350.890624966,245060.676269442,221501.756591806,2303248.9028331,2310523.24951117,2652776.13232369,2427223.40527381,2556416.80078124,410108.490219102
TAG(54:1)_FA 18:0,-3.428492374133264,11.869862089696879,65.39927039809845,6.116153314312241e-16,3.68383407789973e-14,906.8 -> 605.8,TAG1,221600.214416585,178779.571594186,221937.856628358,303296.459350671,277158.218933086,2877771.48486327,2993508.97167714,3397373.7216796,3078708.43749941,3219075.70947156,1206751.99500285
TAG(58:8)_FA 18:0,-3.428467027375139,10.411471007254796,65.39765317044885,6.121174449682331e-16,3.68383407789973e-14,948.8 -> 647.8,TAG1,122305.608062775,80853.064941401,78072.085571346,88851.386596716,82704.545715328,1122728.04394518,1102360.44860832,1161975.50463872,1112868.72216795,1154193.92407241,445472.271652397
TAG(54:2)_FA 18:1,-3.416027043953931,12.136737973806728,64.99804241549282,7.497251246115127e-16,4.3158089781984473e-14,904.8 -> 605.8,TAG1,253787.118896518,216645.493347147,267186.41723627,371268.96679691,341290.225463901,3436881.18066346,3604884.01855579,4054657.3369146,3704055.0654301,3857336.15380909,1477419.08633039
PE (22:2),3.399978199082128,5.469809082187702,64.4518905698651,9.89183940806264e-16,5.2387181505099744e-14,534.3555 -> 393.3555,PE,95933.2465515406,36334.7025718537,30481.6424789475,12714.2809638913,4848.140361787,10084.0605392584,2582.3402061456,1907.8001365652,2024.560131073,1628.740131378,12374.0609474239
TAG(58:10)_FA 18:2,-3.400857775029836,10.424605337813501,64.50980768556451,9.605303673452332e-16,5.2387181505099744e-14,944.8 -> 647.8,TAG2,124266.549560508,87629.145965574,85975.247070263,98188.566894525,104563.047576843,1169622.72949205,1184847.87768533,1288224.16857904,1259401.82470723,1311903.77978533,219505.936378546
TAG(54:3)_FA 18:2,-3.3856808992185794,12.068064589554973,64.02384536433965,1.2292237676505097e-15,6.027749142108426e-14,902.8 -> 605.8,TAG2,265471.97766116,228918.33398432,279644.880615165,383723.34741213,381809.9664308,3505642.24169931,3735307.43261676,4275867.0664063,3904782.46679638,4068136.79638674,639112.544456557
TAG(60:10)_FA 18:2,-3.3874511125390434,10.647585986236708,64.07999906095756,1.1946824526016858e-15,6.027749142108426e-14,972.9 -> 675.9,TAG2,129839.709884632,143470.070709163,127059.269500754,109184.807861364,102511.70675656,1377796.47412129,1347878.11718799,1513580.58293885,1531437.31445357,1557566.48950172,222166.576950074
TAG(58:9)_FA 18:1,-3.380690433387617,10.405860502306398,63.86323706029884,1.3336324445019244e-15,6.30617627328767e-14,946.8 -> 647.8,TAG2,129241.569702122,86820.086059516,86018.845886185,98943.888244692,101101.16757207,1156984.68310536,1137705.5007323101,1283148.49023429,1255847.72436521,1294403.65185569,216974.493957551
PE (40:7),3.3449577573225198,9.397742564362533,62.72131147624349,2.3812501214091653e-15,1.087163848533012e-13,790.5383 -> 649.5383,PE,765389.60070795,480636.51757803,535268.923034148,469236.572998534,522457.53454594,73483.425125145,53424.14404301,57800.063598623,79225.584899923,55627.643280033,26555.421859749
PE (40:6),3.3241672890535496,8.907665053616022,62.05912996747974,3.332974985715925e-15,1.4709529603626283e-13,792.5539 -> 651.5539,PE,528200.090698339,317586.399413658,379897.6600341,356112.189941322,358073.98706056,55842.963714597,36182.44195554,40858.502700793,57383.764099084,37348.80247497,33680.002273556
PG (36:3),-3.2837470757982676,11.36476813039988,60.78058827131463,6.380398013500528e-15,2.725047409637e-13,790.5328 -> 601.5328,PG,90781.765747011,481263.0322264,139252.44965748,369868.40673836,45233.7836265313,2494718.73730487,1818123.3789069,2151088.93139557,3054570.83740272,2128780.14599494,547322.1806641
PG (36:5),-3.266192563176731,10.50048861975077,60.22635495687427,8.455246422823934e-15,3.498358207443403e-13,786.5015 -> 597.5015,PG,76703.425811675,266321.19897463,95441.0270309386,151033.2697754,25522.6419639649,1521184.26489273,965895.25415028,1273418.33569398,1388680.58007815,1072282.83422846,374373.88525356
Lyso_PG(22:4),3.1913493305032694,5.774958502622257,57.85809574487552,2.8172512311709637e-14,1.1303153424455625e-12,578.3114 -> 389.3114,PG,18499.9412117072,126321.850647058,32931.462463374,17596.0411682203,7314.1405830391,12808.8607902565,1852.8601379396,1590.9401016237,1896.7801551819,4140.2003326424,28766.3024139368
TAG(60:9)_FA 18:1,-3.165345663182742,10.65318508325466,57.07269153490233,4.199973211329095e-14,1.6355189799410944e-12,974.9 -> 675.896,TAG2,130572.08868413,152480.108612028,135387.510650636,110822.207427958,157676.292938227,1341900.65966764,1364249.58813489,1515989.1016542001,1509334.42773457,1525658.41723592,219413.255611421
PG (36:6),-3.1305555406723005,10.487242762535846,55.9960455862456,7.261693122100722e-14,2.7469947696175302e-12,784.4859 -> 595.4859,PG,87362.546752973,297103.93994146,99869.526924128,180045.1921387,27062.9419631927,1363696.85302723,1178649.85412612,1396732.84375015,1413992.56664902,999575.05810561,254319.07812499
PEp (20:0),3.1223127569854445,7.654513234188896,55.73757566188465,8.282004304280263e-14,2.9636145132073157e-12,494.3606 -> 353.3606,PE,94698.84716797,82825.045715332,92565.766723628,285195.83959961,198232.31555178,23258.6217765815,20854.22163391,20452.121688847,22206.101409916,20827.12136078,13977.6809234607
TAG(54:8)_FA 16:0,-3.1222840087506794,10.62540962274843,55.74085089783671,8.268217744292952e-14,2.9636145132073157e-12,892.7 -> 619.7,TAG1,202378.055663992,95879.246398968,101910.547546339,114994.929321331,107026.127136254,1209454.41113269,1188971.94457999,1289670.59277369,1263695.78613332,1304354.56469702,594875.320373492
PI (32:3),-3.061121503607031,9.633912977338882,53.86479856889491,2.1477133164262414e-13,7.483085344600905e-12,822.4863 -> 545.4863,PI,7015.240524289,210003.433807324,16205.6812019327,178998.233173328,16003.0410652167,223785.038322421,859179.565216059,890709.808807372,524442.189788808,1176252.98889153,24548.602005016
PI (36:0),-3.0487330939872344,8.851170039610489,53.48601268242419,2.6044056123688215e-13,8.841623155836718e-12,884.5958 -> 607.5958,PI,14550.36095047,101381.505920353,34304.4223937954,37137.9624404389,33781.6224174353,426175.48974621,390409.54858404,410807.50732438,415422.07128896,359542.04565419,92913.9867553
PG (36:2),-3.036576356491543,11.865036101761937,53.118405717483256,3.140360534832694e-13,1.0141066702728016e-11,792.5485 -> 603.5485,PG,139158.929321298,777660.39062534,214693.976722661,692064.73388697,72690.2256850927,3325714.9702151,2586580.0644532,2849000.52343783,4752846.44091809,3116472.61523414,581762.6640623
