lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DP1,40DP2,40DP3,40DP4,40DP5,40DN1,40DN2,40DN3,40DN4,40DN5,SolventBlank1
TAG(60:10)_FA 18:2,-3.5389764877791428,10.755015618799229,65.77705234916539,5.049272651398076e-16,5.5420190410630787e-14,972.9 -> 675.9,TAG2,129839.709884632,143470.070709163,127059.269500754,109184.807861364,102511.70675656,1404997.19860828,1529799.44934052,1280197.33813457,1560952.68286121,1636301.01086412,222166.576950074
TAG(54:1)_FA 18:0,-3.491161903625001,11.886891495527367,64.29239948776194,1.0725871038103073e-15,9.46736883629898e-14,906.8 -> 605.8,TAG1,221600.214416585,178779.571594186,221937.856628358,303296.459350671,277158.218933086,2782549.28954992,3111757.23998983,2544477.67382808,3138119.15332177,3146918.36523436,1206751.99500285
TAG(54:2)_FA 18:1,-3.472852816100173,12.148736582968565,63.72612360965467,1.4297597672213278e-15,1.183126207375649e-13,904.8 -> 605.8,TAG1,253787.118896518,216645.493347147,267186.41723627,371268.96679691,341290.225463901,3245485.12255846,3698283.25073342,3038038.8564447,3719560.30126943,3861376.3896492,1477419.08633039
TAG(54:3)_FA 18:2,-3.460329361156816,12.097168171172822,63.3395092873161,1.739794895754725e-15,1.354993201164268e-13,902.8 -> 605.8,TAG2,265471.97766116,228918.33398432,279644.880615165,383723.34741213,381809.9664308,3490217.61328317,3857263.2391362,3141261.3623058,3815888.70410171,4240193.95849567,639112.544456557
Lyso_PE(18:3),3.3458829018961667,7.359681823472669,59.828471295809436,1.034952831224304e-14,7.612653047449881e-13,476.2699 -> 334.2699,PE,57742.144256603,54233.183868424,62896.664398177,279103.77929679,183504.4528809,15292.4411315987,13950.5008697497,17835.721267707,12963.5209350561,11766.0008163417,8191.1606140144
PI (36:0),-3.3318537286004086,9.061376643597075,59.40735720482234,1.2818893888605759e-14,8.932745004481067e-13,884.5958 -> 607.5958,PI,14550.36095047,101381.505920353,34304.4223937954,37137.9624404389,33781.6224174353,338322.62426758,574337.71301259,510120.99560601,386581.36364734,420709.08959948,92913.9867553
PE (20:2),3.3194753097718936,9.079280387127271,59.032578051328535,1.550829796526001e-14,9.777612621906787e-13,506.3242 -> 365.3242,PE,407189.74987779,347091.39941404,364728.20410173,603987.59777831,484099.85485815,62337.1446000326,42002.883468638,79164.047256419,32950.00229645,27621.822021494,22355.321853644
TAG(60:9)_FA 18:1,-3.3203267516807413,10.75342535858999,59.05967735705963,1.52961825470994e-14,9.777612621906787e-13,974.9 -> 675.896,TAG2,130572.08868413,152480.108612028,135387.510650636,110822.207427958,157676.292938227,1386041.76806632,1500253.56506353,1255195.26953139,1560664.12744127,1610707.63183558,219413.255611421
PIp (38:6),-3.2998425746126347,9.1223506778413,58.43889783018859,2.0970363434523193e-14,1.262034599423123e-12,884.5383 -> 607.5383,PI,13308.0608100863,109138.249679501,36882.7223205604,38699.7628250069,35662.3224830611,358891.72583029,594162.82434099,537931.32507283,377867.50732441,435980.20874015,106121.48791502
Lyso_PE(18:4),3.287971634729066,7.768423969709063,58.07796349736918,2.5193268481602154e-14,1.450255976940924e-12,474.2542 -> 332.2542,PE,299156.679504437,111727.448730447,116567.848632806,217045.496582156,163898.15039062,20678.6414031906,19081.1613693224,23194.8614807231,18779.701446531,16977.161178586,10713.6408805854
TAG(54:8)_FA 16:0,-3.225051019922068,10.670260763312003,56.1945375016403,6.56436586547313e-14,3.6213418357860097e-12,892.7 -> 619.7,TAG1,202378.055663992,95879.246398968,101910.547546339,114994.929321331,107026.127136254,1115837.6047364399,1238811.91186521,1051422.11279302,1328766.13452141,1336431.2031252,594875.320373492
PE (18:4),3.191188186778703,8.066534289664455,55.18289208778651,1.0982044549492961e-13,5.816090793411472e-12,474.2616 -> 333.2616,PE,158513.27209476,126131.94824218,132428.749755879,373814.608703595,264643.81884777,23749.7414779613,27292.021903993,30675.722328182,24971.581863408,21947.781501761,14390.9210433984
PIo (42:6),-3.1846832168219636,8.172851173244977,54.99003538391843,1.2114244852557613e-13,6.1689462249177995e-12,942.6166 -> 665.6166,PI,8776.7605133019,88171.2256659906,16746.1611442599,14565.7210693344,15132.4010314941,263969.800231913,247486.478332512,274281.055511466,165140.891509992,275473.815917961,33954.102401777
TAG(56:1)_FA 20:0,-3.08663529823235,10.16023333326492,52.10507704473639,5.260873158182289e-13,2.579776319049389e-11,934.9 -> 605.896,TAG2,106908.627197314,85495.886077877,88174.845672673,127501.730102503,109572.507370025,871937.68090821,960671.762756399,829870.97656243,997323.91955555,1057826.05541983,171530.712757154
TAG(60:8)_FA 16:0,-3.0740289839163735,9.645145129038465,51.736754145247914,6.346353352392085e-13,3.0009185137739714e-11,976.9 -> 703.9,TAG1,84360.545959479,65941.36511231,60713.823791481,85772.147094726,69987.204345682,588705.72045896,655148.30749533,602884.10302775,696539.40234382,725906.07153322,134647.649311095
PEo (40:0),3.0593356682621695,9.826261425690666,51.30921660398599,7.890431593222855e-13,3.602390148078296e-11,790.6685 -> 649.6685,PE,1044481.28155472,602085.28051749,727027.42358398,657198.71203607,702883.88452151,239825.07334905,64210.204010032,81006.046157827,54439.9639435,46010.122772201,32368.08209229
TAG(60:9)_FA 16:1,-3.0551984414882005,9.639324013194546,51.18860269886591,8.390436482271222e-13,3.702979300842366e-11,974.9 -> 703.9,TAG1,83539.786209081,61525.64392089,65082.684265144,88192.266311637,69824.88613886,580890.44567892,662651.44555673,587477.12060535,690645.57080071,730631.43200668,133271.588966379
PG (36:5),-3.032781938201939,10.307001713837815,50.538849843149364,1.1682905926861957e-12,4.989731434569429e-11,786.5015 -> 597.5015,PG,76703.425811675,266321.19897463,95441.0270309386,151033.2697754,25522.6419639649,1238041.1271972,898933.37036144,1036828.85351561,879243.99633802,827492.53833,374373.88525356
PE (40:7),2.9571414581220385,9.406674620419036,48.362822069702815,3.5422050662031253e-12,1.3793763257802758e-10,790.5383 -> 649.5383,PE,765389.60070795,480636.51757803,535268.923034148,469236.572998534,522457.53454594,161433.531295724,57895.743957563,67275.285034137,52764.303985583,44544.923583969,26555.421859749
PI (34:0),-2.9580639635729393,9.66787817178393,48.389103706640526,3.495048295760043e-12,1.3793763257802758e-10,856.5645 -> 579.5645,PI,24972.6616554357,141224.788349257,61642.664253222,77496.7434463929,64556.7644843828,420938.32958973,744847.11474612,584400.16137722,534734.61669958,662687.71020503,313518.83911139
TAG(54:5)_FA 20:4,-2.9606744270779286,11.902412349371977,48.464735784997174,3.3628190117763606e-12,1.3793763257802758e-10,898.8 -> 577.8,TAG2,265562.83679203,271797.6611329,339597.126830944,463371.95642087,486864.81506364,3054073.70898495,3144362.15039033,2640252.6572275,3304290.00952248,3564270.54394571,534656.800903483
TAG(56:8)_FA 18:0,-2.9518588391943994,10.038163534099331,48.21219483990262,3.825021044167347e-12,1.4469508178507337e-10,920.8 -> 619.8,TAG1,134266.490051302,81140.925567571,75654.845123255,91009.266601519,93191.746704118,681755.40917974,795224.67187467,689101.91040047,854020.20288058,849976.38110334,368462.086517462
TAG(52:1)_FA 18:0,-2.9205021626015335,12.150508048352272,47.320559770570526,6.027665832770645e-12,2.2168415451634262e-10,878.8 -> 577.8,TAG1,329695.94628885,303306.66198735,395700.14855939,494787.18798835,532088.08105503,3333324.943358,3460815.99218658,2903472.5058598,3683072.33984319,3750058.3476572,1377658.1634404
PE (40:6),2.7914981177028877,8.934566799438874,43.703589145185106,3.8207044104092114e-11,1.3671926052383232e-9,792.5539 -> 651.5539,PE,528200.090698339,317586.399413658,379897.6600341,356112.189941322,358073.98706056,112683.266067508,48173.444030713,56790.563629188,49623.5228424,33964.702789292,33680.002273556
PE (42:4),2.7816907683355603,7.999054924203088,43.431174666774496,4.39136035614032e-11,1.4908105414178933e-9,824.6165 -> 683.6165,PE,250419.177673495,178221.29327395,154186.89013677,261265.39770504,179552.212280284,38447.482818624,30748.8220062287,35415.822265616,28835.721801755,24910.441925062,13878.7810897801
TAG(52:2)_FA 18:1,-2.782189531383792,12.632427668345827,43.44757424843374,4.354711365621668e-11,1.4908105414178933e-9,876.8 -> 577.8,TAG1,452112.09423825,420741.7729491,602920.01855464,780431.91040029,836338.4533691,4515638.1914063,4843321.05664071,4066433.4179693,5058804.4199218,5134237.4414062,1941547.84742338
PEp (20:0),2.7700364144700775,7.651910458037389,43.10894155471533,5.1775093209827616e-11,1.7137555852452942e-9,494.3606 -> 353.3606,PE,94698.84716797,82825.045715332,92565.766723628,285195.83959961,198232.31555178,22547.4816665621,27979.6620941156,27357.0222091569,26278.741775505,19865.3214645354,13977.6809234607
PI (34:1),-2.766359998780395,9.985038432138898,43.0102901272694,5.445270572977152e-11,1.745346311620235e-9,854.5489 -> 577.5489,PI,26864.8017959589,223740.000492127,68414.8445129425,80317.405780829,69805.7246551189,492232.85571274,563848.99755863,761805.14550757,492962.95678733,846204.72338939,620611.70166019
PI (36:4),-2.765220924295521,8.490665350991321,42.97775005312246,5.5365970610309565e-11,1.745346311620235e-9,876.5332 -> 599.5332,PI,11370.9208831816,107539.206512495,28212.8618011398,36439.9027633669,25495.6219482468,262870.90002444,246414.557556044,342724.741760273,247934.636962951,286097.258056671,88045.18664551
TAG(56:6)_FA 20:4,-2.7604270890315017,11.925734141351876,42.8478219870276,5.916792277919945e-11,1.8218216223176761e-9,924.8 -> 603.8,TAG2,368051.82824704,366469.62768551,406994.4675293,533406.62109361,474993.07006835,3196661.73779497,3188579.27295014,2759458.2187515,3180636.25488325,3450026.61035209,518109.13766114
PG (36:3),-2.7502538397401817,10.930474787376157,42.56823147927935,6.825906141750636e-11,2.053977211744964e-9,790.5328 -> 601.5328,PG,90781.765747011,481263.0322264,139252.44965748,369868.40673836,45233.7836265313,1911989.35546787,1397117.02148428,1575901.56152339,1333076.08154304,1193180.02099618,547322.1806641
PG (36:6),-2.7225614290710527,10.148974920817386,41.81047025039379,1.0056345941716216e-10,2.958800450407171e-9,784.4859 -> 595.4859,PG,87362.546752973,297103.93994146,99869.526924128,180045.1921387,27062.9419631927,981296.28564478,872163.11303706,984504.06176757,831182.35473618,749382.53759765,254319.07812499
PG (32:3),2.717664356759281,10.99608637116708,41.67729510230129,1.0765192274797816e-10,3.0985031677896322e-9,734.4702 -> 545.4702,PG,178102.953544609,8637888.76458785,1298647.4041748,183860.593482957,9716.90056992,254064.080581709,342550.768646256,142301.95231643,263004.420410619,323204.430786037,18548.921371467
PG (36:4),-2.662410860971375,10.403908690231843,40.18076527139783,2.3151657526125826e-10,6.5218711839554456e-9,788.5172 -> 599.5172,PG,89079.285644493,421194.46496585,109335.028453838,200571.17443848,29645.8222198608,1281336.75122058,983285.99414071,1081120.84667966,928363.88159175,844860.32202144,370317.14209007
PI (36:2),-2.6514304217075773,8.931760273650422,39.884623531323,2.6941580399536005e-10,7.431385926872015e-9,880.5645 -> 603.5645,PI,18458.7213745084,120070.34933844,45363.6431045609,66010.6440429508,43130.5228614798,413012.53088375,287168.76147463,422617.31201169,318354.08471685,421214.4124756,118168.82824703
PI (36:3),-2.6430178942244664,8.612824508567254,39.658649191822406,3.02462222288636e-10,8.172652700207225e-9,878.5489 -> 601.5489,PI,13888.6609382578,113339.967453026,34534.202495552,47251.0642623869,31576.7422714293,342097.264892435,238151.557922464,352150.602783378,248840.118102903,309199.601562665,97378.3071289
PI (36:1),-2.6400592526694893,8.276438121642482,39.57887885793434,3.150725394924514e-10,8.343120845760114e-9,882.5802 -> 605.5802,PI,11736.180728906,69990.7857322922,32371.2224159276,43197.043304464,28539.5821075446,212897.6746826,201001.31298826,260133.71923825,210691.11450198,297235.16003415,72293.60565185
Lyso_PG(18:0),-2.629350228663228,10.055320354992263,39.29408972953388,3.64543093847895e-10,9.281828004896403e-9,530.3114 -> 341.3114,PG,76268.7258529223,341224.741333057,114681.72656249,106958.409347486,19620.0814361511,776007.910461392,466264.750732376,755065.665222162,1076908.95190433,725407.861694302,372378.881347172
TAG(52:0)_FA 18:0,-2.6307376229855546,11.469995482370425,39.331537809574,3.576182466830073e-10,9.281828004896403e-9,880.8 -> 579.8,TAG1,330024.88183588,253249.27795395,302858.20629899,332598.2250977,359754.12402332,1933314.97607422,2211987.51513666,1784198.7685544,2292274.5537108,2329159.1796876,788117.77619529
PG (18:0),-2.622596437245537,10.05838784078181,39.11381324085778,3.998052721406505e-10,9.987588307815495e-9,530.3188 -> 341.3188,PG,68894.6842498318,340230.863434376,117704.966247583,117855.931899972,19012.221153258,780678.625732364,467252.60314937,770455.470520054,1068794.72399858,738262.980468682,363028.404327371
PI (42:8),-2.602663949754945,7.684129499937881,38.58062304097621,5.253793694752324e-10,1.2647314276094685e-8,952.5645 -> 675.5645,PI,10410.3206100466,50347.8231888149,20846.9814872712,18659.4814491375,23888.8215141272,134699.85046389,149175.93005374,151287.47045895,148836.53100588,183816.451904286,54698.184234604
TAG(54:4)_FA 20:4,-2.603185302553566,11.171352974923536,38.59757060740412,5.208371243576172e-10,1.2647314276094685e-8,900.8 -> 579.8,TAG2,277089.762146155,229433.39624013501,259643.11962886,303260.74047844,331361.98144521,1718775.92651354,1877936.10864252,1620866.6171875,1903258.8583982,2094237.79833977,299978.898849471
PIo (42:1),-2.6003589482132954,7.585319304713909,38.51925512211807,5.421614058514594e-10,1.2818244666916646e-8,952.6948 -> 675.6948,PI,9638.7406616153,47534.1834258848,20143.6415328925,21598.0613250678,18394.6413764965,123818.8474121,143993.72973634,136724.57006834,140712.05017086,172241.391113274,50595.383666972
TAG(52:1)_FA 18:1,-2.5985048173892134,12.032066999616333,38.473480715067126,5.550276807216937e-10,1.2892221917114428e-8,878.8 -> 579.8,TAG1,457243.9118653,374257.22851574,474314.65112304,506567.71557609,542320.34448289,2794061.07372849,3245537.78515531,2659807.8906249,3390699.9492185,3364702.7226554,1202944.22160313
TAG(54:3)_FA 18:1,-2.5827114708080607,12.551921404951637,38.05542300830348,6.876332255420567e-10,1.569700673478764e-8,902.8 -> 603.8,TAG1,632237.08593762,569011.11962887,655493.84155269,752450.21801787,782505.48937978,4469250.5000005,4434910.108398,3733372.9980475,4634565.7753901,4741131.9755859,1796999.30730791
TAG(54:4)_FA 18:2,-2.577445951528562,12.490321383112533,37.91637668868498,7.38427791658597e-10,1.657082027383021e-8,900.8 -> 603.8,TAG2,587895.87939454,597798.89209002,677928.45361326,802585.79077199,850798.04296832,4507497.11181636,4552470.64599615,3941109.7460919,4735162.96923877,5114614.6933593,795104.098713384
TAG(52:3)_FA 18:2,-2.572231204452986,12.655254442740295,37.77884994247843,7.923618917747667e-10,1.7484785745163185e-8,874.8 -> 577.8,TAG2,502868.74902363,529690.598633,702651.46936022,1038660.02246089,1085753.79663027,4829162.91459272,5286833.26695202,4360840.642577,5202122.17738627,5901105.13828233,898082.233439999
PE (34:1),2.5704864994295766,11.63777832098578,37.73279486773208,8.112911261625033e-10,1.76090073940845e-8,718.5383 -> 577.5383,PE,2868526.00268547,2520249.52734431,3083555.80285578,2065295.68041932,1962813.29663075,493979.5958253,434842.92968758,516569.755859171,422172.589782717,358166.225830048,204218.67285154
TAG(54:8)_FA 18:0,-2.562794539140567,10.237950136005585,37.5299074214272,9.002199921013427e-10,1.9224052734551254e-8,892.7 -> 591.696,TAG1,191066.572631906,100978.026794375,119286.508666999,119295.648498503,157023.610961906,782154.77392594,898345.22656272,755626.9951169,940271.02685536,971134.28564461,394651.088470582
TAG(52:2)_FA 16:1,-2.561103564430226,10.941854770637983,37.485678422604906,9.208667570151838e-10,1.9352818829969895e-8,876.8 -> 605.8,TAG1,234377.634826805,171950.272277875,204502.57458502,236969.014800913,275359.539184517,1302246.91699218,1508901.334961,1247020.42041022,1540184.30126954,1599147.61230465,583148.884670399
"PIo (36:1), PIp (36:0)",-2.5585767131745887,8.367988248853518,37.417641446805106,9.535569144175606e-10,1.9726708667013285e-8,868.6009 -> 591.6009,PI,13500.9010162366,92132.0677108619,31634.6622695894,38155.4027671502,32775.6222114417,182986.73205563,303587.46105959,224522.49548343,178739.17272948,337012.68725582,88678.80688475
Lyso_PE(20:0),2.5568594716717747,6.788323282461166,37.36923006838338,9.775225867329612e-10,1.9911383151299085e-8,510.3481 -> 368.3481,PE,46489.38351438,43646.483489991,49076.023101791,161451.070404046,102759.788085935,18226.901306158,15912.501090999,16127.181304925,13400.7608032231,13485.8410034168,9103.2606277479
PE (22:0),-2.555327290413436,4.562641469699695,37.3014486717355,1.0120939523723966e-9,2.0049887629895447e-8,538.3868 -> 397.3868,PE,4340.9603233315,2368.4401969911,2317.7401924128,1755.1601295468,1596.0201148983,25643.441802976,28328.4822311386,17249.6011581365,4095.1803169233,1681.4201240541,13443.8009567246
TAG(54:1)_FA 20:0,-2.5539163923757826,9.950435101445134,37.296608217102765,1.014609117222806e-9,2.0049887629895447e-8,906.8 -> 577.8,TAG2,105122.248474078,97710.927001952,116177.44842530601,149336.71188355,144553.310729998,754914.190490756,801251.41650389,689194.35009772,817152.48339841,858520.1124268,137052.989112986
TAG(54:2)_FA 18:0,-2.552371280929114,12.32960927438567,37.256595604732865,1.0356413415264466e-9,2.0164546120309046e-8,904.8 -> 603.8,TAG1,556988.38049301,494205.63757326,575116.4880372,660223.3486336,681825.78369096,3843096.6289058,3863201.71826182,3187819.8886735,3955654.6298827,4019629.2919921,1513936.22988529
TAG(52:1)_FA 16:0,-2.534251583917462,10.844889018264755,36.78208781027024,1.3209838535795268e-9,2.5347574233902804e-8,878.8 -> 605.8,TAG1,228282.815429628,165867.351806572,188741.172851552,230598.176940825,255890.780273342,1231007.36474571,1394055.68676756,1147332.99560551,1437856.7202147,1494464.80078164,548313.619270427
PI (36:8),-2.531202235925653,8.430519467084538,36.70101291304945,1.377078687275252e-9,2.6046459742177625e-8,868.4706 -> 591.4706,PI,13723.68093872,102446.747535697,33925.7825737092,37143.9228363414,35746.4825172389,188616.61352532,322898.54040544,222863.59692381,185797.69348145,363303.42614742,88937.86621095
Lyso_PE(20:1),2.5296194025226404,6.810977536752344,36.65651302669403,1.4088751577219253e-9,2.6272545194701816e-8,508.3325 -> 366.3325,PE,71106.144012453,68347.364746068,70136.704650896,115443.667755124,96038.766052206,17265.6210899302,15272.8411216614,19867.6411972045,13966.4207916353,13533.5209884648,8638.9405822726
PI (32:3),-2.5142876365601317,9.144540214012043,36.26143064607459,1.7254501381739588e-9,3.172911087419891e-8,822.4863 -> 545.4863,PI,7015.240524289,210003.433807324,16205.6812019327,178998.233173328,16003.0410652167,312402.046012878,464969.644256101,572127.630447385,146613.866447445,837141.805862432,24548.602005016
PE (46:1),2.5070480064626026,7.354526082127313,36.07104672239302,1.902527533238418e-9,3.450611580832418e-8,886.7261 -> 745.7261,PE,143588.628463834,102053.765640198,107162.627349915,149380.649162286,122848.487762404,32738.062522908,21672.901611325,24190.2816772462,19428.561401362,20392.601470947,11717.600807196
Cer(d18:2/22:0),2.504747127068369,8.044440404579527,36.012674067483886,1.9603826366300186e-9,3.507495420132628e-8,620.6 -> 262.4,CER,577736.019241179,112577.888076757,175865.231445426,97504.687042237,105989.207187651,36789.6627349826,40023.6630325176,41869.6228256343,40098.6827888422,31101.0220527543,20804.9814910879
PEo (40:4),2.498934206927761,7.985509986157792,35.862008907317275,2.117985469600195e-9,3.7389503490008775e-8,782.6059 -> 641.6059,PE,305121.18334964,174283.8531494,168252.59411613,176723.29150385,166857.81152344,41038.843078608,40792.803009062,36266.422592166,34734.002258293,31085.862182621,17833.081237791
PIo (34:0),-2.487124606286195,9.289211301334019,35.55795712090912,2.4757366362136443e-9,4.312993824140612e-8,842.5853 -> 565.5853,PI,18279.6412429789,157194.650009205,51306.8434333891,143595.753875698,49608.923458091,376642.60803224,577804.83251962,415645.92871075,361063.02758788,649580.62512251,128432.30895998
Lyso_PE(19:0),2.4766268847407944,6.529575330470627,35.28245763782496,2.8518930841621808e-9,4.9037746018580876e-8,496.3325 -> 354.3325,PE,50926.06359864,42606.383056616,47819.943328843,111050.508117703,84436.16577147,13416.320915219,14591.081115722,15197.8409576396,12443.4208145134,11674.4007797261,8237.760616303
TAG(52:2)_FA 18:2,-2.4728200691614455,12.02047660285965,35.190257363665296,2.9901572679275904e-9,5.07560028555914e-8,876.8 -> 579.8,TAG2,461021.69482433,424141.39245609,502888.53686531,632462.17114282,676356.34851139,2961265.74781658,3387217.63086404,2897447.3476567,3431335.26660451,3688476.64574394,547438.595275911
"PIo (40:1), PIp (40:0)",-2.461020811637567,7.567082296394589,34.88423572591955,3.499024616583293e-9,5.8641880915902276e-8,924.6635 -> 647.6635,PI,8729.5206260675,54432.2038802709,22775.1416244469,16390.4412040802,21736.8815841579,118164.86755372,153102.53100592,131662.78955078,132802.12902833,153352.4327393,55689.004272436
PEo (38:6),2.456212983815254,8.631210590177519,34.762970126154414,3.7238948895012545e-9,6.163046042124577e-8,750.5433 -> 609.5433,PE,333731.60717781,261148.816284109,265422.458496097,450781.64636236,219906.49658201,81362.624816868,55719.964324918,63445.264358497,52407.32376098,43873.543426523,26327.681854251
PI (32:0),-2.451868146122437,10.428016476073774,34.65268290026506,3.940950559246269e-9,6.441751284496372e-8,828.5332 -> 551.5332,PI,44343.8033752404,254317.196102219,113555.62836075,404857.679260278,114340.028026577,677047.96826172,1360384.65624945,1045593.57080109,879954.98193363,1347790.79492216,238392.91748056
PE (32:4),2.441854109567112,7.670034255108667,34.39479352807746,4.499252470072962e-9,7.264646671190976e-8,684.46 -> 543.46,PE,334905.822937041,98024.32666018,103511.048278823,143286.111511265,118935.28796385,28295.661956807,30601.7821884003,31150.8422546311,32980.54251099,28641.4020500112,15451.781074519
PE (30:1),2.4317312736262173,8.585331980161552,34.13811672444649,5.133577824648701e-9,8.091496475993906e-8,662.4757 -> 521.4757,PE,382710.505188016,240266.218261668,293666.44110094,254892.799560596,265328.677978583,62932.844650289,57640.323562588,63364.084289564,52431.943817125,47567.842971791,44646.983459481
PE (44:10),2.432044163465788,7.546589465628538,34.14470488297047,5.11622698784605e-9,8.091496475993906e-8,840.5539 -> 699.5539,PE,205746.993377694,120705.628540064,111226.947692809,149527.610229496,131202.649230916,33559.142677308,27157.041687013,33459.262405398,24408.101882926,22677.1016464231,13881.181175237
PE (42:5),2.421968598747388,7.594851483436719,33.88883519521528,5.8352601502857115e-9,9.089275810562685e-8,822.6009 -> 681.6009,PE,202557.236328068,122635.688354572,124000.089294427,161694.171569815,131038.548889217,34648.762451177,28392.381568918,32875.122283952,28577.122207644,22523.641540528,13547.061027531
PE (42:6),2.4044259152503007,8.61897029953955,33.44614629620014,7.326480326371831e-9,1.1220731108744365e-7,820.5852 -> 679.5852,PE,432595.778381328,233155.774475167,266729.96057128,298546.237548892,277845.339843796,84240.625625645,63434.525665292,71189.405563366,47958.843429588,38879.54322811,23205.541610717
PI (40:8),-2.4040023953611325,7.613095771116219,33.43379954753772,7.373139021606947e-9,1.1220731108744365e-7,924.5332 -> 647.5332,PI,10282.7607383749,58527.804321256,25999.7218551599,16649.5213165276,22905.5014724769,124271.58776858,160604.791259802,138911.949462854,135809.80969238,157623.99218748,52353.08374025
PEo (40:3),2.397084960294762,8.098667204054905,33.26039632643574,8.060765254450351e-9,1.212778772374121e-7,784.6216 -> 643.6216,PE,266946.599670467,171103.612243644,179948.194580101,220381.95373538,202263.49389644,51655.283859171,37462.36288451,43847.863159167,42461.263122552,35548.822799687,19316.361404411
