lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DP1,40DP2,40DP3,40DP4,40DP5,40DN1,40DN2,40DN3,40DN4,40DN5,SolventBlank1
PIp (42:6),-4.809536657120878,11.289578754648671,107.73295401645737,3.0754619993871805e-25,4.071911687188627e-22,940.6009 -> 663.6009,PI,15757.4611625663,359885.400047776,25038.0018501246,41024.6026496883,25071.1019859203,2474476.18926995,2219714.32312027,2437874.7130128,1809976.36718732,2564977.03771974,235349.529418903
TAG(58:8)_FA 16:0,-3.9762902009632324,11.279467975221909,79.72814999396542,4.296356567069073e-19,2.2770560736207157e-16,948.8 -> 675.8,TAG1,163660.070861883,88042.226928622,92489.52703858,113644.208129891,150056.809143089,1861251.10302744,2151439.1557608,1801394.71044924,2180597.00878796,2304263.81445177,595916.520416331
TAG(58:9)_FA 16:1,-3.9651863361522985,11.253400922042788,79.36644749729362,5.15949261394422e-19,2.2770560736207157e-16,946.8 -> 675.8,TAG1,164387.092468193,91478.266143797,122676.767303468,120078.967834489,113968.211151107,1830423.61084002,2112678.52832033,1803543.79980484,2177148.81542967,2232155.85498151,564366.362716751
PI (40:0),-3.8894541387339996,11.1772643320339,76.90935612788599,1.789871746687983e-18,5.924475481537223e-16,940.6584 -> 663.6584,PI,15378.420936573,720989.101379385,24162.3817520133,43071.7232779943,23691.8016471852,2322542.18310534,2059042.79479978,2280885.0678711,1286178.62847891,2415923.90124509,210821.173645012
TAG(60:8)_FA 18:0,-3.7787509015154286,10.720833227738618,73.34836298311347,1.0867224285753205e-17,2.877640990867449e-15,976.9 -> 675.9,TAG1,120829.387695396,77447.605957032,79954.5062561,100819.007781969,95153.366027868,1253861.16381825,1456649.79541002,1189864.40771483,1466723.30126944,1542811.86572281,414921.847213514
PIo (16:0),-3.703299903290061,10.910523474169791,70.94476196738651,3.6736776361005735e-17,8.106581983661931e-15,576.3243 -> 299.3243,PI,22469.3814926036,532383.230651795,40542.563034038,117592.129501383,36415.6023368739,1343776.02124019,1451010.22351029,2244996.92651372,1181635.21252484,2485599.05932611,66956.12475585
TAG(56:8)_FA 16:0,-3.6711155084074574,10.827801212997883,69.92483502580944,6.160788069105546e-17,1.1652690576422489e-14,920.8 -> 647.8,TAG1,150045.930236894,93873.808105502,87943.645965646,99954.106994609,99606.38598636,1291929.25122044,1486913.74438502,1253119.39404271,1522756.23413081,1549851.35400382,591576.363185869
Lyso_PI(15:0),-3.6347603035643505,10.88260845126759,68.777703558012945,1.102117170281929e-16,1.8240039168165924e-14,576.2805 -> 299.2805,PI,19431.7614975001,537910.213561953,40772.46315002,131242.349098216,36393.38237002,1326112.31848142,1426719.66662549,2170812.97705075,1153504.96844486,2433287.82702627,65583.445129386
Lyso_PE(21:0),3.615484754939345,7.518863520424216,68.16399549965914,1.5044785524151467e-16,2.2132551148862825e-14,524.3638 -> 382.3638,PE,61582.884124744,52995.743499755,55653.243896492,378832.430999921,180185.05078123,13452.800903314,14185.7010002121,15406.7409896754,12741.3208465553,11736.8007926989,8440.6205558803
TAG(58:10)_FA 18:2,-3.5614367893583156,10.527904902822428,66.47742496506453,3.539237997858897e-16,4.68595110916518e-14,944.8 -> 647.8,TAG2,124266.549560508,87629.145965574,85975.247070263,98188.566894525,104563.047576843,1162388.59826636,1330919.17633066,1097696.59716792,1306772.81115703,1382851.95605501,219505.936378546
TAG(56:5)_FA 20:4,-3.537354862090006,11.439418034152327,65.7268485877139,5.179544065775243e-16,5.5420190410630787e-14,926.8 -> 605.8,TAG2,162273.131835889,137951.528930656,164350.890624966,245060.676269442,221501.756591806,2175275.9326177,2428156.80309992,2024128.70703136,2500904.37329114,2663757.22436476,410108.490219102
TAG(58:8)_FA 18:0,-3.529558262230321,10.459876426259006,65.48353873971382,5.860140979976065e-16,5.5420190410630787e-14,948.8 -> 647.8,TAG1,122305.608062775,80853.064941401,78072.085571346,88851.386596716,82704.545715328,991308.02087373,1123499.03564451,971306.85253907,1181023.08471678,1220876.58496124,445472.271652397
TAG(58:9)_FA 18:1,-3.532344436141612,10.501904304865246,65.5703589864288,5.60758356787048e-16,5.5420190410630787e-14,946.8 -> 647.8,TAG2,129241.569702122,86820.086059516,86018.845886185,98943.888244692,101101.16757207,1156593.47473126,1270438.65686003,1084395.07250949,1273762.76550263,1369888.5131838,216974.493957551
