lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,ON10x,ON10xcopy,YN10x,YN10xcopy,Blank
TAG(48:2)_FA 16:0,0.8354451388348818,6.984801209415365,2745.877882735311,0,0,820.8 -> 547.8,TAG1,68449.865112252,68449.865112252,37011.082702637,37011.082702637,50027.223571752
TAG(48:2)_FA 16:1,1.1002203467743974,8.081288666916908,5174.509196251238,0,0,820.8 -> 549.8,TAG1,162250.81152343,162250.81152343,73019.86578369,73019.86578369,86651.78637697
TAG(48:2)_FA 18:2,-1.3465227033461062,7.781369452788986,7553.784426917384,0,0,820.8 -> 523.8,TAG2,58429.003845256,58429.003845256,143359.55029295,143359.55029295,41688.902801516
TAG(48:3)_FA 16:1,0.9416578014827652,6.9418715863515,3452.376433262568,0,0,818.8 -> 547.8,TAG1,68220.92559811,68220.92559811,34269.162658711,34269.162658711,48406.943481454
TAG(48:3)_FA 18:2,-1.2434342020675877,6.613558171305101,5780.468442720197,0,0,818.8 -> 521.8,TAG2,27056.942085259,27056.942085259,61808.00463867,61808.00463867,21059.221488954
TAG(50:1)_FA 18:0,0.8348453105895491,8.465741109356138,3063.8141077029627,0,0,852.8 -> 551.8,TAG1,187936.55493161,187936.55493161,101660.30688474,101660.30688474,150182.80981448
TAG(50:1)_FA 18:2,-1.3749013200035676,4.7918739507216905,4628.526249245399,0,0,852.8 -> 555.8,TAG2,6972.6204833971,6972.6204833971,17447.821334838,17447.821334838,7701.1204986517
TAG(50:2)_FA 18:0,0.7683922033709302,7.097276598782619,2352.6221876395534,0,0,850.8 -> 549.8,TAG1,71467.845153793,71467.845153793,40481.34313964,40481.34313964,58451.66345213
TAG(50:2)_FA 18:1,0.8765856216896672,9.108365030327914,3455.281637337656,0,0,850.8 -> 551.8,TAG1,294720.32006839,294720.32006839,154876.39160153,154876.39160153,240234.05615232
TAG(50:2)_FA 18:2,-1.1778512051660208,6.42282930401778,5043.855071947907,0,0,850.8 -> 553.8,TAG2,23822.6216659543,23822.6216659543,52001.183532721,52001.183532721,22957.2216110277
TAG(50:3)_FA 18:1,0.6912409565065993,7.289950686130239,1952.8162823903667,0,0,848.8 -> 549.8,TAG1,81526.58618158,81526.58618158,48715.643920895,48715.643920895,61761.264099132
TAG(50:3)_FA 18:2,-0.9484741608090469,9.136980316809078,4054.742357264154,0,0,848.8 -> 551.8,TAG2,173845.67211915,173845.67211915,323695.8022462,323695.8022462,149109.87072757
TAG(50:4)_FA 16:1,0.6349080787912303,7.465065013864525,1676.1763058666488,0,0,846.8 -> 575.8,TAG1,90306.825683618,90306.825683618,56110.963989269,56110.963989269,71015.6445312
TAG(50:4)_FA 18:2,-1.0362109852008636,7.1342425400873966,4323.184668612604,0,0,846.8 -> 549.8,TAG2,43240.043090827,43240.043090827,85560.0855713,85560.0855713,27378.721969589
TAG(52:0)_FA 18:2,-1.50781438731218,4.974083620023851,5828.3366015421625,0,0,880.8 -> 583.8,TAG2,7464.3405838012,7464.3405838012,20480.821716308,20480.821716308,8186.3205375683
TAG(52:0)_FA 20:0,-1.2115183293907388,5.984505054381841,4914.517810408435,0,0,880.8 -> 551.8,TAG2,16962.2214317367,16962.2214317367,37900.222839385,37900.222839385,19378.9213485681
TAG(52:0)_FA 20:4,-1.3288774627211406,5.0125606421903,4658.352217834308,0,0,880.8 -> 559.8,TAG2,8342.1606140075,8342.1606140075,20219.401580809,20219.401580809,8725.74063110429
TAG(52:1)_FA 16:0,0.6598910537566542,6.83138445555997,1689.92902004897,0,0,878.8 -> 605.8,TAG1,57769.604492196,57769.604492196,35278.142486552,35278.142486552,48614.183532688
TAG(52:1)_FA 18:1,0.7018571465439062,9.349304271544138,2241.6013934256675,0,0,878.8 -> 579.8,TAG1,324360.20141606,324360.20141606,192398.31494135,192398.31494135,314475.23876962
TAG(52:1)_FA 18:2,-0.962003490468059,6.039359886629958,3177.5138870045816,0,0,878.8 -> 581.8,TAG2,19597.7210617035,19597.7210617035,36834.322509766,36834.322509766,21433.6417999229
TAG(52:1)_FA 20:4,-1.1971696998957047,4.670854133716191,3460.8548941694,0,0,878.8 -> 557.8,TAG2,7103.380428315,7103.380428315,15714.741073609,15714.741073609,6355.5804328922
TAG(52:1)_FA20:0,-1.2618202511388128,6.404078101451483,5767.722194378076,0,0,878.8 -> 549.8,TAG2,23139.781600944,23139.781600944,53537.763854975,53537.763854975,18652.781219470002
TAG(52:2)_FA 18:2,-0.7120916496683533,8.826499911996436,2282.6348990698225,0,0,876.8 -> 579.8,TAG2,154486.910461484,154486.910461484,244178.05615222,244178.05615222,127041.810180711
TAG(52:2)_FA 20:0,-1.6592816556323362,9.504263903660059,12059.767949046773,0,0,876.8 -> 547.8,TAG2,158549.53259276,158549.53259276,483184.0732421,483184.0732421,187323.69360359
TAG(52:2)_FA 20:4,-1.218501358844797,5.107900366031224,4025.5711105321543,0,0,876.8 -> 555.8,TAG2,9161.0006370508,9161.0006370508,20568.641510002,20568.641510002,10987.4407195983
TAG(52:3)_FA 18:2,-0.8275397990791583,8.667064845172733,3054.441430624024,0,0,874.8 -> 577.8,TAG2,132514.228027372,132514.228027372,226898.09667965,226898.09667965,107926.248046822
TAG(52:3)_FA 20:0,-1.527856397895573,5.228601629851665,6444.098189378928,0,0,874.8 -> 545.8,TAG2,8885.0605926551,8885.0605926551,24720.021636962,24720.021636962,9140.8606605518
TAG(52:3)_FA 20:4,-1.5527582573993772,5.751274378188571,7553.960964968493,0,0,874.8 -> 553.8,TAG2,12682.600929257,12682.600929257,35899.78256226,35899.78256226,12320.7408828703
TAG(52:4)_FA 18:2,-1.3008872098382298,7.286761034531651,6787.335608698564,0,0,872.8 -> 575.8,TAG2,41686.863311765,41686.863311765,99096.86682129,99096.86682129,35166.142486566
TAG(52:4)_FA 20:0,-1.4348691847707338,4.7467649664694385,4929.556834053432,0,0,872.8 -> 543.8,TAG2,6544.0405349732,6544.0405349732,17070.401184083,17070.401184083,7576.5205650325
TAG(52:4)_FA 20:4,-0.6962168821667041,7.880694571958564,2090.138652057153,0,0,872.8 -> 551.8,TAG2,81088.06649775,81088.06649775,126763.20971679,126763.20971679,64276.925354051
TAG(52:5)_FA 18:2,-1.4074760296150086,5.81854884606237,6371.616939261926,0,0,870.8 -> 573.8,TAG2,14204.4608993449,14204.4608993449,36355.782653805,36355.782653805,13674.6008911072
TAG(52:5)_FA 20:0,-1.5483846192074653,4.948390317497366,6066.771355155863,0,0,870.8 -> 541.8,TAG2,7173.9404335014,7173.9404335014,20245.421234122,20245.421234122,8108.580627436
TAG(52:5)_FA 20:4,-1.2593303010558725,6.635460133640098,5926.367260273421,0,0,870.8 -> 549.796,TAG2,26940.661911005,26940.661911005,62224.22412108,62224.22412108,23653.961723333
TAG(52:6)_FA 18:2,-1.1326439159020796,5.509665903193251,3899.396262528507,0,0,868.7 -> 571.7,TAG2,12649.1608467127,12649.1608467127,26759.481933606,26759.481933606,14189.5411834735
TAG(52:6)_FA 20:0,-2.837960670481147,6.14530976903416,23460.52907579639,0,0,868.7 -> 539.7,TAG2,8485.4606018078,8485.4606018078,58539.103576626,58539.103576626,8676.660587309
TAG(52:6)_FA 20:4,-1.753781226909593,9.811086355226307,13484.82573307786,0,0,868.7 -> 547.7,TAG2,190014.61267083,190014.61267083,618275.18749982,618275.18749982,198869.25366223
TAG(54:0)_FA 18:2,-1.4069981781144059,4.785655298415141,4807.393368510331,0,0,908.9 -> 611.9,TAG2,6792.9404411288,6792.9404411288,17380.621261596,17380.621261596,7963.6605148298
TAG(54:0)_FA 20:0,-1.223045290746772,6.464039839935012,5430.491458884526,0,0,908.9 -> 579.9,TAG2,23503.941955565,23503.941955565,52938.204162565,52938.204162565,26990.02160644
TAG(54:0)_FA 20:4,-1.185597087468871,5.074817267564966,3787.210714691107,0,0,908.9 -> 587.9,TAG2,9100.9405975324,9100.9405975324,19973.021331786,19973.021331786,10710.0807151779
TAG(54:1)_FA 16:1,0.6647245156021596,6.273806109571801,1563.377302595547,0,0,906.8 -> 635.8,TAG1,37675.082977291,37675.082977291,22930.061431876,22930.061431876,38592.442657457
TAG(54:1)_FA 18:2,-1.2628796526826873,5.5236992050752685,4831.092615522449,0,0,906.8 -> 609.8,TAG2,12147.6806602537,12147.6806602537,28126.421966557,28126.421966557,13262.9408187863
TAG(54:1)_FA 20:0,-1.2683504494052873,5.968378830799421,5403.661041810421,0,0,906.8 -> 577.8,TAG2,16973.0011749204,16973.0011749204,39448.082824699,39448.082824699,14484.8610305771
TAG(54:1)_FA 20:4,-1.3634768678206168,4.932129545991728,4749.22781493704,0,0,906.8 -> 585.8,TAG2,7679.3004798874,7679.3004798874,19064.581451409,19064.581451409,8827.6205825796
TAG(54:2)_FA 18:0,0.6710907465260009,9.054446693888556,2038.274518677304,0,0,904.8 -> 603.8,TAG1,275764.5773925,275764.5773925,167098.97253411,167098.97253411,209142.61425781
TAG(54:2)_FA 18:1,0.598304795586632,7.722663554746893,1518.2919090477933,0,0,904.8 -> 605.8,TAG1,105241.327636685,105241.327636685,67070.60510254,67070.60510254,90742.40673826
TAG(54:2)_FA 18:2,-1.1614138987398825,7.76362062312961,5658.405019958417,0,0,904.8 -> 607.8,TAG2,61219.00448609,61219.00448609,132117.70922849,132117.70922849,54636.084258981
TAG(54:2)_FA 20:0,-1.1928338910852572,5.959185696246592,4776.220093140384,0,0,904.8 -> 575.8,TAG2,17182.0610466075,17182.0610466075,37897.422668445,37897.422668445,16540.4212265109
TAG(54:2)_FA 20:4,-1.8546841763952246,5.326042335229182,9013.793215905893,0,0,904.8 -> 583.8,TAG2,7256.0205268871,7256.0205268871,25320.561981209,25320.561981209,16883.561115268
TAG(54:3)_FA 18:1,0.5715686106076986,9.237165266331408,1490.3967007772044,0,0,902.8 -> 603.8,TAG1,304123.0979005,304123.0979005,197443.97412112,197443.97412112,239151.51879881
TAG(54:3)_FA 18:2,-1.300622923454665,7.065286142241948,6640.963894628203,0,0,902.8 -> 605.8,TAG2,35831.342468243,35831.342468243,85161.7060547,85161.7060547,29715.542037951
TAG(54:3)_FA 20:0,-1.3504384046569906,5.205457086275851,5099.919643546401,0,0,902.8 -> 573.8,TAG2,9573.5606651261,9573.5606651261,23553.381408691,23553.381408691,8916.6606750463
TAG(54:3)_FA 20:4,-1.2877292808050722,5.892617499432965,5418.025724747182,0,0,902.8 -> 581.8,TAG2,15332.841064453,15332.841064453,36118.002441417,36118.002441417,18227.421173088
TAG(54:4)_FA 18:2,-1.262750442490409,8.428251475810313,6912.948789551129,0,0,900.8 -> 603.8,TAG2,94290.305969229,94290.305969229,218296.61523437,218296.61523437,72504.38494872
TAG(54:4)_FA 20:0,-0.8723770275395605,4.721834264064431,1916.4027151961436,0,0,900.8 -> 571.8,TAG2,8517.4006538407,8517.4006538407,15044.421051027,15044.421051027,6785.5404701241
TAG(54:4)_FA 20:4,-0.9861492006408585,7.716386744770642,4100.098263620693,0,0,900.8 -> 579.8,TAG2,63755.883819517,63755.883819517,121852.66796874,121852.66796874,56518.724304174
TAG(54:5)_FA 18:2,-1.5463272572342035,7.835306253014608,9861.737668259822,0,0,898.8 -> 601.8,TAG2,54747.723175067,54747.723175067,154280.651001,154280.651001,43820.842346187
TAG(54:5)_FA 20:0,-1.2443003997124604,4.938263804566405,4080.7687277471264,0,0,898.8 -> 569.8,TAG2,8508.8204956031,8508.8204956031,19449.061508175,19449.061508175,6558.4004669157
TAG(54:5)_FA 20:4,-1.3377118767576623,7.470749151171466,7263.052170888826,0,0,898.8 -> 577.8,TAG2,45867.323669438,45867.323669438,111853.44799805,111853.44799805,44633.563018788
TAG(54:6)_FA 18:2,-1.7733782134665814,8.095910986557946,12968.667527543563,0,0,896.8 -> 599.8,TAG2,58631.323730445,58631.323730445,193385.65283197,193385.65283197,48293.843750002
TAG(54:6)_FA 20:0,-1.345757613831442,5.1300287494359145,4978.44501646921,0,0,896.8 -> 567.8,TAG2,9177.9406280518,9177.9406280518,22506.921569823,22506.921569823,7956.8806381226
TAG(54:6)_FA 20:4,-1.4697697064878943,6.7742828129560175,8067.365039317562,0,0,896.8 -> 575.8,TAG2,26348.881835927,26348.881835927,70414.50561522,70414.50561522,28861.72221375
TAG(54:7)_FA 16:0,0.953152741962089,6.5978793918815,3406.0886681452307,0,0,894.8 -> 621.8,TAG1,55986.123809771,55986.123809771,27900.101867669,27900.101867669,31402.242126464
TAG(54:7)_FA 18:2,-1.5897394577978174,5.988403564525843,8194.814023148132,0,0,894.8 -> 597.8,TAG2,14142.1210060178,14142.1210060178,41070.522949202,41070.522949202,18835.8014602708
TAG(54:7)_FA 20:0,-1.466252716498598,6.868333069883147,8144.357879006446,0,0,894.8 -> 565.8,TAG2,28548.401733392,28548.401733392,76106.70532228,76106.70532228,27790.901855469
TAG(54:7)_FA 20:4,-1.4029749103300782,5.424635846578407,5771.931050003233,0,0,894.8 -> 573.8,TAG2,10732.3407363873,10732.3407363873,27383.501922613,27383.501922613,11267.9208526635
TAG(54:8)_FA 16:1,1.0033825405645045,7.1575821862666675,4046.599499238389,0,0,892.7 -> 621.7,TAG1,86783.14587407,86783.14587407,41767.682678235,41767.682678235,35803.062469485
