lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,ON10x,ON10xcopy,YN10x,YN10xcopy,Blank
C18:0,-0.8913349714620907,13.560577712321287,3730.84854230331,0,0,283.3 -> 283.3,FFA,3978982.58984454,3978982.58984454,7121057.11303694,7121057.11303694,2264444.11572265
C18:2,0.8303877933897796,11.42099583036528,3223.26128379786,0,0,279.3 -> 279.3,FFA,1594151.27148391,1594151.27148391,864991.282837219,864991.282837219,701782.969848549
C19:0,1.2054243192599359,13.117947528887402,6732.6970879614755,0,0,297.3 -> 297.3,FFA,5762002.734375,5762002.734375,2410784.72656246,2410784.72656246,1875765.73339823
C20:0,2.061775117023995,13.885293551321118,18756.44218610792,0,0,311.3 -> 311.3,FFA,11892879.6877439,11892879.6877439,2748430.23583925,2748430.23583925,1728024.90551808
C22:0,1.8639463677357213,13.175777993798457,15518.647587450356,0,0,339.3 -> 339.3,FFA,6955446.41870076,6955446.41870076,1843635.58886659,1843635.58886659,1376302.69641117
C22:6,0.8823442156398802,11.241639585810056,3628.500554199121,0,0,327.3 -> 327.3,FFA,1417468.63842882,1417468.63842882,741916.81201182,741916.81201182,647856.604126
C28:0,-0.7877823101107122,13.299337071177879,2923.0112413257357,0,0,423.4 -> 423.4,FFA,3394436.84736577,3394436.84736577,5654154.9561315,5654154.9561315,2370105.2801437
Cer(d14:1(4E)/22:0(2OH)),-0.6877089458252619,11.41175603411248,2217.684650004242,0,0,582.5 -> 208.3,Cer,825330.09838865,825330.09838865,1282633.5347901,1282633.5347901,1385820.21643011
Cer(d14:1(4E)/22:1(13Z)(2OH)),-0.6810728078022495,11.410231933173185,2175.5037213763812,0,0,580.5 -> 208.3,Cer,828245.624511709,828245.624511709,1281257.38159186,1281257.38159186,1376262.65783647
Lyso_PC(19:0),-1.3919965820332416,7.981280241352544,7952.601888109734,0,0,538.3794 -> 184.1,PCandSM,50811.923645048,50811.923645048,128662.7659912,128662.7659912,162172.95202636
Lyso_PC(19:2),-0.8854770385727164,8.035834318451078,3317.3851973486844,0,0,534.3481 -> 184.1,PCandSM,66001.204467794,66001.204467794,117641.68823242,117641.68823242,175442.39208976
Lyso_PC(22:5),0.7049325707624077,7.128465126066351,1758.4340669245494,0,0,570.3481 -> 184.1,PCandSM,38383.283233678,38383.283233678,22719.001647947,22719.001647947,174434.255798339
Lyso_PC(22:6),0.695152532603499,7.0615693826849,1682.1883486849483,0,0,568.3325 -> 184.1,PCandSM,35860.122177135,35860.122177135,21369.921463003,21369.921463003,168840.009582461
Lyso_PE(20:4),0.6330232908843931,7.953287247031044,1728.35466512743,0,0,502.2855 -> 360.2855,PEs,127523.51049805,127523.51049805,79338.66491698,79338.66491698,96437.70642093
Lyso_PG(22:0),-1.2907584331421147,7.952318773367975,7020.867570761239,0,0,586.374 -> 397.374,PGs,65427.92529296,65427.92529296,154445.232177731,154445.232177731,62939.1040039
Lyso_PG(22:6),-1.2048230101520974,7.971796497123455,6141.909279622417,0,0,574.2801 -> 385.2801,PGs,67457.964721688,67457.964721688,150029.069519039,150029.069519039,75740.465148882
Lyso_PS(22:0,-1.4039015291551848,7.983677592432831,8259.604782025048,0,0,582.3693 -> 397.3693,PSs,62941.164184535,62941.164184535,160696.212158084,160696.212158084,66388.184448212
Lyso_PS(22:6),-1.2971702769555336,7.937249504335849,7074.830815315276,0,0,570.2754 -> 385.2754,PSs,63885.184692373,63885.184692373,151475.25146472,151475.25146472,67151.624450705
PC (40:10),-0.6810379532227936,6.769553364712906,1620.7952322546548,0,0,826.5 -> 184.1,PCandSM,22399.1415748576,22399.1415748576,34649.6617202794,34649.6617202794,114690.008392277
PC (42:2),-1.0319923962136095,6.352679586086211,3581.5747113593106,0,0,870.7 -> 184.1,PCandSM,17889.1214332622,17889.1214332622,35294.3419265938,35294.3419265938,63038.403961219
PCo(40:5),-0.7089663405824267,6.836168093401983,1770.0519412148558,0,0,822.6 -> 184.1,PCandSM,22915.1216049109,22915.1216049109,36140.7433242732,36140.7433242732,121621.966796891
PCo(42:0),0.8357502361688174,6.469670172128497,2434.0167656770336,0,0,860.7 -> 184.1,PCandSM,38399.9637527434,38399.9637527434,20758.581687923,20758.581687923,66302.423889213
PCo(42:2),-0.861276370975107,6.5453222340477515,2626.1383431480835,0,0,856.7 -> 184.1,PCandSM,22572.7616500846,22572.7616500846,39564.8623542597,39564.8623542597,69259.724746701
PE (20:5),1.1893725016985526,9.8159245074456,6399.978332042182,0,0,500.2773 -> 359.2773,PEs,556986.84155273,556986.84155273,235646.97705079,235646.97705079,268284.85986329
PE (28:2),0.8457624510692147,7.840050792412569,3050.8764214160183,0,0,632.4287 -> 491.4287,PEs,130069.65026848,130069.65026848,69828.00500485,69828.00500485,70912.004577628
PE (32:5),-2.5595899917357037,8.527635938846066,25805.24590787459,0,0,682.4444 -> 541.4444,PEs,51204.443359378,51204.443359378,291256.585631761,291256.585631761,57184.623901363
PE (36:6),0.789033512796579,7.598088390801474,2613.6077153490533,0,0,736.4913 -> 595.4913,PEs,107336.22705085,107336.22705085,59934.524475131,59934.524475131,63666.72424316
PE (38:1),-1.767065373251,8.26245715593087,12983.40642876385,0,0,774.6009 -> 633.6009,PEs,64789.144775409,64789.144775409,212763.13513186,212763.13513186,65756.065307598
PE (40:2),-0.6164288672970301,7.469336048441588,1584.0729683109384,0,0,800.6165 -> 659.6165,PEs,59134.144592274,59134.144592274,87469.386047341,87469.386047341,69631.824768078
PE (40:4),0.7296258863997546,7.79511460584966,2265.321535356561,0,0,796.5852 -> 655.5852,PEs,117587.407470647,117587.407470647,68418.74371341,68418.74371341,85270.465576134
PE (42:8),-0.8316786012865444,7.365312270099991,2849.2016482221497,0,0,816.5539 -> 675.5539,PEs,52242.883728011,52242.883728011,89710.16656495,89710.16656495,52410.403625514
PE (44:10),0.6322329793293828,6.721669418189701,1536.2403883408792,0,0,840.5539 -> 699.5539,PEs,54080.603149417,54080.603149417,33664.622222895,33664.622222895,41777.023132315
PEo (38:5),1.0777745991346301,7.566221454899979,4794.384299714822,0,0,752.559 -> 611.559,PEs,112011.78784182,112011.78784182,51200.543334932,51200.543334932,63648.784362812
PEp (34:4),-1.058257426917252,7.393371997849855,4568.619990944503,0,0,696.4964 -> 555.4964,PEs,47657.503356947,47657.503356947,95753.127624452,95753.127624452,55980.003845222
PEp (40:7),-1.7081753086437985,8.2193043736252,12155.546748649223,0,0,774.5433 -> 633.5433,PEs,64685.544555675,64685.544555675,203926.51025391,203926.51025391,65656.345397952
PEp (42:0),-0.8830566157917775,7.179864562704073,3151.3085061782026,0,0,816.6842 -> 675.6842,PEs,45026.642944325,45026.642944325,80121.765441905,80121.765441905,45372.6031494
PG (22:0),-1.295621475599018,8.049952375911772,7113.5454066224875,0,0,586.3814 -> 397.3814,PGs,69871.24450682,69871.24450682,165490.7510986,165490.7510986,67084.44519044
PG (22:6),-1.2073023102207878,7.930797600846934,6143.977632610133,0,0,574.2875 -> 385.2875,PGs,64733.984619135,64733.984619135,144218.470581045,144218.470581045,78964.905395505
PG (32:4),-0.6596088462762574,6.742819029995998,1677.7570695995619,0,0,732.4546 -> 543.4546,PGs,35066.762817383,35066.762817383,53445.624084473,53445.624084473,42308.222961453
PG (32:5),-4.792956424118504,10.609733277834524,76815.70833208376,0,0,730.4389 -> 541.4389,PGs,55112.063964805,55112.063964805,1474093.85925294,1474093.85925294,49712.523132327
PG (34:5),-0.6168896015677408,7.603294741744426,1610.313126914865,0,0,758.4702 -> 569.4702,PGs,67387.044677737,67387.044677737,99708.64758296,99708.64758296,62835.58410646
PG (34:6),-3.025737855129742,8.8097670790824,34900.614651489675,0,0,756.4546 -> 567.4546,PGs,47938.303100577,47938.303100577,376682.430420945,376682.430420945,50068.34326173
PG (42:11),-1.0628032701070746,7.036509127985933,4452.630164575852,0,0,858.5015 -> 669.5015,PGs,37379.462768551,37379.462768551,75339.604583712,75339.604583712,42192.623107921
PG (44:3),-0.7419140913707765,6.3420848454524945,2000.0807175110665,0,0,902.658 -> 713.658,PGs,25861.521530148,25861.521530148,41729.883514417,41729.883514417,30858.402053841
PGo (40:4),-1.1561168832901711,7.266166588121602,5364.414640512964,0,0,830.6005 -> 641.6005,PGs,41979.322875987,41979.322875987,90264.267639175,90264.267639175,49119.364074707
PGo (42:4),-1.3238999257162338,6.974959200416991,6759.892279313336,0,0,858.6318 -> 669.6318,PGs,31982.442077641,31982.442077641,77250.285003712,77250.285003712,37521.08270264
PGp (34:4),-2.641722397423263,8.943318401188586,27784.897019309334,0,0,744.491 -> 555.491,PGs,64805.404602025,64805.404602025,390214.561828122,390214.561828122,79639.265563969
PGp (36:5),-0.8642540657246708,7.156370647721282,3005.81469935005,0,0,770.5066 -> 581.5066,PGs,43815.183166514,43815.183166514,76956.524902359,76956.524902359,49784.903869627
PI (30:0),0.8616018569710542,8.761139949314195,3307.834171384297,0,0,800.5019 -> 523.5019,PIs,240939.27661124,240939.27661124,127936.1496582,127936.1496582,155227.29150394
PI (30:1),0.7733643911968818,8.189587618717479,2608.4626159242225,0,0,798.4863 -> 521.4863,PIs,160386.19067383,160386.19067383,90534.62658692,90534.62658692,98319.26660147
PI (32:0),0.732803224771264,9.643803156102512,2463.930354532087,0,0,828.5332 -> 551.5332,PIs,429667.85058588,429667.85058588,249454.23730467,249454.23730467,287376.51904292
PI (32:1),0.9637378362245363,8.386689342053446,4063.427958997757,0,0,826.5176 -> 549.5176,PIs,195766.93176259,195766.93176259,96845.38623043,96845.38623043,102598.60583501
PI (34:2),0.6158170093987037,7.8890438270949605,1628.9636699478801,0,0,852.5332 -> 575.5332,PIs,120674.90698245,120674.90698245,75978.58532716,75978.58532716,94791.58691403
PI (38:7),1.1485568371578518,8.078481672215686,5662.729901514309,0,0,898.5176 -> 621.5176,PIs,178216.513915847,178216.513915847,77562.424377469,77562.424377469,41300.442626953
PI (40:0),0.65527134279567,9.111857521714887,1955.7376533983568,0,0,940.6584 -> 663.6584,PIs,316591.939392064,316591.939392064,193953.350585992,193953.350585992,109509.268066364
PIo (32:0),0.9268371650279176,8.301494454567006,3744.28029148278,0,0,814.554 -> 537.554,PIs,179757.39416515,179757.39416515,91229.34680175,91229.34680175,107095.56726075
"PIo (32:1), PIp (32:0)",0.7754408389158235,7.537068315788318,2508.753355050757,0,0,812.5383 -> 535.5383,PIs,100781.907409691,100781.907409691,56807.424438459,56807.424438459,66952.244873034
PIo (34:0),0.7732612055522065,8.21539342834333,2613.856702620128,0,0,842.5853 -> 565.5853,PIs,165415.57250975,165415.57250975,93380.28686518,93380.28686518,92844.66662606
"PIo (34:1), PIp (34:0)",0.7592437947353655,7.764340152430161,2445.4174502423284,0,0,840.5696 -> 563.5696,PIs,116227.4674682,116227.4674682,66253.24536129,66253.24536129,82664.54528805
"PIo (40:6), PIp (40:5)",0.784814691063024,8.521120592440784,2731.4330623922247,0,0,914.5853 -> 637.5853,PIs,206640.740692183,206640.740692183,115722.247131278,115722.247131278,109413.746795561
PIp (42:6),0.667975028165114,9.094630490113877,2030.8244038274659,0,0,940.6009 -> 663.6009,PIs,314772.106140141,314772.106140141,191147.877441353,191147.877441353,105172.566711428
PS (22:0),-1.4673900943019944,8.021650209693775,9013.836993408137,0,0,582.3767 -> 397.3767,PSs,63164.464538524,63164.464538524,168521.6341553,168521.6341553,63432.564514164
PS (22:6),-1.3990391589318671,7.903099518966829,8161.162758751723,0,0,570.2828 -> 385.2828,PSs,59493.844177204,59493.844177204,151383.733093192,151383.733093192,64164.404785167
PS (32:4),-0.7269785814163819,6.96360302635546,2091.856959501974,0,0,728.4498 -> 543.4498,PSs,40189.023071284,40189.023071284,64180.663696283,64180.663696283,46556.923400885
PS (32:5),-4.629486880207778,10.58730394186136,72925.80030114476,0,0,726.4342 -> 541.4342,PSs,60360.404174813,60360.404174813,1441522.01031497,1441522.01031497,57753.084167489
PS (34:5),-0.6303343996070224,7.6163764588733365,1680.713990030083,0,0,754.4655 -> 569.4655,PSs,67066.364807122,67066.364807122,100163.26574711,100163.26574711,66399.784973183
PS (34:6),-2.999759462542237,8.742706101468519,34285.55660035966,0,0,752.4498 -> 567.4498,PSs,46449.303039515,46449.303039515,358469.048094658,358469.048094658,48826.203430176
PS (40:4),-0.6775116258924998,7.19635686110476,1859.2757029681634,0,0,840.575 -> 655.575,PSs,47115.2437439,47115.2437439,72705.465026845,72705.465026845,60856.364746024
PS (42:11),-1.2832460831295758,7.107855476568632,6457.653998893273,0,0,854.4968 -> 669.4968,PSs,35597.322845447,35597.322845447,83592.566406248,83592.566406248,42410.902984626
PS (44:3),-0.8488016728150015,6.38500678951774,2631.0490817990953,0,0,898.6533 -> 713.6533,PSs,25817.301605226,25817.301605226,44862.183517497,44862.183517497,29456.522109982
PSo (40:4),-1.2053401343059085,7.261897083350848,5815.176615678231,0,0,826.5958 -> 641.5958,PSs,41098.802734366,41098.802734366,91438.125488277,91438.125488277,47421.463500976
PSo (42:4),-1.2837105608315738,7.140554178849385,6497.168439091938,0,0,854.6271 -> 669.6271,PSs,36895.943054182,36895.943054182,86669.986145028,86669.986145028,39796.042846682
PSp (34:4),-2.743468505369819,8.954572696428697,29693.890844570215,0,0,740.4862 -> 555.4862,PSs,61831.243774406,61831.243774406,399511.147826707,399511.147826707,73873.005859372
PSp (36:5),-0.8264878209900496,7.1428886912261165,2744.554370876125,0,0,766.5019 -> 581.5019,PSs,43564.663024878,43564.663024878,74539.485076828,74539.485076828,52725.123840315
PSp (42:4),-0.6567917998751834,6.644922929218616,1642.5333029687108,0,0,852.6114 -> 667.6114,PSs,32838.662384041,32838.662384041,49952.123657226,49952.123657226,39362.062805155
TAG(48:0)_FA 16:0,0.934765211689487,9.620146465441524,3974.7337523447263,0,0,824.8 -> 551.8,TAG1,430804.12402341,430804.12402341,217440.89697269,217440.89697269,327403.10156245
TAG(48:0)_FA 18:2,-1.5729917608989552,4.848420799526599,6052.662966919537,0,0,824.8 -> 527.796,TAG2,6612.9005203244,6612.9005203244,18983.181396484,18983.181396484,7551.6804962145
TAG(48:1)_FA 16:0,1.0131580327404592,8.073358971532093,4407.926845028503,0,0,822.8 -> 549.8,TAG1,159319.42956549,159319.42956549,76160.76525878,76160.76525878,82717.24548337
TAG(48:1)_FA 16:1,0.98279621441481,9.619893379017663,4385.720005107287,0,0,822.8 -> 551.8,TAG1,437546.25439452,437546.25439452,213612.45458991,213612.45458991,321132.96337886
TAG(48:1)_FA 18:2,-2.023399862163675,5.793720791057476,12359.98845930167,0,0,822.8 -> 525.8,TAG2,10422.6407546918,10422.6407546918,40882.703277591,40882.703277591,9790.6407356279
