lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,API_Block10x,API_Block10xcopy,Control,Controlcopy,Blank
22:0 Campesteryl ester,-0.7730306983900543,6.341547357834907,2434.168868423687,0,0,740.6941 -> 369.1,CEs,47964.3632316452,47964.3632316452,80613.605865492,80613.605865492,66408.304763795
22:1 Campesteryl ester,-0.6919851383773572,6.349451677585517,1959.8776449189486,0,0,738.6784 -> 369.1,CEs,50253.8235778769,50253.8235778769,79847.545852658,79847.545852658,65163.564880357
C12:0,-1.3314868831818287,12.808056578210564,8174.1425489205985,0,0,199.2 -> 199.2,FFA,3848529.83807371,3848529.83807371,9525682.94030767,9525682.94030767,1749023.30377197
C18:2,0.5896176827966828,10.589612674729118,1637.6877748162085,0,0,279.3 -> 279.3,FFA,1649869.73022413,1649869.73022413,1078302.95239251,1078302.95239251,701782.969848549
Cer(d14:1(4E)/26:0(2OH)),-0.701368737020822,8.881685973677865,2275.080920188395,0,0,638.6 -> 208.3,Cer,337438.925415,337438.925415,539649.817199563,539649.817199563,123311.368347158
Cer(d18:0/h26:0),-0.6260542368860625,8.16588126396977,1787.5092685663567,0,0,696.7 -> 266.4,Cer,202830.79479973,202830.79479973,307878.141418455,307878.141418455,122792.389038069
Cer(t18:0/26:0(2OH)),-0.81136308583695,9.136385864718681,3044.5911613264416,0,0,712.7 -> 282.4,Cer,378543.76855477,378543.76855477,653347.98254411,653347.98254411,176089.03271486
Cer(t20:0/26:0(2OH)),-0.830744073480057,9.505407313643222,3204.860052067735,0,0,740.7 -> 310.4,Cer,494813.45752012,494813.45752012,865573.995848933,865573.995848933,170783.972534096
Lyso_PC(20:5),-1.425531147049094,7.043266626485963,8326.892836999234,0,0,542.3168 -> 184.1,PCandSM,49990.784454352,49990.784454352,132069.34887694,132069.34887694,162441.9736328
Lyso_PC(24:0),-0.8963688987354957,6.747670429685908,3354.3827112343183,0,0,608.4577 -> 184.1,PCandSM,57789.423980666,57789.423980666,105795.328903221,105795.328903221,101695.648071233
Lyso_PC(24:1),-0.9008862363227198,6.776661479910267,3391.1384745481037,0,0,606.442 -> 184.1,PCandSM,58216.344177268,58216.344177268,106911.127426163,106911.127426163,107369.587585394
Lyso_PC(5:0),0.7186745442044848,5.551813388853263,1732.5143077509376,0,0,342.1603 -> 184.1,PCandSM,31329.102233864,31329.102233864,18723.541397098,18723.541397098,88110.02648932
Lyso_PE(13:0),-0.681084921841816,7.050975274610561,1996.749509766497,0,0,412.2386 -> 270.2386,PEs,78975.205505339,78975.205505339,124537.96948237,124537.96948237,122331.04943842
Lyso_PE(14:1),-0.8028649996385777,8.101077844698004,2912.8521733020807,0,0,424.2386 -> 282.2386,PEs,171566.81347654,171566.81347654,294376.83593757,294376.83593757,162388.29248046
Lyso_PE(15:0),-1.317183228876218,7.999380253536044,7564.199742166629,0,0,440.2699 -> 298.2699,PEs,105450.327209471,105450.327209471,258430.44055222,258430.44055222,293554.52832033
Lyso_PE(15:1),-1.3011325345045754,8.308574383518673,7543.1589431591765,0,0,438.2542 -> 296.2542,PEs,167418.2313233,167418.2313233,405757.56835982,405757.56835982,114528.62792969
Lyso_PE(16:0),-1.138522704696934,7.437759530140501,5629.788564728625,0,0,454.2855 -> 312.2855,PEs,92383.74694822,92383.74694822,200036.4527588,200036.4527588,105733.48742668
Lyso_PE(17:0),-0.600125972368803,7.56455629942582,1600.2547534861737,0,0,468.3012 -> 326.3012,PEs,119816.609130862,119816.609130862,178631.01391597,178631.01391597,158657.13110356
Lyso_PE(18:0),-1.2387858775677716,8.07480859163198,6818.445433617297,0,0,482.3168 -> 340.3168,PEs,147745.75000009,147745.75000009,342934.10803213,342934.10803213,90963.2454833599
Lyso_PE(18:1),-1.2657977764429975,8.399643206501752,7176.811828999083,0,0,480.3012 -> 338.3012,PEs,187846.65344235,187846.65344235,444253.12963869,444253.12963869,78120.94531251
Lyso_PE(18:2),-0.7329010499198294,7.828266720130013,2420.6686358849083,0,0,478.2855 -> 336.2855,PEs,157730.54931643,157730.54931643,257824.93579096,257824.93579096,73770.46508788
Lyso_PE(18:4),-1.0416888804492996,7.479156055919112,4665.597578734547,0,0,474.2542 -> 332.2542,PEs,79023.48559569,79023.48559569,159999.96984863,159999.96984863,234934.89880319
Lyso_Sphingosine-1-phosphocholine,-0.7950640912904824,6.644649536781129,2629.720181104184,0,0,465.3379 -> 184.1,PCandSM,56429.004363954,56429.004363954,96299.6485290128,96299.6485290128,93914.667419412
PC (32:0),-0.5667899673354243,10.873959531536935,1516.8869123059783,0,0,734.6 -> 184.1,PCandSM,1460693.6166991,1460693.6166991,2127961.125,2127961.125,291156.85961919
