lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,API_Block10x,API_Block10xcopy,Control,Controlcopy,Blank
PC (34:6),-0.6215982172171648,12.510839670249725,1829.0124544592582,0,0,750.5 -> 184.1,PCandSM,4413400.61621077,4413400.61621077,6678467.6874993,6678467.6874993,1041207.45751944
PC (36:5),-1.1880855400895416,14.063984917568897,6558.968886381986,0,0,780.6 -> 184.1,PCandSM,10447022.9415903,10447022.9415903,23411309.2139287,23411309.2139287,289844.28417975
PC (36:6),-1.1278047452223814,14.05992682743263,5925.914753622352,0,0,778.5 -> 184.1,PCandSM,10718648.5456537,10718648.5456537,23037049.5361318,23037049.5361318,314609.189209
PC (50:0),0.8500392564142456,3.942695740450398,1785.1425331428723,0,0,986.9 -> 184.1,PCandSM,14771.6012496951,14771.6012496951,8059.7405586256,8059.7405586256,15861.421173098
PCo(34:0),-0.5922507195155895,11.93954900678758,1660.000405433579,0,0,748.6 -> 184.1,PCandSM,2951042.45459043,2951042.45459043,4375668.9785147,4375668.9785147,983427.60351574
PCo(34:1),-0.6229168502107463,11.60943418110491,1833.6156617519712,0,0,746.6 -> 184.1,PCandSM,2288341.34960934,2288341.34960934,3465941.5791011,3465941.5791011,931761.77978517
PE (14:1),-0.7204562444584255,7.810429416512138,2304.421365771965,0,0,424.246 -> 283.246,PEs,119177.92919923,119177.92919923,193133.99316405,193133.99316405,272495.05883789
PE (16:0),-1.5467247928885222,9.405432371738682,10692.603925279045,0,0,454.2929 -> 313.2929,PEs,270906.86108388,270906.86108388,778420.848632739,778420.848632739,603518.01940917
PE (16:1),-1.499055181486753,8.938126654656624,10037.689476177544,0,0,452.2773 -> 311.2773,PEs,238779.65698235,238779.65698235,663806.97460934,663806.97460934,143975.55029291
PE (18:0),-0.8476885896321983,9.146317539472825,3321.497198996502,0,0,482.3242 -> 341.3242,PEs,386106.74768073,386106.74768073,683393.60668949,683393.60668949,115054.86779785
PE (18:1),-1.7312627988557567,10.20614390823832,13385.336338049114,0,0,480.3086 -> 339.3086,PEs,481018.2919923,481018.2919923,1570751.44812019,1570751.44812019,592960.52502442
PE (18:2),-1.4162965691472467,10.35983239772487,9142.887868733576,0,0,478.2929 -> 337.2929,PEs,690974.11157267,690974.11157267,1813816.46704102,1813816.46704102,209312.25366218
PE (18:3),-0.9564283207991998,9.548721636624732,4231.838673052155,0,0,476.2773 -> 335.2773,PEs,491506.95776376,491506.95776376,938052.40649397,938052.40649397,118626.82958983
PE (20:0),-0.7674729385688849,6.652057959356173,2467.6538153114466,0,0,510.3555 -> 369.3555,PEs,60111.563659635,60111.563659635,100640.90649414,100640.90649414,79711.44604491
PE (28:0),-1.4279090114458446,7.306633890368062,8701.765776664608,0,0,636.46 -> 495.46,PEs,79250.825500505,79250.825500505,209715.937194851,209715.937194851,51504.803833002
PE (28:1),-2.017063127836801,8.030935600990498,17170.196911034254,0,0,634.4444 -> 493.4444,PEs,98419.56738283,98419.56738283,391797.9312744,391797.9312744,57668.48425295
PE (30:0),-1.8000283094798306,8.828310661016392,14186.22853008276,0,0,664.4913 -> 523.4913,PEs,197036.01550304,197036.01550304,674826.444397031,674826.444397031,60107.904052711
PE (30:1),-2.1327540318303537,9.880358604740128,19730.707998105925,0,0,662.4757 -> 521.4757,PEs,345175.88598645,345175.88598645,1488837.40747084,1488837.40747084,68439.7845459
PE (30:2),-1.031423562337772,6.7740313967607655,4463.484019552151,0,0,660.46 -> 519.46,PEs,60458.624023438,60458.624023438,121543.549499555,121543.549499555,72144.2452393
PE (32:0),-1.858598696157942,9.913066313853234,15278.09975353371,0,0,692.5226 -> 551.5226,PEs,401464.2430419,401464.2430419,1431939.57165522,1431939.57165522,158990.24963379
PE (32:1),-2.0587530012983692,11.385244963708915,18649.628310827593,0,0,690.507 -> 549.507,PEs,1033396.82727122,1033396.82727122,4234453.18530269,4234453.18530269,66528.6446533
PE (32:2),-2.1110690432098007,9.159013649498814,19186.443201772992,0,0,688.4913 -> 547.4913,PEs,208833.97534191,208833.97534191,887319.90954601,887319.90954601,74882.84533692
PE (32:3),-0.689127354288405,8.161074666274606,2155.230027267564,0,0,686.4757 -> 545.4757,PEs,182717.4736328,182717.4736328,289742.3408204,289742.3408204,196561.49584954
PE (34:0),-2.023549873071618,10.411821433075472,17977.568260168846,0,0,720.5539 -> 579.5539,PEs,528107.15136724,528107.15136724,2111811.25793449,2111811.25793449,122163.08837884
PE (34:1),-2.565538316640495,13.305424760671535,27976.30199350361,0,0,718.5383 -> 577.5383,PEs,2931677.59350615,2931677.59350615,17068838.7789312,17068838.7789312,88041.12622069
PE (34:2),-2.7698919766572803,13.388611777984782,32072.62763903658,0,0,716.5226 -> 575.5226,PEs,2748294.98999029,2748294.98999029,18436042.3726812,18436042.3726812,87996.20642088
PE (34:3),-2.41558591946033,12.449591383976474,25068.31016276843,0,0,714.507 -> 573.507,PEs,1766882.78881789,1766882.78881789,9271614.13793938,9271614.13793938,79832.52563477
PE (34:4),-1.833084641452545,8.882051164354378,14690.255463440033,0,0,712.4913 -> 571.4913,PEs,199487.69433593,199487.69433593,699058.52136188,699058.52136188,75326.525207495
PE (36:0),-1.7577155933713298,9.502671607521915,13701.875248524975,0,0,748.5852 -> 607.5852,PEs,323723.66369608,323723.66369608,1076672.07153319,1076672.07153319,77606.2054443601
PE (36:1),-2.019270129044204,13.068767989840728,18049.45605118352,0,0,746.5696 -> 605.5696,PEs,3400462.09912052,3400462.09912052,13557593.0468756,13557593.0468756,139506.5888672
PE (36:2),-2.0019847331172578,14.665726101932473,17780.267890657815,0,0,744.5539 -> 603.5539,PEs,10412385.2712393,10412385.2712393,41019603.0568857,41019603.0568857,152871.77172863
PE (36:3),-1.9062417974358152,14.69094380220807,16224.320286807855,0,0,742.5383 -> 601.5383,PEs,11168862.9020996,11168862.9020996,41174533.5946045,41174533.5946045,165681.2121582
PE (36:4),-2.1256917648886953,13.177999599741433,19855.527975307767,0,0,740.5226 -> 599.5226,PEs,3456659.46948233,3456659.46948233,14836701.4299317,14836701.4299317,140265.2307129
PE (36:5),-1.7937620303635091,11.579168988326327,14420.38889526696,0,0,738.507 -> 597.507,PEs,1366018.25781236,1366018.25781236,4658182.22106987,4658182.22106987,85380.20623781
PE (36:6),-1.6312765091684895,9.993835797442353,11953.694470254679,0,0,736.4913 -> 595.4913,PEs,492009.77612259,492009.77612259,1499065.92553705,1499065.92553705,63666.72424316
PE (36:7),-1.6436376614089898,8.294871753187502,11809.292158923949,0,0,734.4757 -> 593.4757,PEs,146021.75054923,146021.75054923,448730.72546383,448730.72546383,57551.644165006
PE (36:8),-2.108267743633665,11.797718873864751,19512.047033081493,0,0,732.46 -> 591.46,PEs,1338593.28332519,1338593.28332519,5676547.3830568,5676547.3830568,79371.92578123
PE (38:0),-0.7588259083637542,7.459062690771889,2540.5462415663555,0,0,776.6165 -> 635.6165,PEs,108514.207458512,108514.207458512,180592.59277338,180592.59277338,123443.909362749
PE (38:1),-1.488402032195555,8.203058458577702,9751.941849610464,0,0,774.6009 -> 633.6009,PEs,146960.63122553,146960.63122553,405544.64367628,405544.64367628,65756.065307598
PE (38:2),-1.8506406314663666,8.96581397256676,14977.172644579989,0,0,772.5852 -> 631.5852,PEs,209689.37353527,209689.37353527,743804.35412605,743804.35412605,77227.14562988
PE (38:3),-1.6992214984603413,8.750880328427575,12706.813024737843,0,0,770.5696 -> 629.5696,PEs,195820.65368663,195820.65368663,625401.75256344,625401.75256344,67682.584960947
PE (38:7),-0.8362572936839434,6.787760243974059,2969.4315265927316,0,0,762.507 -> 621.507,PEs,67983.06433108,67983.06433108,119377.74853514,119377.74853514,65648.364929183
PE (38:8),-1.6056008036074114,8.39067700954995,11318.485640634739,0,0,760.4913 -> 619.4913,PEs,157039.75195315,157039.75195315,470032.1901845,470032.1901845,78949.5053711
PE (38:9),-2.0237090015477888,10.423003771947934,17982.179515307744,0,0,758.4757 -> 617.4757,PEs,534373.6782227,534373.6782227,2137105.74401858,2137105.74401858,100612.30712894
PE (40:2),-0.6809950578937485,6.302330166569554,1883.5169206951534,0,0,800.6165 -> 659.6165,PEs,47614.043426518,47614.043426518,75079.12438964,75079.12438964,69631.824768078
PE (42:9),-0.7966629154566349,6.027717524910568,2506.465937923408,0,0,814.5383 -> 673.5383,PEs,38873.582733154,38873.582733154,66413.805053713,66413.805053713,49676.643371575
PEo (18:1),-1.6852964603584724,8.36487145556301,12311.208264277297,0,0,466.3293 -> 325.3293,PEs,124033.56872563,124033.56872563,392326.90625003,392326.90625003,280432.57653807
PEo (28:0),-0.7674514326004162,5.955022413253229,2314.6790633136375,0,0,622.4807 -> 481.4807,PEs,37927.282623265,37927.282623265,63498.283813561,63498.283813561,44588.423065168
PEo (30:0),-1.6064099326858963,7.351109580711661,10901.036906300871,0,0,650.512 -> 509.512,PEs,74077.045715322,74077.045715322,221842.876769956,221842.876769956,57152.98345946
PEo (32:1),-0.9845997914711174,6.595180244198198,4027.5144818441822,0,0,676.5277 -> 535.5277,PEs,55194.023864742,55194.023864742,107416.34771722,107416.34771722,60062.804748528
PEo (32:5),-0.7883200666178727,6.419304413600346,2567.441800110452,0,0,678.5433 -> 537.5433,PEs,53335.64349361,53335.64349361,90596.145568853,90596.145568853,53345.683288575
PEo (34:0),-1.474921388995691,7.710090798731892,9422.9083950455,0,0,706.5746 -> 565.5746,PEs,102782.08715822,102782.08715822,280994.0452271,280994.0452271,64778.80426022
PEo (34:1),-2.0012024478348778,9.988984774840706,17555.95899937883,0,0,704.559 -> 563.559,PEs,401003.01208493,401003.01208493,1578895.78680419,1578895.78680419,69677.22534176
PEo (34:2),-1.969838789570293,8.592186955171979,16699.590546721032,0,0,702.5433 -> 561.5433,PEs,151097.47058101,151097.47058101,582132.42480475,582132.42480475,64886.804565406
PEo (34:3),-1.8159533764298055,8.437051759021104,14299.808047337947,0,0,700.5277 -> 559.5277,PEs,147613.17114259,147613.17114259,511170.25781254,511170.25781254,58063.644348123
PEo (36:0),-1.7308945177288895,8.460135677956679,13076.548226401294,0,0,734.6059 -> 593.6059,PEs,157426.891601485,157426.891601485,513941.98376467,513941.98376467,55225.624023419
PEo (36:1),-2.0182098431073956,12.19604617509215,18009.849756596566,0,0,732.5903 -> 591.5903,PEs,1857615.14221195,1857615.14221195,7400843.65588394,7400843.65588394,81709.96618653
PEo (36:2),-2.08550755123939,14.520922249208985,19182.51742520936,0,0,730.5746 -> 589.5746,PEs,8988837.38671773,8988837.38671773,37522141.9757086,37522141.9757086,143034.8901367
PEo (36:3),-1.7044487194526539,14.762004975847985,13138.183521062154,0,0,728.559 -> 587.559,PEs,13079348.3901374,13079348.3901374,41923744.5806883,41923744.5806883,184789.95288088
PEo (36:4),-1.5492786332025215,8.106696300547663,10448.523640626589,0,0,726.5433 -> 585.5433,PEs,119778.92944341,119778.92944341,344781.40258737,344781.40258737,167880.352844342
PEo (36:5),-0.6830072141504359,7.396671805388431,2060.1927710409823,0,0,724.5277 -> 583.5277,PEs,109472.30859374,109472.30859374,172859.75305175,172859.75305175,107226.70776368
PEo (38:0),-1.0676873531906512,6.769190550024007,4788.157272529905,0,0,762.6372 -> 621.6372,PEs,61207.484374991,61207.484374991,126181.207946851,126181.207946851,59677.604309075
PEo (38:1),-1.5891038854971247,8.609606590634227,11156.38762247669,0,0,760.6216 -> 619.6216,PEs,185744.35571286,185744.35571286,549626.320739224,549626.320739224,80595.36608885
PEo (38:2),-2.0112171781438324,10.605455742527038,17796.34134183345,0,0,758.6059 -> 617.6059,PEs,612021.12988228,612021.12988228,2426537.16040041,2426537.16040041,100109.66687013
PEo (38:3),-1.877588792876731,10.888255775534386,15675.236273668666,0,0,756.5903 -> 615.5903,PEs,805976.67871073,805976.67871073,2912841.38098137,2912841.38098137,78193.10534667
PEo (38:4),-0.6357567600582767,6.474351675867581,1681.0921962121317,0,0,754.5746 -> 613.5746,PEs,57406.924133306,57406.924133306,87726.385559102,87726.385559102,64456.34503172
PEo (38:6),-0.6102389923739567,6.251050360671831,1515.6479644658582,0,0,750.5433 -> 609.5433,PEs,48924.043273915,48924.043273915,73452.525451611,73452.525451611,59186.02429198
PEo (42:2),-0.8213373574045614,6.018664400294188,2659.306156767596,0,0,814.6685 -> 673.6685,PEs,38292.482940685,38292.482940685,66549.545227032,66549.545227032,48921.503906214
PEp (16:0),-1.93689742064403,9.294155027853513,16312.537556867275,0,0,438.298 -> 297.298,PEs,203224.2751465,203224.2751465,765285.99999998,765285.99999998,563140.14697272
PEp (36:5),-1.2122643200718823,7.421959330662193,6378.639369202673,0,0,722.512 -> 581.512,PEs,93675.9866943,93675.9866943,213471.693359428,213471.693359428,68018.00451666
PEp (36:6),-1.787093322805077,9.441369741618262,14125.721986519964,0,0,748.5277 -> 607.5277,PEs,304770.7209474,304770.7209474,1034488.88684083,1034488.88684083,80103.68518065
PEp (40:7),-1.5466343011881734,8.096635175339397,10458.683022208897,0,0,774.5433 -> 633.5433,PEs,131910.29016115,131910.29016115,379005.95129438,379005.95129438,65656.345397952
PGp (34:4),0.8821544096685711,6.29165813240056,3107.810851524269,0,0,744.491 -> 555.491,PGs,76323.125244121,76323.125244121,40727.182739247,40727.182739247,79639.265563969
PI (26:0),0.6534822499578302,11.304496295919654,2015.3058612245477,0,0,744.4393 -> 467.4393,PIs,3085796.10241721,3085796.10241721,1929448.6372075,1929448.6372075,63826.104187013
PI (28:0),0.6129567079640861,12.010080674945,1777.707983186117,0,0,772.4706 -> 495.4706,PIs,4985182.80395528,4985182.80395528,3205874.31591793,3205874.31591793,77538.1253662
PI (28:1),0.561847031899592,11.29229149180726,1493.00509236236,0,0,770.455 -> 493.455,PIs,2986894.74896245,2986894.74896245,1990081.51562496,1990081.51562496,52686.782958977
PI (30:1),0.6931046179085739,12.44727607709212,2269.7739671264108,0,0,798.4863 -> 521.4863,PIs,6899174.93823235,6899174.93823235,4196967.79797405,4196967.79797405,98319.26660147
PI (32:1),0.5671927224022586,11.491290015082985,1522.1457551754922,0,0,826.5176 -> 549.5176,PIs,3421304.97058101,3421304.97058101,2271085.69970693,2271085.69970693,102598.60583501
PI (32:2),0.723320160414851,9.608113321365169,2441.4182139067316,0,0,824.5019 -> 547.5019,PIs,953268.67944334,953268.67944334,567881.84790089,567881.84790089,73721.685546876
PI (38:7),1.1718809312212943,6.773877726867913,5760.646804562659,0,0,898.5176 -> 621.5176,PIs,137984.930053812,137984.930053812,60234.265014718,60234.265014718,41300.442626953
PI (40:0),1.140428781490546,7.5113545177717596,5665.8959638352035,0,0,940.6584 -> 663.6584,PIs,214633.337402304,214633.337402304,95758.506958004,95758.506958004,109509.268066364
"PIo (40:5), PIp (40:4)",0.8154496069360657,6.009086430504947,2603.1216891268764,0,0,916.6009 -> 639.6009,PIs,64957.624908538,64957.624908538,36302.661987293,36302.661987293,55251.104400588
"PIo (40:6), PIp (40:5)",1.450446283804977,7.32051507446545,8898.93919298114,0,0,914.5853 -> 637.5853,PIs,195200.65466308,195200.65466308,70248.444427495,70248.444427495,109413.746795561
PIp (42:6),1.1606400318885088,7.503413729885085,5862.4853755611575,0,0,940.6009 -> 663.6009,PIs,215667.073608404,215667.073608404,94881.126831007,94881.126831007,105172.566711428
PSp (34:4),0.6799575619680822,6.19511658389076,1844.7181578782124,0,0,740.4862 -> 555.4862,PSs,67985.784240781,67985.784240781,41736.283264148,41736.283264148,73873.005859372
SM (d18:2/20:1),-0.6175243775017942,12.959847861087622,1806.20746492873,0,0,755.6 -> 184.1,PCandSM,6106982.14843753,6106982.14843753,9215179.0742201,9215179.0742201,1054001.6640625
TAG(48:0)_FA 16:0,0.7767949183383753,10.097790904165327,2820.5853024194816,0,0,824.8 -> 551.8,TAG1,1286962.77587883,1286962.77587883,738773.22851563,738773.22851563,327403.10156245
TAG(48:0)_FA 18:2,-1.214112318715054,3.838164194844652,3679.6764556269877,0,0,824.8 -> 527.796,TAG2,7536.6805229155,7536.6805229155,17196.981185899,17196.981185899,7551.6804962145
TAG(48:1)_FA 16:0,1.0683008943912011,11.716700714350765,5316.6536080798905,0,0,822.8 -> 549.8,TAG1,4548749.41467282,4548749.41467282,2133463.17346204,2133463.17346204,82717.24548337
TAG(48:1)_FA 16:1,0.6603892381176856,10.08244982836675,2045.2653683398787,0,0,822.8 -> 551.8,TAG1,1235957.32470715,1235957.32470715,769113.16503898,769113.16503898,321132.96337886
TAG(48:1)_FA 18:2,-1.8515500616929135,5.486730832718554,11996.268472934487,0,0,822.8 -> 525.8,TAG2,18511.2811965901,18511.2811965901,65704.404083216,65704.404083216,9790.6407356279
TAG(48:1)_FA18:0,0.742703303122109,9.069874134653867,2556.762935883532,0,0,822.8 -> 521.8,TAG1,655908.80859372,655908.80859372,385523.80529784,385523.80529784,63140.90417477
TAG(48:2)_FA 16:0,0.9222580538890011,9.605908772467215,3943.1474941767524,0,0,820.8 -> 547.8,TAG1,1008076.92144722,1008076.92144722,523178.695496174,523178.695496174,50027.223571752
TAG(48:2)_FA 16:1,0.80957682821579,11.667893860481614,3081.9378228815535,0,0,820.8 -> 549.8,TAG1,4133068.33654794,4133068.33654794,2319259.96765133,2319259.96765133,86651.78637697
TAG(48:2)_FA 18:1,0.7966983212183728,9.18042075571039,2941.726139677838,0,0,820.8 -> 521.8,TAG1,724980.582153353,724980.582153353,410468.648803739,410468.648803739,46036.203430177
TAG(48:2)_FA 18:2,-1.9225972639647737,9.22136922626137,16155.158400275019,0,0,820.8 -> 523.8,TAG2,245916.9761047,245916.9761047,916920.92553656,916920.92553656,41688.902801516
TAG(48:3)_FA 16:0,0.8193177615290491,5.812594547512619,2615.3534062446142,0,0,818.8 -> 545.8,TAG1,63303.404251095,63303.404251095,35283.442321787,35283.442321787,27541.60205078
TAG(48:3)_FA 16:1,0.9787924547391162,9.682595311442517,4435.030439627653,0,0,818.8 -> 547.8,TAG1,1078842.85626214,1078842.85626214,538388.800842326,538388.800842326,48406.943481454
TAG(48:3)_FA 18:2,-1.8899611771233493,10.708496556425127,15856.629109977972,0,0,818.8 -> 521.8,TAG2,711836.227630471,711836.227630471,2594770.26580829,2594770.26580829,21059.221488954
TAG(50:0)_FA 16:0,0.6285888741037663,8.28743521435697,1804.8152919686659,0,0,852.8 -> 579.8,TAG1,328284.89672856,328284.89672856,208838.45458989,208838.45458989,174891.45141601
TAG(50:1)_FA 18:2,-1.016755175611487,3.6364036269182525,2427.5417749972216,0,0,852.8 -> 555.8,TAG2,7007.0805587763,7007.0805587763,13944.361076355,13944.361076355,7701.1204986517
TAG(50:2)_FA 18:2,-1.4470165792014316,5.544617702069935,7558.843755627315,0,0,850.8 -> 553.8,TAG2,22119.62145995,22119.62145995,59314.163757306,59314.163757306,22957.2216110277
TAG(50:3)_FA 18:0,0.659722523755866,7.042844371958261,1899.1142277548781,0,0,848.8 -> 547.8,TAG1,147118.069335943,147118.069335943,91591.104919444,91591.104919444,49461.403076195
TAG(50:3)_FA 18:1,0.5706002755116943,9.503289657355156,1523.996998944255,0,0,848.8 -> 549.8,TAG1,852654.386475056,852654.386475056,564662.525085524,564662.525085524,61761.264099132
TAG(50:3)_FA 18:2,-1.793698329317824,8.932091120037152,14102.544581344131,0,0,848.8 -> 551.8,TAG2,203056.95434573,203056.95434573,692402.81396523,692402.81396523,149109.87072757
TAG(50:4)_FA 18:1,0.7660592709500287,7.58184871654996,2621.434754244844,0,0,846.8 -> 547.8,TAG1,227936.07189948,227936.07189948,131822.589233377,131822.589233377,45886.243225093
TAG(50:4)_FA 18:2,-2.0751430416249894,10.15026253572748,18804.60460495216,0,0,846.8 -> 549.8,TAG2,435133.847869843,435133.847869843,1803379.08447279,1803379.08447279,27378.721969589
TAG(52:0)_FA 18:2,-1.4510098995566667,4.0293085813358465,5455.585403411029,0,0,880.8 -> 583.8,TAG2,7709.5806312562,7709.5806312562,20730.821502679,20730.821502679,8186.3205375683
TAG(52:0)_FA 20:0,-1.232948450914862,4.967476923404784,5012.9759957891965,0,0,880.8 -> 551.8,TAG2,15899.5213394132,15899.5213394132,36755.662353527,36755.662353527,19378.9213485681
TAG(52:0)_FA 20:4,-1.2488921485066722,3.9281229411365617,3967.8338253007737,0,0,880.8 -> 559.8,TAG2,7784.920516968,7784.920516968,18196.841217039,18196.841217039,8725.74063110429
TAG(52:1)_FA 16:0,0.5715893977302143,8.140458564434132,1494.7757668551876,0,0,878.8 -> 605.8,TAG1,324325.362854066,324325.362854066,214634.25817876,214634.25817876,48614.183532688
TAG(52:1)_FA 18:2,-1.1708537212546304,5.206364636371097,4764.502448903714,0,0,878.8 -> 581.8,TAG2,19551.141319274,19551.141319274,43293.183441151,43293.183441151,21433.6417999229
TAG(52:1)_FA 20:4,-0.8845044681222473,3.683983347667382,1920.0606889310243,0,0,878.8 -> 557.8,TAG2,7973.7006034798,7973.7006034798,14478.020996089,14478.020996089,6355.5804328922
TAG(52:1)_FA20:0,-1.3626656542730955,5.5913511656859285,6836.070220460443,0,0,878.8 -> 549.8,TAG2,24542.781539917,24542.781539917,62074.344360361,62074.344360361,18652.781219470002
TAG(52:2)_FA 18:2,-1.1903478672277428,8.177431806777054,6322.587255339362,0,0,876.8 -> 579.8,TAG2,157956.248840336,157956.248840336,354528.52490238,354528.52490238,127041.810180711
TAG(52:2)_FA 20:0,-1.3809675624992157,8.330183362429645,8444.788468676303,0,0,876.8 -> 547.8,TAG2,153542.51049795,153542.51049795,393301.20800777,393301.20800777,187323.69360359
TAG(52:2)_FA 20:4,-1.05865168901422,3.884122932283528,2796.6589575264397,0,0,876.8 -> 555.8,TAG2,7858.9005126945,7858.9005126945,16100.341171266,16100.341171266,10987.4407195983
TAG(52:3)_FA 18:2,-2.08877353075362,8.968228458706237,18744.839912045398,0,0,874.8 -> 577.8,TAG2,181276.994750942,181276.994750942,758420.69433542,758420.69433542,107926.248046822
TAG(52:3)_FA 20:0,-1.2416757956719144,4.035140919624907,4062.5755016383046,0,0,874.8 -> 545.8,TAG2,8451.4605598433,8451.4605598433,19656.261413572,19656.261413572,9140.8606605518
TAG(52:3)_FA 20:4,-1.4980164853524645,4.543475011412536,6628.388553677541,0,0,874.8 -> 553.8,TAG2,10663.9007034254,10663.9007034254,29624.502014166,29624.502014166,12320.7408828703
TAG(52:4)_FA 18:2,-2.1590142361844196,8.522065628388441,19750.64961746223,0,0,872.8 -> 575.8,TAG2,131900.630615317,131900.630615317,579374.00268546,579374.00268546,35166.142486566
TAG(52:4)_FA 20:0,-1.029188367451565,3.6785935816524877,2530.5920319693646,0,0,872.8 -> 543.8,TAG2,7231.6005744937,7231.6005744937,14515.721038817,14515.721038817,7576.5205650325
TAG(52:4)_FA 20:4,-1.793639571888969,7.392413023542914,13422.976719157057,0,0,872.8 -> 551.8,TAG2,68420.904724185,68420.904724185,233298.77441412,233298.77441412,64276.925354051
TAG(52:5)_FA 18:2,-2.42840148169119,7.3789373222585635,23401.041611456963,0,0,870.8 -> 573.8,TAG2,51334.343162517,51334.343162517,271778.01806639,271778.01806639,13674.6008911072
