type,ab,ve
ACs,11,16
Cer,16,48
CEs,19,26
FFA,15,19
PCandSM,114,65
PEs,104,58
PGs,75,80
PIs,15,141
PSs,73,72
TAG1,46,142
TAG2,188,0
