type,ab,ve
ACs,13,9
Cer,32,40
CEs,21,30
FFA,15,17
PCandSM,70,120
PEs,177,1
PGs,62,88
PIs,23,126
PSs,57,76
TAG1,24,166
TAG2,176,12
