lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,OG10x,OG10xcopy,YG10x,YG10xcopy,Blank
(11Z)-eicoseneoylcarnitine,0.6109808582987057,11.79092932696649,1756.2697863892101,0,0,454.4 -> 85.1,ACs,1389001.97558569,1389001.97558569,1025228.89108264,1025228.89108264,1777355.4755857
"(11Z,14Z)-eicosadienoylcarnitine",0.5948625503678661,11.784483448049103,1665.3975724290806,0,0,452.4 -> 85.1,ACs,1374863.67333999,1374863.67333999,1026194.55157454,1026194.55157454,1775726.0322265
(9Z)-3-hydroxyoctadecenoylcarnitine,1.630905858348476,14.15624460959368,12069.41333890641,0,0,442.3 -> 85.1,ACs,11180245.0683586,11180245.0683586,4069502.19921851,4069502.19921851,3037247.1972658
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",1.2352787307464244,13.04061682658805,7058.149787707272,0,0,412.3 -> 85.1,ACs,4619231.4375002,4619231.4375002,2211848.17822262,2211848.17822262,1909165.76464874
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",1.6723826404663378,14.065107812834471,12658.803455311006,0,0,438.3 -> 85.1,ACs,10601578.9199239,10601578.9199239,3749512.09081975,3749512.09081975,2762350.4277343
1-O-behenoyl-Cer(d18:1/16:0),0.6270834294023758,8.606782298676851,1744.330536660485,0,0,860.8 -> 264.3,Cer,167022.87152097,167022.87152097,121911.98822021,121911.98822021,149669.73034662
1-O-carboceroyl-Cer(d18:1/16:0),0.6287944421889842,9.672394931538195,1817.615180903606,0,0,902.9 -> 264.3,Cer,366854.78479007,366854.78479007,267454.359069812,267454.359069812,254283.557067854
1-O-cerotoyl-Cer(d18:1/16:0),1.0337269012238237,9.197687792731747,4795.5447469313385,0,0,916.9 -> 264.3,Cer,307098.660354423,307098.660354423,169097.2324676,169097.2324676,136942.509994498
1-O-cerotoyl-Cer(d18:1/18:0),1.095701552546957,9.098404362579434,5356.016252642278,0,0,944.9 -> 264.3,Cer,289429.061950704,289429.061950704,152666.749618628,152666.749618628,131761.929733281
1-O-lignoceroyl-Cer(d18:1/16:0),0.6188557914975775,9.323945292729855,1744.3227592626088,0,0,888.9 -> 264.3,Cer,278122.97998048,278122.97998048,204166.355468763,204166.355468763,231482.41662597
1-O-myristoyl-Cer(d18:1/16:0),0.6110482909645355,8.152506052426533,1618.064722608606,0,0,748.7 -> 264.3,Cer,121082.828918453,121082.828918453,89367.586349499,89367.586349499,110340.447631853
1-O-tricosanoyl-Cer(d18:1/16:0),0.6326884640117064,9.37565722495094,1824.6192347829485,0,0,874.9 -> 264.3,Cer,287601.61999517,287601.61999517,209109.893859853,209109.893859853,245938.3581543
