lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,OG10x,OG10xcopy,YG10x,YG10xcopy,Blank
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",0.8140315445413071,12.682152556793339,3112.8097245981476,0,0,444.4 -> 85.1,ACs,2992559.99218744,2992559.99218744,1918829.98974614,1918829.98974614,2399936.4863291
20:3 Campesteryl ester,-0.8636107311266793,8.159523400574807,3207.9999329491293,0,0,706.6158 -> 369.1,CEs,74501.545394908,74501.545394908,152819.890258878,152819.890258878,91636.706512451
20:5 Cholesteryl ester,-1.5461192654423166,8.875051114109644,10289.572925842715,0,0,688.5689 -> 369.1,CEs,92840.366363511,92840.366363511,305637.783783023,305637.783783023,110830.527771007
3-hydroxyarachidonoylcarnitine,0.6295722525137368,11.668006732731051,1862.383875537911,0,0,464.3 -> 85.1,ACs,1268562.61206102,1268562.61206102,924343.326705742,924343.326705742,1678359.48437496
"3-hydroxylinoleoylcarnitine,",1.6708117866723167,14.099274164412689,12636.695855069018,0,0,440.3 -> 85.1,ACs,10864018.8183596,10864018.8183596,3846516.42553664,3846516.42553664,2797966.5039052
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",0.8388617697731903,14.758356983208072,3313.25226751738,0,0,414.3 -> 85.1,ACs,12666530.4648423,12666530.4648423,7983193.7792946,7983193.7792946,10220565.4296875
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",0.6308379691157711,11.918108952241175,1872.7377665373724,0,0,456.4 -> 85.1,ACs,1534564.95068357,1534564.95068357,1117186.45764132,1117186.45764132,1909308.1054686
C12:0,-1.0525831363927518,13.560202185118456,5170.513055323554,0,0,199.2 -> 199.2,FFA,3223281.37780713,3223281.37780713,7537006.35815438,7537006.35815438,1749023.30377197
C16:0,-1.6280962520323845,13.185435890659974,12010.51035647,0,0,255.3 -> 255.3,FFA,1810709.01794433,1810709.01794433,6309516.0391847,6309516.0391847,1835294.88561896
C16:1,-1.200415952749451,11.020941566655194,6609.571868447461,0,0,253.3 -> 253.3,FFA,482906.833679097,482906.833679097,1251025.54443365,1251025.54443365,532636.195739606
C17:0,-0.7686542438691536,12.492609795701366,2777.8071924725023,0,0,269.3 -> 269.3,FFA,1573697.47198583,1573697.47198583,3022392.07373003,3022392.07373003,1816548.54034285
C18:0,-1.5279430304778248,14.014711297938172,10653.93500743238,0,0,283.3 -> 283.3,FFA,3512685.40576139,3512685.40576139,11419248.0551758,11419248.0551758,2264444.11572265
C20:5,-0.7578193382556014,11.132473386795573,2682.43144493773,0,0,301.3 -> 301.3,FFA,633611.86059569,633611.86059569,1207789.47497558,1207789.47497558,608396.06225581
C22:5,-0.912465645453676,11.338791000534004,3875.340193878134,0,0,329.3 -> 329.3,FFA,694316.351379222,694316.351379222,1473257.0037846,1473257.0037846,631149.6041869
C24:6,-0.7119633352775447,11.983378655099553,2382.6992455378286,0,0,355.3 -> 355.3,FFA,1146286.81030258,1146286.81030258,2116689.6669927,2116689.6669927,1204388.83441192
C28:0,0.7119287569801984,13.492343129257543,2392.926840596868,0,0,423.4 -> 423.4,FFA,5660828.82942577,5660828.82942577,3895916.71269995,3895916.71269995,2370105.2801437
C30:0,-0.9622789070541508,14.249794367927844,4339.853924709258,0,0,451.4 -> 451.4,FFA,5334855.47346829,5334855.47346829,11717609.9049487,11717609.9049487,3346000.58978982
C32:0,-0.5988338839870995,10.574034325274488,1673.1583521227903,0,0,479.4 -> 479.4,FFA,455045.691436676,455045.691436676,776897.21345526,776897.21345526,441190.008712719
Cer(d14:1(4E)/24:0(2OH)),-0.8540027451139576,9.848337726578462,3332.547431664324,0,0,610.6 -> 208.3,Cer,229572.4778137,229572.4778137,467780.292847191,467780.292847191,364872.305114813
Cer(d14:1(4E)/26:0(2OH)),0.9686651360079045,9.311007873616807,4239.3501104422385,0,0,638.6 -> 208.3,Cer,335115.525817918,335115.525817918,193036.17266851,193036.17266851,123311.368347158
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",-0.7885553013638741,9.757445874446022,2842.8548635995926,0,0,578.5 -> 206.3,Cer,222976.275451549,222976.275451549,434189.293274335,434189.293274335,336450.50207525
"Cer(d14:2(4E,6E)/24:0(2OH))",-1.0187954490255278,9.27796980316366,4648.323331582019,0,0,608.6 -> 206.3,Cer,147309.57147212,147309.57147212,336481.111053433,336481.111053433,220992.256530886
"Cer(d16:2(4E,6E)/24:0(2OH))",-0.6265422601406401,9.353306920349487,1785.1846785012424,0,0,636.6 -> 234.3,Cer,179081.551757809,179081.551757809,311673.961425708,311673.961425708,262544.880553984
Cer(d18:0/20:0(2OH)),0.791116898225151,8.731567407200894,2781.845011472512,0,0,612.6 -> 266.4,Cer,196114.914917034,196114.914917034,127762.109451336,127762.109451336,143700.070617697
Cer(d18:0/22:0),0.7576388376340403,8.61928015736959,2543.278283718134,0,0,624.6 -> 266.4,Cer,180943.131469768,180943.131469768,120645.588897669,120645.588897669,129452.049194357
Cer(d18:0/24:0),0.8454730181483557,10.817274162499789,3312.143511557465,0,0,652.7 -> 266.4,Cer,730343.46740739,730343.46740739,458200.87207025,458200.87207025,975241.13720709
Cer(d18:0/26:0),0.9428124475073966,9.371014271662037,4025.9299484127287,0,0,680.7 -> 266.4,Cer,346293.646850487,346293.646850487,203081.853149362,203081.853149362,131439.0498657
Cer(d18:0/h24:0),0.9463572638109433,10.547800911530304,4118.390636740804,0,0,668.7 -> 266.4,Cer,605956.802674005,605956.802674005,354487.741271978,354487.741271978,856399.702880779
Cer(d18:0/h26:0),1.1213857864260406,9.378831933927188,5654.599709719534,0,0,696.7 -> 266.4,Cer,365754.685791003,365754.685791003,189522.393615638,189522.393615638,122792.389038069
Cer(d18:1/18:1(9Z)),0.5799775976323863,9.043730686720197,1520.8621495353011,0,0,564.5 -> 264.3,Cer,227198.79479974,227198.79479974,171339.231719995,171339.231719995,188538.11291504
Cer(d18:1/24:0),0.815355099017417,9.814938925767072,3045.8092881185717,0,0,650.6 -> 264.3,Cer,415481.48974607,415481.48974607,266162.459960955,266162.459960955,312469.34387216
Cer(d18:1/24:1(15Z)),0.851014120344553,9.835866560886371,3315.4022987865205,0,0,648.6 -> 264.3,Cer,425667.91088864,425667.91088864,266030.60095222,266030.60095222,315913.10131824
Cer(d18:1/26:0),1.1362210062167342,9.470355228429009,5810.323646765709,0,0,678.7 -> 264.3,Cer,383850.31103513,383850.31103513,196864.174255398,196864.174255398,152299.811401363
Cer(d18:1/26:1(17Z)),1.1279718192369634,9.46445421630409,5728.056443018498,0,0,676.7 -> 264.3,Cer,382352.790527365,382352.790527365,197220.615844725,197220.615844725,149394.72998047
Cer(d20:0/26:0(2OH)),0.7544519286947189,9.007223223850277,2566.766102912133,0,0,724.7 -> 292.4,Cer,250719.239684927,250719.239684927,167539.192565892,167539.192565892,122433.92840573
Cer(d20:0/26:0),0.7358665855469984,8.915488711456673,2435.797324362397,0,0,708.7 -> 292.4,Cer,233687.017211852,233687.017211852,158182.371215884,158182.371215884,116425.907470683
Cer(t18:0/16:0(2OH)),0.8106501221106204,10.289082342159587,3037.557442519044,0,0,572.5 -> 282.4,Cer,595183.50219724,595183.50219724,382527.24633786,382527.24633786,372762.52587891
Cer(t18:0/20:0(2OH)),0.6619129428684124,9.74048021450898,2010.294354559784,0,0,628.6 -> 282.4,Cer,358329.00585942,358329.00585942,255309.978088261,255309.978088261,367290.16809081
Cer(t18:0/26:0(2OH)),1.032456416544656,9.500100565928111,4820.441203100944,0,0,712.7 -> 282.4,Cer,376218.44812027,376218.44812027,207339.072692917,207339.072692917,176089.03271486
Cer(t20:0/26:0(2OH)),0.9746717979405362,9.366447343063372,4290.813743357144,0,0,740.7 -> 310.4,Cer,335117.541686974,335117.541686974,192235.293029859,192235.293029859,170783.972534096
CerP(d18:0/16:0),0.6924484165790786,8.606833443489794,2127.185495432596,0,0,620.5 -> 266.4,Cer,175559.273010244,175559.273010244,122466.528503361,122466.528503361,130986.589111306
CerP(d18:1/12:0),0.5937072016028215,9.122126714984976,1597.494721259189,0,0,562.4 -> 264.3,Cer,241852.99816884,241852.99816884,180663.012878409,180663.012878409,195419.27380373
CerP(d18:1/18:0),0.8499913188361555,9.747513815065421,3301.6760513653167,0,0,646.5 -> 264.3,Cer,400343.50952171,400343.50952171,250380.99645991,250380.99645991,296978.661499
CerP(d18:1/20:0),1.1182092996929105,9.520286161340909,5638.15315230655,0,0,674.5 -> 264.3,Cer,394345.24731451,394345.24731451,204787.514709451,204787.514709451,162072.291442831
CerP(d18:1/24:0),0.9652558020241266,8.621869497786843,4097.367346951171,0,0,730.6 -> 264.3,Cer,191963.054931484,191963.054931484,110837.82775877,110837.82775877,126088.849121109
CerP(d18:1/24:1(15Z)),0.9393463112950794,8.629949665342007,3886.045712045228,0,0,728.6 -> 264.3,Cer,191915.473754912,191915.473754912,112818.387603748,112818.387603748,126611.129394535
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",0.8391791596003122,15.112359837405036,3316.3900999071793,0,0,424.3 -> 85.1,ACs,15950913.5703124,15950913.5703124,10050994.0947269,10050994.0947269,13837979.328125
Lyso_C17 sphingosine-1-phosphocholine,-2.8775644039454153,8.72466876832955,31469.719039173324,0,0,451.3223 -> 184.1,PCandSM,39995.963592477,39995.963592477,331353.85644488,331353.85644488,86596.105346683
Lyso_PC(10:0),-1.2473851614521303,8.08273562435665,6516.59891111959,0,0,412.2386 -> 184.1,PCandSM,58025.963516252,58025.963516252,155297.61254885,155297.61254885,93664.94482426
Lyso_PC(11:0),-2.114015065200938,8.092956464694515,17533.739148690944,0,0,426.2542 -> 184.1,PCandSM,38081.142379753,38081.142379753,185837.99316405,185837.99316405,81855.70489496
Lyso_PC(12:0),-2.686453902366594,8.736837208640129,28017.698115069827,0,0,440.2699 -> 184.1,PCandSM,45416.72286985,45416.72286985,329580.502319357,329580.502319357,85292.386169431
Lyso_PC(13:0),-2.1149340931493827,7.844313153767036,17220.094303984828,0,0,454.2855 -> 184.1,PCandSM,32351.382293708,32351.382293708,157977.129821824,157977.129821824,65177.805542018
Lyso_PC(14:0),-3.4425024985601174,9.397646803357079,43849.72397042636,0,0,468.3012 -> 184.1,PCandSM,46342.683059734,46342.683059734,567963.266784675,567963.266784675,102024.747375553
Lyso_PC(14:1),-3.4406015136867554,9.37939733031773,43779.502511041945,0,0,466.2855 -> 184.1,PCandSM,45868.8238754687,45868.8238754687,561415.547607447,561415.547607447,99396.66748048
Lyso_PC(15:0),-3.5905835371267742,9.941423470471872,47899.758579302834,0,0,482.3168 -> 184.1,PCandSM,61878.92404173,61878.92404173,840346.54223587,840346.54223587,138669.869506778
Lyso_PC(15:1),-3.5796009212353614,10.01790958352957,47777.096755483704,0,0,480.3012 -> 184.1,PCandSM,65775.104614194,65775.104614194,886484.34204045,886484.34204045,144543.18859865
Lyso_PC(16:0),-3.3650823443119022,9.593870201813958,42578.2886780984,0,0,496.3325 -> 184.1,PCandSM,55545.564285178,55545.564285178,645182.37902829,645182.37902829,122339.88781742
Lyso_PC(16:1),-3.2756574270525936,10.543830027434492,41777.242405071614,0,0,494.3168 -> 184.1,PCandSM,112537.328323364,112537.328323364,1228597.72741699,1228597.72741699,260323.87805165
Lyso_PC(17:0),-2.9767219015343955,8.358063535797841,32552.01346871002,0,0,510.3481 -> 184.1,PCandSM,29490.422073355,29490.422073355,261701.76086375,261701.76086375,61215.284790033
Lyso_PC(17:1),-2.7743209817993546,8.370559988010351,28896.70682706483,0,0,508.3325 -> 184.1,PCandSM,32890.522338867,32890.522338867,253669.05578615,253669.05578615,74358.185790938
Lyso_PC(17:2),-2.549480392399143,8.295967694623117,24830.722012816645,0,0,506.3168 -> 184.1,PCandSM,35038.762298598,35038.762298598,231239.275085465,231239.275085465,80528.82611079
Lyso_PC(18:0),-2.6388547475066675,9.774678064552017,28289.40165547437,0,0,524.3638 -> 184.1,PCandSM,95756.867462133,95756.867462133,672336.0068356,672336.0068356,179860.05297847
Lyso_PC(18:1),-2.5213544056638626,8.736379639652496,25029.246534932572,0,0,522.3481 -> 184.1,PCandSM,48357.263061514,48357.263061514,312973.41699222,312973.41699222,109683.46618655
Lyso_PC(18:2),-2.3391909924729077,7.896773607988494,20593.991815052297,0,0,520.3325 -> 184.1,PCandSM,28606.282043462,28606.282043462,163181.554626453,163181.554626453,79063.14526362
Lyso_PC(18:3),-2.295041422183592,7.85059843007401,19855.02180550075,0,0,518.3168 -> 184.1,PCandSM,28636.282028189,28636.282028189,158429.453308111,158429.453308111,73884.76574707
Lyso_PC(18:4),-2.4599495058311334,7.843035540114148,22476.21778490037,0,0,516.3012 -> 184.1,PCandSM,26675.801536559,26675.801536559,165454.733764719,165454.733764719,62649.424377466
Lyso_PC(19:0),-3.2774903277394785,9.69130377090322,40864.92455873043,0,0,538.3794 -> 184.1,PCandSM,61401.004272456,61401.004272456,671182.5859374,671182.5859374,162172.95202636
Lyso_PC(19:1),-2.6906179062344573,9.729264755503896,29236.22972225127,0,0,536.3638 -> 184.1,PCandSM,90306.546508834,90306.546508834,657230.8916013,657230.8916013,168800.23449698
Lyso_PC(19:2),-2.7006191807114046,9.773659152186639,29462.23385289969,0,0,534.3481 -> 184.1,PCandSM,92486.96734617,92486.96734617,677781.8671874,677781.8671874,175442.39208976
Lyso_PC(19:3),-2.951503981233355,9.772529360906104,34346.54428844714,0,0,532.3325 -> 184.1,PCandSM,79181.065780641,79181.065780641,690485.709961,690485.709961,178316.13403314
Lyso_PC(20:0),-1.4531659625764584,7.5628928602188505,8277.001168610217,0,0,552.3951 -> 184.1,PCandSM,33886.402145385,33886.402145385,104595.866455109,104595.866455109,85605.526550312
Lyso_PC(20:1),-2.033837574299226,7.25405192728671,15090.163539657991,0,0,550.3794 -> 184.1,PCandSM,22214.94150543,22214.94150543,102549.746765165,102549.746765165,45821.623413082
Lyso_PC(20:2),-1.9730111770934489,7.389261049009067,14558.886632085934,0,0,548.3638 -> 184.1,PCandSM,25708.401855467,25708.401855467,113776.788207974,113776.788207974,45582.983459463
Lyso_PC(20:3),-2.1180784395114047,7.485415440414925,16687.975518469295,0,0,546.3481 -> 184.1,PCandSM,25236.002029416,25236.002029416,123500.52917482,123500.52917482,49938.504089347
Lyso_PC(20:4),-2.4340757961400468,8.406737939255237,23134.016907259258,0,0,544.3325 -> 184.1,PCandSM,41541.302459711,41541.302459711,253076.89575189,253076.89575189,73138.306030267
Lyso_PC(20:5),-2.6655960320581324,9.821773597942725,28848.617250556148,0,0,542.3168 -> 184.1,PCandSM,98898.707183807,98898.707183807,707386.831055,707386.831055,162441.9736328
Lyso_PC(21:0),-1.6939003261192962,8.28421806362723,11624.085780087797,0,0,566.4107 -> 184.1,PCandSM,45624.962371801,45624.962371801,166402.428832927,166402.428832927,174065.290527324
Lyso_PC(21:4),-1.5610026475212928,7.8594092418026245,9657.324575480845,0,0,558.3481 -> 184.1,PCandSM,36985.242645287,36985.242645287,123021.088806086,123021.088806086,125003.966308695
Lyso_PC(22:0),-2.5544049856671047,8.045987591755713,24455.505548598063,0,0,580.4264 -> 184.1,PCandSM,29510.241516117,29510.241516117,195419.674194335,195419.674194335,65577.824707113
Lyso_PC(22:1),-1.6178128543943193,7.614741469470558,10157.401467665139,0,0,578.4107 -> 184.1,PCandSM,31899.282882689,31899.282882689,110365.607360875,110365.607360875,91824.025207534
Lyso_PC(22:2),-2.3873251669601707,8.131434134329469,21706.088459509705,0,0,576.3951 -> 184.1,PCandSM,31966.9021339601,31966.9021339601,188538.432067829,188538.432067829,103195.788147
Lyso_PC(22:4),-2.1826351669680033,8.037726475931102,18263.76969454977,0,0,572.3638 -> 184.1,PCandSM,31807.882507335,31807.882507335,162785.69116224,162785.69116224,118576.987670869
Lyso_PC(22:5),-1.5272691454535814,8.280223514626597,9567.90375995807,0,0,570.3481 -> 184.1,PCandSM,49539.203521732,49539.203521732,160970.049438425,160970.049438425,174434.255798339
Lyso_PC(22:6),-1.7221958856942443,8.262303893332628,11976.99744629052,0,0,568.3325 -> 184.1,PCandSM,44554.683349549,44554.683349549,165717.487792995,165717.487792995,168840.009582461
Lyso_PC(24:0),-3.0578829562430405,9.532601442498363,36258.97941071403,0,0,608.4577 -> 184.1,PCandSM,65316.445465106,65316.445465106,613167.720062202,613167.720062202,101695.648071233
Lyso_PC(24:1),-2.368840184427561,9.636628052179077,23303.94615146052,0,0,606.442 -> 184.1,PCandSM,106391.808410666,106391.808410666,619501.107910152,619501.107910152,107369.587585394
Lyso_PC(3:0),-3.5114135411346212,10.257468150531997,46623.40529174165,0,0,314.129 -> 184.1,PCandSM,81801.246002105,81801.246002105,1051581.29199178,1051581.29199178,153298.13195797
Lyso_PC(3:1),-3.6195145674137814,10.052322723026014,48716.59206124483,0,0,312.1134 -> 184.1,PCandSM,66519.464263911,66519.464263911,921665.77954095,921665.77954095,124402.60803222
Lyso_PC(5:0),-1.049657092613802,7.460899947765427,4373.245228161109,0,0,342.1603 -> 184.1,PCandSM,37168.383087157,37168.383087157,86734.96533203,86734.96533203,88110.02648932
Lyso_PC(6:0),-1.5167171849369765,7.545540340201102,9052.540188054125,0,0,356.176 -> 184.1,PCandSM,34952.782836911,34952.782836911,112746.12853999,112746.12853999,64041.9448242
Lyso_PC(7:0),-1.5373832779860104,7.551773916584116,9286.225219810498,0,0,370.1916 -> 184.1,PCandSM,34603.582504276,34603.582504276,113230.14770511,113230.14770511,65365.36462399
Lyso_PC(8:0),-1.6493368757520077,8.027356588931388,11041.691587856743,0,0,384.2073 -> 184.1,PCandSM,45978.723052985,45978.723052985,162591.97082519,162591.97082519,86123.58605955
Lyso_PC(9:0),-1.3314806739027123,7.650302575382717,7124.5565130226805,0,0,398.2229 -> 184.1,PCandSM,40468.423217751,40468.423217751,114808.54833977,114808.54833977,74928.20507813
Lyso_PE(13:0),0.9991716971725546,8.310843490629038,4303.848271102919,0,0,412.2386 -> 270.2386,PEs,149367.77050781,149367.77050781,84239.826049807,84239.826049807,122331.04943842
Lyso_PE(14:1),0.9982739739014047,9.188513257566388,4472.6093519460865,0,0,424.2386 -> 282.2386,PEs,294229.26025388,294229.26025388,166041.570800818,166041.570800818,162388.29248046
Lyso_PE(15:1),1.6989091651723836,9.364929392432781,12556.300373253847,0,0,438.2542 -> 296.2542,PEs,407001.55248975003,407001.55248975003,141323.60961914,141323.60961914,114528.62792969
Lyso_PE(17:0),0.827178434933521,8.722204720486907,3031.605750643413,0,0,468.3012 -> 326.3012,PEs,191741.39355468,191741.39355468,121829.288818387,121829.288818387,158657.13110356
Lyso_PE(18:4),1.1718298676289254,8.800204077397064,5971.63415583549,0,0,474.2542 -> 332.2542,PEs,196745.13171387,196745.13171387,98444.00769044,98444.00769044,234934.89880319
Lyso_PE(24:6),0.7051106805469942,6.657686807473168,1865.4896255679898,0,0,554.3168 -> 412.3168,PEs,45225.423522956,45225.423522956,31272.602172843,31272.602172843,35535.662597639
Lyso_PG(18:3),-0.7280637026039383,8.409441955508488,2321.991412099698,0,0,524.2645 -> 335.2645,PGs,92890.26647949,92890.26647949,173452.67346202,173452.67346202,115513.92858887
Lyso_PG(22:6),-1.1295695744099352,8.088487077602517,5405.11292459589,0,0,574.2801 -> 385.2801,PGs,64425.424072282,64425.424072282,158903.54992678,158903.54992678,75740.465148882
Lyso_PI(20:0),-0.6500398948583753,7.795242688995788,1788.3425745141574,0,0,646.3588 -> 369.3588,PIs,63294.324645988,63294.324645988,111966.50659179,111966.50659179,72395.705566478
Lyso_PS(18:3),-0.8618952092106579,8.44559404142739,3243.7907876021964,0,0,520.2597 -> 335.2597,PSs,90068.32604981,90068.32604981,184531.37414543,184531.37414543,116813.98718262
Lyso_Sphinganine-1-phosphocholine,-3.569515917478974,9.451159113245337,46601.705017744105,0,0,467.3536 -> 184.1,PCandSM,44635.503036457,44635.503036457,597385.12475587,597385.12475587,98429.608642592
Lyso_Sphingosine-1-phosphocholine,-3.210330709323689,9.180648878606627,38737.686182067315,0,0,465.3379 -> 184.1,PCandSM,45855.543212906,45855.543212906,478454.051940984,478454.051940984,93914.667419412
O-(17-carboxyheptadecanoyl)carnitine,0.6124355513748501,11.97515152816345,1766.3551676314244,0,0,458.3 -> 85.1,ACs,1584221.80810563,1584221.80810563,1168143.12207052,1168143.12207052,2000815.7568355
"O-oleoylcarnitine, Elaidic carnitine",0.8931096979832859,15.106262558171487,3749.5394962601367,0,0,426.4 -> 85.1,ACs,16156266.1093755,16156266.1093755,9806854.7705072,9806854.7705072,13585184.09375
PC (30:0),-1.9686304601230722,7.379619078198591,14000.324428775502,0,0,706.5 -> 184.1,PCandSM,20973.781524658,20973.781524658,92541.585601761,92541.585601761,92835.367553636
PC (30:1),-1.866169563077771,7.447952704666197,12824.319950841897,0,0,704.5 -> 184.1,PCandSM,23256.9616622938,23256.9616622938,95580.467407124,95580.467407124,97462.665252659
PC (30:2),-1.8889740139098665,7.438417847011762,13104.948779843366,0,0,702.5 -> 184.1,PCandSM,22927.1413040126,22927.1413040126,95726.225952121,95726.225952121,95736.707702681
PC (32:0),-2.0144183365678727,10.78345522623241,17691.11608728094,0,0,734.6 -> 184.1,PCandSM,283302.63787847,283302.63787847,1290305.816406,1290305.816406,291156.85961919
PC (32:1),-2.029469372293342,10.764999626102803,17931.646451306537,0,0,732.6 -> 184.1,PCandSM,276206.595397915,276206.595397915,1271179.5527347,1271179.5527347,299713.62353516
PC (32:2),-1.9898728987948584,10.433455718274326,17212.04949466694,0,0,730.5 -> 184.1,PCandSM,224151.679412873,224151.679412873,1003679.7353514,1003679.7353514,240185.2001952
PC (32:3),-2.6032567281475925,8.20725827500416,25597.497787562745,0,0,728.5 -> 184.1,PCandSM,32204.161575309,32204.161575309,220603.930603553,220603.930603553,71325.046020611
PC (32:4),-2.524464785788171,8.152603923167062,24142.263283247878,0,0,726.5 -> 184.1,PCandSM,32042.2225723267,32042.2225723267,207828.515716036,207828.515716036,74955.665588409
PC (32:5),-2.487997357795334,8.054427473003688,23121.35972266553,0,0,724.5 -> 184.1,PCandSM,28085.402130122,28085.402130122,177617.412139926,177617.412139926,104436.965759317
PC (34:0),-2.193078239784283,12.41374365663816,20941.410339075195,0,0,762.6 -> 184.1,PCandSM,801671.10559097,801671.10559097,4132569.546876,4132569.546876,806859.97607429
PC (34:1),-2.2934753549809233,12.746693904634228,22757.977459073532,0,0,760.6 -> 184.1,PCandSM,951397.67285149,951397.67285149,5257854.4687525,5257854.4687525,1041204.83691419
PC (34:2),-2.2410703524455884,12.767612616833617,21817.212477419547,0,0,758.6 -> 184.1,PCandSM,995164.97656261,995164.97656261,5303542.820312,5303542.820312,1051732.13769523
PC (34:3),-2.2096993696114624,12.776091851872353,21260.842229302532,0,0,756.6 -> 184.1,PCandSM,1019836.06323228,1019836.06323228,5318115.359374,5318115.359374,1049652.49316396
PC (34:4),-2.200724547234855,12.808189970880465,21104.428837198753,0,0,754.5 -> 184.1,PCandSM,1046723.97973637,1046723.97973637,5424476.976563,5424476.976563,1089600.85205075
PC (34:5),-2.1808457756376254,12.79778717690837,20754.951013928287,0,0,752.5 -> 184.1,PCandSM,1055565.98571775,1055565.98571775,5395441.359377,5395441.359377,1029477.08251949
PC (34:6),-2.2832559306048323,12.752416842984074,22573.531027144716,0,0,750.5 -> 184.1,PCandSM,961152.53466778,961152.53466778,5274270.968749,5274270.968749,1041207.45751944
PC (36:0); PCp(38:6),-2.236763533948391,10.117361775848787,21182.088901665527,0,0,790.6 -> 184.1,PCandSM,145932.910903872,145932.910903872,775403.927581718,775403.927581718,320209.20178227
PC (36:1),-2.1759739103084,9.166070134197996,19611.51025994414,0,0,788.6 -> 184.1,PCandSM,78582.645019475,78582.645019475,400315.240875264,400315.240875264,159701.51159673
PC (36:2),-2.200002008947632,9.15869795467205,19984.278238329534,0,0,786.6 -> 184.1,PCandSM,76045.505844121,76045.505844121,393896.6010132,393896.6010132,171402.28918459
PC (36:3),-2.2386767471267306,9.449311220011367,20855.830305432086,0,0,784.6 -> 184.1,PCandSM,92528.825897203,92528.825897203,492297.802307603,492297.802307603,191598.57275382
PC (36:4),-2.3147689574302137,9.978324085151325,22485.76533324343,0,0,782.6 -> 184.1,PCandSM,129225.108886622,129225.108886622,724775.777343753,724775.777343753,259445.47583007
PC (36:5),-2.359714471790079,10.219732947062345,23405.172609521793,0,0,780.6 -> 184.1,PCandSM,150185.451965277,150185.451965277,868989.5128173,868989.5128173,289844.28417975
PC (36:6),-2.487174143237257,10.47432543514879,25852.20021828058,0,0,778.5 -> 184.1,PCandSM,168603.532470616,168603.532470616,1065669.40673826,1065669.40673826,314609.189209
PC (36:7),-2.242052350240722,12.703085723234635,21830.436857259487,0,0,776.5 -> 184.1,PCandSM,953251.36914073,953251.36914073,5083631.320312,5083631.320312,980049.06591785
PC (36:8),-2.2679807094811006,12.671544381789126,22292.511498167987,0,0,774.5 -> 184.1,PCandSM,918949.12353498,918949.12353498,4989571.9843745,4989571.9843745,957977.87548839
