lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,ON3x,ON3xcopy,YN3x,YN3xcopy,Blank
TAG(48:1)_FA 16:0,0.9403840048025393,13.02243047697506,4101.632802896919,0,0,822.8 -> 549.8,TAG1,1037946.0185544,1037946.0185544,587340.81591785,587340.81591785,346247.02294909
TAG(48:2)_F A18:0,0.6817730199234957,8.97771993131739,1808.1855777030971,0,0,820.8 -> 519.8,TAG1,55149.924011228,55149.924011228,37334.422790524,37334.422790524,30234.322021473
TAG(48:2)_FA 16:0,1.284633596207921,11.5176513210249,7370.732204984744,0,0,820.8 -> 547.8,TAG1,403066.74731451,403066.74731451,179664.71166993,179664.71166993,103343.92736815
TAG(48:2)_FA 16:1,1.0235526401649149,13.04388275370144,4844.328526136583,0,0,820.8 -> 549.8,TAG1,1073087.33886759,1073087.33886759,573210.61914071,573210.61914071,353761.38647432
TAG(48:2)_FA 18:1,0.6427271441486327,11.167386169123315,1870.6872742045987,0,0,820.8 -> 521.8,TAG1,253384.33544926,253384.33544926,176237.67211913,176237.67211913,126715.588806164
TAG(48:3)_FA 16:0,0.7624653405010163,8.45770434238415,2071.663717770305,0,0,818.8 -> 545.8,TAG1,37753.982604973,37753.982604973,24167.74177551,24167.74177551,25080.901840201
TAG(48:3)_FA 16:1,1.2294749975698689,11.470793107741747,6760.641360386039,0,0,818.8 -> 547.8,TAG1,382310.3480225,382310.3480225,177054.21191408,177054.21191408,107561.92736815
TAG(48:3)_FA 18:1,0.6562625754373281,8.983304160630682,1679.959258964182,0,0,818.8 -> 519.8,TAG1,55321.583984377,55321.583984377,38118.742767337,38118.742767337,29469.821929941
TAG(50:2)_FA 18:0,0.6107322570152987,12.529641325779515,1737.878174919271,0,0,850.8 -> 549.8,TAG1,646852.36523442,646852.36523442,459997.69287096,459997.69287096,323282.22436545
TAG(50:3)_FA 16:0,0.7141506997621576,12.33746998054938,2365.3922267425987,0,0,848.8 -> 575.8,TAG1,604772.8813479,604772.8813479,400323.16796868,400323.16796868,228067.27600101
TAG(50:3)_FA 18:0,0.9760940127436333,10.855339546055195,4222.7331456861375,0,0,848.8 -> 547.8,TAG1,226819.79516611,226819.79516611,125212.12866208,125212.12866208,91033.54663085
TAG(50:4)_FA 16:0,0.6430157079841314,9.854867048501612,1763.9205816224467,0,0,846.8 -> 573.8,TAG1,106534.587463381,106534.587463381,74083.685333256,74083.685333256,39437.782653818
TAG(50:4)_FA 16:1,0.6900951056238167,12.363095244827559,2211.027934218081,0,0,846.8 -> 575.8,TAG1,611810.16748024,611810.16748024,411790.7290041,411790.7290041,231924.37585458
TAG(50:4)_FA 18:1,0.85762405990175,10.90729660215944,3282.3044916002013,0,0,846.8 -> 547.8,TAG1,229071.71643054,229071.71643054,137277.69042969,137277.69042969,93089.90637205
TAG(52:3)_FA 20:0,0.9225299785651857,8.018704409606292,2820.5809486638186,0,0,874.8 -> 545.8,TAG2,30990.3420868,30990.3420868,17754.7612609908,17754.7612609908,13514.1008987399
TAG(52:5)_FA 18:2,0.582897541272489,10.470508072568684,1505.7902561529675,0,0,870.8 -> 573.8,TAG2,163195.17370611,163195.17370611,118314.16821289,118314.16821289,53969.083923335
TAG(52:6)_FA 20:4,0.7351710123357267,10.801359046251852,2416.509631595746,0,0,868.7 -> 547.7,TAG2,212258.47595211,212258.47595211,138469.97021484,138469.97021484,71994.104797355
TAG(54:0)_FA 16:1,0.6857230148679945,9.09328965905923,1867.8267538616697,0,0,908.9 -> 637.9,TAG1,62505.884216303,62505.884216303,42198.442932104,42198.442932104,25807.841674801
TAG(54:2)_FA 18:2,-0.6455656870098007,13.442234274271499,1956.0406283580076,0,0,904.8 -> 607.8,TAG2,786591.03808604,786591.03808604,1336235.21191438,1336235.21191438,605129.36230462
TAG(54:6)_FA 16:0,1.100120206370159,9.56259942481319,4962.195633699851,0,0,896.8 -> 623.8,TAG1,99472.307983384,99472.307983384,50388.523864723,50388.523864723,27326.901855453
TAG(54:7)_FA 16:0,1.9352632565769394,12.73120703257112,16428.46338343945,0,0,894.8 -> 621.8,TAG1,1119069.52807656,1119069.52807656,317748.78442371,317748.78442371,100671.34680173
TAG(54:7)_FA 16:1,1.0644827625144264,9.462175621680583,4596.827617599266,0,0,894.8 -> 623.8,TAG1,89346.346130382,89346.346130382,46391.04309084,46391.04309084,31719.182220434
TAG(54:8)_FA 16:1,1.961892484262274,13.411709819484905,16958.37314438479,0,0,892.7 -> 621.7,TAG1,1831242.35400446,1831242.35400446,510453.87817379,510453.87817379,103938.42736817
