lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,OG3x,OG3xcopy,YG3x,YG3xcopy,Blank
TAG(48:1)_FA 16:0,-0.6440607550439819,12.797375628097626,1930.8984390469993,0,0,822.8 -> 549.8,TAG1,430516.85375974,430516.85375974,697765.97119128,697765.97119128,346247.02294909
TAG(48:2)_FA 16:0,-0.6553085685170386,11.116971536073939,1923.2842569824081,0,0,820.8 -> 547.8,TAG1,134757.4692383,134757.4692383,220119.49536122,220119.49536122,103343.92736815
TAG(48:2)_FA 16:1,-0.6173490224015596,12.781280446007445,1774.729003324035,0,0,820.8 -> 549.8,TAG1,427672.12927236,427672.12927236,680439.54101538,680439.54101538,353761.38647432
TAG(48:3)_FA 16:1,-0.6632029548014379,11.10259500427034,1967.2813098157728,0,0,818.8 -> 547.8,TAG1,131682.78930666,131682.78930666,216277.39575203,216277.39575203,107561.92736815
TAG(50:1)_FA 18:2,-0.9015497983676521,8.481412283459527,2812.056364994828,0,0,852.8 -> 555.8,TAG2,19898.401214602,19898.401214602,38552.362609858,38552.362609858,14176.0610122697
TAG(52:0)_FA 18:0,0.6900214882370824,13.448550550487791,2225.418641115786,0,0,880.8 -> 579.8,TAG1,962599.28662092,962599.28662092,618822.8037108,618822.8037108,813070.89404308
TAG(52:0)_FA 18:2,-0.8214720409542321,8.795976273620782,2459.7793540739185,0,0,880.8 -> 583.8,TAG2,25055.421936034,25055.421936034,45922.803283699,45922.803283699,20486.561508174
TAG(52:0)_FA 20:4,-0.7469280314183628,8.20068384040252,1810.8758048198608,0,0,880.8 -> 559.8,TAG2,16535.8211212163,16535.8211212163,28781.462036137,28781.462036137,16182.9012146
TAG(52:1)_FA 16:0,0.5986037085054211,12.881124192201932,1669.181647135143,0,0,878.8 -> 605.8,TAG1,643643.42590345,643643.42590345,440844.67187536,440844.67187536,523306.11779797
TAG(52:1)_FA 18:1,0.6518700412239743,14.142166676120311,1997.8203807937277,0,0,878.8 -> 579.8,TAG1,1539352.6353758,1539352.6353758,1016116.8144534,1016116.8144534,1318826.41308606
TAG(52:1)_FA 20:4,-0.8409181062627445,7.933667209285005,2175.3491796397275,0,0,878.8 -> 557.8,TAG2,13710.180992126,13710.180992126,25469.7417411762,25469.7417411762,10898.6408615127
TAG(52:2)_FA 16:0,0.5867009765127882,13.101536853845134,1608.751595583526,0,0,876.8 -> 603.8,TAG1,767597.97412101,767597.97412101,530099.220703,530099.220703,557451.97900371
TAG(52:2)_FA 16:1,0.6383478328762826,12.986098932862317,1898.7491712903898,0,0,876.8 -> 605.8,TAG1,700838.10461428,700838.10461428,466975.17285152,466975.17285152,560083.97839337
TAG(52:2)_FA 20:0,-1.4244917808828708,9.667361193404401,8034.438967637648,0,0,876.8 -> 547.8,TAG2,37203.942779552,37203.942779552,103572.066589379,103572.066589379,21220.901458745
TAG(52:2)_FA 20:4,-1.8910603903912013,8.923325114956569,12358.398337447337,0,0,876.8 -> 555.8,TAG2,17222.021270749,17222.021270749,66250.6849364498,66250.6849364498,13397.440948484
TAG(52:3)_FA 16:0,0.6956090579026052,11.71504529923528,2210.2190503479424,0,0,874.8 -> 601.8,TAG1,341644.22583001,341644.22583001,218782.59375009,218782.59375009,114232.4680176
TAG(52:3)_FA 16:1,0.5642053794042555,13.208854068334237,1490.134246863779,0,0,874.8 -> 603.8,TAG1,820183.10449268,820183.10449268,575315.4248047,575315.4248047,604447.77929689
TAG(52:3)_FA 20:0,-2.267608327938195,9.16522605209245,17696.493081135093,0,0,874.8 -> 545.8,TAG2,16750.90104675,16750.90104675,83655.966735841,83655.966735841,13514.1008987399
TAG(52:4)_FA 16:0,-0.7742805379319667,11.40301561386078,2714.916597882259,0,0,872.8 -> 599.8,TAG1,175112.91271965,175112.91271965,310626.101867692,310626.101867692,45338.363220197
TAG(52:4)_FA 16:1,0.641844929486272,11.745042554608833,1885.8307828139264,0,0,872.8 -> 601.8,TAG1,342774.24462888,342774.24462888,227840.79614254,227840.79614254,119366.34832762
TAG(52:4)_FA 20:0,-1.0433161098720791,7.743975140222703,3142.259264195748,0,0,872.8 -> 543.8,TAG2,10929.660842896,10929.660842896,23362.36164855,23362.36164855,9665.1807708724
TAG(52:5)_FA 16:0,0.6568668653603206,9.06184710710812,1659.4055368721572,0,0,870.8 -> 597.8,TAG1,52599.263946533,52599.263946533,34600.342529303,34600.342529303,20699.681396484
TAG(52:5)_FA 16:1,-0.6170012390143437,11.249058706343716,1723.9044303943167,0,0,870.8 -> 599.8,TAG1,167102.09008781,167102.09008781,265800.536926408,265800.536926408,45620.763244645
TAG(52:5)_FA 20:0,-1.1092957690600052,8.002737904609686,3785.9722164124437,0,0,870.8 -> 541.8,TAG2,12844.1809158353,12844.1809158353,28739.421966543,28739.421966543,10709.740848541
TAG(52:6)_FA 20:0,-2.2086650161468957,10.047945142395504,18568.63120166876,0,0,868.7 -> 539.7,TAG2,30717.942138671,30717.942138671,147267.170288092,147267.170288092,37056.002838112
TAG(54:0)_FA 16:1,-1.273208909757129,9.602175474256073,6423.11772074866,0,0,908.9 -> 637.9,TAG1,37336.462585452,37336.462585452,93593.587768555,93593.587768555,25807.841674801
TAG(54:0)_FA 18:0,0.7486993338905055,12.51933657144342,2583.6658485635367,0,0,908.9 -> 607.896,TAG1,496523.41284184,496523.41284184,306476.14257809,306476.14257809,469021.93164058
