lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,APIblock3x,APIblock3xcopy,Control3x,Control3xcopy,Blank
TAG(50:2)_FA 18:2,0.6905810529923597,10.019987455287675,2138.5795070573186,0,0,850.8 -> 553.8,TAG2,256660.53613282,256660.53613282,131056.429260267,131056.429260267,102328.20690917
TAG(50:3)_FA 16:0,-0.6088318135566341,13.262288922644375,1749.986813868583,0,0,848.8 -> 575.8,TAG1,1815300.15918045,1815300.15918045,2281445.48193413,2281445.48193413,228067.27600101
TAG(50:3)_FA 18:2,0.7374545802587269,13.740259092192533,2560.4471694860854,0,0,848.8 -> 551.8,TAG2,3497150.5585953,3497150.5585953,1728635.26110841,1728635.26110841,1226713.22949236
TAG(50:4)_FA 16:0,-0.705869882245414,12.19100820242218,2334.595068903936,0,0,846.8 -> 573.8,TAG1,851404.52429249,851404.52429249,1144482.0603642,1144482.0603642,39437.782653818
TAG(52:0)_FA 18:2,-0.7737137144957628,7.989936312684251,2335.685870608338,0,0,880.8 -> 583.8,TAG2,39039.482849128,39039.482849128,55004.823394795,55004.823394795,20486.561508174
TAG(52:1)_FA 18:2,1.0863212730630607,9.643913747562587,5110.1972626552715,0,0,878.8 -> 581.8,TAG2,211030.59594731,211030.59594731,81905.825958255,81905.825958255,90149.22619628
TAG(52:2)_FA 18:0,-0.5683555898388678,12.674378795011856,1522.4189977787655,0,0,876.8 -> 575.8,TAG1,1184956.79052767,1184956.79052767,1448036.84179652,1448036.84179652,275099.878357062
TAG(52:2)_FA 18:2,1.34838407607215,13.191752141490554,8330.62941498094,0,0,876.8 -> 579.8,TAG2,2588449.8085958,2588449.8085958,837761.99804692,837761.99804692,1091937.5898439
TAG(52:3)_FA 18:0,-0.7193878229879546,11.642043074043688,2412.7212842342583,0,0,874.8 -> 573.8,TAG1,574138.34008788,574138.34008788,779038.472473302,779038.472473302,39769.322937007
TAG(52:4)_FA 18:1,-0.6291222240651329,11.774700071298408,1852.053114663621,0,0,872.8 -> 573.8,TAG1,653111.94934075,653111.94934075,832448.40197745,832448.40197745,46705.363189679
TAG(52:4)_FA 20:4,0.6834706694708361,12.4274660977865,2189.0200905871957,0,0,872.8 -> 551.8,TAG2,1371752.7421873,1371752.7421873,703907.568908373,703907.568908373,523350.19726559
TAG(54:0)_FA 20:0,1.34110137766308,9.956773001983356,7768.866439576048,0,0,908.9 -> 579.9,TAG2,265284.37719724,265284.37719724,86294.78686522,86294.78686522,130511.56958007
TAG(54:1)_FA 18:2,1.0385443620928483,8.911419675651741,4440.168622136805,0,0,906.8 -> 609.8,TAG2,118798.967834474,118798.967834474,47661.103271454,47661.103271454,66456.705444316
TAG(54:1)_FA 20:0,0.5957512661839329,10.802812892403042,1630.9641809751156,0,0,906.8 -> 577.8,TAG2,422599.78930639,422599.78930639,230449.1955567,230449.1955567,191977.234008772
TAG(54:1)_FA 20:4,-0.9465070185298488,7.359588288085684,3117.4337632344586,0,0,906.8 -> 585.8,TAG2,22021.861785893,22021.861785893,34975.782501236,34975.782501236,18394.621200559
TAG(54:2)_FA 18:2,1.5651750202876538,12.266244045236855,11017.685024904467,0,0,904.8 -> 607.8,TAG2,1398734.94189452,1398734.94189452,389543.268249489,389543.268249489,605129.36230462
TAG(54:3)_FA 18:2,1.0207635278829958,13.526890909964951,4854.038908779979,0,0,902.8 -> 605.8,TAG2,3173266.8789058,3173266.8789058,1288875.9995117,1288875.9995117,1159490.5710449
TAG(54:3)_FA 20:4,0.8533297781011522,8.87804026199243,3039.6402179196166,0,0,902.8 -> 581.8,TAG2,117933.62915038,117933.62915038,53795.303649888,53795.303649888,52068.043579096
TAG(54:4)_FA 20:4,1.542560678754016,12.289807706719495,10719.35809763056,0,0,900.8 -> 579.8,TAG2,1426085.11621096,1426085.11621096,403434.77050784,403434.77050784,599624.78466816
TAG(54:7)_FA 16:0,1.113642267815273,10.193663378303503,5505.066817419045,0,0,894.8 -> 621.8,TAG1,329090.72143555,329090.72143555,125331.62841797,125331.62841797,100671.34680173
TAG(54:8)_FA 16:1,1.2239749566559477,10.615340651406626,6705.205429835939,0,0,892.7 -> 621.7,TAG1,470036.22998053,470036.22998053,165829.95190435,165829.95190435,103938.42736817
TAG(56:0)_FA 16:0,0.9001508235695478,10.52546859432766,3653.7068376896095,0,0,936.9 -> 663.9,TAG1,359277.08618142,359277.08618142,158650.6900635,158650.6900635,190521.27319329
TAG(56:0)_FA 20:0,1.5338939055157945,10.758909146392341,10333.208910928637,0,0,936.9 -> 607.9,TAG2,485085.05224597,485085.05224597,138055.770568871,138055.770568871,219011.41601566
TAG(56:1)_FA 16:1,0.8043191257593705,10.418817063207813,2914.0601506141093,0,0,934.9 -> 663.9,TAG1,314237.29931623,314237.29931623,148292.23034669,148292.23034669,198525.15490726
TAG(56:1)_FA 18:1,0.5923912774933937,9.204556149942585,1517.582722441631,0,0,934.9 -> 635.9,TAG2,141265.98974607,141265.98974607,77213.784820574,77213.784820574,59345.22393799
TAG(56:1)_FA 20:0,1.5778848238331324,11.119551977307589,11003.602713185062,0,0,934.9 -> 605.896,TAG2,636860.22827146,636860.22827146,175807.850952199,175807.850952199,267081.57958977
TAG(56:1)_FA 20:4,-0.8000081727066226,6.95506525557197,2085.1605337881465,0,0,934.9 -> 613.9,TAG2,18148.081359863,18148.081359863,26040.161956779,26040.161956779,12511.040817261
TAG(56:3)_FA 20:4,0.7957163739862141,8.398126752383757,2515.893140319142,0,0,930.8 -> 609.8,TAG2,78912.48544311,78912.48544311,37462.402465835,37462.402465835,45935.72354124
TAG(56:4)_FA 20:0,-0.9061472237692413,10.240646619068029,3713.254068757508,0,0,928.8 -> 599.8,TAG2,196178.353210434,196178.353210434,302979.839599756,302979.839599756,27200.601989751
TAG(56:4)_FA 20:4,1.4972476427380847,11.649672679483881,10046.582120142448,0,0,928.8 -> 607.8,TAG2,894562.3232423,894562.3232423,261143.379150476,261143.379150476,405044.20703118
TAG(56:5)_FA 20:4,1.076056424474032,12.634346119435657,5356.761888026131,0,0,926.8 -> 605.8,TAG2,1673499.183594,1673499.183594,654161.831329348,654161.831329348,721574.87622103
TAG(56:7)_FA 18:0,1.2682072299792966,9.978199068591659,7027.44375846697,0,0,922.8 -> 621.8,TAG1,294480.4023436,294480.4023436,100756.40710449,100756.40710449,83608.225830094
TAG(56:7)_FA 20:0,0.8760481184186486,8.608191182640574,3110.8019070777796,0,0,922.8 -> 593.8,TAG2,94671.926025402,94671.926025402,42509.78253175,42509.78253175,50116.763305657
TAG(56:8)_FA 18:1,1.580704910459829,10.222306525171705,10820.882857208084,0,0,920.8 -> 621.8,TAG2,381100.08959952,381100.08959952,104998.748291021,104998.748291021,81489.66564942
TAG(56:8)_FA 20:0,0.5969307489643694,9.051692675365148,1520.737942016511,0,0,920.8 -> 591.8,TAG2,123190.64880371,123190.64880371,67122.544799815,67122.544799815,61440.784118648
TAG(56:8)_FA 20:4,-0.7839766670043957,10.898888196064085,2829.3441334571107,0,0,920.8 -> 599.8,TAG2,319653.00244142,319653.00244142,453590.93237302,453590.93237302,66905.824890145
TAG(58:0)_FA 18:0,1.053536963329569,10.394271074155021,4947.867372720348,0,0,964.9 -> 663.9,TAG1,334016.76196288,334016.76196288,132619.32897948,132619.32897948,184295.39428718
TAG(58:0)_FA 20:0,0.7914906116475234,7.999980369723459,2393.0562223259108,0,0,964.9 -> 635.9,TAG2,62712.404357909,62712.404357909,29859.001892099,29859.001892099,29043.202270526
TAG(58:1)_FA 18:1,1.2215030596563299,10.466245948410135,6641.238985361656,0,0,962.9 -> 663.9,TAG2,405284.21215833,405284.21215833,143230.46874996,143230.46874996,124406.048156765
TAG(58:10)_FA 18:1,0.6957795294335355,8.589190391246566,1975.2276848412482,0,0,944.8 -> 645.8,TAG2,89230.086486824,89230.086486824,45398.902893062,45398.902893062,49613.923553463
TAG(58:10)_FA 18:2,2.2252713001708457,10.783219127049325,20591.463546707924,0,0,944.8 -> 647.8,TAG2,502244.97607424,502244.97607424,88517.006835939,88517.006835939,285715.72009273
TAG(58:2)_FA 18:2,1.2103064500902128,10.428631747835453,6519.568799127843,0,0,960.9 -> 663.9,TAG2,397930.00732442,397930.00732442,141727.10998533,141727.10998533,114431.007568363
TAG(58:8)_FA 18:1,0.5843619678748158,9.356349831776145,1488.186743492899,0,0,948.8 -> 649.8,TAG2,153899.15039063,153899.15039063,84588.345825202,84588.345825202,71419.105102537
TAG(58:9)_FA 18:1,2.291643403186645,10.718360758089135,21658.981766105106,0,0,946.8 -> 647.8,TAG2,481461.69604498,481461.69604498,81038.765502921,81038.765502921,276720.0997314
TAG(58:9)_FA 18:2,0.7409959774771717,9.316583975302304,2370.6472868383785,0,0,946.8 -> 649.8,TAG2,153282.470581082,153282.470581082,75581.445465074,75581.445465074,74852.344787611
TAG(60:0)_FA 20:0,-0.6683026399140556,10.473381641114315,2008.567022365864,0,0,992.9 -> 663.9,TAG2,160406.75028237,160406.75028237,210081.073944182,210081.073944182,322173.184623801
TAG(60:10)_FA 18:2,3.0033156735461946,10.734086178099172,34733.674412726774,0,0,972.9 -> 675.9,TAG2,519225.43530258,519225.43530258,53364.443542447,53364.443542447,282049.25903316
TAG(60:10)_FA 20:4,-1.3376992827159355,7.910109940718244,6666.832281911376,0,0,972.9 -> 651.9,TAG2,27725.901824952,27725.901824952,57751.024169938,57751.024169938,22670.961791985
TAG(60:12)_FA 20:4,1.3439679543292076,8.525438529046827,6977.514897805846,0,0,968.9 -> 647.9,TAG2,93028.766387937,93028.766387937,30201.362121574,30201.362121574,57486.584350624
TAG(60:3)_FA 16:0,-0.6576830490661787,7.169737853201631,1496.9280713443607,0,0,986.9 -> 713.9,TAG1,23270.201507572,23270.201507572,30253.002258306,30253.002258306,11393.300865172
TAG(60:5)_FA 20:0,-1.073720204392222,7.077618496526865,3797.1139151611405,0,0,982.9 -> 653.9,TAG2,17507.4213562,17507.4213562,30369.04246521,30369.04246521,13508.701049803
TAG(60:6)_FA 20:0,-1.4134596764407326,7.960715872754244,7461.264025593583,0,0,980.9 -> 651.9,TAG2,27844.062042228,27844.062042228,61124.144531237,61124.144531237,22604.861572269
TAG(60:8)_FA 18:1,1.130595279166267,9.077804428465658,5318.408080638107,0,0,976.9 -> 677.9,TAG2,139642.090393095,139642.090393095,52560.283737198,52560.283737198,68206.24548341
TAG(60:8)_FA 20:0,1.2232750868269546,8.326106669132082,5708.7162595637965,0,0,976.9 -> 647.9,TAG2,79884.765289292,79884.765289292,28197.161682112,28197.161682112,48711.083435052
TAG(60:9)_FA 18:1,2.995290929220555,10.707708970653497,34522.531830706066,0,0,974.9 -> 675.896,TAG2,505653.19457978,505653.19457978,52259.404006952,52259.404006952,282027.86035146
TAG(60:9)_FA 18:2,1.1011905570703087,9.061578177672953,5044.229584181229,0,0,974.9 -> 677.9,TAG2,136253.130310051,136253.130310051,52340.703887947,52340.703887947,69137.885101312
TAG(60:9)_FA 20:4,-1.2324482606755713,7.070458227667237,4915.113079457187,0,0,974.9 -> 653.9,TAG2,15893.181015018,15893.181015018,30775.282379165,30775.282379165,14674.521011354
TAG(58:7)_FA 20:0,-0.5726882079909902,9.436668467865461,1452.5220344255235,8.117607e-318,5.36042e-317,950.8 -> 621.8,TAG2,123009.208374022,123009.208374022,150771.453857467,150771.453857467,34886.402587902
TAG(58:8)_FA 20:0,0.5926136172529519,8.447387637309257,1413.4411818162869,2.5213991001819e-309,1.6367726362197756e-308,948.8 -> 619.796,TAG2,76715.845458965,76715.845458965,41925.203033457,41925.203033457,49043.503509492
TAG(60:1)_FA 20:0,0.5947991530670114,8.190177641406088,1399.8029587758347,2.3187105175771632e-306,1.4801102137200892e-305,990.9 -> 661.9,TAG2,68968.944885267,68968.944885267,37634.462615958,37634.462615958,31140.302490234
TAG(58:9)_FA 20:4,-0.6488841257592561,7.047231802635028,1387.5201326962506,1.0822794105480032e-303,6.795295315407955e-303,946.8 -> 625.8,TAG2,19673.661369322,19673.661369322,25421.721694946,25421.721694946,16575.9212493891
TAG(48:2)_FA 16:0,0.5358946334334199,12.413649674431047,1352.5574538323667,4.284719264826493e-296,2.6468507716589467e-295,820.8 -> 547.8,TAG1,1517203.94482466,1517203.94482466,862399.67480457,862399.67480457,103343.92736815
TAG(50:4)_FA 16:1,-0.5287209403224729,13.33711024172555,1322.4762011796438,1.475231041082331e-289,8.968468075151314e-289,846.8 -> 575.8,TAG1,1979362.07812597,1979362.07812597,2353266.52441442,2353266.52441442,231924.37585458
TAG(56:1)_FA 18:2,0.5737249135158583,7.98188193818582,1277.4570439391312,8.956845397344713e-280,5.3601121674734765e-279,934.9 -> 637.896,TAG2,61064.044738742,61064.044738742,33811.282501207,33811.282501207,23248.381790156
TAG(58:4)_FA 20:4,0.5636601829848285,8.249779631777825,1265.1337327326298,4.2680523942845183e-277,2.514867795401493e-276,956.9 -> 635.9,TAG2,70587.06497191,70587.06497191,39357.822753904,39357.822753904,33912.902618413
TAG(52:1)_FA 20:4,-0.6450678210697789,6.632675145164099,1259.2117133061256,8.264130256818833e-276,4.795699830850929e-275,878.8 -> 557.8,TAG2,15249.6010742205,15249.6010742205,19653.041213988,19653.041213988,10898.6408615127
TAG(54:7)_FA 18:2,0.5108084959513003,12.854373973297353,1232.632074215691,4.9376202520612865e-270,2.8225500843872727e-269,894.8 -> 597.8,TAG2,2104132.46923884,2104132.46923884,1216996.65594477,1216996.65594477,24637.821563715
TAG(60:7)_FA 20:4,-0.6317698939709361,6.753716040625262,1232.0474563055006,6.615591786208661e-270,3.7261347854675254e-269,978.9 -> 657.9,TAG2,16191.501190185,16191.501190185,20675.461456303,20675.461456303,13517.1808776822
TAG(54:8)_FA 18:2,0.5101562889643637,11.222209278832677,1212.8518323529197,9.823127173034741e-266,5.452547401843921e-265,892.7 -> 595.7,TAG2,662243.038818511,662243.038818511,383203.982910112,383203.982910112,37879.903076173
TAG(56:2)_FA 18:1,0.521271198855375,9.454200260551048,1195.6116156899548,5.483008483468527e-262,2.9999889273834944e-261,932.9 -> 633.9,TAG2,167029.99169921,167029.99169921,95909.366943361,95909.366943361,65879.20468138
TAG(58:2)_FA 20:4,-0.585337583997718,7.168228181105845,1166.9580589522357,9.253760697299692e-256,4.991817390233496e-255,960.9 -> 639.9,TAG2,22432.96151733,22432.96151733,27738.10171509,27738.10171509,16412.941116336
