lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,APIblock3x,APIblock3xcopy,Control3x,Control3xcopy,Blank
TAG(60:5)_FA 20:4,0.5367909257779182,8.080143711263847,1122.0504487279545,5.325845015042403e-246,2.833053667723945e-245,982.9 -> 661.9,TAG2,61090.784240729,61090.784240729,34703.242507919,34703.242507919,32683.522262594
TAG(48:3)_FA 16:1,0.48780751879515816,12.405593971193854,1121.7768046871784,6.10748547163253e-246,3.2043382679935057e-245,818.8 -> 547.8,TAG1,1485761.76489261,1485761.76489261,873151.21826162,873151.21826162,107561.92736815
TAG(60:4)_FA 20:4,0.5139724514627636,9.105303010546876,1120.9197534585146,9.378522487255636e-246,4.8540190711066334e-245,984.9 -> 663.9,TAG2,110988.96691895,110988.96691895,64053.584075959,64053.584075959,92551.126037624
TAG(48:1)_FA 16:0,0.48170999574634754,14.43840862116356,1101.411002756335,1.6300898285449766e-241,8.324325391103013e-241,822.8 -> 549.8,TAG1,6121955.2802734,6121955.2802734,3612983.59667929,3612983.59667929,346247.02294909
TAG(56:2)_FA 20:4,-0.567824146944412,7.0520090503278166,1045.2270668759327,2.653056410608371e-229,1.3370007963986923e-228,932.9 -> 611.9,TAG2,19128.0815200793,19128.0815200793,23366.28163148,23366.28163148,20872.54147339
TAG(60:2)_FA 18:1,0.495474899887346,8.541300110375316,1010.3664038375808,1.002293443246697e-221,4.985433620304999e-221,988.9 -> 689.896,TAG2,85262.42553712,85262.42553712,49841.323532114,49841.323532114,40536.622985819
TAG(48:2)_FA 18:1,0.46281477314392383,12.006317205428788,1007.1923267327235,4.908161805139675e-221,2.4100332966262764e-220,820.8 -> 521.8,TAG1,1095441.64428759,1095441.64428759,655017.78906238,655017.78906238,126715.588806164
TAG(54:6)_FA 18:2,0.4560984657802632,14.636536568601983,988.1935044425404,6.615880789275578e-217,3.2074460029019574e-216,896.8 -> 599.8,TAG2,7128477.64917035,7128477.64917035,4282353.04833971,4282353.04833971,84518.786224336
TAG(60:3)_FA 20:0,-0.5665825462829163,6.683866896429179,978.0508354749298,1.0599271140253246e-214,5.074401058396241e-214,986.9 -> 657.9,TAG2,15926.861129761,15926.861129761,19439.041397095,19439.041397095,12601.5809173586
TAG(60:12)_FA 18:2,-0.5338636266986295,7.157487940674957,972.9193188067914,1.3826449091849517e-213,6.53769136071403e-213,968.9 -> 671.9,TAG2,22965.021560659,22965.021560659,27400.701873776,27400.701873776,15541.980941772
TAG(54:5)_FA 20:4,0.4510287590609121,13.321004734830161,962.8428514461923,2.1431067570116116e-211,1.00098766821396e-210,898.8 -> 577.8,TAG2,2343315.1445312,2343315.1445312,1412675.7917479,1412675.7917479,1062895.28124999
TAG(52:3)_FA 20:4,0.46800974221661773,8.94352902295686,933.0184652056471,6.518463437006089e-205,3.0079174655100385e-204,874.8 -> 553.8,TAG2,112215.62792971,112215.62792971,66857.964904795,66857.964904795,52828.26361082
TAG(58:0)_FA 18:1,0.4933994708245426,7.898781331925173,931.115800305372,1.689452526233588e-204,7.703099018422194e-204,964.9 -> 665.9,TAG2,54371.48370362,54371.48370362,31829.342010521,31829.342010521,26295.301971424
TAG(58:1)_FA 18:2,0.49188278505310157,7.897499238754106,926.8409815210905,1.4355165086631557e-203,6.468268503741043e-203,962.9 -> 665.9,TAG2,54768.60363767,54768.60363767,32095.542297356,32095.542297356,25245.341827382
TAG(54:7)_FA 20:0,0.4723611459925358,8.549513331975069,914.5314036228178,6.806065100865395e-201,3.0310731786412165e-200,894.8 -> 565.8,TAG2,81751.625610368,81751.625610368,48560.843078603,48560.843078603,48090.583496072
TAG(52:3)_FA 20:0,-0.5458324967806136,6.681077158133043,901.9639088311044,3.6719018962384375e-198,1.6164809497233583e-197,874.8 -> 545.8,TAG2,15752.301101684,15752.301101684,18951.441238402,18951.441238402,13514.1008987399
TAG(60:12)_FA 18:1,-0.5334092663112326,6.793091046528468,898.378232768696,2.2099059531800962e-197,9.618113409863374e-197,968.9 -> 669.9,TAG2,17837.121398925,17837.121398925,21275.66140747,21275.66140747,12136.440773012
TAG(60:3)_FA 18:2,0.46403828890028426,8.515733589938113,884.5412965719584,2.2510717800273726e-194,9.687196536522288e-194,986.9 -> 689.9,TAG2,82727.125732419,82727.125732419,49424.603698735,49424.603698735,40438.003135689
TAG(58:2)_FA 18:1,0.45151279153405555,9.172795309860417,884.2141758907128,2.6515684111441524e-194,1.1283896682980114e-193,960.9 -> 661.9,TAG2,134062.32885745,134062.32885745,80792.805419923,80792.805419923,55421.244201665
TAG(60:10)_FA 18:1,0.47803550186414573,7.717285574050196,844.6522286826406,1.0572736697057523e-185,4.4498441263439905e-185,972.9 -> 673.9,TAG2,45826.263092009,45826.263092009,27114.142059334,27114.142059334,27393.181732164
TAG(56:0)_FA 18:1,0.4638819675265652,8.039792400965698,843.6704227490978,1.72836644280117e-185,7.195264647748348e-185,936.9 -> 637.896,TAG2,61277.924133277,61277.924133277,36613.922607421,36613.922607421,25036.12173462
TAG(58:10)_FA 20:0,-0.47046188912514636,7.698323255234991,833.9175227346533,2.280184727507823e-183,9.390438178876304e-183,944.8 -> 615.8,TAG2,35074.782623283,35074.782623283,40050.103027327,40050.103027327,20026.021347046
TAG(58:1)_FA 20:0,0.4581953122384518,8.093835371786737,821.9780240159362,8.989243914022047e-181,3.662638743691962e-180,962.9 -> 633.9,TAG2,60636.204040517,60636.204040517,36373.582336408,36373.582336408,32309.641906731
TAG(60:5)_FA 18:2,0.49080069878719684,7.355390427633024,808.0868951533748,9.415329323515739e-178,3.7958643483226608e-177,982.9 -> 685.9,TAG2,31602.222229003,31602.222229003,18533.4412384038,18533.4412384038,30813.561981188
TAG(48:1)_FA18:0,0.41455564688534435,11.869996222439367,807.8067020863615,1.0833125817992903e-177,4.321965821136752e-177,822.8 -> 521.8,TAG1,976508.3889158,976508.3889158,603764.07910168,603764.07910168,127466.488647475
TAG(60:1)_FA 20:4,-0.5266395342572219,6.413849097579083,792.3373139308188,2.5007886208822453e-174,9.874247853586597e-174,990.9 -> 669.9,TAG2,13613.660972592,13613.660972592,16162.02114868,16162.02114868,9843.7006454452
TAG(56:7)_FA 16:1,-0.4476945818392917,8.487179266140057,788.0573366012593,2.1312551263321592e-173,8.329292993726704e-173,922.8 -> 651.8,TAG1,44142.463287351,44142.463287351,49614.823425251,49614.823425251,84323.36584473
TAG(54:5)_FA 18:2,0.40698457176065506,14.799604531121956,787.6378837067697,2.6292615962542474e-173,1.0171789811771482e-172,898.8 -> 601.8,TAG2,7783272.42382772,7783272.42382772,4837630.16967833,4837630.16967833,263485.03820812
TAG(56:2)_FA 18:2,0.4229572919734686,9.276092520856984,781.5686306783344,5.48821139660438e-172,2.1019849648994776e-171,932.9 -> 635.9,TAG2,143567.87023928,143567.87023928,88250.926330551,88250.926330551,58013.54455566
TAG(60:1)_FA 18:1,0.4386421557063782,8.319606062551317,778.5283098548324,2.5146196720731854e-171,9.535636974297326e-171,990.9 -> 691.9,TAG2,73504.424865717,73504.424865717,44694.4632377801,44694.4632377801,31298.342132557
TAG(58:5)_FA 20:0,-0.4878699376054881,6.925291358572756,770.7589455623627,1.2295343306542123e-169,4.6167808690251304e-169,954.8 -> 625.8,TAG2,19546.921478267,19546.921478267,22590.601577751,22590.601577751,14446.560981749
TAG(48:2)_FA 16:1,0.400032220021314,14.456030858086535,760.6875738048778,1.9035310411513497e-167,7.078178531659873e-167,820.8 -> 549.8,TAG1,6048586.4765626,6048586.4765626,3777610.63476619,3777610.63476619,353761.38647432
TAG(58:8)_FA 20:4,-0.4748096550554079,7.10439200473218,754.6482920303083,3.914710611657593e-166,1.4416674656392867e-165,948.8 -> 627.8,TAG2,21857.441375731,21857.441375731,25033.241806036,25033.241806036,17551.3412628181
TAG(60:11)_FA 18:1,-0.47179862855151306,7.104318759178072,747.347889479967,1.5137956073216086e-164,5.521749691468344e-164,970.9 -> 671.9,TAG2,22101.46166992,22101.46166992,25259.941818243,25259.941818243,16851.4612083479
TAG(60:4)_FA 18:1,0.46419685957270335,7.381636556333654,736.3703984293695,3.689808058195862e-162,1.3332042323481274e-161,984.9 -> 685.896,TAG2,33320.342041013,33320.342041013,19904.741378778,19904.741378778,28219.301879878
TAG(48:0)_FA 18:0,0.39171518851210024,12.310402736365564,723.8382516276905,1.9590347074579814e-159,7.01224572856455e-159,824.8 -> 523.8,TAG1,1286033.37304663,1286033.37304663,807828.55566426,807828.55566426,235313.97558597
TAG(60:11)_FA 20:0,-0.488152077637827,6.659818742411427,722.7111169922724,3.444560162779365e-159,1.2215430947634228e-158,970.9 -> 641.9,TAG2,16128.2011528076,16128.2011528076,18643.201446533,18643.201446533,12503.24098205
TAG(56:0)_FA 16:1,0.4330062538309615,7.899720271718398,706.7121195292927,1.037813987554141e-155,3.646630800304918e-155,936.9 -> 665.9,TAG1,49173.183776857,49173.183776857,30016.841979973,30016.841979973,35898.262481677
TAG(56:0)_FA 20:4,-0.4361020029945321,7.5534290664540595,703.2210755378665,5.960221390661703e-155,2.0752407205667567e-154,936.9 -> 615.9,TAG2,32479.462341308,32479.462341308,36213.802673358,36213.802673358,17120.1012344377
TAG(58:4)_FA 20:0,-0.495095671215022,6.404173959935037,698.0824936404057,7.810508778663142e-154,2.6949773533585433e-153,956.9 -> 627.9,TAG2,13648.720962525,13648.720962525,15853.201141355,15853.201141355,9925.580780027
TAG(58:1)_FA 20:4,-0.47060407828196005,6.755441257283402,687.9107191151645,1.272419453896934e-151,4.351220096808266e-151,962.9 -> 641.9,TAG2,17347.921150213,17347.921150213,19810.681396479,19810.681396479,13352.380851745
TAG(50:1)_FA 18:2,-0.4498994117851988,7.049547996178854,678.2747151198465,1.5853176771315092e-149,5.373244870277593e-149,852.8 -> 555.8,TAG2,22110.981643678,22110.981643678,24890.121688835,24890.121688835,14176.0610122697
TAG(60:7)_FA 18:2,-0.4766096953759388,6.624741147205625,675.3870859212916,6.731017748976473e-149,2.2613857875947275e-148,978.9 -> 681.9,TAG2,15341.021110536,15341.021110536,17591.961257934,17591.961257934,13768.58089447
TAG(60:11)_FA 18:2,0.4296040645598795,7.656321523399693,672.7597475986867,2.5086720278058255e-148,8.35496857956201e-148,970.9 -> 673.9,TAG2,42190.803039544,42190.803039544,25815.381805413,25815.381805413,28831.861938475
TAG(56:8)_FA 18:2,0.4010319772839039,8.249537406197675,647.4140178252125,8.156672866959565e-143,2.6931083690047532e-142,920.8 -> 623.8,TAG2,69787.845031757,69787.845031757,43555.383056653,43555.383056653,28614.102203366
TAG(52:3)_FA 18:1,-0.3684348753910663,13.14824059133162,643.470574936131,5.876833839403158e-142,1.9237840687960765e-141,874.8 -> 575.8,TAG1,1772970.3818356,1772970.3818356,1886237.7695314,1886237.7695314,410433.94946276
TAG(52:0)_FA 20:0,0.37680880989421023,9.642176439493197,630.7852723884864,3.373121357898128e-139,1.0948351526059176e-138,880.8 -> 551.8,TAG2,174723.89282229,174723.89282229,110893.587127673,110893.587127673,91486.76623534
TAG(56:7)_FA 18:1,0.39513670261158496,8.251613555911254,628.7071132741067,9.550207591733608e-139,3.073722275322666e-138,922.8 -> 623.8,TAG2,69726.784728987,69726.784728987,43695.463256839,43695.463256839,28745.882080067
TAG(58:10)_FA 20:4,-0.41414592244433146,7.53956345986038,624.5935985404275,7.493282328136607e-138,2.3916059430636003e-137,944.8 -> 623.8,TAG2,30595.302123995,30595.302123995,33597.782531731,33597.782531731,22561.081558229
TAG(60:7)_FA 20:0,0.41025892203578224,7.616828711125976,614.7622986017972,1.030257709935313e-135,3.261063660373759e-135,978.9 -> 649.9,TAG2,42191.783111563,42191.783111563,26164.481719972,26164.481719972,24939.541809071
TAG(48:1)_FA 18:1,0.360352510949925,12.32031563117859,612.9181821859463,2.5944237838707656e-135,8.144789419856584e-135,822.8 -> 523.8,TAG1,1283741.86572312,1283741.86572312,824111.12109336,824111.12109336,234853.51965326
TAG(52:4)_FA 16:1,-0.35677713204689404,14.860935116393087,605.8299780194536,9.031139375238268e-134,2.8121352688750054e-133,872.8 -> 601.8,TAG1,6306496.05029344,6306496.05029344,6655393.64843687,6655393.64843687,119366.34832762
TAG(60:2)_FA 20:4,-0.4470314248096202,6.58158325058323,595.4618446789011,1.625137548411082e-131,5.019578072914875e-131,988.9 -> 667.9,TAG2,15581.941192624001,15581.941192624001,17505.621215824,17505.621215824,11669.760879518
TAG(60:2)_FA 18:2,0.383322302667351,8.324705756849276,594.0746631230983,3.2554987833824793e-131,9.974848272283918e-131,988.9 -> 691.9,TAG2,71198.504882786,71198.504882786,44984.623199456,44984.623199456,34464.042419441
TAG(54:0)_FA 20:4,-0.37013128427641334,8.873268325644846,592.3537762212318,7.707813689360825e-131,2.342930669067616e-130,908.9 -> 587.9,TAG2,93613.006835947,93613.006835947,99710.746643056,99710.746643056,13855.080978391
TAG(52:3)_FA 16:0,-0.35100449242131987,14.912156610225425,586.4633271045083,1.4729528011698948e-129,4.442054510614722e-129,874.8 -> 601.8,TAG1,6552758.53637631,6552758.53637631,6887665.49194336,6887665.49194336,114232.4680176
TAG(54:4)_FA 18:2,0.3490744644945567,14.606825925006687,579.7031637582269,4.35159713181284e-128,1.3020794542846232e-127,900.8 -> 603.8,TAG2,6087382.6523442,6087382.6523442,3938525.97460883,3938525.97460883,1472134.55224597
